x,y,z
2.67326,1.70727,0.316423
2.67326,1.72032,0.158937
2.67326,1.73336,0.114734
2.67326,1.7464,0.0925635
2.67326,1.75945,0.0542011
2.67326,1.77249,0.0526738
2.67326,1.78554,0.059124
2.67326,1.79858,0.113004
2.67326,1.81162,0.149387
2.67326,1.83771,0.214119
2.67326,1.8638,0.416548
2.67326,1.87684,0.716079
2.67326,1.88988,0.707484
2.67326,1.90293,1.12852
2.67326,1.91597,1.30822
2.67326,1.92901,1.48684
2.67326,1.94206,1.66337
2.67326,1.9551,1.68681
2.67326,1.96814,1.84769
2.67326,1.98119,1.96934
2.67326,1.99423,2.11768
2.67326,2.00727,2.2576
2.67326,2.02032,2.2486
2.67326,2.03336,2.36399
2.67326,2.0464,2.46107
2.67326,2.05945,2.65286
2.67326,2.08554,2.96065
2.67326,2.09858,3.15292
2.67326,2.11162,3.2309
2.67326,2.12467,3.28173
2.67326,2.13771,3.22614
2.67326,2.15075,3.20564
2.67326,2.1638,2.85854
2.67326,2.17684,2.69441
2.67326,2.18988,2.27837
2.67326,2.20293,1.62677
2.67326,2.21597,1.52382
2.67326,2.24206,0.708855
2.67326,2.2551,0.325291
2.67326,2.26814,0.0292688
2.67326,2.28119,0.114351
2.67326,2.29423,0.186218
2.67326,2.30727,0.626279
2.67326,2.32032,0.968496
2.67326,2.33336,1.69556
2.67326,2.3464,2.47683
2.67326,2.35945,3.29425
2.68631,1.15945,0.698851
2.68631,1.17249,1.12597
2.68631,1.18554,1.25791
2.68631,1.19858,1.54635
2.68631,1.21162,1.75203
2.68631,1.22467,1.79953
2.68631,1.23771,1.76753
2.68631,1.25075,1.49118
2.68631,1.2638,1.44452
2.68631,1.27684,1.13051
2.68631,1.28988,1.16266
2.68631,1.30293,0.883062
2.68631,1.31597,0.721566
2.68631,1.32901,0.665045
2.68631,1.34206,0.6133
2.68631,1.3551,0.64332
2.68631,1.36814,0.612667
2.68631,1.38119,0.685416
2.68631,1.39423,0.777351
2.68631,1.40727,0.962447
2.68631,1.42032,1.10215
2.68631,1.43336,1.44271
2.68631,1.4464,1.62819
2.68631,1.45945,1.73442
2.68631,1.47249,1.86181
2.68631,1.48554,2.06231
2.68631,1.49858,2.06444
2.68631,1.51162,2.36387
2.68631,1.52467,2.34611
2.68631,1.53771,2.28743
2.68631,1.55075,2.20069
2.68631,1.5638,2.10954
2.68631,1.57684,1.89012
2.68631,1.58988,1.88837
2.68631,1.60293,1.76961
2.68631,1.61597,1.47322
2.68631,1.62901,1.24567
2.68631,1.64206,1.23073
2.68631,1.68119,0.528732
2.68631,1.69423,0.425871
2.68631,1.70727,0.532414
2.68631,1.72032,0.213018
2.68631,1.73336,0.195013
2.68631,1.75945,0.0507839
2.68631,1.78554,0.0247499
2.68631,1.79858,0.0752373
2.68631,1.81162,0.0949938
2.68631,1.82467,0.103627
2.68631,1.83771,0.183366
2.68631,1.85075,0.41148
2.68631,1.8638,0.383948
2.68631,1.87684,0.61004
2.68631,1.88988,0.785633
2.68631,1.90293,0.716403
2.68631,1.91597,0.981499
2.68631,1.92901,1.09938
2.68631,1.94206,1.31285
2.68631,1.9551,1.30242
2.68631,1.96814,1.48822
2.68631,1.98119,1.55146
2.68631,1.99423,1.84787
2.68631,2.00727,1.9674
2.68631,2.02032,2.04098
2.68631,2.03336,2.15327
2.68631,2.0464,2.14856
2.68631,2.05945,2.31791
2.68631,2.07249,2.27825
2.68631,2.08554,2.65472
2.68631,2.09858,2.70556
2.68631,2.11162,2.57953
2.68631,2.12467,2.9163
2.68631,2.13771,2.73365
2.68631,2.15075,2.91473
2.68631,2.1638,2.65784
2.68631,2.17684,2.40186
2.68631,2.18988,2.91566
2.68631,2.20293,1.64524
2.68631,2.21597,1.07878
2.68631,2.22901,0.680384
2.68631,2.24206,0.458624
2.68631,2.2551,0.267735
2.68631,2.26814,0.0572568
2.68631,2.28119,0.208419
2.68631,2.29423,0.534024
2.68631,2.30727,0.723521
2.68631,2.32032,1.25965
2.68631,2.33336,2.67387
2.68631,2.3464,2.17409
2.68631,2.35945,3.55294
2.68631,2.37249,3.70287
2.69935,1.1464,0.58829
2.69935,1.15945,0.899943
2.69935,1.17249,0.807489
2.69935,1.18554,1.07112
2.69935,1.19858,1.26636
2.69935,1.21162,1.20295
2.69935,1.22467,1.22378
2.69935,1.23771,1.14679
2.69935,1.25075,0.85307
2.69935,1.2638,0.980268
2.69935,1.27684,0.670027
2.69935,1.28988,0.48024
2.69935,1.30293,0.539631
2.69935,1.31597,0.336057
2.69935,1.32901,0.417063
2.69935,1.34206,0.259158
2.69935,1.3551,0.326997
2.69935,1.36814,0.5576
2.69935,1.38119,0.632697
2.69935,1.39423,0.813867
2.69935,1.40727,1.06825
2.69935,1.42032,1.19253
2.69935,1.43336,1.68763
2.69935,1.4464,1.78803
2.69935,1.45945,1.83322
2.69935,1.47249,1.88631
2.69935,1.48554,2.10901
2.69935,1.49858,2.40376
2.69935,1.51162,2.36615
2.69935,1.52467,2.41159
2.69935,1.53771,2.25828
2.69935,1.55075,2.20736
2.69935,1.5638,2.15415
2.69935,1.57684,1.87318
2.69935,1.58988,1.45182
2.69935,1.60293,1.45091
2.69935,1.61597,1.72673
2.69935,1.62901,1.38689
2.69935,1.64206,1.10241
2.69935,1.6551,1.03562
2.69935,1.66814,0.92496
2.69935,1.68119,0.674971
2.69935,1.69423,0.587319
2.69935,1.70727,0.265372
2.69935,1.72032,0.428157
2.69935,1.73336,0.212101
2.69935,1.7464,0.132265
2.69935,1.75945,0.0689903
2.69935,1.77249,0.0712945
2.69935,1.78554,0.027303
2.69935,1.79858,0.0256116
2.69935,1.81162,0.0242032
2.69935,1.82467,0.0435041
2.69935,1.83771,0.074444
2.69935,1.85075,0.102374
2.69935,1.8638,0.214547
2.69935,1.87684,0.501094
2.69935,1.88988,0.497024
2.69935,1.90293,0.311252
2.69935,1.92901,0.878976
2.69935,1.94206,1.33912
2.69935,1.9551,0.807821
2.69935,1.98119,1.36397
2.69935,1.99423,1.93955
2.69935,2.02032,2.19664
2.69935,2.0464,2.19499
2.69935,2.05945,1.66227
2.69935,2.08554,2.39427
2.69935,2.13771,2.66944
2.69935,2.15075,3.13062
2.69935,2.1638,2.55204
2.69935,2.17684,2.51382
2.69935,2.21597,1.35372
2.69935,2.24206,0.343938
2.69935,2.26814,0.0071541
2.69935,2.28119,0.399673
2.69935,2.29423,0.173703
2.69935,2.32032,1.25004
2.69935,2.33336,2.4909
2.69935,2.3464,2.38895
2.69935,2.35945,2.81234
2.69935,2.37249,3.52995
2.71239,1.13336,0.0598547
2.71239,1.1464,0.55197
2.71239,1.17249,0.692596
2.71239,1.18554,0.892243
2.71239,1.19858,0.862116
2.71239,1.22467,0.796235
2.71239,1.25075,0.892322
2.71239,1.2638,0.232621
2.71239,1.30293,0.201087
2.71239,1.31597,0.227758
2.71239,1.32901,0.347518
2.71239,1.34206,0.42215
2.71239,1.3551,0.345344
2.71239,1.36814,0.403851
2.71239,1.38119,0.485632
2.71239,1.39423,0.529109
2.71239,1.40727,0.643054
2.71239,1.4464,1.62527
2.71239,1.45945,1.82851
2.71239,1.47249,1.94343
2.71239,1.48554,2.13324
2.71239,1.49858,2.37799
2.71239,1.52467,2.58457
2.71239,1.55075,2.69204
2.71239,1.5638,2.55643
2.71239,1.57684,2.42947
2.71239,1.58988,1.91775
2.71239,1.60293,2.03273
2.71239,1.64206,1.36724
2.71239,1.6551,1.27632
2.71239,1.68119,0.69002
2.71239,1.73336,0.332313
2.71239,1.7464,0.0407776
2.71239,1.75945,0.14465
2.71239,1.77249,0.0625608
2.71239,1.78554,0.044832
2.71239,1.79858,0.0379942
2.71239,1.81162,0.0346089
2.71239,1.82467,0.00446142
2.71239,1.83771,0.1428
2.71239,1.8638,0.337882
2.71239,1.87684,0.196522
2.71239,1.88988,0.44741
2.71239,1.90293,0.469023
2.71239,1.91597,0.696831
2.71239,1.92901,0.588593
2.71239,1.94206,0.535439
2.71239,1.9551,0.344817
2.71239,1.96814,1.09999
2.71239,1.98119,1.12776
2.71239,1.99423,1.42697
2.71239,2.00727,1.40472
2.71239,2.02032,1.6434
2.71239,2.0464,1.77462
2.71239,2.05945,1.86262
2.71239,2.07249,1.97821
2.71239,2.08554,2.13026
2.71239,2.09858,2.47627
2.71239,2.12467,2.65213
2.71239,2.15075,2.80287
2.71239,2.1638,2.4719
2.71239,2.17684,2.43593
2.71239,2.18988,1.54135
2.71239,2.22901,0.449187
2.71239,2.24206,0.275694
2.71239,2.2551,0.0616482
2.71239,2.26814,0.0453729
2.71239,2.28119,0.103305
2.71239,2.3464,2.84001
2.71239,2.35945,2.4685
2.71239,2.37249,3.05997
2.72544,1.13336,0.238497
2.72544,1.1464,0.271227
2.72544,1.15945,0.706977
2.72544,1.17249,0.483381
2.72544,1.18554,0.62561
2.72544,1.19858,0.782149
2.72544,1.22467,0.519742
2.72544,1.2638,0.489334
2.72544,1.27684,0.570904
2.72544,1.28988,0.0790227
2.72544,1.30293,0.0576856
2.72544,1.31597,0.119114
2.72544,1.32901,0.258981
2.72544,1.34206,0.279048
2.72544,1.3551,0.330189
2.72544,1.36814,0.385675
2.72544,1.38119,0.599601
2.72544,1.39423,0.764826
2.72544,1.40727,1.01955
2.72544,1.4464,1.4754
2.72544,1.45945,1.53045
2.72544,1.47249,2.01874
2.72544,1.48554,2.17257
2.72544,1.49858,2.33933
2.72544,1.51162,2.50708
2.72544,1.52467,2.58217
2.72544,1.53771,2.38036
2.72544,1.55075,2.56837
2.72544,1.5638,2.33844
2.72544,1.57684,2.19375
2.72544,1.58988,2.30856
2.72544,1.60293,1.74831
2.72544,1.61597,1.80022
2.72544,1.62901,1.8337
2.72544,1.64206,1.45798
2.72544,1.6551,1.28636
2.72544,1.66814,0.964115
2.72544,1.68119,0.784549
2.72544,1.69423,0.649311
2.72544,1.70727,0.408494
2.72544,1.72032,0.414905
2.72544,1.73336,0.409548
2.72544,1.7464,0.175716
2.72544,1.79858,0.00824486
2.72544,1.81162,0.0370335
2.72544,1.82467,0.0474137
2.72544,1.83771,0.125213
2.72544,1.8638,0.0939001
2.72544,1.88988,0.385239
2.72544,1.90293,0.0669256
2.72544,1.91597,0.654812
2.72544,1.92901,0.196924
2.72544,1.94206,0.841118
2.72544,1.96814,0.794661
2.72544,1.98119,0.612914
2.72544,1.99423,1.20711
2.72544,2.02032,1.43312
2.72544,2.0464,1.34092
2.72544,2.05945,0.602884
2.72544,2.08554,1.70756
2.72544,2.09858,2.60177
2.72544,2.11162,3.10688
2.72544,2.13771,2.10681
2.72544,2.1638,2.11543
2.72544,2.17684,2.22418
2.72544,2.21597,1.11386
2.72544,2.26814,0.105529
2.72544,2.28119,0.0746381
2.72544,2.30727,1.0697
2.72544,2.32032,0.928424
2.72544,2.35945,2.47609
2.72544,2.37249,2.89937
2.73848,1.13336,0.185618
2.73848,1.1464,0.146723
2.73848,1.15945,0.417705
2.73848,1.17249,0.527955
2.73848,1.18554,0.576771
2.73848,1.19858,0.71991
2.73848,1.21162,0.492028
2.73848,1.22467,0.888651
2.73848,1.23771,0.710937
2.73848,1.25075,0.573873
2.73848,1.2638,0.2226
2.73848,1.27684,0.17132
2.73848,1.28988,0.482486
2.73848,1.30293,0.125049
2.73848,1.31597,0.0708938
2.73848,1.32901,0.186161
2.73848,1.3551,0.304058
2.73848,1.36814,0.395283
2.73848,1.38119,0.375167
2.73848,1.39423,0.713535
2.73848,1.40727,0.864831
2.73848,1.42032,0.931765
2.73848,1.43336,1.5797
2.73848,1.4464,1.46264
2.73848,1.45945,1.68306
2.73848,1.48554,2.1448
2.73848,1.49858,2.19571
2.73848,1.51162,2.43184
2.73848,1.52467,2.20456
2.73848,1.55075,2.64589
2.73848,1.5638,2.61846
2.73848,1.57684,2.40841
2.73848,1.60293,2.15978
2.73848,1.61597,2.039
2.73848,1.64206,1.60646
2.73848,1.68119,0.852452
2.73848,1.69423,0.609924
2.73848,1.72032,0.371339
2.73848,1.73336,0.374806
2.73848,1.7464,0.156545
2.73848,1.75945,0.0932708
2.73848,1.77249,0.114469
2.73848,1.78554,0.0608142
2.73848,1.79858,0.00718585
2.73848,1.81162,0.052311
2.73848,1.82467,0.0152499
2.73848,1.85075,0.042068
2.73848,1.8638,0.508808
2.73848,1.87684,0.0585763
2.73848,1.88988,0.15827
2.73848,1.90293,0.0218392
2.73848,1.92901,0.212706
2.73848,1.94206,0.378175
2.73848,1.9551,0.0463434
2.73848,1.98119,0.44563
2.73848,1.99423,0.629541
2.73848,2.00727,1.23088
2.73848,2.0464,0.968724
2.73848,2.05945,1.05427
2.73848,2.08554,1.56722
2.73848,2.11162,1.09316
2.73848,2.15075,2.29383
2.73848,2.1638,1.93805
2.73848,2.17684,1.98111
2.73848,2.20293,1.20561
2.73848,2.21597,1.18718
2.73848,2.22901,0.779697
2.73848,2.24206,0.503194
2.73848,2.2551,0.323675
2.73848,2.26814,0.179139
2.73848,2.28119,0.141602
2.73848,2.29423,0.064648
2.73848,2.30727,1.00472
2.73848,2.32032,0.460942
2.73848,2.3464,1.07428
2.73848,2.35945,1.67966
2.73848,2.37249,2.17481
2.75153,1.13336,0.0981793
2.75153,1.1464,0.176205
2.75153,1.15945,0.346348
2.75153,1.17249,0.498217
2.75153,1.18554,0.470245
2.75153,1.19858,0.469514
2.75153,1.22467,0.269251
2.75153,1.25075,0.287685
2.75153,1.2638,0.209748
2.75153,1.27684,0.118964
2.75153,1.28988,0.0250841
2.75153,1.30293,0.106269
2.75153,1.31597,0.180238
2.75153,1.32901,0.138893
2.75153,1.34206,0.264667
2.75153,1.36814,0.445786
2.75153,1.38119,0.356513
2.75153,1.40727,0.987151
2.75153,1.4464,1.34753
2.75153,1.45945,1.65219
2.75153,1.48554,2.07733
2.75153,1.49858,1.94855
2.75153,1.51162,2.15894
2.75153,1.52467,1.57035
2.75153,1.53771,2.19554
2.75153,1.55075,2.23163
2.75153,1.5638,2.66402
2.75153,1.57684,2.34337
2.75153,1.58988,1.96248
2.75153,1.60293,1.84733
2.75153,1.61597,1.84212
2.75153,1.64206,1.68698
2.75153,1.6551,1.21191
2.75153,1.66814,1.26631
2.75153,1.68119,0.89501
2.75153,1.69423,0.665082
2.75153,1.72032,0.44889
2.75153,1.73336,0.407748
2.75153,1.7464,0.201672
2.75153,1.75945,0.228023
2.75153,1.77249,0.13476
2.75153,1.79858,0.0480494
2.75153,1.81162,0.0847191
2.75153,1.82467,0.181145
2.75153,1.83771,0.0562308
2.75153,1.85075,0.0747853
2.75153,1.8638,0.093422
2.75153,1.88988,0.0922701
2.75153,1.90293,0.0606342
2.75153,1.91597,0.150936
2.75153,1.92901,0.00936819
2.75153,1.94206,0.0594575
2.75153,1.9551,0.174764
2.75153,1.96814,0.0671618
2.75153,1.98119,0.182664
2.75153,1.99423,0.262826
2.75153,2.00727,0.521874
2.75153,2.02032,0.643892
2.75153,2.03336,0.55717
2.75153,2.0464,0.686101
2.75153,2.05945,0.980038
2.75153,2.07249,0.527679
2.75153,2.08554,1.20511
2.75153,2.09858,1.42351
2.75153,2.11162,1.28166
2.75153,2.12467,1.28566
2.75153,2.13771,1.51266
2.75153,2.15075,1.91573
2.75153,2.1638,1.6439
2.75153,2.17684,1.732
2.75153,2.18988,1.38808
2.75153,2.20293,1.56965
2.75153,2.21597,1.09176
2.75153,2.22901,0.632664
2.75153,2.2551,0.143645
2.75153,2.26814,0.274769
2.75153,2.28119,0.0792123
2.75153,2.29423,0.076058
2.75153,2.30727,0.612053
2.75153,2.32032,0.758225
2.75153,2.3464,1.3254
2.75153,2.35945,1.76373
2.75153,2.37249,1.65713
2.76457,1.13336,0.636839
2.76457,1.1464,0.405458
2.76457,1.15945,0.264028
2.76457,1.17249,0.467625
2.76457,1.18554,0.489606
2.76457,1.19858,0.409437
2.76457,1.21162,0.278416
2.76457,1.22467,0.246285
2.76457,1.23771,0.128136
2.76457,1.25075,0.107233
2.76457,1.2638,0.0521928
2.76457,1.27684,0.0490648
2.76457,1.28988,0.0449509
2.76457,1.30293,0.0761183
2.76457,1.31597,0.147403
2.76457,1.32901,0.123553
2.76457,1.34206,0.471104
2.76457,1.36814,0.417593
2.76457,1.38119,0.474739
2.76457,1.39423,0.820747
2.76457,1.40727,0.865479
2.76457,1.42032,0.839414
2.76457,1.43336,0.970839
2.76457,1.4464,1.11986
2.76457,1.45945,1.24045
2.76457,1.47249,1.31083
2.76457,1.48554,1.48491
2.76457,1.49858,1.55403
2.76457,1.51162,1.73516
2.76457,1.52467,1.70739
2.76457,1.53771,1.59541
2.76457,1.55075,1.97638
2.76457,1.5638,2.36234
2.76457,1.57684,1.97687
2.76457,1.58988,2.07851
2.76457,1.60293,1.83862
2.76457,1.61597,1.84245
2.76457,1.62901,1.82109
2.76457,1.64206,1.56371
2.76457,1.6551,1.30191
2.76457,1.66814,1.15894
2.76457,1.68119,0.992565
2.76457,1.69423,0.859317
2.76457,1.70727,0.654873
2.76457,1.72032,0.536348
2.76457,1.73336,0.41688
2.76457,1.7464,0.202297
2.76457,1.75945,0.214973
2.76457,1.77249,0.104921
2.76457,1.78554,0.209946
2.76457,1.79858,0.0334318
2.76457,1.82467,0.141432
2.76457,1.83771,0.0445283
2.76457,1.8638,0.0724562
2.76457,1.87684,0.0957472
2.76457,1.88988,0.0909868
2.76457,1.90293,0.0815752
2.76457,1.91597,0.456327
2.76457,1.92901,0.00489016
2.76457,1.9551,0.0440267
2.76457,1.96814,0.111649
2.76457,1.98119,0.0946433
2.76457,1.99423,0.360011
2.76457,2.02032,0.712915
2.76457,2.0464,0.745035
2.76457,2.08554,0.727805
2.76457,2.13771,1.76231
2.76457,2.15075,1.64904
2.76457,2.1638,1.30291
2.76457,2.21597,1.0811
2.76457,2.26814,0.287804
2.76457,2.28119,0.070882
2.76457,2.29423,0.192769
2.76457,2.35945,1.09609
2.76457,2.37249,1.15558
2.77761,1.13336,0.416269
2.77761,1.1464,0.253305
2.77761,1.15945,0.159783
2.77761,1.17249,0.180224
2.77761,1.18554,0.447661
2.77761,1.19858,0.308778
2.77761,1.21162,0.180774
2.77761,1.22467,0.196271
2.77761,1.25075,0.105143
2.77761,1.27684,0.0179519
2.77761,1.30293,0.0821523
2.77761,1.31597,0.165956
2.77761,1.32901,0.153575
2.77761,1.34206,0.139281
2.77761,1.36814,0.487179
2.77761,1.38119,0.48219
2.77761,1.39423,0.682138
2.77761,1.40727,0.766832
2.77761,1.42032,0.735704
2.77761,1.43336,1.22508
2.77761,1.4464,1.0018
2.77761,1.45945,1.25707
2.77761,1.47249,2.09794
2.77761,1.48554,1.48639
2.77761,1.51162,2.16364
2.77761,1.52467,1.72158
2.77761,1.53771,1.58883
2.77761,1.55075,1.76458
2.77761,1.5638,1.99033
2.77761,1.57684,2.01687
2.77761,1.61597,1.42801
2.77761,1.64206,1.78085
2.77761,1.6551,1.06941
2.77761,1.68119,0.832257
2.77761,1.69423,0.662327
2.77761,1.70727,0.44705
2.77761,1.72032,0.503005
2.77761,1.73336,0.377404
2.77761,1.7464,0.202889
2.77761,1.75945,0.170609
2.77761,1.77249,0.182353
2.77761,1.78554,0.133803
2.77761,1.79858,0.141573
2.77761,1.81162,0.209934
2.77761,1.82467,0.173086
2.77761,1.83771,0.206202
2.77761,1.85075,0.318027
2.77761,1.8638,0.244124
2.77761,1.87684,0.283266
2.77761,1.88988,0.174787
2.77761,1.90293,0.148482
2.77761,1.91597,0.0932916
2.77761,1.92901,0.0588245
2.77761,1.94206,0.0418049
2.77761,1.9551,0.0292324
2.77761,1.96814,0.0195964
2.77761,1.98119,0.0579058
2.77761,1.99423,0.103112
2.77761,2.00727,0.0686954
2.77761,2.02032,0.40148
2.77761,2.03336,0.229776
2.77761,2.0464,0.365706
2.77761,2.05945,0.338857
2.77761,2.07249,0.418699
2.77761,2.08554,0.607701
2.77761,2.09858,0.889373
2.77761,2.11162,0.69233
2.77761,2.12467,0.845711
2.77761,2.13771,0.886334
2.77761,2.15075,1.31202
2.77761,2.1638,1.29973
2.77761,2.17684,1.30814
2.77761,2.18988,1.21911
2.77761,2.20293,1.15065
2.77761,2.21597,1.01938
2.77761,2.22901,0.940078
2.77761,2.24206,0.711253
2.77761,2.2551,0.508753
2.77761,2.26814,0.515884
2.77761,2.28119,0.165638
2.77761,2.29423,0.171648
2.77761,2.32032,0.189713
2.77761,2.33336,0.24407
2.77761,2.3464,0.466321
2.77761,2.35945,0.46025
2.77761,2.37249,0.528833
2.79066,1.13336,0.376657
2.79066,1.1464,0.494766
2.79066,1.15945,0.32528
2.79066,1.17249,0.496784
2.79066,1.18554,0.383645
2.79066,1.19858,0.39021
2.79066,1.21162,0.289434
2.79066,1.22467,0.195628
2.79066,1.23771,0.212034
2.79066,1.25075,0.1271
2.79066,1.2638,0.0941676
2.79066,1.27684,0.088487
2.79066,1.28988,0.168549
2.79066,1.30293,0.179756
2.79066,1.31597,0.251316
2.79066,1.32901,0.310674
2.79066,1.3551,0.469488
2.79066,1.36814,0.500248
2.79066,1.38119,0.665405
2.79066,1.39423,0.723448
2.79066,1.40727,0.785304
2.79066,1.42032,0.864538
2.79066,1.43336,0.900661
2.79066,1.4464,0.88805
2.79066,1.45945,1.02038
2.79066,1.48554,1.2314
2.79066,1.49858,1.43219
2.79066,1.51162,1.46183
2.79066,1.52467,1.55632
2.79066,1.53771,1.66401
2.79066,1.55075,1.87807
2.79066,1.5638,1.94481
2.79066,1.57684,1.9204
2.79066,1.58988,1.98298
2.79066,1.60293,2.06904
2.79066,1.61597,1.77823
2.79066,1.62901,1.77185
2.79066,1.64206,1.5376
2.79066,1.6551,1.36177
2.79066,1.66814,1.07111
2.79066,1.68119,0.857584
2.79066,1.69423,0.770476
2.79066,1.70727,0.531461
2.79066,1.72032,0.523626
2.79066,1.73336,0.394033
2.79066,1.7464,0.218332
2.79066,1.75945,0.256699
2.79066,1.77249,0.157056
2.79066,1.79858,0.119869
2.79066,1.81162,0.15349
2.79066,1.82467,0.178668
2.79066,1.85075,0.154693
2.79066,1.8638,0.312762
2.79066,1.87684,0.349454
2.79066,1.88988,0.177394
2.79066,1.90293,0.189244
2.79066,1.91597,0.088482
2.79066,1.92901,0.187976
2.79066,1.94206,0.121891
2.79066,1.9551,0.135229
2.79066,1.96814,0.0174831
2.79066,1.99423,0.048512
2.79066,2.00727,0.229212
2.79066,2.02032,0.19319
2.79066,2.03336,0.21417
2.79066,2.0464,0.288535
2.79066,2.05945,0.64374
2.79066,2.07249,0.300562
2.79066,2.08554,0.628005
2.79066,2.09858,0.628777
2.79066,2.11162,1.0678
2.79066,2.12467,0.870436
2.79066,2.13771,0.947857
2.79066,2.15075,1.22578
2.79066,2.1638,1.17525
2.79066,2.17684,1.26514
2.79066,2.18988,0.896059
2.79066,2.21597,1.15496
2.79066,2.24206,0.697547
2.79066,2.2551,0.570122
2.79066,2.26814,0.439859
2.79066,2.28119,0.49125
2.79066,2.32032,0.416569
2.79066,2.35945,0.410597
2.79066,2.37249,0.249179
2.8037,1.13336,0.407663
2.8037,1.15945,0.354896
2.8037,1.17249,0.440062
2.8037,1.18554,0.4287
2.8037,1.19858,0.344848
2.8037,1.21162,0.160034
2.8037,1.22467,0.13385
2.8037,1.23771,0.102547
2.8037,1.25075,0.115375
2.8037,1.2638,0.134122
2.8037,1.27684,0.165609
2.8037,1.28988,0.249318
2.8037,1.30293,0.215683
2.8037,1.31597,0.278711
2.8037,1.32901,0.359962
2.8037,1.34206,0.340184
2.8037,1.3551,0.450214
2.8037,1.36814,0.543942
2.8037,1.38119,0.493878
2.8037,1.39423,0.644693
2.8037,1.40727,0.704977
2.8037,1.42032,0.593404
2.8037,1.4464,0.70559
2.8037,1.45945,0.743657
2.8037,1.47249,0.610843
2.8037,1.48554,0.759996
2.8037,1.49858,0.826641
2.8037,1.51162,1.42958
2.8037,1.52467,1.19441
2.8037,1.53771,1.29937
2.8037,1.55075,1.43292
2.8037,1.5638,1.67871
2.8037,1.57684,1.51129
2.8037,1.58988,1.57763
2.8037,1.60293,1.59213
2.8037,1.62901,1.85862
2.8037,1.64206,1.46547
2.8037,1.6551,1.14727
2.8037,1.66814,1.02043
2.8037,1.68119,0.848798
2.8037,1.72032,0.479162
2.8037,1.73336,0.326325
2.8037,1.7464,0.17543
2.8037,1.78554,0.100457
2.8037,1.79858,0.172558
2.8037,1.81162,0.211066
2.8037,1.82467,0.234142
2.8037,1.83771,0.122989
2.8037,1.8638,0.279222
2.8037,1.88988,0.176537
2.8037,1.90293,0.346303
2.8037,1.91597,0.0272607
2.8037,1.9551,0.265736
2.8037,1.99423,0.142411
2.8037,2.02032,0.133211
2.8037,2.0464,0.207555
2.8037,2.05945,0.76506
2.8037,2.08554,0.627767
2.8037,2.11162,1.03715
2.8037,2.13771,1.08014
2.8037,2.15075,1.19799
2.8037,2.1638,1.30389
2.8037,2.17684,1.25244
2.8037,2.20293,1.46744
2.8037,2.21597,1.25185
2.8037,2.2551,0.444837
2.8037,2.26814,0.869022
2.8037,2.28119,0.325595
2.8037,2.29423,0.136413
2.8037,2.32032,0.209916
2.8037,2.35945,0.219603
2.8037,2.37249,0.099762
2.81674,1.13336,0.626717
2.81674,1.1464,0.677065
2.81674,1.17249,0.618222
2.81674,1.18554,0.506766
2.81674,1.19858,0.305617
2.81674,1.21162,0.20906
2.81674,1.22467,0.168386
2.81674,1.25075,0.10137
2.81674,1.2638,0.0391566
2.81674,1.27684,0.165957
2.81674,1.30293,0.119327
2.81674,1.31597,0.319043
2.81674,1.32901,0.447699
2.81674,1.34206,0.343392
2.81674,1.36814,0.472558
2.81674,1.38119,0.675364
2.81674,1.40727,0.726302
2.81674,1.42032,0.766175
2.81674,1.43336,0.33371
2.81674,1.4464,0.666437
2.81674,1.45945,0.963319
2.81674,1.51162,1.26495
2.81674,1.52467,1.01771
2.81674,1.53771,1.07435
2.81674,1.55075,1.40439
2.81674,1.5638,1.64864
2.81674,1.58988,1.59863
