x,y,z
2.67326,1.70727,-34.9973
2.67326,1.72032,-37.9878
2.67326,1.73336,-39.4031
2.67326,1.7464,-40.3356
2.67326,1.75945,-42.6599
2.67326,1.77249,-42.7841
2.67326,1.78554,-42.2824
2.67326,1.79858,-39.4691
2.67326,1.81162,-38.2569
2.67326,1.83771,-36.6935
2.67326,1.8638,-33.8033
2.67326,1.87684,-31.4504
2.67326,1.88988,-31.5028
2.67326,1.90293,-29.4749
2.67326,1.91597,-28.8332
2.67326,1.92901,-28.2773
2.67326,1.94206,-27.7901
2.67326,1.9551,-27.7293
2.67326,1.96814,-27.3337
2.67326,1.98119,-27.0568
2.67326,1.99423,-26.7414
2.67326,2.00727,-26.4635
2.67326,2.02032,-26.4809
2.67326,2.03336,-26.2636
2.67326,2.0464,-26.0888
2.67326,2.05945,-25.7629
2.67326,2.08554,-25.2861
2.67326,2.09858,-25.0129
2.67326,2.11162,-24.9068
2.67326,2.12467,-24.839
2.67326,2.13771,-24.9132
2.67326,2.15075,-24.9409
2.67326,2.1638,-25.4386
2.67326,2.17684,-25.6954
2.67326,2.18988,-26.4237
2.67326,2.20293,-27.8867
2.67326,2.21597,-28.1707
2.67326,2.24206,-31.4944
2.67326,2.2551,-34.8773
2.67326,2.26814,-45.3359
2.67326,2.28119,-39.4176
2.67326,2.29423,-37.2998
2.67326,2.30727,-32.0323
2.67326,2.32032,-30.139
2.67326,2.33336,-27.7069
2.67326,2.3464,-26.061
2.67326,2.35945,-24.8224
2.68631,1.15945,-31.5562
2.68631,1.17249,-29.4847
2.68631,1.18554,-29.0035
2.68631,1.19858,-28.1069
2.68631,1.21162,-27.5646
2.68631,1.22467,-27.4484
2.68631,1.23771,-27.5263
2.68631,1.25075,-28.2647
2.68631,1.2638,-28.4028
2.68631,1.27684,-29.4673
2.68631,1.28988,-29.3455
2.68631,1.30293,-30.5401
2.68631,1.31597,-31.4172
2.68631,1.32901,-31.7715
2.68631,1.34206,-32.1233
2.68631,1.3551,-31.9157
2.68631,1.36814,-32.1278
2.68631,1.38119,-31.6405
2.68631,1.39423,-31.0938
2.68631,1.40727,-30.1662
2.68631,1.42032,-29.5776
2.68631,1.43336,-28.4082
2.68631,1.4464,-27.883
2.68631,1.45945,-27.6084
2.68631,1.47249,-27.3006
2.68631,1.48554,-26.8565
2.68631,1.49858,-26.852
2.68631,1.51162,-26.2638
2.68631,1.52467,-26.2965
2.68631,1.53771,-26.4065
2.68631,1.55075,-26.5744
2.68631,1.5638,-26.7581
