x,y,z
2.64801,1.17999,2.17427
2.64801,1.19303,2.32388
2.64801,1.20607,1.972
2.64801,1.21912,2.1416
2.64801,1.23216,1.97181
2.64801,1.2452,2.01063
2.64801,1.25825,1.63958
2.64801,1.27129,1.69843
2.64801,1.28433,1.05239
2.64801,1.29738,0.682796
2.64801,1.31042,0.545767
2.64801,1.32347,0.480962
2.64801,1.33651,0.18185
2.64801,1.34955,0.483216
2.64801,1.3626,0.405447
2.64801,1.37564,0.259113
2.64801,1.38868,0.326483
2.64801,1.40173,0.28035
2.64801,1.41477,0.338126
2.64801,1.42781,0.335503
2.64801,1.44086,0.29831
2.64801,1.4539,0.590305
2.64801,1.46694,0.47374
2.64801,1.47999,0.768468
2.64801,1.49303,0.829829
2.64801,1.50607,1.02106
2.64801,1.51912,1.11189
2.64801,1.53216,1.44675
2.64801,1.5452,1.75892
2.64801,1.55825,1.56982
2.64801,1.57129,1.67868
2.66105,1.1539,1.66124
2.66105,1.16694,1.79499
2.66105,1.17999,1.92918
2.66105,1.19303,1.92325
2.66105,1.20607,1.82915
2.66105,1.21912,1.75322
2.66105,1.23216,1.90118
2.66105,1.2452,1.68529
2.66105,1.25825,1.50038
2.66105,1.27129,1.34987
2.66105,1.28433,0.904145
2.66105,1.29738,1.04755
2.66105,1.31042,0.595162
2.66105,1.32347,0.486653
2.66105,1.33651,0.264963
2.66105,1.34955,0.313739
2.66105,1.3626,0.144517
2.66105,1.37564,0.0977225
2.66105,1.38868,0.187298
2.66105,1.40173,0.200191
2.66105,1.41477,0.200205
2.66105,1.42781,0.317579
2.66105,1.44086,0.212318
2.66105,1.4539,0.488589
2.66105,1.46694,0.600468
2.66105,1.47999,0.66834
2.66105,1.49303,1.1769
2.66105,1.50607,1.03913
2.66105,1.51912,1.4323
2.66105,1.53216,1.24214
2.66105,1.55825,1.71207
2.66105,1.57129,1.87379
2.66105,1.58433,1.73529
2.66105,1.59738,1.71268
2.66105,1.61042,1.66976
2.66105,1.62347,1.62483
2.66105,1.63651,1.43893
2.66105,1.64955,1.39085
2.66105,1.6626,1.21367
2.66105,1.68868,0.740461
2.66105,1.70173,0.604989
2.66105,1.71477,0.397649
2.66105,1.72781,0.245563
2.66105,1.74086,0.211594
2.66105,1.7539,0.164505
2.66105,1.76694,0.137682
2.66105,1.77999,0.0954102
2.66105,1.79303,0.129936
2.66105,1.80607,0.220712
