x,y,z
2.64801,1.17999,-26.6269
2.64801,1.19303,-26.3379
2.64801,1.20607,-27.0509
2.64801,1.21912,-26.6926
2.64801,1.23216,-27.0513
2.64801,1.2452,-26.9667
2.64801,1.25825,-27.8527
2.64801,1.27129,-27.6995
2.64801,1.28433,-29.7782
2.64801,1.29738,-31.6571
2.64801,1.31042,-32.6299
2.64801,1.32347,-33.1789
2.64801,1.33651,-37.4029
2.64801,1.34955,-33.1586
2.64801,1.3626,-33.9207
2.64801,1.37564,-35.8651
2.64801,1.38868,-34.8614
2.64801,1.40173,-35.523
2.64801,1.41477,-34.7092
2.64801,1.42781,-34.743
2.64801,1.44086,-35.2533
2.64801,1.4539,-32.2892
2.64801,1.46694,-33.2446
2.64801,1.47999,-31.1437
2.64801,1.49303,-30.8101
2.64801,1.50607,-29.9095
2.64801,1.51912,-29.5394
2.64801,1.53216,-28.3961
2.64801,1.5452,-27.5475
2.64801,1.55825,-28.0415
2.64801,1.57129,-27.7503
2.66105,1.1539,-27.7957
2.66105,1.16694,-27.4594
2.66105,1.17999,-27.1463
2.66105,1.19303,-27.1596
2.66105,1.20607,-27.3775
2.66105,1.21912,-27.5616
2.66105,1.23216,-27.2098
2.66105,1.2452,-27.7333
2.66105,1.25825,-28.238
2.66105,1.27129,-28.6971
2.66105,1.28433,-30.4376
2.66105,1.29738,-29.7983
2.66105,1.31042,-32.2536
2.66105,1.32347,-33.1278
2.66105,1.33651,-35.7681
2.66105,1.34955,-35.0343
2.66105,1.3626,-38.4008
2.66105,1.37564,-40.1001
2.66105,1.38868,-37.2747
2.66105,1.40173,-36.9855
2.66105,1.41477,-36.9852
2.66105,1.42781,-34.9815
2.66105,1.44086,-36.7301
2.66105,1.4539,-33.1106
2.66105,1.46694,-32.2151
2.66105,1.47999,-31.75
2.66105,1.49303,-29.2926
2.66105,1.50607,-29.8333
2.66105,1.51912,-28.4397
2.66105,1.53216,-29.0583
2.66105,1.55825,-27.6648
2.66105,1.57129,-27.2728
2.66105,1.58433,-27.6063
2.66105,1.59738,-27.6632
2.66105,1.61042,-27.7735
2.66105,1.62347,-27.8919
2.66105,1.63651,-28.4196
2.66105,1.64955,-28.5672
2.66105,1.6626,-29.159
2.66105,1.68868,-31.305
2.66105,1.70173,-32.1825
2.66105,1.71477,-34.005
2.66105,1.72781,-36.0984
2.66105,1.74086,-36.745
2.66105,1.7539,-37.8382
2.66105,1.76694,-38.6112
2.66105,1.77999,-40.2041
2.66105,1.79303,-38.8627
2.66105,1.80607,-36.5617
2.66105,1.81912,-36.7928
2.66105,1.83216,-34.7882
2.66105,1.85825,-31.1547
2.66105,1.87129,-30.1516
2.66105,1.88433,-28.8758
2.66105,1.89738,-27.8198
2.66105,1.91042,-26.9074
2.66105,1.92347,-26.5874
2.66105,1.93651,-26.6311
2.66105,1.94955,-26.0448
2.66105,1.9626,-25.7307
2.66105,1.97564,-25.5796
2.6741,1.1539,-28.8171
2.6741,1.16694,-27.9613
2.6741,1.17999,-28.0414
2.6741,1.19303,-27.5818
2.6741,1.20607,-30.7732
2.6741,1.23216,-28.0005
2.6741,1.25825,-27.5997
2.6741,1.28433,-31.5204
2.6741,1.32347,-35.8587
2.6741,1.33651,-41.1737
2.6741,1.37564,-46.5467
2.6741,1.38868,-36.4157
2.6741,1.42781,-35.0098
2.6741,1.4539,-32.7763
2.6741,1.46694,-34.9609
2.6741,1.47999,-31.2305
2.6741,1.51912,-28.4061
2.6741,1.53216,-28.2638
2.6741,1.5452,-27.6298
2.6741,1.55825,-26.6332
2.6741,1.57129,-26.6109
2.6741,1.58433,-26.1365
2.6741,1.59738,-25.9657
2.6741,1.61042,-25.9604
2.6741,1.62347,-26.0662
2.6741,1.63651,-26.4727
2.6741,1.64955,-26.8751
2.6741,1.6626,-27.3642
2.6741,1.67564,-28.0262
2.6741,1.68868,-29.0637
2.6741,1.70173,-30.461
2.6741,1.71477,-31.6491
2.6741,1.72781,-33.9959
2.6741,1.74086,-34.9019
2.6741,1.7539,-37.4538
2.6741,1.76694,-38.9259
2.6741,1.77999,-40.3671
2.6741,1.79303,-40.4798
2.6741,1.80607,-37.8598
2.6741,1.81912,-39.2076
2.6741,1.83216,-35.7859
2.6741,1.8452,-35.5663
2.6741,1.85825,-33.8103
2.6741,1.87129,-32.4701
2.6741,1.88433,-31.0176
2.6741,1.89738,-30.1141
2.6741,1.91042,-28.9085
2.6741,1.92347,-27.2792
2.6741,1.93651,-26.6234
2.6741,1.98868,-25.9212
2.6741,2.00173,-25.4197
2.6741,2.01477,-25.3887
2.6741,2.02781,-25.7557
2.6741,2.04086,-25.9149
2.6741,2.0539,-25.8279
2.6741,2.06694,-25.8127
2.6741,2.09303,-26.4341
2.6741,2.10607,-26.2829
2.6741,2.11912,-26.157
2.6741,2.13216,-25.8543
2.6741,2.1452,-25.9848
2.6741,2.15825,-25.9153
2.6741,2.17129,-26.1357
2.6741,2.18433,-26.3048
2.6741,2.19738,-26.4735
2.6741,2.21042,-27.1959
2.6741,2.22347,-27.7173
2.6741,2.23651,-29.597
2.6741,2.2626,-34.2823
2.6741,2.27564,-37.8248
2.6741,2.28868,-37.8474
2.6741,2.30173,-38.9973
2.6741,2.31477,-37.8288
2.6741,2.32781,-33.0535
2.6741,2.34086,-29.5791
2.6741,2.3539,-28.3739
2.6741,2.36694,-26.8694
2.68714,1.1539,-29.6158
2.68714,1.16694,-29.6038
2.68714,1.17999,-29.304
2.68714,1.19303,-28.6682
2.68714,1.20607,-29.3052
2.68714,1.21912,-28.6045
2.68714,1.23216,-28.8171
2.68714,1.2452,-29.3105
2.68714,1.25825,-29.651
2.68714,1.27129,-30.4217
2.68714,1.28433,-31.7602
2.68714,1.29738,-33.1537
2.68714,1.31042,-33.5573
2.68714,1.32347,-38.6034
2.68714,1.33651,-40.6583
2.68714,1.34955,-40.4645
2.68714,1.3626,-46.1328
2.68714,1.37564,-44.3681
2.68714,1.38868,-40.4345
2.68714,1.40173,-37.1631
2.68714,1.41477,-36.3067
2.68714,1.42781,-34.299
2.68714,1.44086,-32.4254
2.68714,1.4539,-31.6041
2.68714,1.46694,-30.9556
2.68714,1.47999,-29.6637
2.68714,1.49303,-29.2533
2.68714,1.50607,-28.4392
2.68714,1.51912,-27.9503
2.68714,1.53216,-27.8469
2.68714,1.5452,-27.4441
2.68714,1.55825,-26.8466
2.68714,1.57129,-26.5548
2.68714,1.58433,-26.4016
2.68714,1.59738,-26.3873
2.68714,1.61042,-26.3738
2.68714,1.62347,-26.6589
2.68714,1.63651,-26.6046
2.68714,1.64955,-27.2002
2.68714,1.6626,-27.356
2.68714,1.67564,-28.4609
2.68714,1.68868,-28.3687
2.68714,1.70173,-29.0754
2.68714,1.71477,-31.6302
2.68714,1.72781,-31.6128
2.68714,1.74086,-32.9993
2.68714,1.7539,-32.7111
2.68714,1.76694,-35.1085
2.68714,1.77999,-39.0352
2.68714,1.79303,-39.2499
2.68714,1.80607,-43.0193
2.68714,1.81912,-42.7547
2.68714,1.83216,-39.3393
2.68714,1.8452,-42.5801
2.68714,1.85825,-39.3333
2.68714,1.87129,-36.1087
2.68714,1.88433,-33.7859
2.68714,1.89738,-31.9911
2.68714,1.91042,-30.8858
2.68714,1.92347,-28.2685
2.68714,1.93651,-28.2304
2.68714,1.94955,-27.2982
2.68714,1.9626,-26.9157
2.68714,1.97564,-26.9692
2.68714,1.98868,-26.8614
2.68714,2.00173,-26.4596
2.68714,2.01477,-26.634
2.68714,2.02781,-26.7347
2.68714,2.04086,-26.9427
2.68714,2.0539,-26.8632
2.68714,2.06694,-26.6595
2.68714,2.07999,-27.2426
2.68714,2.09303,-27.0251
2.68714,2.10607,-26.9037
2.68714,2.11912,-26.4763
2.68714,2.13216,-26.0526
2.68714,2.1452,-26.4464
2.68714,2.15825,-26.0584
2.68714,2.17129,-26.3384
2.68714,2.18433,-26.2299
2.68714,2.19738,-26.9067
2.68714,2.21042,-27.4
2.68714,2.22347,-28.7825
2.68714,2.23651,-29.6136
2.68714,2.24955,-31.1004
2.68714,2.2626,-32.6086
2.68714,2.27564,-35.2798
2.68714,2.28868,-37.6751
2.68714,2.30173,-38.6287
2.68714,2.31477,-35.347
2.68714,2.32781,-32.3216
2.68714,2.34086,-29.4264
2.68714,2.3539,-28.3808
2.68714,2.36694,-26.4308
2.70019,1.1539,-30.3526
2.70019,1.16694,-30.188
2.70019,1.17999,-29.6114
2.70019,1.19303,-28.7067
2.70019,1.20607,-29.9872
2.70019,1.21912,-29.3672
2.70019,1.23216,-29.7869
2.70019,1.2452,-30.8089
2.70019,1.25825,-30.9535
2.70019,1.27129,-32.244
2.70019,1.28433,-33.673
2.70019,1.29738,-33.0623
2.70019,1.31042,-34.036
2.70019,1.32347,-40.0246
2.70019,1.33651,-40.7426
2.70019,1.34955,-41.7868
2.70019,1.3626,-40.3263
2.70019,1.37564,-40.3597
2.70019,1.38868,-37.4576
2.70019,1.40173,-34.8465
2.70019,1.42781,-32.9369
2.70019,1.44086,-31.7082
2.70019,1.4539,-30.7933
2.70019,1.46694,-30.2413
2.70019,1.47999,-29.4345
2.70019,1.49303,-28.5597
2.70019,1.50607,-27.7741
2.70019,1.51912,-27.7529
2.70019,1.53216,-27.3084
2.70019,1.5452,-27.1468
