x,y,z
2.65068,1.19699,1.5367
2.65068,1.21003,1.57934
2.65068,1.22308,1.77278
2.65068,1.23612,2.1701
2.65068,1.24916,2.06585
2.65068,1.26221,2.02803
2.65068,1.28829,1.54522
2.65068,1.30134,1.33414
2.65068,1.32742,0.669592
2.65068,1.34047,0.571983
2.65068,1.35351,0.513444
2.65068,1.36655,0.477658
2.65068,1.3796,0.660815
2.66372,1.15786,0.822144
2.66372,1.1709,0.858189
2.66372,1.18395,1.12426
2.66372,1.19699,1.36808
2.66372,1.21003,1.4818
2.66372,1.22308,1.73759
2.66372,1.23612,1.64305
2.66372,1.24916,1.75982
2.66372,1.26221,1.7872
2.66372,1.28829,1.08499
2.66372,1.30134,0.8568
2.66372,1.32742,0.360464
2.66372,1.35351,0.505982
2.66372,1.36655,0.428622
2.66372,1.3796,0.656157
2.66372,1.39264,0.894433
2.66372,1.41873,1.48459
2.66372,1.43177,1.82066
2.66372,1.45786,2.21248
2.66372,1.4709,2.32998
2.66372,1.48395,2.46484
2.66372,1.49699,2.98905
2.66372,1.51003,2.8846
2.66372,1.52308,2.98671
2.66372,1.53612,3.05793
2.66372,1.54916,2.99879
2.66372,1.56221,2.9896
2.66372,1.58829,3.06896
2.66372,1.60134,2.78032
2.66372,1.62742,2.67533
2.66372,1.64047,2.45808
2.66372,1.65351,2.33165
2.66372,1.66655,2.01455
2.66372,1.6796,1.86014
2.66372,1.69264,1.75473
2.66372,1.70568,1.37886
2.66372,1.71873,1.26207
2.66372,1.73177,1.12646
2.66372,1.75786,0.996467
2.66372,1.7709,0.872556
2.66372,1.79699,0.684259
2.66372,1.81003,0.644948
2.66372,1.82308,0.633933
2.66372,1.83612,0.543425
2.66372,1.86221,0.55079
2.66372,1.88829,0.514491
2.66372,1.90134,0.54009
2.67677,1.15786,0.896752
2.67677,1.1709,1.12786
2.67677,1.18395,1.30595
2.67677,1.19699,1.40066
2.67677,1.21003,1.5034
2.67677,1.22308,1.68772
2.67677,1.23612,1.58844
2.67677,1.24916,1.55303
2.67677,1.26221,1.39632
2.67677,1.27525,1.0742
2.67677,1.28829,0.974562
2.67677,1.30134,0.697783
2.67677,1.31438,0.509999
2.67677,1.32742,0.343453
2.67677,1.34047,0.287371
2.67677,1.35351,0.285132
2.67677,1.36655,0.221601
2.67677,1.3796,0.272952
2.67677,1.39264,0.589371
2.67677,1.40568,0.642468
2.67677,1.41873,1.08674
2.67677,1.43177,1.35904
2.67677,1.44482,1.72285
2.67677,1.45786,1.9451
2.67677,1.4709,2.51402
2.67677,1.48395,2.41505
2.67677,1.49699,2.83534
2.67677,1.51003,3.17406
2.67677,1.52308,3.38322
2.67677,1.53612,3.43113
2.67677,1.54916,3.5811
2.67677,1.56221,3.54359
2.67677,1.57525,3.79132
2.67677,1.58829,3.77942
2.67677,1.60134,3.62365
2.67677,1.61438,3.45363
2.67677,1.62742,3.43371
2.67677,1.64047,3.19512
2.67677,1.65351,2.92443
2.67677,1.66655,2.55358
2.67677,1.6796,2.20623
2.67677,1.69264,2.03096
2.67677,1.70568,1.85647
2.67677,1.71873,1.61751
2.67677,1.73177,1.33283
2.67677,1.74482,1.19592
2.67677,1.75786,1.0692
2.67677,1.7709,0.868087
2.67677,1.78395,0.745414
2.67677,1.79699,0.707914
2.67677,1.81003,0.639933
2.67677,1.82308,0.600208
2.67677,1.83612,0.538289
2.67677,1.84916,0.535597
2.67677,1.86221,0.54265
2.67677,1.87525,0.554595
2.67677,1.88829,0.547897
2.67677,1.90134,0.591283
2.67677,1.91438,0.735944
2.67677,1.92742,0.767836
2.67677,1.94047,0.826674
2.67677,1.95351,0.899889
2.67677,1.96655,0.91541
2.67677,1.9796,0.955701
2.67677,1.99264,1.08645
2.67677,2.00568,1.206
2.67677,2.01873,0.99004
2.67677,2.03177,1.18864
2.67677,2.04482,1.08812
2.68981,1.14482,0.881586
2.68981,1.15786,0.974677
2.68981,1.1709,1.21452
2.68981,1.18395,1.31676
2.68981,1.19699,1.40148
2.68981,1.21003,1.57909
2.68981,1.22308,1.61092
2.68981,1.23612,1.5163
2.68981,1.24916,1.43369
2.68981,1.26221,1.34012
2.68981,1.27525,1.06007
2.68981,1.28829,0.863863
2.68981,1.30134,0.555512
2.68981,1.31438,0.324519
2.68981,1.32742,0.225187
2.68981,1.34047,0.153266
2.68981,1.35351,0.211225
2.68981,1.36655,0.243158
2.68981,1.3796,0.294934
2.68981,1.39264,0.671459
2.68981,1.40568,0.498355
2.68981,1.41873,1.13426
2.68981,1.43177,1.3909
2.68981,1.44482,1.82557
2.68981,1.45786,2.0372
2.68981,1.4709,2.54028
2.68981,1.48395,2.59919
2.68981,1.49699,2.92296
2.68981,1.51003,3.28812
2.68981,1.52308,3.54007
2.68981,1.53612,3.74767
2.68981,1.54916,3.87295
2.68981,1.56221,3.74791
2.68981,1.57525,3.9124
2.68981,1.58829,3.81582
2.68981,1.60134,3.60197
2.68981,1.61438,3.53349
2.68981,1.62742,3.43879
2.68981,1.64047,2.97532
2.68981,1.65351,2.91763
2.68981,1.66655,2.5869
2.68981,1.6796,2.32128
2.68981,1.69264,2.01835
2.68981,1.70568,1.72965
2.68981,1.71873,1.3762
2.68981,1.73177,1.25447
2.68981,1.74482,1.03515
2.68981,1.75786,1.01841
2.68981,1.7709,0.832283
2.68981,1.78395,0.674851
2.68981,1.79699,0.710371
2.68981,1.81003,0.632473
2.68981,1.82308,0.604048
2.68981,1.83612,0.545042
2.68981,1.84916,0.469021
2.68981,1.86221,0.506546
2.68981,1.87525,0.58248
2.68981,1.88829,0.500487
2.68981,1.90134,0.501923
2.68981,1.91438,0.746527
2.68981,1.92742,0.773464
2.68981,1.94047,0.731873
2.68981,1.95351,0.710959
2.68981,1.96655,1.02434
2.68981,1.9796,1.12553
2.68981,1.99264,0.861239
2.68981,2.00568,1.17305
2.68981,2.01873,1.09255
2.68981,2.03177,1.20862
2.68981,2.04482,1.17707
2.68981,2.05786,1.12197
2.68981,2.0709,0.954493
2.68981,2.08395,1.13977
2.68981,2.09699,1.01037
2.68981,2.11003,1.11589
2.68981,2.12308,1.10859
2.68981,2.13612,0.87745
2.68981,2.14916,0.960557
2.68981,2.16221,0.909338
2.68981,2.17525,0.940634
2.68981,2.18829,0.606815
2.68981,2.20134,0.484663
2.68981,2.21438,0.206
2.68981,2.22742,0.26576
2.68981,2.24047,0.19372
2.68981,2.25351,0.165938
2.68981,2.26655,0.0411412
2.68981,2.2796,0.136367
2.68981,2.29264,0.229592
2.68981,2.30568,0.462676
2.68981,2.31873,0.76945
2.68981,2.33177,1.12558
2.68981,2.34482,1.55789
2.68981,2.35786,2.08274
2.70285,1.14482,0.810284
2.70285,1.15786,0.884545
2.70285,1.1709,0.976805
2.70285,1.18395,1.31196
2.70285,1.19699,1.13591
2.70285,1.21003,1.29767
2.70285,1.22308,1.28251
2.70285,1.23612,0.843378
2.70285,1.24916,1.19435
2.70285,1.26221,0.778757
