x,y,z
2.65068,1.19699,-28.1341
2.65068,1.21003,-28.0152
2.65068,1.22308,-27.5135
2.65068,1.23612,-26.6352
2.65068,1.24916,-26.849
2.65068,1.26221,-26.9292
2.65068,1.28829,-28.1101
2.65068,1.30134,-28.748
2.65068,1.32742,-31.7419
2.65068,1.34047,-32.4262
2.65068,1.35351,-32.8951
2.65068,1.36655,-33.2088
2.65068,1.3796,-31.7992
2.66372,1.15786,-30.8505
2.66372,1.1709,-30.6642
2.66372,1.18395,-29.4913
2.66372,1.19699,-28.6389
2.66372,1.21003,-28.2921
2.66372,1.22308,-27.6005
2.66372,1.23612,-27.8435
2.66372,1.24916,-27.5453
2.66372,1.26221,-27.4783
2.66372,1.28829,-29.6457
2.66372,1.30134,-30.6712
2.66372,1.32742,-34.4314
2.66372,1.35351,-32.9587
2.66372,1.36655,-33.6793
2.66372,1.3796,-31.8299
2.66372,1.39264,-30.4845
2.66372,1.41873,-28.2839
2.66372,1.43177,-27.3977
2.66372,1.45786,-26.5512
2.66372,1.4709,-26.3265
2.66372,1.48395,-26.0821
2.66372,1.49699,-25.2447
2.66372,1.51003,-25.3991
2.66372,1.52308,-25.2481
2.66372,1.53612,-25.1457
2.66372,1.54916,-25.2305
2.66372,1.56221,-25.2439
2.66372,1.58829,-25.1301
2.66372,1.60134,-25.5591
2.66372,1.62742,-25.7262
2.66372,1.64047,-26.094
2.66372,1.65351,-26.3234
2.66372,1.66655,-26.9582
2.66372,1.6796,-27.3045
2.66372,1.69264,-27.5579
2.66372,1.70568,-28.6048
2.66372,1.71873,-28.9892
2.66372,1.73177,-29.4828
2.66372,1.75786,-30.0154
2.66372,1.7709,-30.5921
2.66372,1.79699,-31.6478
2.66372,1.81003,-31.9048
2.66372,1.82308,-31.9796
2.66372,1.83612,-32.6486
2.66372,1.86221,-32.5901
2.66372,1.88829,-32.8862
2.66372,1.90134,-32.6753
2.67677,1.15786,-30.4733
2.67677,1.1709,-29.4774
2.67677,1.18395,-28.8407
2.67677,1.19699,-28.5367
2.67677,1.21003,-28.2293
2.67677,1.22308,-27.727
2.67677,1.23612,-27.9903
2.67677,1.24916,-28.0882
2.67677,1.26221,-28.5501
2.67677,1.27525,-29.6892
2.67677,1.28829,-30.1119
2.67677,1.30134,-31.5628
2.67677,1.31438,-32.9243
2.67677,1.32742,-34.6413
2.67677,1.34047,-35.4156
2.67677,1.35351,-35.4495
2.67677,1.36655,-36.5443
2.67677,1.3796,-35.6391
2.67677,1.39264,-32.2961
2.67677,1.40568,-31.9215
2.67677,1.41873,-29.6388
2.67677,1.43177,-28.6677
2.67677,1.44482,-27.6375
