x,y,z
2.6254,1.1365,2.72071
2.6254,1.14954,2.77209
2.6254,1.16259,3.07261
2.6254,1.17563,3.72204
2.6254,1.18867,3.82291
2.6254,1.20172,3.80803
2.6254,1.21476,4.04729
2.6254,1.2278,4.02365
2.6254,1.24085,3.85912
2.6254,1.25389,3.62999
2.6254,1.26693,3.01514
2.6254,1.27998,3.06377
2.6254,1.29302,2.47354
2.6254,1.30607,2.0428
2.6254,1.31911,1.60682
2.6254,1.33215,1.31985
2.6254,1.35824,0.99711
2.6254,1.37128,0.763191
2.6254,1.38433,0.779958
2.6254,1.39737,0.775816
2.6254,1.41041,0.792026
2.6254,1.42346,0.863952
2.63844,1.1365,2.79347
2.63844,1.14954,4.13592
2.63844,1.16259,3.34985
2.63844,1.17563,3.8977
2.63844,1.18867,4.67677
2.63844,1.20172,3.98671
2.63844,1.21476,4.22738
2.63844,1.2278,4.52064
2.63844,1.24085,3.92129
2.63844,1.25389,3.41571
2.63844,1.26693,3.04457
2.63844,1.27998,2.54354
2.63844,1.29302,2.19887
2.63844,1.30607,1.72396
2.63844,1.31911,1.36485
2.63844,1.33215,1.22014
2.63844,1.3452,0.846609
2.63844,1.35824,0.709927
2.63844,1.37128,0.702798
2.63844,1.38433,0.563473
2.63844,1.39737,0.61582
2.63844,1.41041,0.763949
2.63844,1.42346,0.768732
2.63844,1.4365,0.879078
2.63844,1.44954,1.07948
2.63844,1.46259,1.10865
2.63844,1.47563,1.27345
2.63844,1.48867,1.45895
2.63844,1.50172,1.65405
2.63844,1.51476,1.8081
2.63844,1.5278,2.07513
2.63844,1.54085,1.93527
2.63844,1.55389,1.91848
2.63844,1.56693,2.02844
2.63844,1.57998,1.77243
2.63844,1.59302,1.77695
2.63844,1.60607,1.73921
2.63844,1.61911,1.61049
2.63844,1.63215,1.48422
2.63844,1.6452,1.41587
2.65149,1.1365,2.93251
2.65149,1.14954,4.10408
2.65149,1.16259,3.35874
2.65149,1.17563,4.04055
2.65149,1.18867,4.696
2.65149,1.20172,4.04058
2.65149,1.21476,4.22992
2.65149,1.2278,4.09785
2.65149,1.24085,3.76721
2.65149,1.25389,3.24124
2.65149,1.26693,3.06303
2.65149,1.27998,2.4303
2.65149,1.29302,2.05218
2.65149,1.30607,1.58445
2.65149,1.31911,1.18787
2.65149,1.33215,0.971181
2.65149,1.3452,0.658543
2.65149,1.35824,0.589298
2.65149,1.37128,0.534884
2.65149,1.38433,0.452302
2.65149,1.39737,0.600155
