x,y,z
2.6254,1.1365,-25.6532
2.6254,1.14954,-25.5719
2.6254,1.16259,-25.1249
2.6254,1.17563,-24.2922
2.6254,1.18867,-24.1761
2.6254,1.20172,-24.193
2.6254,1.21476,-23.9284
2.6254,1.2278,-23.9538
2.6254,1.24085,-24.1351
2.6254,1.25389,-24.4009
2.6254,1.26693,-25.2069
2.6254,1.27998,-25.1374
2.6254,1.29302,-26.0668
2.6254,1.30607,-26.8977
2.6254,1.31911,-27.9403
2.6254,1.33215,-28.7948
2.6254,1.35824,-30.0126
2.6254,1.37128,-31.1737
2.6254,1.38433,-31.0793
2.6254,1.39737,-31.1024
2.6254,1.41041,-31.0126
2.6254,1.42346,-30.6351
2.63844,1.1365,-25.5386
2.63844,1.14954,-23.8343
2.63844,1.16259,-24.7498
2.63844,1.17563,-24.0919
2.63844,1.18867,-23.3005
2.63844,1.20172,-23.9939
2.63844,1.21476,-23.7393
2.63844,1.2278,-23.448
2.63844,1.24085,-24.0657
2.63844,1.25389,-24.6652
2.63844,1.26693,-25.1647
2.63844,1.27998,-25.9456
2.63844,1.29302,-26.578
2.63844,1.30607,-27.6347
2.63844,1.31911,-28.6492
2.63844,1.33215,-29.1359
2.63844,1.3452,-30.7232
2.63844,1.35824,-31.4879
2.63844,1.37128,-31.5317
2.63844,1.38433,-32.4913
2.63844,1.39737,-32.1055
2.63844,1.41041,-31.1694
2.63844,1.42346,-31.1423
2.63844,1.4365,-30.5597
2.63844,1.44954,-29.6679
2.63844,1.46259,-29.552
2.63844,1.47563,-28.9502
2.63844,1.48867,-28.3596
2.63844,1.50172,-27.8145
2.63844,1.51476,-27.4278
2.63844,1.5278,-26.8296
2.63844,1.54085,-27.1326
2.63844,1.55389,-27.1704
2.63844,1.56693,-26.9284
2.63844,1.57998,-27.5143
2.63844,1.59302,-27.5033
2.63844,1.60607,-27.5965
2.63844,1.61911,-27.9304
2.63844,1.63215,-28.285
2.63844,1.6452,-28.4898
2.65149,1.1365,-25.3276
2.65149,1.14954,-23.8678
2.65149,1.16259,-24.7382
2.65149,1.17563,-23.9356
2.65149,1.18867,-23.2827
2.65149,1.20172,-23.9356
2.65149,1.21476,-23.7367
2.65149,1.2278,-23.8744
2.65149,1.24085,-24.2398
2.65149,1.25389,-24.8929
2.65149,1.26693,-25.1385
2.65149,1.27998,-26.1434
2.65149,1.29302,-26.8779
2.65149,1.30607,-28.0012
2.65149,1.31911,-29.2523
2.65149,1.33215,-30.127
2.65149,1.3452,-31.8142
2.65149,1.35824,-32.2967
2.65149,1.37128,-32.7174
2.65149,1.38433,-33.4457
2.65149,1.39737,-32.2174
2.65149,1.41041,-31.7408
2.65149,1.42346,-31.0036
2.65149,1.4365,-30.1167
2.65149,1.44954,-29.0693
2.65149,1.46259,-28.8129
2.65149,1.47563,-28.1376
2.65149,1.48867,-27.7509
