x,y,z
2.72574,1.1423,0.64068
2.72574,1.15534,0.509225
2.72574,1.16839,0.423527
2.72574,1.18143,0.391652
2.72574,1.19447,0.311121
2.72574,1.20752,0.236756
2.72574,1.22056,0.243029
2.72574,1.2336,0.185475
2.72574,1.24665,0.180924
2.72574,1.25969,0.276281
2.72574,1.27273,0.325579
2.72574,1.28578,0.473301
2.72574,1.29882,0.822516
2.72574,1.31186,0.972443
2.72574,1.32491,1.36769
2.72574,1.33795,1.57059
2.72574,1.35099,2.02633
2.72574,1.36404,2.49471
2.72574,1.37708,2.99987
2.72574,1.39013,3.36636
2.72574,1.40317,3.86641
2.72574,1.41621,4.11006
2.72574,1.42926,4.65663
2.72574,1.4423,4.96268
2.72574,1.45534,5.42464
2.72574,1.46839,5.77095
2.72574,1.48143,6.14065
2.72574,1.49447,6.45554
2.72574,1.50752,6.68019
2.72574,1.52056,6.71055
2.72574,1.5336,6.95628
2.72574,1.54665,6.73631
2.72574,1.55969,6.62404
2.72574,1.57273,6.37009
2.72574,1.58578,6.12637
2.72574,1.59882,6.00996
2.72574,1.61186,5.68442
2.72574,1.62491,5.58213
2.72574,1.63795,5.09874
2.72574,1.65099,4.73792
2.72574,1.66404,4.44268
2.72574,1.67708,3.66373
2.72574,1.69013,3.01992
2.72574,1.70317,2.44627
2.72574,1.71621,2.03468
2.72574,1.72926,1.90878
2.72574,1.7423,1.47623
2.72574,1.75534,1.36071
2.72574,1.76839,1.53379
2.72574,1.78143,1.64894
2.72574,1.79447,2.11793
2.72574,1.80752,2.42108
2.72574,1.82056,2.73653
2.72574,1.8336,3.44086
2.72574,1.84665,4.00452
2.72574,1.85969,4.41305
2.72574,1.87273,4.69039
2.72574,1.88578,4.51871
2.72574,1.89882,4.36871
2.72574,1.91186,4.09446
2.72574,1.92491,4.21463
2.72574,1.93795,3.79829
2.72574,1.95099,2.94877
2.72574,1.96404,2.82352
2.72574,1.97708,1.89621
2.72574,1.99013,1.46416
2.72574,2.00317,1.14183
2.72574,2.01621,0.829322
2.72574,2.02926,0.626951
2.72574,2.0423,0.636929
2.72574,2.05534,0.708897
2.72574,2.06839,0.836855
2.72574,2.08143,1.01797
2.72574,2.09447,1.09477
2.72574,2.10752,1.37071
2.72574,2.12056,1.52005
2.72574,2.1336,1.61701
2.72574,2.14665,1.76228
2.72574,2.15969,1.7764
2.72574,2.17273,1.88744
2.72574,2.18578,1.82769
2.72574,2.19882,1.88452
2.72574,2.21186,1.97484
2.72574,2.22491,1.96821
2.72574,2.23795,2.03568
2.72574,2.25099,2.23388
2.72574,2.26404,2.36561
2.72574,2.27708,2.59961
2.72574,2.29013,2.91073
2.72574,2.30317,3.12876
2.72574,2.31621,3.31579
2.72574,2.32926,3.5499
2.72574,2.3423,3.78964
2.72574,2.35534,3.80927
2.73878,1.1423,0.923352
2.73878,1.15534,0.766656
2.73878,1.16839,0.611577
2.73878,1.18143,0.579462
2.73878,1.19447,0.501811
2.73878,1.20752,0.364291
2.73878,1.22056,0.388416
2.73878,1.2336,0.30146
2.73878,1.24665,0.27532
2.73878,1.25969,0.350328
2.73878,1.27273,0.411548
2.73878,1.28578,0.555159
2.73878,1.29882,0.752311
2.73878,1.31186,1.00135
2.73878,1.32491,1.36943
2.73878,1.33795,1.8202
2.73878,1.35099,2.12324
2.73878,1.36404,2.36417
2.73878,1.37708,2.9424
2.73878,1.39013,3.14933
2.73878,1.40317,3.65576
2.73878,1.41621,4.05393
2.73878,1.42926,4.57334
2.73878,1.4423,4.60842
2.73878,1.45534,5.20221
2.73878,1.46839,5.67435
2.73878,1.48143,5.86693
2.73878,1.49447,6.34887
2.73878,1.50752,6.44242
2.73878,1.52056,6.61073
2.73878,1.5336,6.79784
2.73878,1.54665,6.71299
2.73878,1.55969,6.57477
2.73878,1.57273,6.47136
2.73878,1.58578,6.18474
2.73878,1.59882,5.87965
2.73878,1.61186,6.01311
2.73878,1.62491,5.35294
2.73878,1.63795,5.26734
2.73878,1.65099,4.90419
2.73878,1.66404,4.55483
2.73878,1.67708,4.17768
2.73878,1.69013,3.53646
2.73878,1.70317,3.05981
2.73878,1.71621,2.61708
2.73878,1.72926,2.08403
2.73878,1.7423,1.74241
2.73878,1.75534,1.63626
2.73878,1.76839,1.71781
2.73878,1.78143,1.66712
2.73878,1.79447,1.90804
2.73878,1.80752,2.20082
2.73878,1.82056,2.40568
2.73878,1.8336,2.61012
2.73878,1.84665,2.85465
2.73878,1.85969,3.20202
2.73878,1.87273,3.34373
2.73878,1.88578,3.16713
