x,y,z
2.72574,1.1423,-31.9336
2.72574,1.15534,-32.9309
2.72574,1.16839,-33.7312
2.72574,1.18143,-34.071
2.72574,1.19447,-35.0707
2.72574,1.20752,-36.257
2.72574,1.22056,-36.1434
2.72574,1.2336,-37.3172
2.72574,1.24665,-37.425
2.72574,1.25969,-35.5865
2.72574,1.27273,-34.8734
2.72574,1.28578,-33.2486
2.72574,1.29882,-30.8486
2.72574,1.31186,-30.1214
2.72574,1.32491,-28.6401
2.72574,1.33795,-28.0394
2.72574,1.35099,-26.9329
2.72574,1.36404,-26.0298
2.72574,1.37708,-25.229
2.72574,1.39013,-24.7284
2.72574,1.40317,-24.1269
2.72574,1.41621,-23.8615
2.72574,1.42926,-23.3193
2.72574,1.4423,-23.0428
2.72574,1.45534,-22.6563
2.72574,1.46839,-22.3875
2.72574,1.48143,-22.1179
2.72574,1.49447,-21.9007
2.72574,1.50752,-21.7521
2.72574,1.52056,-21.7324
2.72574,1.5336,-21.5762
2.72574,1.54665,-21.7158
2.72574,1.55969,-21.7888
2.72574,1.57273,-21.9585
2.72574,1.58578,-22.128
2.72574,1.59882,-22.2113
2.72574,1.61186,-22.4531
2.72574,1.62491,-22.532
2.72574,1.63795,-22.9254
2.72574,1.65099,-23.2441
2.72574,1.66404,-23.5236
2.72574,1.67708,-24.3608
2.72574,1.69013,-25.2
2.72574,1.70317,-26.115
2.72574,1.71621,-26.915
2.72574,1.72926,-27.1924
2.72574,1.7423,-28.3085
2.72574,1.75534,-28.6623
2.72574,1.76839,-28.1423
2.72574,1.78143,-27.8279
2.72574,1.79447,-26.7409
2.72574,1.80752,-26.1599
2.72574,1.82056,-25.628
2.72574,1.8336,-24.6333
2.72574,1.84665,-23.9745
2.72574,1.85969,-23.5526
2.72574,1.87273,-23.2879
2.72574,1.88578,-23.4499
2.72574,1.89882,-23.5965
2.72574,1.91186,-23.878
2.72574,1.92491,-23.7524
2.72574,1.93795,-24.2041
2.72574,1.95099,-25.3036
2.72574,1.96404,-25.4921
2.72574,1.97708,-27.2211
2.72574,1.99013,-28.3441
2.72574,2.00317,-29.424
2.72574,2.01621,-30.8128
2.72574,2.02926,-32.0277
2.72574,2.0423,-31.9591
2.72574,2.05534,-31.4942
2.72574,2.06839,-30.7735
2.72574,2.08143,-29.9227
2.72574,2.09447,-29.6068
2.72574,2.10752,-28.6305
2.72574,2.12056,-28.1814
2.72574,2.1336,-27.9129
2.72574,2.14665,-27.5392
2.72574,2.15969,-27.5046
2.72574,2.17273,-27.2413
2.72574,2.18578,-27.381
2.72574,2.19882,-27.248
2.72574,2.21186,-27.0447
2.72574,2.22491,-27.0593
2.72574,2.23795,-26.9129
2.72574,2.25099,-26.5094
2.72574,2.26404,-26.2606
2.72574,2.27708,-25.8509
2.72574,2.29013,-25.36
2.72574,2.30317,-25.0463
2.72574,2.31621,-24.7941
2.72574,2.32926,-24.4978
2.72574,2.3423,-24.214
2.72574,2.35534,-24.1916
2.73878,1.1423,-30.3463
2.73878,1.15534,-31.154
2.73878,1.16839,-32.1355
2.73878,1.18143,-32.3697
2.73878,1.19447,-32.9946
2.73878,1.20752,-34.3855
2.73878,1.22056,-34.107
2.73878,1.2336,-35.2077
2.73878,1.24665,-35.6016
2.73878,1.25969,-34.5553
2.73878,1.27273,-33.8558
2.73878,1.28578,-32.5558
2.73878,1.29882,-31.236
2.73878,1.31186,-29.9941
2.73878,1.32491,-28.6346
2.73878,1.33795,-27.3988
2.73878,1.35099,-26.73
2.73878,1.36404,-26.2632
2.73878,1.37708,-25.313
2.73878,1.39013,-25.0178
2.73878,1.40317,-24.3702
2.73878,1.41621,-23.9212
2.73878,1.42926,-23.3977
2.73878,1.4423,-23.3645
2.73878,1.45534,-22.8381
2.73878,1.46839,-22.4608
2.73878,1.48143,-22.3159
2.73878,1.49447,-21.973
2.73878,1.50752,-21.9095
2.73878,1.52056,-21.7975
2.73878,1.5336,-21.6763
2.73878,1.54665,-21.7308
2.73878,1.55969,-21.8212
2.73878,1.57273,-21.89
2.73878,1.58578,-22.0868
2.73878,1.59882,-22.3065
2.73878,1.61186,-22.209
2.73878,1.62491,-22.7141
2.73878,1.63795,-22.7841
2.73878,1.65099,-23.0943
2.73878,1.66404,-23.4153
2.73878,1.67708,-23.7906
2.73878,1.69013,-24.5143
2.73878,1.70317,-25.1431
2.73878,1.71621,-25.8218
2.73878,1.72926,-26.811
2.73878,1.7423,-27.5885
2.73878,1.75534,-27.8615
2.73878,1.76839,-27.6502
2.73878,1.78143,-27.7803
2.73878,1.79447,-27.1941
2.73878,1.80752,-26.5741
2.73878,1.82056,-26.1876
2.73878,1.8336,-25.8334
2.73878,1.84665,-25.4445
2.73878,1.85969,-24.9458
2.73878,1.87273,-24.7577
2.73878,1.88578,-24.9933
2.73878,1.89882,-24.7868
2.73878,1.91186,-25.7069
2.73878,1.92491,-25.3308
2.73878,1.93795,-25.647
2.73878,1.95099,-26.8742
2.73878,1.96404,-27.4227
2.73878,1.97708,-29.3065
2.73878,1.99013,-29.4389
2.73878,2.00317,-31.6415
2.73878,2.01621,-31.3771
2.73878,2.02926,-31.888
2.73878,2.0423,-31.4599
2.73878,2.05534,-30.8971
2.73878,2.06839,-30.0737
2.73878,2.08143,-29.204
2.73878,2.09447,-28.6685
2.73878,2.10752,-28.0105
2.73878,2.12056,-27.6298
2.73878,2.1336,-27.2257
2.73878,2.14665,-27.121
2.73878,2.15969,-27.0498
2.73878,2.17273,-27.0626
2.73878,2.18578,-27.0837
2.73878,2.19882,-27.1636
2.73878,2.21186,-27.1702
2.73878,2.22491,-27.0973
2.73878,2.23795,-27.1849
2.73878,2.25099,-26.5267
2.73878,2.26404,-26.7602
2.73878,2.27708,-26.1325
2.73878,2.29013,-25.9385
2.73878,2.30317,-25.7877
2.73878,2.31621,-25.4557
2.73878,2.32926,-25.1982
2.73878,2.3423,-25.2358
2.73878,2.35534,-25.1782
2.73878,2.36839,-25.3688
2.75182,1.1423,-29.6714
2.75182,1.15534,-30.4857
2.75182,1.16839,-31.5087
2.75182,1.18143,-31.718
2.75182,1.19447,-32.4884
2.75182,1.20752,-33.3552
2.75182,1.22056,-33.45
2.75182,1.2336,-34.1434
2.75182,1.24665,-34.2315
2.75182,1.25969,-33.4694
2.75182,1.27273,-33.0807
2.75182,1.28578,-31.7492
2.75182,1.29882,-30.5526
2.75182,1.31186,-29.7411
2.75182,1.32491,-28.768
2.75182,1.33795,-27.8723
2.75182,1.35099,-27.0562
2.75182,1.36404,-26.6376
2.75182,1.37708,-25.7906
2.75182,1.39013,-25.3777
2.75182,1.40317,-24.5456
2.75182,1.41621,-24.3838
2.75182,1.42926,-23.9341
2.75182,1.4423,-23.8213
2.75182,1.45534,-23.2392
2.75182,1.46839,-22.788
2.75182,1.48143,-22.5276
2.75182,1.49447,-22.1425
2.75182,1.50752,-21.8471
2.75182,1.52056,-21.6866
2.75182,1.5336,-21.9065
2.75182,1.54665,-21.8398
2.75182,1.55969,-21.472
2.75182,1.57273,-21.6472
2.75182,1.58578,-21.9494
2.75182,1.59882,-21.8879
2.75182,1.61186,-21.9197
2.75182,1.62491,-22.0286
2.75182,1.63795,-22.0664
2.75182,1.65099,-22.5623
2.75182,1.66404,-22.5444
2.75182,1.67708,-23.4175
2.75182,1.69013,-23.443
2.75182,1.70317,-24.1867
2.75182,1.71621,-24.7114
2.75182,1.72926,-25.7881
2.75182,1.7423,-26.6497
2.75182,1.75534,-27.3026
2.75182,1.76839,-27.6267
2.75182,1.78143,-27.7582
2.75182,1.79447,-28.091
2.75182,1.80752,-27.3365
2.75182,1.82056,-27.9731
2.75182,1.8336,-28.4333
2.75182,1.84665,-27.8492
2.75182,1.85969,-26.96
2.75182,1.87273,-26.8164
2.75182,1.88578,-28.3368
2.75182,1.89882,-27.732
