x,y,z
2.71727,1.13063,-3.4943
2.71727,1.14367,-4.85274
2.71727,1.15672,-6.19327
2.71727,1.16976,-7.25505
2.71727,1.1828,-8.74941
2.71727,1.19585,-10.064
2.71727,1.20889,-11.1588
2.71727,1.22193,-11.6837
2.71727,1.23498,-12.3581
2.71727,1.24802,-11.9567
2.71727,1.26107,-9.19205
2.71727,1.27411,-8.38943
2.71727,1.28715,-5.77211
2.71727,1.3002,-1.57687
2.71727,1.31324,0.216745
2.71727,1.32628,2.51948
2.71727,1.33933,5.29614
2.71727,1.35237,7.85977
2.71727,1.36541,10.7702
2.71727,1.37846,12.64
2.71727,1.3915,12.4896
2.71727,1.40454,11.7727
2.71727,1.41759,11.5922
2.71727,1.43063,10.6275
2.71727,1.44367,9.66634
2.71727,1.45672,9.41106
2.71727,1.46976,9.55036
2.71727,1.4828,9.5133
2.71727,1.49585,9.74045
2.71727,1.50889,10.1531
2.71727,1.52193,11.0256
2.71727,1.53498,12.1327
2.71727,1.54802,13.03
2.71727,1.56107,13.2731
2.71727,1.57411,14.1244
2.71727,1.58715,15.0279
2.71727,1.6002,14.2874
2.71727,1.61324,14.5068
2.71727,1.62628,14.1306
2.71727,1.63933,13.6162
2.71727,1.66541,11.0252
2.71727,1.67846,10.3801
2.71727,1.6915,8.83939
2.71727,1.70454,7.138
2.71727,1.71759,5.218
2.71727,1.73063,3.75415
2.71727,1.74367,1.41973
2.71727,1.75672,1.4346
2.71727,1.76976,0.71317
2.71727,1.7828,0.44145
2.71727,1.79585,0.662403
2.71727,1.80889,0.986464
2.71727,1.82193,0.83054
2.71727,1.83498,1.69169
2.71727,1.84802,2.16266
2.71727,1.86107,2.7536
2.71727,1.87411,3.34842
2.71727,1.88715,3.80195
2.71727,1.9002,3.86178
2.71727,1.91324,4.12767
2.71727,1.92628,4.75589
2.71727,1.93933,4.64115
2.71727,1.95237,5.21181
2.71727,1.96541,5.85019
2.71727,1.97846,6.21295
2.71727,1.9915,6.79706
2.71727,2.00454,8.79069
2.71727,2.01759,9.91697
2.71727,2.03063,10.2532
2.71727,2.04367,12.3002
2.71727,2.05672,1.60804
2.71727,2.06976,3.56343
2.71727,2.0828,5.85493
2.71727,2.09585,4.77134
2.71727,2.10889,4.28085
2.71727,2.12193,3.153
2.71727,2.13498,2.24323
2.71727,2.14802,1.54414
2.71727,2.16107,2.29568
2.71727,2.17411,2.00808
2.71727,2.18715,1.87523
2.71727,2.2002,1.55117
2.71727,2.21324,1.73004
2.71727,2.22628,2.1208
2.71727,2.23933,1.53397
2.71727,2.25237,2.91897
2.71727,2.26541,4.2934
2.71727,2.27846,4.92484
2.71727,2.2915,6.81301
2.71727,2.30454,7.08655
2.71727,2.31759,8.18926
2.71727,2.33063,8.73411
2.73031,1.13063,-2.86398
2.73031,1.14367,-4.09802
2.73031,1.15672,-5.54299
2.73031,1.16976,-7.14869
2.73031,1.1828,-7.73562
2.73031,1.19585,-9.09746
2.73031,1.20889,-10.9601
2.73031,1.22193,-10.5646
2.73031,1.23498,-11.7545
2.73031,1.24802,-11.492
2.73031,1.26107,-9.59012
2.73031,1.27411,-8.37622
2.73031,1.28715,-5.38442
2.73031,1.3002,-3.08817
2.73031,1.31324,-0.613044
2.73031,1.32628,2.21991
2.73031,1.33933,5.98379
2.73031,1.35237,7.33431
2.73031,1.36541,9.59148
2.73031,1.37846,12.3836
2.73031,1.3915,13.4059
2.73031,1.40454,12.8926
2.73031,1.41759,12.1961
2.73031,1.43063,11.9959
2.73031,1.44367,10.958
2.73031,1.45672,10.8567
2.73031,1.46976,10.74
2.73031,1.4828,10.214
2.73031,1.49585,11.0506
2.73031,1.50889,11.5752
2.73031,1.52193,11.7398
2.73031,1.53498,15.1035
2.73031,1.54802,15.4837
2.73031,1.56107,16.9656
2.73031,1.57411,15.2997
2.73031,1.58715,15.7699
2.73031,1.6002,15.3852
2.73031,1.61324,14.8345
2.73031,1.62628,14.3275
2.73031,1.63933,13.0611
2.73031,1.65237,12.0347
2.73031,1.66541,10.6372
2.73031,1.67846,10.365
2.73031,1.6915,7.91184
2.73031,1.70454,7.22857
2.73031,1.71759,5.73308
2.73031,1.73063,5.51428
2.73031,1.74367,2.69094
2.73031,1.75672,1.75986
2.73031,1.76976,1.11779
2.73031,1.7828,0.473133
2.73031,1.79585,0.215441
2.73031,1.80889,1.1616
2.73031,1.82193,1.72634
2.73031,1.83498,1.28106
2.73031,1.84802,2.33487
2.73031,1.86107,3.37146
2.73031,1.87411,3.67692
2.73031,1.88715,3.02351
2.73031,1.9002,1.63277
2.73031,1.91324,3.09604
2.73031,1.92628,3.28118
2.73031,1.93933,3.61105
2.73031,1.95237,1.46709
2.73031,1.96541,2.58196
2.73031,1.97846,3.63975
2.73031,1.9915,4.71884
