x,y,z
2.58719,1.12371,3.6e-05
2.58719,1.13023,3.6e-05
2.58719,1.13675,3.6e-05
2.58719,1.14328,3.6e-05
2.58719,1.1498,3.6e-05
2.58719,1.15632,3.6e-05
2.58719,1.16284,3.6e-05
2.58719,1.16936,3.6e-05
2.58719,1.17588,3.6e-05
2.58719,1.18241,3.6e-05
2.58719,1.18893,3.6e-05
2.58719,1.19545,3.6e-05
2.58719,1.20197,3.6e-05
2.58719,1.20849,3.6e-05
2.58719,1.21502,3.6e-05
2.58719,1.22154,3.6e-05
2.58719,1.22806,3.6e-05
2.58719,1.23458,3.6e-05
2.58719,1.2411,3.6e-05
2.58719,1.24762,3.6e-05
2.58719,1.25415,3.6e-05
2.58719,1.26067,3.6e-05
2.58719,1.26719,3.6e-05
2.58719,1.27371,3.6e-05
2.58719,1.28023,3.6e-05
2.58719,1.28675,3.6e-05
2.58719,1.29328,3.6e-05
2.58719,1.2998,3.6e-05
2.58719,1.30632,3.6e-05
2.58719,1.31284,3.6e-05
2.58719,1.31936,1e-06
2.58719,1.32588,1e-06
2.58719,1.33241,1e-06
2.58719,1.33893,1e-06
2.58719,1.34545,1e-06
2.58719,1.35197,1e-06
2.58719,1.35849,0.043681
2.58719,1.36502,0.043681
2.58719,1.37154,0.043681
2.58719,1.37806,0.043681
2.58719,1.38458,0.043681
2.58719,1.3911,0.043681
2.58719,1.39762,0.043681
2.58719,1.40415,0.043681
2.58719,1.41067,0.005476
2.58719,1.41719,0.005476
2.58719,1.42371,0.005476
2.58719,1.43023,0.005476
2.58719,1.43675,0.005476
2.58719,1.44328,0.005476
2.58719,1.4498,0.002704
2.58719,1.45632,0.002704
2.58719,1.46284,0.002704
2.58719,1.46936,0.002704
2.58719,1.47588,0.002704
2.58719,1.48241,0.002704
2.58719,1.48893,0.002704
2.58719,1.49545,0.002704
2.58719,1.50197,0.25
2.58719,1.50849,0.25
2.58719,1.51502,0.25
2.58719,1.52154,0.25
2.58719,1.52806,0.25
2.58719,1.53458,0.25
2.58719,1.5411,0.25
2.58719,1.54762,0.047961
2.58719,1.55415,0.047961
2.58719,1.56067,0.047961
2.58719,1.56719,0.047961
2.58719,1.57371,0.047961
2.58719,1.58023,0.047961
2.58719,1.58675,0.047961
2.58719,1.59328,0.024336
2.58719,1.5998,0.024336
2.58719,1.60632,0.024336
2.58719,1.61284,0.009604
2.58719,1.61936,0.009604
2.58719,1.62588,0.009604
2.58719,1.63241,0.009604
2.58719,1.63893,0.009604
2.58719,1.64545,0.009604
2.58719,1.65197,0.009604
2.58719,1.65849,0.009604
2.58719,1.66502,0.009604
2.58719,1.67154,0.009604
2.58719,1.67806,1e-06
2.58719,1.68458,1e-06
2.58719,1.6911,1e-06
2.58719,1.69762,1e-06
2.58719,1.70415,9e-06
2.58719,1.71067,9e-06
2.58719,1.71719,9e-06
2.58719,1.72371,9e-06
2.58719,1.73023,9e-06
2.58719,1.73675,9e-06
2.58719,1.74328,9e-06
2.58719,1.7498,9e-06
2.58719,1.75632,9e-06
2.58719,1.76284,0.023104
2.58719,1.76936,0.023104
2.58719,1.77588,0.023104
2.58719,1.78241,0.023104
2.58719,1.78893,0.023104
2.58719,1.79545,0.285156
2.58719,1.80197,0.285156
2.58719,1.80849,0.285156
2.58719,1.81502,0.285156
2.58719,1.82154,0.285156
2.58719,1.82806,0.285156
2.58719,1.83458,0.267289
2.58719,1.8411,0.267289
2.58719,1.84762,0.267289
2.58719,1.85415,0.267289
2.58719,1.86067,1.64352
2.58719,1.86719,1.64352
2.58719,1.87371,1.64352
2.58719,1.88023,1.64352
2.58719,1.88675,1.64352
2.58719,1.89328,1.64352
2.58719,1.8998,0.245025
2.58719,1.90632,0.245025
2.58719,1.91284,0.245025
2.58719,1.91936,0.245025
2.58719,1.92588,0.245025
2.58719,1.93241,0.245025
2.58719,1.93893,0.245025
2.58719,1.94545,0.245025
2.58719,1.95197,0.245025
2.58719,1.95849,0.245025
2.58719,1.96502,0.245025
2.58719,1.97154,0.245025
2.58719,1.97806,0.245025
2.58719,1.98458,0.245025
2.58719,1.9911,0.245025
2.58719,1.99762,0.245025
2.58719,2.00415,0.245025
2.58719,2.01067,0.245025
2.58719,2.01719,0.245025
2.58719,2.02371,4e-06
2.58719,2.03023,4e-06
2.58719,2.03675,4e-06
2.58719,2.04328,4e-06
2.58719,2.0498,4e-06
2.58719,2.05632,4e-06
2.58719,2.06284,4e-06
2.58719,2.06936,4e-06
2.58719,2.07588,4e-06
2.58719,2.08241,4e-06
2.58719,2.08893,4e-06
2.58719,2.09545,4e-06
2.58719,2.10197,4e-06
2.58719,2.10849,4e-06
2.58719,2.11502,4e-06
2.58719,2.12154,4e-06
2.58719,2.12806,4e-06
2.58719,2.13458,4e-06
2.58719,2.1411,4e-06
2.58719,2.14762,4e-06
2.58719,2.15415,4e-06
2.58719,2.16067,4e-06
2.58719,2.16719,4e-06
2.58719,2.17371,4e-06
2.58719,2.18023,4e-06
2.58719,2.18675,9e-06
2.58719,2.19328,0.060516
2.58719,2.1998,0.060516
2.58719,2.20632,0.060516
2.58719,2.21284,0.060516
2.58719,2.21936,0.060516
2.58719,2.22588,0.060516
2.58719,2.23241,0.060516
2.58719,2.23893,0.060516
2.58719,2.24545,0.060516
2.58719,2.25197,0.060516
2.58719,2.25849,0.222784
2.58719,2.26502,0.222784
2.58719,2.27154,0.222784
2.58719,2.27806,0.222784
2.58719,2.28458,0.222784
2.58719,2.2911,0.222784
2.58719,2.29762,0.167281
2.58719,2.30415,0.167281
2.58719,2.31067,0.167281
2.58719,2.31719,0.167281
2.58719,2.32371,0.167281
2.58719,2.33023,0.25
2.58719,2.33675,0.25
2.58719,2.34328,0.25
2.58719,2.3498,0.25
2.58719,2.35632,0.25
2.58719,2.36284,0.25
2.58719,2.36936,0.25
2.59371,1.12371,3.6e-05
2.59371,1.13023,3.6e-05
2.59371,1.13675,3.6e-05
2.59371,1.14328,3.6e-05
2.59371,1.1498,3.6e-05
2.59371,1.15632,3.6e-05
2.59371,1.16284,3.6e-05
2.59371,1.16936,3.6e-05
2.59371,1.17588,3.6e-05
2.59371,1.18241,3.6e-05
2.59371,1.18893,3.6e-05
2.59371,1.19545,3.6e-05
2.59371,1.20197,3.6e-05
2.59371,1.20849,3.6e-05
2.59371,1.21502,3.6e-05
2.59371,1.22154,3.6e-05
2.59371,1.22806,3.6e-05
2.59371,1.23458,3.6e-05
2.59371,1.2411,3.6e-05
2.59371,1.24762,3.6e-05
2.59371,1.25415,3.6e-05
2.59371,1.26067,3.6e-05
2.59371,1.26719,3.6e-05
2.59371,1.27371,3.6e-05
2.59371,1.28023,3.6e-05
2.59371,1.28675,3.6e-05
2.59371,1.29328,3.6e-05
2.59371,1.2998,1e-06
2.59371,1.30632,1e-06
2.59371,1.31284,1e-06
2.59371,1.31936,1e-06
2.59371,1.32588,1e-06
2.59371,1.33241,1e-06
2.59371,1.33893,1e-06
2.59371,1.34545,1e-06
2.59371,1.35197,0.043681
2.59371,1.35849,0.043681
2.59371,1.36502,0.043681
2.59371,1.37154,0.043681
2.59371,1.37806,0.043681
2.59371,1.38458,0.043681
2.59371,1.3911,0.043681
2.59371,1.39762,0.043681
2.59371,1.40415,0.043681
2.59371,1.41067,0.005476
2.59371,1.41719,0.005476
2.59371,1.42371,0.005476
2.59371,1.43023,0.005476
2.59371,1.43675,0.005476
2.59371,1.44328,0.005476
2.59371,1.4498,0.002704
2.59371,1.45632,0.002704
2.59371,1.46284,0.002704
2.59371,1.46936,0.002704
2.59371,1.47588,0.002704
2.59371,1.48241,0.002704
2.59371,1.48893,0.002704
2.59371,1.49545,0.002704
2.59371,1.50197,0.25
2.59371,1.50849,0.25
2.59371,1.51502,0.25
2.59371,1.52154,0.25
2.59371,1.52806,0.25
2.59371,1.53458,0.25
2.59371,1.5411,0.25
2.59371,1.54762,0.047961
2.59371,1.55415,0.047961
2.59371,1.56067,0.047961
2.59371,1.56719,0.047961
2.59371,1.57371,0.047961
2.59371,1.58023,0.047961
2.59371,1.58675,0.047961
2.59371,1.59328,0.024336
2.59371,1.5998,0.024336
2.59371,1.60632,0.024336
2.59371,1.61284,0.009604
2.59371,1.61936,0.009604
2.59371,1.62588,0.009604
2.59371,1.63241,0.009604
2.59371,1.63893,0.009604
2.59371,1.64545,0.009604
2.59371,1.65197,0.009604
