x,y,z
2.67973,1.13466,-49.7785
2.67973,1.16727,-40.2479
2.67973,1.19988,-16.9989
2.67973,1.23249,-28.2498
2.67973,1.2651,-9.49016
2.67973,1.2977,-3.24296
2.67973,1.33031,0.738384
2.67973,1.36292,-4.32611
2.67973,1.39553,1.10184
2.67973,1.42814,-10.6273
2.67973,1.46075,-18.2118
2.67973,1.49336,-5.99456
2.67973,1.52597,-2.76082
2.67973,1.55857,-1.80443
2.67973,1.59118,-2.14826
2.67973,1.62379,-11.3915
2.67973,1.6564,-17.0286
2.67973,1.68901,-3.91341
2.67973,1.72162,-8.94811
2.67973,1.75423,-7.45931
2.67973,1.78684,-7.87275
2.67973,1.81944,0.0270455
2.67973,1.85205,2.25491
2.67973,1.88466,4.53071
2.67973,1.91727,4.21145
2.67973,1.94988,7.88835
2.67973,1.98249,3.65415
2.67973,2.0151,-2.69644
2.67973,2.0477,-1.34448
2.67973,2.08031,-2.58656
2.67973,2.11292,-17.5691
2.67973,2.14553,-31.5286
2.67973,2.17814,-20.0525
2.67973,2.21075,-13.3552
2.67973,2.24336,-8.16881
2.67973,2.27597,-2.05438
2.67973,2.30857,-4.31349
2.67973,2.34118,-4.37338
2.67973,2.37379,-6.97876
2.71234,1.13466,-50.0368
2.71234,1.16727,-54.2897
2.71234,1.19988,-49.4418
2.71234,1.23249,-53.2349
2.71234,1.2651,-18.8349
2.71234,1.2977,-7.00227
2.71234,1.33031,-15.7284
2.71234,1.36292,-52.1491
2.71234,1.39553,-48.3157
2.71234,1.42814,-4.30385
2.71234,1.46075,-48.5748
2.71234,1.49336,-50.9061
2.71234,1.52597,-1.30773
2.71234,1.55857,2.26878
2.71234,1.59118,2.79627
2.71234,1.62379,1.49456
2.71234,1.6564,-3.93813
2.71234,1.68901,-29.2786
2.71234,1.72162,-14.2515
2.71234,1.75423,-20.639
2.71234,1.78684,7.67336
2.71234,1.81944,8.38658
2.71234,1.85205,9.59467
2.71234,1.88466,5.12405
2.71234,1.91727,6.25939
2.71234,1.94988,14.4695
2.71234,1.98249,3.6052
2.71234,2.0151,-5.125
2.71234,2.0477,-0.610556
2.71234,2.08031,-3.03813
2.71234,2.11292,-13.5652
2.71234,2.14553,-45.0456
2.71234,2.17814,-32.7475
2.71234,2.21075,-33.4005
2.71234,2.24336,-46.4848
2.71234,2.27597,-22.3679
2.71234,2.30857,-21.1616
2.71234,2.34118,-10.2221
2.71234,2.37379,-18.7854
2.74495,1.13466,-50.4171
2.74495,1.16727,-54.345
2.74495,1.19988,-47.9014
2.74495,1.23249,-44.9387
2.74495,1.2651,-50.8063
2.74495,1.2977,-31.0841
2.74495,1.33031,-45.7354
2.74495,1.36292,-11.1043
2.74495,1.39553,-40.4761
2.74495,1.42814,-14.3376
2.74495,1.46075,-24.0086
2.74495,1.49336,-25.8872
2.74495,1.52597,2.45151
2.74495,1.55857,2.92286
2.74495,1.59118,4.0047
2.74495,1.62379,-0.432222
2.74495,1.6564,-19.6861
2.74495,1.68901,-7.78142
2.74495,1.72162,-0.109795
2.74495,1.75423,-1.15437
2.74495,1.78684,11.8788
2.74495,1.81944,5.54462
2.74495,1.85205,12.1169
2.74495,1.88466,7.72561
2.74495,1.91727,8.02142
2.74495,1.94988,2.99021
2.74495,1.98249,7.01501
2.74495,2.0151,-0.715002
2.74495,2.0477,1.98625
2.74495,2.08031,-2.69685
2.74495,2.11292,-5.41762
2.74495,2.14553,-15.8866
2.74495,2.17814,-24.4798
2.74495,2.21075,-35.2914
2.74495,2.24336,-40.7431
2.74495,2.27597,-36.0757
2.74495,2.30857,-40.059
2.74495,2.34118,-33.3359
2.74495,2.37379,-45.0605
2.77756,1.13466,-55.571
2.77756,1.16727,-54.4706
2.77756,1.19988,-54.9998
2.77756,1.23249,-56.8853
2.77756,1.2651,-55.8353
2.77756,1.2977,-42.9949
2.77756,1.33031,-24.0425
2.77756,1.36292,-54.5877
2.77756,1.39553,-51.7184
2.77756,1.42814,-18.3091
2.77756,1.46075,-20.84
2.77756,1.49336,-6.86648
2.77756,1.52597,-5.32783
2.77756,1.55857,-5.02693
2.77756,1.59118,-3.95131
2.77756,1.62379,8.82839
2.77756,1.6564,-3.11724
2.77756,1.68901,-0.637325
2.77756,1.72162,3.61929
2.77756,1.75423,5.76691
2.77756,1.78684,13.5229
2.77756,1.81944,9.65905
2.77756,1.85205,12.4676
2.77756,1.88466,9.14433
2.77756,1.91727,6.14284
2.77756,1.94988,5.14907
2.77756,1.98249,4.0949
2.77756,2.0151,-2.61625
2.77756,2.0477,-1.31504
2.77756,2.08031,-35.4914
2.77756,2.11292,-38.6874
2.77756,2.14553,-41.4121
2.77756,2.17814,-43.1031
2.77756,2.21075,-48.1904
2.77756,2.24336,-51.3931
2.77756,2.27597,-48.0102
2.77756,2.30857,-58.4783
2.77756,2.34118,-49.0193
2.77756,2.37379,-45.4943
2.81016,1.13466,-22.0601
2.81016,1.16727,-44.7206
2.81016,1.19988,-46.1329
2.81016,1.23249,-38.5143
2.81016,1.2651,-43.9912
2.81016,1.2977,-42.1895
2.81016,1.33031,-54.5308
2.81016,1.36292,-44.0686
2.81016,1.39553,-39.9487
2.81016,1.42814,-18.8213
