x,y,z
2.68513,1.14047,-54.7496
2.68513,1.17307,-46.4091
2.68513,1.20568,-61.23
2.68513,1.23829,-26.2744
2.68513,1.2709,-14.6713
2.68513,1.30351,-8.96889
2.68513,1.33612,-7.47236
2.68513,1.36873,-9.56151
2.68513,1.40134,-9.82268
2.68513,1.43394,-15.9057
2.68513,1.46655,-30.53
2.68513,1.49916,-31.2956
2.68513,1.53177,-6.56585
2.68513,1.56438,-6.60444
2.68513,1.59699,-16.6979
2.68513,1.6296,-16.2208
2.68513,1.6622,-7.89476
2.68513,1.69481,-26.0191
2.68513,1.72742,-13.1612
2.68513,1.76003,-10.4701
2.68513,1.79264,1.35696
2.68513,1.82525,-5.91465
2.68513,1.85786,-3.50752
2.68513,1.89047,-0.102569
2.68513,1.92307,-1.98154
2.68513,1.95568,-2.60749
2.68513,1.98829,-4.94317
2.68513,2.0209,-8.18067
2.68513,2.05351,-10.8642
2.68513,2.08612,-16.7552
2.68513,2.11873,-25.9301
2.68513,2.15134,-36.5879
2.68513,2.18394,-25.3109
2.68513,2.21655,-19.6336
2.68513,2.24916,-15.3945
2.68513,2.28177,-12.9767
2.68513,2.31438,-12.6717
2.68513,2.34699,-13.5204
2.68513,2.3796,-18.4491
2.71774,1.14047,-54.9851
2.71774,1.17307,-61.2675
2.71774,1.20568,-55.2575
2.71774,1.23829,-55.3832
2.71774,1.2709,-26.3716
2.71774,1.30351,-16.8395
2.71774,1.33612,-15.882
2.71774,1.36873,-59.0748
2.71774,1.40134,-58.3536
2.71774,1.43394,-13.5279
2.71774,1.46655,-53.5656
2.71774,1.49916,-54.1627
2.71774,1.53177,-7.13704
2.71774,1.56438,-6.67026
2.71774,1.59699,-6.22699
2.71774,1.6296,-10.0747
2.71774,1.6622,-26.9508
2.71774,1.69481,-20.8945
2.71774,1.72742,-15.5615
2.71774,1.76003,-4.86522
2.71774,1.79264,7.8173
2.71774,1.82525,7.0968
2.71774,1.85786,3.71934
2.71774,1.89047,0.649545
2.71774,1.92307,-1.27873
2.71774,1.95568,-1.0388
2.71774,1.98829,-3.8276
2.71774,2.0209,-6.93033
2.71774,2.05351,-6.90539
2.71774,2.08612,-17.7033
2.71774,2.11873,-21.3957
2.71774,2.15134,-62.2155
2.71774,2.18394,-41.9687
2.71774,2.21655,-42.1649
2.71774,2.24916,-36.9333
2.71774,2.28177,-47.3006
2.71774,2.31438,-28.0196
2.71774,2.34699,-46.3889
2.71774,2.3796,-29.7087
2.75034,1.14047,-55.4001
2.75034,1.17307,-61.5527
2.75034,1.20568,-51.0359
2.75034,1.23829,-61.408
2.75034,1.2709,-55.2817
2.75034,1.30351,-41.1531
2.75034,1.33612,-53.1307
2.75034,1.36873,-18.4933
2.75034,1.40134,-49.0152
2.75034,1.43394,-23.6686
2.75034,1.46655,-29.205
2.75034,1.49916,-29.7268
2.75034,1.53177,-6.74163
2.75034,1.56438,-6.40443
2.75034,1.59699,-6.00494
2.75034,1.6296,-7.85775
2.75034,1.6622,-13.3485
2.75034,1.69481,-8.00583
2.75034,1.72742,-6.51092
2.75034,1.76003,-1.47731
2.75034,1.79264,6.50261
2.75034,1.82525,-1.99269
2.75034,1.85786,5.78992
2.75034,1.89047,2.42321
2.75034,1.92307,-0.57886
2.75034,1.95568,-6.63041
2.75034,1.98829,-2.19104
2.75034,2.0209,-5.39961
2.75034,2.05351,-7.44168
2.75034,2.08612,-14.3177
2.75034,2.11873,-15.716
2.75034,2.15134,-21.0061
2.75034,2.18394,-42.6231
2.75034,2.21655,-46.93
2.75034,2.24916,-49.5695
2.75034,2.28177,-47.9522
2.75034,2.31438,-51.0189
2.75034,2.34699,-49.6751
2.75034,2.3796,-51.4162
2.78295,1.14047,-52.9015
2.78295,1.17307,-52.9691
2.78295,1.20568,-61.8553
2.78295,1.23829,-61.8288
2.78295,1.2709,-49.7261
2.78295,1.30351,-48.1001
2.78295,1.33612,-30.4049
2.78295,1.36873,-49.9375
2.78295,1.40134,-49.6816
2.78295,1.43394,-51.0983
2.78295,1.46655,-51.585
2.78295,1.49916,-11.0048
2.78295,1.53177,-15.6641
2.78295,1.56438,-11.8189
2.78295,1.59699,-9.21936
2.78295,1.6296,3.05613
2.78295,1.6622,-6.80056
2.78295,1.69481,-1.63933
2.78295,1.72742,-0.63515
2.78295,1.76003,1.35106
2.78295,1.79264,6.54458
2.78295,1.82525,3.33383
2.78295,1.85786,4.6599
2.78295,1.89047,3.89628
2.78295,1.92307,1.2765
2.78295,1.95568,0.863783
2.78295,1.98829,-3.08121
2.78295,2.0209,-8.00232
2.78295,2.05351,-14.9354
2.78295,2.08612,-45.4329
2.78295,2.11873,-45.6882
2.78295,2.15134,-46.4978
2.78295,2.18394,-49.8057
2.78295,2.21655,-47.6525
2.78295,2.24916,-50.5331
2.78295,2.28177,-48.5245
2.78295,2.31438,-49.827
2.78295,2.34699,-49.0689
2.78295,2.3796,-49.7321
2.81556,1.14047,-25.6263
2.81556,1.17307,-48.7659
2.81556,1.20568,-52.6452
2.81556,1.23829,-43.8899
2.81556,1.2709,-56.023
2.81556,1.30351,-49.2787
2.81556,1.33612,-48.7018
2.81556,1.36873,-49.4697
2.81556,1.40134,-49.1382
2.81556,1.43394,-24.8641
2.81556,1.46655,-21.5784
2.81556,1.49916,-20.1445
2.81556,1.53177,-26.9507
2.81556,1.56438,-9.98284
2.81556,1.59699,-14.421
2.81556,1.6296,-6.32582
2.81556,1.6622,-0.536148
2.81556,1.69481,2.44903
2.81556,1.72742,3.69245
2.81556,1.76003,4.27038
2.81556,1.79264,8.01273
2.81556,1.82525,6.4221
2.81556,1.85786,6.6834
2.81556,1.89047,4.50081
2.81556,1.92307,3.86247
2.81556,1.95568,0.450935
2.81556,1.98829,-3.33742
2.81556,2.0209,-11.3753
2.81556,2.05351,-21.023
2.81556,2.08612,-40.6688
2.81556,2.11873,-53.8858
2.81556,2.15134,-62.0853
2.81556,2.18394,-57.3749
2.81556,2.21655,-55.4984
