x,y,z
2.67014,1.12483,2.6e-06
2.67014,1.13787,2.6e-06
2.67014,1.15091,1.3e-05
2.67014,1.16396,8.78571e-06
2.67014,1.177,1.05789e-05
2.67014,1.19004,6.35714e-06
2.67014,1.20309,7.47059e-06
2.67014,1.21613,5.61111e-06
2.67014,1.22918,7.44444e-06
2.67014,1.24222,5.76471e-06
2.67014,1.25526,7e-06
2.67014,1.26831,8.68125e-05
2.67014,1.28135,0.004106
2.67014,1.29439,0.0230856
2.67014,1.30744,0.0866854
2.67014,1.32048,0.175047
2.67014,1.33352,0.295842
2.67014,1.34657,0.314492
2.67014,1.35961,0.479675
2.67014,1.37265,0.68772
2.67014,1.3857,0.903101
2.67014,1.39874,1.1505
2.67014,1.41178,1.33351
2.67014,1.42483,1.39727
2.67014,1.43787,0.998913
2.67014,1.45091,1.03396
2.67014,1.46396,0.914848
2.67014,1.477,0.811861
2.67014,1.49004,0.597512
2.67014,1.50309,0.485833
2.67014,1.51613,0.385594
2.67014,1.52918,0.304274
2.67014,1.54222,0.274615
2.67014,1.55526,0.252047
2.67014,1.56831,0.310673
2.67014,1.58135,0.264001
2.67014,1.59439,0.278458
2.67014,1.60744,0.305602
2.67014,1.62048,0.44593
2.67014,1.63352,0.641757
2.67014,1.64657,0.958383
2.67014,1.65961,1.69899
2.67014,1.67265,1.94229
2.67014,1.6857,3.07783
2.67014,1.69874,4.37336
2.67014,1.71178,6.80315
2.67014,1.72483,8.41135
2.67014,1.73787,10.4613
2.67014,1.75091,11.9849
2.67014,1.76396,12.1258
2.67014,1.777,12.8492
2.67014,1.79004,13.1835
2.67014,1.80309,12.4746
2.67014,1.81613,12.3604
2.67014,1.82918,10.7147
2.67014,1.84222,9.96081
2.67014,1.85526,7.5088
2.67014,1.86831,5.16235
2.67014,1.88135,3.84947
2.67014,1.89439,2.3043
2.67014,1.90744,1.14702
2.67014,1.92048,0.494812
2.67014,1.93352,0.232473
2.67014,1.94657,0.10613
2.67014,1.95961,0.0274031
2.67014,1.97265,0.001253
2.67014,1.9857,7.92353e-05
2.67014,1.99874,9e-06
2.67014,2.01178,1.32667e-05
2.67014,2.02483,1.97778e-05
2.67014,2.03787,3.45455e-06
2.67014,2.05091,1e-06
2.67014,2.06396,1e-06
2.67014,2.077,8.38462e-06
2.67014,2.09004,2.84615e-06
2.67014,2.10309,7e-06
2.67014,2.11613,4.27273e-06
2.67014,2.12918,7.46154e-06
2.67014,2.14222,5e-06
2.67014,2.15526,4.92857e-06
2.67014,2.16831,5.375e-06
2.67014,2.18135,7.5e-06
2.67014,2.19439,9.8e-06
2.67014,2.20744,1.31111e-05
2.67014,2.22048,5.14286e-06
2.67014,2.23352,8e-06
2.67014,2.24657,6.33333e-06
2.67014,2.25961,1.17647e-05
2.67014,2.27265,1.74444e-05
2.67014,2.2857,9.89231e-05
2.67014,2.29874,0.00134557
2.67014,2.31178,0.0194924
2.67014,2.32483,0.0316714
2.67014,2.33787,0.060889
2.67014,2.35091,0.0475332
2.67014,2.36396,0.0475332
2.68319,1.12483,2.6e-06
2.68319,1.13787,2.6e-06
2.68319,1.15091,5.8e-06
2.68319,1.16396,3.55556e-06
2.68319,1.177,5.72727e-06
2.68319,1.19004,2.88889e-06
2.68319,1.20309,4.42857e-06
2.68319,1.21613,4.46667e-06
2.68319,1.22918,2.6e-06
2.68319,1.24222,5e-06
2.68319,1.25526,4.16667e-06
