x,y,z
2.68001,1.13469,-51.3689
2.68001,1.16729,-46.7379
2.68001,1.1999,-49.8438
2.68001,1.23251,-49.1331
2.68001,1.26512,-23.4853
2.68001,1.29773,-8.76935
2.68001,1.33034,-2.11067
2.68001,1.36295,2.16042
2.68001,1.39556,4.91664
2.68001,1.42816,5.72169
2.68001,1.46077,4.75701
2.68001,1.49338,2.60295
2.68001,1.52599,-0.263872
2.68001,1.5586,-1.80607
2.68001,1.59121,-1.49192
2.68001,1.62382,0.968432
2.68001,1.65643,3.89425
2.68001,1.68903,8.00244
2.68001,1.72164,10.241
2.68001,1.75425,10.6169
2.68001,1.78686,10.2754
2.68001,1.81947,8.93677
2.68001,1.85208,6.78478
2.68001,1.88469,3.3347
2.68001,1.91729,-4.05882
2.68001,1.9499,-12.9297
2.68001,1.98251,-37.3879
2.68001,2.01512,-48.133
2.68001,2.04773,-52.8236
2.68001,2.08034,-50.7683
2.68001,2.11295,-49.2083
2.68001,2.14556,-49.755
2.68001,2.17816,-48.9017
2.68001,2.21077,-48.2159
2.68001,2.24338,-48.1665
2.68001,2.27599,-43.8898
2.68001,2.3086,-19.8008
2.68001,2.34121,-17.5499
2.68001,2.37382,-35.2133
2.71262,1.13469,-51.8506
2.71262,1.16729,-47.6752
2.71262,1.1999,-51.6381
2.71262,1.23251,-49.346
2.71262,1.26512,-21.4111
2.71262,1.29773,-12.5281
2.71262,1.33034,-7.43304
2.71262,1.36295,-2.05524
2.71262,1.39556,0.171017
2.71262,1.42816,0.718148
2.71262,1.46077,-0.206878
2.71262,1.49338,-3.31624
2.71262,1.52599,-5.13649
2.71262,1.5586,-11.5634
2.71262,1.59121,-17.5616
2.71262,1.62382,-15.9834
2.71262,1.65643,-8.35734
2.71262,1.68903,-1.56297
2.71262,1.72164,3.16127
2.71262,1.75425,2.97051
2.71262,1.78686,1.98012
2.71262,1.81947,1.33057
2.71262,1.85208,-2.55129
2.71262,1.88469,-7.15849
2.71262,1.91729,-24.7176
2.71262,1.9499,-49.6102
2.71262,1.98251,-50.0586
2.71262,2.01512,-45.6025
2.71262,2.04773,-51.5269
