x,y,z
2.68513,1.14047,-60.7702
2.68513,1.17307,-61.0331
2.68513,1.20568,-61.23
2.68513,1.23829,-61.3605
2.68513,1.2709,-19.2993
2.68513,1.30351,-18.9609
2.68513,1.33612,-17.9299
2.68513,1.36873,-2.5667
2.68513,1.40134,-2.71238
2.68513,1.43394,-3.03084
2.68513,1.46655,-3.26203
2.68513,1.49916,-4.02758
2.68513,1.53177,-12.6389
2.68513,1.56438,-6.69273
2.68513,1.59699,-6.41763
2.68513,1.6296,-6.11772
2.68513,1.6622,-5.93967
2.68513,1.69481,-7.70114
2.68513,1.72742,3.00729
2.68513,1.76003,1.8309
2.68513,1.79264,5.47592
2.68513,1.82525,4.89693
2.68513,1.85786,-1.16942
2.68513,1.89047,-1.21408
2.68513,1.92307,-0.993453
2.68513,1.95568,-63.3133
2.68513,1.98829,-63.1312
2.68513,2.0209,-62.7901
2.68513,2.05351,-62.5856
2.68513,2.08612,-62.2236
2.68513,2.11873,-62.1518
2.68513,2.15134,-62.0082
2.68513,2.18394,-62.1302
2.68513,2.21655,-62.2661
2.68513,2.24916,-62.5882
2.68513,2.28177,-53.2668
2.68513,2.31438,-63.1093
2.68513,2.34699,-18.8631
2.68513,2.3796,-48.1965
2.71774,1.14047,-61.0057
2.71774,1.17307,-55.2469
2.71774,1.20568,-51.7357
2.71774,1.23829,-51.8614
2.71774,1.2709,-61.2328
2.71774,1.30351,-19.15
2.71774,1.33612,-35.9082
2.71774,1.36873,-34.9924
2.71774,1.40134,-2.9808
2.71774,1.43394,-4.72621
2.71774,1.46655,-2.17817
2.71774,1.49916,-2.77524
2.71774,1.53177,-12.9676
2.71774,1.56438,-43.5535
2.71774,1.59699,-43.1102
2.71774,1.6296,-5.8183
2.71774,1.6622,-6.71935
2.71774,1.69481,-7.26754
2.71774,1.72742,-6.58178
2.71774,1.76003,-7.87488
2.71774,1.79264,-4.86826
2.71774,1.82525,-5.58876
2.71774,1.85786,-16.3994
2.71774,1.89047,-1.26164
2.71774,1.92307,-63.6243
2.71774,1.95568,-63.1072
2.71774,1.98829,-56.738
2.71774,2.0209,-56.4273
2.71774,2.05351,-56.1564
2.71774,2.08612,-56.0269
2.71774,2.11873,-52.5238
2.71774,2.15134,-52.6731
2.71774,2.18394,-52.7302
2.71774,2.21655,-62.4689
2.71774,2.24916,-62.6489
2.71774,2.28177,-53.3212
2.71774,2.31438,-53.5749
2.71774,2.34699,-18.898
2.71774,2.3796,-48.2653
2.75034,1.14047,-61.4207
2.75034,1.17307,-61.5527
2.75034,1.20568,-51.9074
2.75034,1.23829,-61.408
2.75034,1.2709,-61.3023
2.75034,1.30351,-60.7651
2.75034,1.33612,-35.9281
2.75034,1.36873,-10.857
2.75034,1.40134,-10.1916
2.75034,1.43394,-5.02252
2.75034,1.46655,-2.36026
2.75034,1.49916,-2.88209
2.75034,1.53177,-60.2843
2.75034,1.56438,-43.111
2.75034,1.59699,-42.7115
2.75034,1.6296,-52.9688
2.75034,1.6622,-52.7688
2.75034,1.69481,-6.7252
2.75034,1.72742,-6.07224
2.75034,1.76003,-7.29143
2.75034,1.79264,-4.47333
2.75034,1.82525,-15.7978
2.75034,1.85786,-16.1268
2.75034,1.89047,-63.7413
2.75034,1.92307,-63.4908
2.75034,1.95568,-24.3444
2.75034,1.98829,-56.4342
2.75034,2.0209,-56.1676
2.75034,2.05351,-55.8584
2.75034,2.08612,-61.5865
2.75034,2.11873,-61.7065
2.75034,2.15134,-52.3799
2.75034,2.18394,-35.8976
2.75034,2.21655,-43.5272
2.75034,2.24916,-62.6871
2.75034,2.28177,-53.3769
2.75034,2.31438,-47.5593
2.75034,2.34699,-63.4109
2.75034,2.3796,-48.0934
2.78295,1.14047,-37.8096
2.78295,1.17307,-37.8772
2.78295,1.20568,-25.7275
2.78295,1.23829,-25.701
2.78295,1.2709,-61.5282
2.78295,1.30351,-10.6533
2.78295,1.33612,-10.051
2.78295,1.36873,-11.2719
2.78295,1.40134,-10.1941
2.78295,1.43394,-10.3614
2.78295,1.46655,-13.7644
2.78295,1.49916,-14.0605
2.78295,1.53177,-59.8668
2.78295,1.56438,-53.4587
2.78295,1.59699,-53.2142
2.78295,1.6296,-53.314
2.78295,1.6622,-53.0581
2.78295,1.69481,-24.0796
2.78295,1.72742,-44.3995
2.78295,1.76003,-45.5971
2.78295,1.79264,-41.3622
2.78295,1.82525,-42.1988
2.78295,1.85786,-42.6346
2.78295,1.89047,-42.7068
2.78295,1.92307,-42.4853
2.78295,1.95568,-24.3413
2.78295,1.98829,-24.0813
2.78295,2.0209,-23.9849
2.78295,2.05351,-23.7469
2.78295,2.08612,-61.6791
2.78295,2.11873,-61.7704
2.78295,2.15134,-52.5184
2.78295,2.18394,-35.9739
2.78295,2.21655,-43.6865
2.78295,2.24916,-25.9219
2.78295,2.28177,-38.6347
2.78295,2.31438,-47.6882
2.78295,2.34699,-47.8195
