x,y,z
2.67998,1.13453,-43.5439
2.67998,1.16713,-40.4432
2.67998,1.19974,-46.3394
2.67998,1.23235,-45.0829
2.67998,1.26496,-20.8466
2.67998,1.29757,-2.44315
2.67998,1.33018,1.42981
2.67998,1.36279,6.96234
2.67998,1.3954,9.05455
2.67998,1.428,6.87841
2.67998,1.46061,3.79026
2.67998,1.49322,0.210522
2.67998,1.52583,-6.71436
2.67998,1.55844,-10.5785
2.67998,1.59105,-2.1234
2.67998,1.62366,1.94306
2.67998,1.65627,6.59528
2.67998,1.68887,9.31653
2.67998,1.72148,11.135
2.67998,1.75409,12.4788
2.67998,1.7867,12.1293
2.67998,1.81931,11.2635
2.67998,1.85192,9.43298
2.67998,1.88453,5.53564
2.67998,1.91713,-5.06497
2.67998,1.94974,-15.4171
2.67998,1.98235,-38.0733
2.67998,2.01496,-31.0255
2.67998,2.04757,-17.3028
2.67998,2.08018,-16.4811
2.67998,2.11279,-19.264
2.67998,2.1454,-28.6854
2.67998,2.178,-19.2469
2.67998,2.21061,-12.3935
2.67998,2.24322,-6.77069
2.67998,2.27583,-3.58516
2.67998,2.30844,-2.45718
2.67998,2.34105,-5.83062
2.67998,2.37366,-19.6315
2.71259,1.13453,-21.8251
2.71259,1.16713,-32.8332
2.71259,1.19974,-46.5892
2.71259,1.23235,-44.5932
2.71259,1.26496,-19.2284
2.71259,1.29757,-5.53901
2.71259,1.33018,-0.226348
2.71259,1.36279,4.0248
2.71259,1.3954,6.44438
2.71259,1.428,2.93478
2.71259,1.46061,0.0583141
2.71259,1.49322,-9.41343
2.71259,1.52583,-27.0363
2.71259,1.55844,-31.1227
2.71259,1.59105,-18.896
2.71259,1.62366,-11.794
2.71259,1.65627,-4.62839
2.71259,1.68887,0.00903494
2.71259,1.72148,2.14817
2.71259,1.75409,2.55213
2.71259,1.7867,2.48892
2.71259,1.81931,0.73688
2.71259,1.85192,-3.24557
2.71259,1.88453,-8.95131
2.71259,1.91713,-50.8864
2.71259,1.94974,-45.1382
2.71259,1.98235,-39.9542
2.71259,2.01496,-39.522
2.71259,2.04757,-43.2602
2.71259,2.08018,-47.2878
2.71259,2.11279,-52.3683
2.71259,2.1454,-46.3463
2.71259,2.178,-45.6965
2.71259,2.21061,-48.0045
2.71259,2.24322,-37.7282
2.71259,2.27583,-24.2303
2.71259,2.30844,-14.3805
2.71259,2.34105,-11.241
2.71259,2.37366,-27.7104
2.7452,1.13453,-13.2751
2.7452,1.16713,-17.2332
2.7452,1.19974,-28.7137
2.7452,1.23235,-27.3735
2.7452,1.26496,-15.171
2.7452,1.29757,-10.7699
2.7452,1.33018,-9.63847
2.7452,1.36279,-3.21349
2.7452,1.3954,-0.492921
2.7452,1.428,-7.75063
2.7452,1.46061,-7.74464
2.7452,1.49322,-30.4247
2.7452,1.52583,-44.7078
2.7452,1.55844,-44.3357
2.7452,1.59105,-40.5299
2.7452,1.62366,-39.8402
2.7452,1.65627,-35.1621
2.7452,1.68887,-32.5461
2.7452,1.72148,-24.2795
2.7452,1.75409,-19.2538
2.7452,1.7867,-29.322
2.7452,1.81931,-30.3785
2.7452,1.85192,-40.2703
2.7452,1.88453,-44.4859
2.7452,1.91713,-21.8724
2.7452,1.94974,-13.815
2.7452,1.98235,-7.50638
2.7452,2.01496,-11.2289
2.7452,2.04757,-18.9438
2.7452,2.08018,-40.872
2.7452,2.11279,-41.9464
2.7452,2.1454,-41.2647
2.7452,2.178,-42.0765
2.7452,2.21061,-41.746
2.7452,2.24322,-41.6076
2.7452,2.27583,-41.266
2.7452,2.30844,-39.706
2.7452,2.34105,-28.7737
2.7452,2.37366,-44.3085
2.77781,1.13453,-12.8986
2.77781,1.16713,-16.7778
2.77781,1.19974,-18.0525
2.77781,1.23235,-10.6691
2.77781,1.26496,-5.93035
2.77781,1.29757,-4.24022
2.77781,1.33018,-7.06187
2.77781,1.36279,-4.00223
2.77781,1.3954,-2.94921
2.77781,1.428,-6.16954
2.77781,1.46061,-28.2262
2.77781,1.49322,-43.0641
2.77781,1.52583,-43.8524
2.77781,1.55844,-44.0861
2.77781,1.59105,-40.6435
2.77781,1.62366,-39.5662
2.77781,1.65627,-31.2031
2.77781,1.68887,-32.5167
2.77781,1.72148,-31.4176
2.77781,1.75409,-31.9899
2.77781,1.7867,-36.2279
2.77781,1.81931,-29.9395
2.77781,1.85192,-25.539
2.77781,1.88453,-8.54577
2.77781,1.91713,-0.194196
2.77781,1.94974,1.88416
2.77781,1.98235,2.8989
2.77781,2.01496,0.871036
2.77781,2.04757,-13.1319
2.77781,2.08018,-40.2471
2.77781,2.11279,-41.6286
2.77781,2.1454,-33.1351
2.77781,2.178,-28.4627
2.77781,2.21061,-41.0773
2.77781,2.24322,-43.0086
2.77781,2.27583,-41.9775
2.77781,2.30844,-41.2528
2.77781,2.34105,-44.264
2.77781,2.37366,-43.6719
2.81041,1.13453,-28.9973
2.81041,1.16713,-30.356
2.81041,1.19974,-20.8009
2.81041,1.23235,-7.64277
2.81041,1.26496,-0.975982
2.81041,1.29757,0.546822
2.81041,1.33018,0.463263
2.81041,1.36279,3.59761
2.81041,1.3954,4.87151
2.81041,1.428,6.32983
2.81041,1.46061,-3.75022
2.81041,1.49322,-23.302
2.81041,1.52583,-41.3761
2.81041,1.55844,-41.9106
2.81041,1.59105,-32.7002
2.81041,1.62366,-17.4282
2.81041,1.65627,-7.13834
2.81041,1.68887,-4.59297
2.81041,1.72148,-3.32629
2.81041,1.75409,-4.63482
2.81041,1.7867,-7.05519
2.81041,1.81931,-5.99525
