x,y,z
2.66509,1.26107,1.37639
2.66509,1.27411,1.06547
2.66509,1.28715,0.7825
2.66509,1.3002,0.659661
2.66509,1.31324,0.601376
2.66509,1.36541,1.3893
2.66509,1.37846,1.53288
2.66509,1.3915,1.53288
2.66509,1.40454,1.71513
2.66509,1.41759,1.90755
2.66509,1.46976,2.1707
2.66509,1.4828,2.14687
2.66509,1.49585,1.89921
2.66509,1.50889,1.33692
2.66509,1.52193,1.193
2.66509,1.56107,0.298278
2.66509,1.57411,0.306004
2.66509,1.58715,0.306004
2.66509,1.6002,0.177356
2.66509,1.61324,0.0943619
2.67814,1.26107,2.14404
2.67814,1.31324,0.568647
2.67814,1.35237,0.455105
2.67814,1.36541,0.745294
2.67814,1.41759,1.85548
2.67814,1.46976,1.80548
2.67814,1.52193,1.13606
2.67814,1.56107,0.282543
2.67814,1.61324,0.0295436
2.69118,1.26107,2.86217
2.69118,1.31324,0.619385
2.69118,1.35237,0.288515
2.69118,1.36541,0.929272
2.69118,1.41759,1.58344
2.69118,1.46976,1.50227
2.69118,1.52193,0.905917
2.69118,1.56107,0.305681
2.69118,1.61324,0.0115572
2.70423,1.26107,3.7261
2.70423,1.31324,0.676137
2.70423,1.35237,0.288515
2.70423,1.41759,1.12628
2.70423,1.46976,1.14948
2.70423,1.52193,0.801793
2.70423,1.61324,0.0403335
2.71727,1.13063,1.25496
2.71727,1.14367,1.60825
2.71727,1.15672,1.85477
2.71727,1.16976,2.08296
2.71727,1.1828,2.51965
2.71727,1.19585,2.79065
2.71727,1.20889,2.90634
2.71727,1.22193,2.94377
2.71727,1.23498,2.8916
2.71727,1.24802,2.66515
2.71727,1.26107,2.32152
2.71727,1.27411,2.16731
2.71727,1.28715,1.76458
2.71727,1.3002,1.26827
2.71727,1.31324,1.00458
2.71727,1.32628,0.751349
2.71727,1.33933,0.476303
2.71727,1.35237,0.341952
2.71727,1.36541,0.216533
2.71727,1.37846,0.166879
2.71727,1.3915,0.196563
2.71727,1.40454,0.251541
2.71727,1.41759,0.281667
2.71727,1.43063,0.418755
2.71727,1.44367,0.54429
2.71727,1.45672,0.625054
2.71727,1.46976,0.639788
2.71727,1.4828,0.693094
2.71727,1.49585,0.682275
2.71727,1.50889,0.646001
2.71727,1.52193,0.54506
2.71727,1.53498,0.404946
2.71727,1.54802,0.335677
2.71727,1.56107,0.306538
2.71727,1.57411,0.245492
2.71727,1.58715,0.190754
2.71727,1.6002,0.216612
2.71727,1.61324,0.196722
2.71727,1.62628,0.210494
2.71727,1.63933,0.22602
2.71727,1.66541,0.33769
2.71727,1.67846,0.325768
2.71727,1.6915,0.397296
2.71727,1.70454,0.466845
2.71727,1.71759,0.600618
2.71727,1.73063,0.71932
2.71727,1.74367,1.04636
2.71727,1.75672,1.05238
2.71727,1.76976,1.28523
2.71727,1.7828,1.51131
2.71727,1.79585,1.79951
2.71727,1.80889,1.98911
2.71727,1.82193,2.15557
2.71727,1.83498,2.49751
2.71727,1.84802,2.51906
2.71727,1.86107,2.36411
2.71727,1.87411,2.22143
2.71727,1.88715,2.02527
2.71727,1.9002,1.91293
2.71727,1.91324,1.6425
2.71727,1.92628,1.40448
2.71727,1.93933,1.24037
2.71727,1.95237,0.912262
2.71727,1.96541,0.628454
2.71727,1.97846,0.483351
2.71727,1.9915,0.312372
2.71727,2.00454,0.157044
2.71727,2.01759,0.084295
2.71727,2.03063,0.0607314
2.71727,2.04367,0.0378837
