x,y,z
2.66509,1.26107,-28.6126
2.66509,1.27411,-29.7246
2.66509,1.28715,-31.0652
2.66509,1.3002,-31.8068
2.66509,1.31324,-32.2085
2.66509,1.36541,-28.572
2.66509,1.37846,-28.1449
2.66509,1.3915,-28.1449
2.66509,1.40454,-27.657
2.66509,1.41759,-27.1952
2.66509,1.46976,-26.634
2.66509,1.4828,-26.6819
2.66509,1.49585,-27.2143
2.66509,1.50889,-28.739
2.66509,1.52193,-29.2336
2.66509,1.56107,-35.2538
2.66509,1.57411,-35.1427
2.66509,1.58715,-35.1427
2.66509,1.6002,-37.5115
2.66509,1.61324,-40.252
2.67814,1.26107,-26.6877
2.67814,1.31324,-32.4516
2.67814,1.35237,-33.4189
2.67814,1.36541,-31.2767
2.67814,1.41759,-27.3154
2.67814,1.46976,-27.4341
2.67814,1.52193,-29.446
2.67814,1.56107,-35.4892
2.67814,1.61324,-45.2954
2.69118,1.26107,-25.433
2.69118,1.31324,-32.0804
2.69118,1.35237,-35.3983
2.69118,1.36541,-30.3186
2.69118,1.41759,-28.004
2.69118,1.46976,-28.2325
2.69118,1.52193,-30.4291
2.69118,1.56107,-35.1473
2.69118,1.61324,-49.3715
2.70423,1.26107,-24.2874
2.70423,1.31324,-31.6996
2.70423,1.35237,-35.3983
2.70423,1.41759,-29.4835
2.70423,1.46976,-29.395
2.70423,1.52193,-30.9594
2.70423,1.61324,-43.9433
2.71727,1.13063,-29.0137
2.71727,1.14367,-27.9365
2.71727,1.15672,-27.3171
2.71727,1.16976,-26.8132
2.71727,1.1828,-25.9866
2.71727,1.19585,-25.5429
2.71727,1.20889,-25.3665
2.71727,1.22193,-25.311
2.71727,1.23498,-25.3886
2.71727,1.24802,-25.7428
2.71727,1.26107,-26.3423
2.71727,1.27411,-26.6408
2.71727,1.28715,-27.5336
2.71727,1.3002,-28.9679
2.71727,1.31324,-29.9802
2.71727,1.32628,-31.2416
2.71727,1.33933,-33.2212
2.71727,1.35237,-34.6604
2.71727,1.36541,-36.6448
2.71727,1.37846,-37.776
2.71727,1.3915,-37.065
2.71727,1.40454,-35.9939
2.71727,1.41759,-35.5026
2.71727,1.43063,-33.7804
2.71727,1.44367,-32.6417
2.71727,1.45672,-32.0408
2.71727,1.46976,-31.9396
2.71727,1.4828,-31.5921
2.71727,1.49585,-31.6604
2.71727,1.50889,-31.8977
2.71727,1.52193,-32.6356
2.71727,1.53498,-33.926
2.71727,1.54802,-34.7408
2.71727,1.56107,-35.1352
2.71727,1.57411,-36.0996
2.71727,1.58715,-37.1953
2.71727,1.6002,-36.6432
2.71727,1.61324,-37.0615
2.71727,1.62628,-36.7676
2.71727,1.63933,-36.4585
2.71727,1.66541,-34.7148
2.71727,1.67846,-34.8709
2.71727,1.6915,-34.0089
2.71727,1.70454,-33.3083
2.71727,1.71759,-32.214
2.71727,1.73063,-31.4308
2.71727,1.74367,-29.8032
2.71727,1.75672,-29.7783
2.71727,1.76976,-28.9102
2.71727,1.7828,-28.2065
2.71727,1.79585,-27.4485
2.71727,1.80889,-27.0134
2.71727,1.82193,-26.6644
2.71727,1.83498,-26.0249
2.71727,1.84802,-25.9876
2.71727,1.86107,-26.2633
2.71727,1.87411,-26.5337
2.71727,1.88715,-26.9352
2.71727,1.9002,-27.183
2.71727,1.91324,-27.8449
2.71727,1.92628,-28.5249
2.71727,1.93933,-29.0645
2.71727,1.95237,-30.3988
2.71727,1.96541,-32.0173
2.71727,1.97846,-33.1574
2.71727,1.9915,-35.0533
2.71727,2.00454,-38.0398
2.71727,2.01759,-40.742
2.71727,2.03063,-42.1659
2.71727,2.04367,-44.2155
2.71727,2.05672,-33.1829
2.71727,2.06976,-34.2799
2.71727,2.0828,-35.7508
2.71727,2.09585,-34.2114
2.71727,2.10889,-32.9303
2.71727,2.12193,-31.3151
2.71727,2.13498,-30.1799
2.71727,2.14802,-29.0361
2.71727,2.16107,-29.7489
2.71727,2.17411,-29.3605
2.71727,2.18715,-29.3004
2.71727,2.2002,-28.7741
2.71727,2.21324,-28.843
2.71727,2.22628,-29.2098
2.71727,2.23933,-28.4469
2.71727,2.25237,-29.5472
2.71727,2.26541,-30.6057
2.71727,2.27846,-30.7596
2.71727,2.2915,-32.1513
2.71727,2.30454,-32.1502
2.71727,2.31759,-32.9317
2.71727,2.33063,-33.2713
2.73031,1.13063,-28.2877
2.73031,1.14367,-27.1936
2.73031,1.15672,-26.4776
2.73031,1.16976,-26.1249
2.73031,1.1828,-25.4408
2.73031,1.19585,-25.0164
2.73031,1.20889,-24.729
2.73031,1.22193,-24.5076
2.73031,1.23498,-24.6014
2.73031,1.24802,-25.1726
2.73031,1.26107,-24.9539
2.73031,1.27411,-25.9709
2.73031,1.28715,-27.3202
2.73031,1.3002,-27.5543
2.73031,1.31324,-28.8998
2.73031,1.32628,-30.7417
2.73031,1.33933,-33.2357
2.73031,1.35237,-33.7129
2.73031,1.36541,-35.7837
2.73031,1.37846,-37.5881
2.73031,1.3915,-38.4238
2.73031,1.40454,-37.1391
2.73031,1.41759,-35.9758
2.73031,1.43063,-35.3747
2.73031,1.44367,-34.1105
2.73031,1.45672,-33.6658
2.73031,1.46976,-33.1391
2.73031,1.4828,-32.5275
2.73031,1.49585,-33.0125
2.73031,1.50889,-33.454
2.73031,1.52193,-33.5809
2.73031,1.53498,-36.7923
2.73031,1.54802,-37.2424
2.73031,1.56107,-38.8188
2.73031,1.57411,-37.2387
2.73031,1.58715,-37.9223
2.73031,1.6002,-37.6903
2.73031,1.61324,-37.0844
2.73031,1.62628,-37.142
2.73031,1.63933,-35.9816
2.73031,1.65237,-35.1855
2.73031,1.66541,-34.2267
2.73031,1.67846,-34.3001
2.73031,1.6915,-32.7733
2.73031,1.70454,-32.3986
2.73031,1.71759,-31.9286
2.73031,1.73063,-32.3784
2.73031,1.74367,-30.4512
2.73031,1.75672,-29.5539
2.73031,1.76976,-28.935
2.73031,1.7828,-28.2407
2.73031,1.79585,-26.8064
2.73031,1.80889,-27.0553
2.73031,1.82193,-27.5466
2.73031,1.83498,-26.5869
2.73031,1.84802,-26.6722
2.73031,1.86107,-27.6537
2.73031,1.87411,-27.1082
2.73031,1.88715,-27.4109
2.73031,1.9002,-27.0433
2.73031,1.91324,-27.5468
2.73031,1.92628,-27.0872
2.73031,1.93933,-27.5249
2.73031,1.95237,-28.0313
2.73031,1.96541,-31.3102
2.73031,1.97846,-32.0492
2.73031,1.9915,-33.4839
2.73031,2.00454,-35.7446
2.73031,2.01759,-40.1721
2.73031,2.03063,-40.9514
2.73031,2.04367,-42.2435
2.73031,2.05672,-32.9625
2.73031,2.06976,-34.0084
2.73031,2.0828,-34.6494
2.73031,2.09585,-31.0577
2.73031,2.10889,-32.4396
2.73031,2.12193,-30.3776
