x,y,z
2.72574,1.1423,3.99424
2.72574,1.15534,5.66957
2.72574,1.16839,7.12776
2.72574,1.18143,8.13072
2.72574,1.19447,9.69367
2.72574,1.20752,11.0326
2.72574,1.22056,11.2174
2.72574,1.2336,12.1195
2.72574,1.24665,11.8673
2.72574,1.25969,9.90372
2.72574,1.27273,8.53218
2.72574,1.28578,5.86059
2.72574,1.29882,2.36096
2.72574,1.31186,0.763868
2.72574,1.32491,-2.41073
2.72574,1.33795,-4.87391
2.72574,1.35099,-7.43403
2.72574,1.36404,-9.92164
2.72574,1.37708,-12.3335
2.72574,1.39013,-12.474
2.72574,1.40317,-11.892
2.72574,1.41621,-11.1905
2.72574,1.42926,-10.4294
2.72574,1.4423,-10.2053
2.72574,1.45534,-9.74005
2.72574,1.46839,-9.65161
2.72574,1.48143,-9.54104
2.72574,1.49447,-10.0373
2.72574,1.50752,-10.447
2.72574,1.52056,-11.154
2.72574,1.5336,-12.4663
2.72574,1.54665,-13.9087
2.72574,1.55969,-14.3586
2.72574,1.57273,-14.4721
2.72574,1.58578,-14.5914
2.72574,1.59882,-15.5153
2.72574,1.61186,-14.2002
2.72574,1.62491,-14.2896
2.72574,1.63795,-13.3618
2.72574,1.65099,-11.2088
2.72574,1.66404,-10.9314
2.72574,1.67708,-10.302
2.72574,1.69013,-7.73349
2.72574,1.70317,-6.9265
2.72574,1.71621,-5.30132
2.72574,1.72926,-4.17583
2.72574,1.7423,-1.47322
2.72574,1.75534,-0.983381
2.72574,1.76839,-0.746832
2.72574,1.78143,-0.414749
2.72574,1.79447,-0.509551
2.72574,1.80752,-0.797982
2.72574,1.82056,-1.161
2.72574,1.8336,-1.70375
2.72574,1.84665,-2.23657
2.72574,1.85969,-3.2629
2.72574,1.87273,-3.2929
2.72574,1.88578,-3.53615
2.72574,1.89882,-3.42148
2.72574,1.91186,-3.63406
2.72574,1.92491,-4.4631
2.72574,1.93795,-3.9331
2.72574,1.95099,-4.29503
2.72574,1.96404,-5.26975
2.72574,1.97708,-5.21989
2.72574,1.99013,-5.72071
2.72574,2.00317,-6.9843
2.72574,2.01621,-8.99592
2.72574,2.02926,-8.93349
2.72574,2.0423,-10.7456
2.72574,2.05534,-1.5406
2.72574,2.06839,-4.02542
2.72574,2.08143,-4.81458
2.72574,2.09447,-3.83256
2.72574,2.10752,-4.75367
2.72574,2.12056,-3.27382
2.72574,2.1336,-2.4923
2.72574,2.14665,-1.72733
2.72574,2.15969,-2.45813
2.72574,2.17273,-2.32146
2.72574,2.18578,-2.19973
2.72574,2.19882,-1.71195
2.72574,2.21186,-2.0003
2.72574,2.22491,-2.3059
2.72574,2.23795,-1.87885
2.72574,2.25099,-3.16211
2.72574,2.26404,-4.58634
2.72574,2.27708,-5.03989
2.72574,2.29013,-6.64974
2.72574,2.30317,-6.90651
2.72574,2.31621,-8.0657
2.72574,2.32926,-9.12022
2.72574,2.3423,-9.58627
2.72574,2.35534,-10.3062
2.73878,1.1423,2.57175
2.73878,1.15534,4.46821
2.73878,1.16839,6.2882
2.73878,1.18143,7.26585
2.73878,1.19447,8.60812
2.73878,1.20752,10.0553
2.73878,1.22056,10.2282
2.73878,1.2336,11.2191
2.73878,1.24665,11.4439
2.73878,1.25969,10.1535
2.73878,1.27273,8.86279
2.73878,1.28578,6.84464
2.73878,1.29882,4.63064
2.73878,1.31186,2.69484
2.73878,1.32491,-0.316543
2.73878,1.33795,-2.79988
2.73878,1.35099,-5.5796
2.73878,1.36404,-7.45708
2.73878,1.37708,-10.0367
2.73878,1.39013,-12.4446
2.73878,1.40317,-13.0931
2.73878,1.41621,-13.9774
2.73878,1.42926,-13.5453
2.73878,1.4423,-12.9216
2.73878,1.45534,-12.1999
2.73878,1.46839,-12.4609
2.73878,1.48143,-11.3496
2.73878,1.49447,-12.1627
2.73878,1.50752,-12.2695
2.73878,1.52056,-12.3064
2.73878,1.5336,-15.3707
2.73878,1.54665,-15.4482
2.73878,1.55969,-17.736
2.73878,1.57273,-15.4516
2.73878,1.58578,-17.3709
2.73878,1.59882,-17.5714
2.73878,1.61186,-14.9751
2.73878,1.62491,-15.1614
2.73878,1.63795,-14.9744
2.73878,1.65099,-13.6518
2.73878,1.66404,-11.9385
2.73878,1.67708,-10.8323
2.73878,1.69013,-8.97654
2.73878,1.70317,-7.55822
2.73878,1.71621,-6.62296
2.73878,1.72926,-4.3484
2.73878,1.7423,-3.65835
2.73878,1.75534,-2.85341
2.73878,1.76839,-1.6584
2.73878,1.78143,-1.44125
2.73878,1.79447,-0.960476
2.73878,1.80752,-1.5081
2.73878,1.82056,-1.57872
2.73878,1.8336,-2.08674
2.73878,1.84665,-1.83382
2.73878,1.85969,-2.60396
2.73878,1.87273,-2.73003
2.73878,1.88578,-2.9094
2.73878,1.89882,-3.95878
2.73878,1.91186,-2.80916
2.73878,1.92491,-4.14819
2.73878,1.93795,-4.4907
2.73878,1.95099,-4.36992
2.73878,1.96404,-4.02162
2.73878,1.97708,-3.95757
2.73878,1.99013,-5.76385
2.73878,2.00317,-4.03285
2.73878,2.01621,-6.66071
2.73878,2.02926,-6.36938
2.73878,2.0423,-5.73554
2.73878,2.05534,-5.47323
2.73878,2.06839,-4.79654
2.73878,2.08143,-4.66911
