x,y,z
2.66995,1.12488,0.547611
2.66995,1.13792,0.547611
2.66995,1.15097,0.256649
2.66995,1.16401,0.305425
2.66995,1.17705,0.229726
2.66995,1.1901,0.253262
2.66995,1.20314,0.239149
2.66995,1.21618,0.277023
2.66995,1.22923,0.434335
2.66995,1.24227,0.274625
2.66995,1.25531,0.42738
2.66995,1.26836,0.588711
2.66995,1.2814,0.495743
2.66995,1.29444,0.580436
2.66995,1.30749,0.185508
2.66995,1.32053,0.149895
2.66995,1.33357,0.0882822
2.66995,1.34662,0.193918
2.66995,1.35966,0.307611
2.66995,1.3727,0.238025
2.66995,1.38575,0.0477704
2.66995,1.39879,0.0401759
2.66995,1.41184,0.0462877
2.66995,1.42488,0.151982
2.66995,1.43792,0.184011
2.66995,1.45097,0.164641
2.66995,1.46401,0.165651
2.66995,1.47705,0.483094
2.66995,1.4901,0.432917
2.66995,1.50314,0.0715205
2.66995,1.51618,0.129114
2.66995,1.52923,0.161766
2.66995,1.54227,0.112586
2.66995,1.55531,0.0906955
2.66995,1.56836,0.103449
2.66995,1.5814,0.184516
2.66995,1.59444,0.35857
2.66995,1.60749,0.382349
2.66995,1.62053,0.213749
2.66995,1.63357,0.190969
2.66995,1.64662,0.185505
2.66995,1.65966,0.0622294
2.66995,1.6727,0.387435
2.66995,1.68575,0.433642
2.66995,1.69879,0.20058
2.66995,1.71184,0.2481
2.66995,1.72488,0.344845
2.66995,1.73792,0.498472
2.66995,1.75097,0.89672
2.66995,1.76401,1.01906
2.66995,1.77705,0.853782
2.66995,1.7901,0.60741
2.66995,1.80314,0.449301
2.66995,1.81618,0.581566
2.66995,1.82923,0.438145
2.66995,1.84227,0.318096
2.66995,1.85531,0.712316
2.66995,1.86836,0.668825
2.66995,1.8814,0.851263
2.66995,1.89444,0.793975
2.66995,1.90749,0.660259
2.66995,1.92053,0.629704
2.66995,1.93357,0.0308516
2.66995,1.94662,0.0637329
2.66995,1.95966,0.0582337
2.66995,1.9727,0.512251
2.66995,1.98575,0.165842
2.66995,1.99879,0.281519
2.66995,2.01184,0.719269
2.66995,2.02488,0.991965
2.66995,2.03792,0.256077
2.66995,2.05097,0.240886
2.66995,2.06401,0.0009262
2.66995,2.07705,0.0125854
2.66995,2.0901,0.00489867
2.66995,2.10314,0.0298877
2.66995,2.11618,0.283021
2.66995,2.12923,0.295075
2.66995,2.14227,0.333314
2.66995,2.15531,0.395891
2.66995,2.16836,0.506135
2.66995,2.1814,0.420425
2.66995,2.19444,0.489145
2.66995,2.20749,0.75798
2.66995,2.22053,0.0747377
2.66995,2.23357,0.0744824
2.66995,2.24662,0.0288272
2.66995,2.25966,0.322079
2.66995,2.2727,0.20879
2.66995,2.28575,0.151551
2.66995,2.29879,0.381888
2.66995,2.31184,0.46802
2.66995,2.32488,0.46446
2.66995,2.33792,0.400045
2.66995,2.35097,0.460243
2.66995,2.36401,0.460243
2.68299,1.12488,0.547611
2.68299,1.13792,0.547611
2.68299,1.15097,0.383094
2.68299,1.16401,0.576445
2.68299,1.17705,0.341015
2.68299,1.1901,0.412804
2.68299,1.20314,0.343136
2.68299,1.21618,0.376792
2.68299,1.22923,0.49528
2.68299,1.24227,0.348306
2.68299,1.25531,0.448829
2.68299,1.26836,0.553452
2.68299,1.2814,0.341332
2.68299,1.29444,0.419895
2.68299,1.30749,0.163772
2.68299,1.32053,0.168257
2.68299,1.33357,0.0983127
2.68299,1.34662,0.137901
2.68299,1.35966,0.0838442
2.68299,1.3727,0.232883
2.68299,1.38575,0.0478455
2.68299,1.39879,0.173251
2.68299,1.41184,0.0616211
2.68299,1.42488,0.153535
2.68299,1.43792,0.13801
2.68299,1.45097,0.193096
2.68299,1.46401,0.187236
2.68299,1.47705,0.560052
2.68299,1.4901,0.645934
2.68299,1.50314,0.291049
2.68299,1.51618,0.257653
2.68299,1.52923,0.242385
2.68299,1.54227,0.567576
2.68299,1.55531,0.184764
2.68299,1.56836,0.357189
2.68299,1.5814,0.576391
2.68299,1.59444,0.285992
2.68299,1.60749,0.425882
2.68299,1.62053,0.350179
2.68299,1.63357,0.310574
2.68299,1.64662,0.168042
2.68299,1.65966,0.561225
2.68299,1.6727,0.408048
2.68299,1.68575,0.404323
2.68299,1.69879,0.282703
2.68299,1.71184,0.247744
2.68299,1.72488,0.316572
2.68299,1.73792,0.26677
2.68299,1.75097,0.548072
2.68299,1.76401,0.912323
2.68299,1.77705,0.475541
2.68299,1.7901,0.448112
2.68299,1.80314,0.329495
2.68299,1.81618,0.719453
2.68299,1.82923,0.463911
2.68299,1.84227,0.441236
2.68299,1.85531,0.560786
2.68299,1.86836,0.508835
2.68299,1.8814,0.466731
2.68299,1.89444,0.788675
2.68299,1.90749,0.301252
2.68299,1.92053,0.556746
2.68299,1.93357,0.43916
2.68299,1.94662,0.365771
2.68299,1.95966,0.251956
2.68299,1.9727,0.550013
2.68299,1.98575,0.175904
2.68299,1.99879,0.274406
2.68299,2.01184,0.28072
2.68299,2.02488,0.718786
2.68299,2.03792,0.242006
2.68299,2.05097,0.1898
2.68299,2.06401,0.260689
2.68299,2.07705,0.20638
2.68299,2.0901,0.175486
2.68299,2.10314,0.114246
2.68299,2.11618,0.166043
2.68299,2.12923,0.123324
2.68299,2.14227,0.177345
2.68299,2.15531,0.329755
2.68299,2.16836,0.202381
2.68299,2.1814,0.237013
2.68299,2.19444,0.18104
2.68299,2.20749,0.316941
2.68299,2.22053,0.0763319
2.68299,2.23357,0.14197
2.68299,2.24662,0.075542
2.68299,2.25966,0.345975
2.68299,2.2727,0.138731
2.68299,2.28575,0.219008
2.68299,2.29879,0.183193
2.68299,2.31184,0.422215
2.68299,2.32488,0.572738
2.68299,2.33792,0.344574
2.68299,2.35097,0.733474
2.68299,2.36401,0.722775
2.69603,1.12488,0.557983
2.69603,1.13792,0.557983
2.69603,1.15097,0.284478
2.69603,1.16401,0.513033
2.69603,1.17705,0.227668
2.69603,1.1901,0.264025
2.69603,1.20314,0.0367061
2.69603,1.21618,0.287663
2.69603,1.22923,0.462433
2.69603,1.24227,0.0698263
2.69603,1.25531,0.312725
2.69603,1.26836,0.642858
2.69603,1.2814,0.131919
2.69603,1.29444,0.44979
2.69603,1.30749,0.132282
2.69603,1.32053,0.208788
2.69603,1.33357,0.048432
2.69603,1.34662,0.125911
2.69603,1.35966,0.132929
2.69603,1.3727,0.157123
2.69603,1.38575,0.0543548
2.69603,1.39879,0.0458193
2.69603,1.41184,0.0542184
2.69603,1.42488,0.11293
2.69603,1.43792,0.0427099
2.69603,1.45097,0.0816773
2.69603,1.46401,0.0692837
2.69603,1.47705,0.437913
2.69603,1.4901,0.441086
2.69603,1.50314,0.0263091
2.69603,1.51618,0.137618
2.69603,1.52923,0.202865
2.69603,1.54227,0.197357
2.69603,1.55531,0.14042
2.69603,1.56836,0.165589
2.69603,1.5814,0.0885414
2.69603,1.59444,0.184483
2.69603,1.60749,0.144324
2.69603,1.62053,0.212967
2.69603,1.63357,0.183289
2.69603,1.64662,0.148782
2.69603,1.65966,0.206657
2.69603,1.6727,0.330948
2.69603,1.68575,0.444858
2.69603,1.69879,0.217103
2.69603,1.71184,0.206709
2.69603,1.72488,0.270235
2.69603,1.73792,0.358935
2.69603,1.75097,0.498723
2.69603,1.76401,1.06513
2.69603,1.77705,0.547506
2.69603,1.7901,0.788505
2.69603,1.80314,0.350074
2.69603,1.81618,0.461541
2.69603,1.82923,0.431298
2.69603,1.84227,0.214308
2.69603,1.85531,0.735412
2.69603,1.86836,0.625275
2.69603,1.8814,0.429706
