x,y,z
2.68001,1.13469,-0.0677926
2.68001,1.16729,-1.35017
2.68001,1.1999,-1.93367
2.68001,1.23251,-1.0356
2.68001,1.26512,0.20757
2.68001,1.29773,-0.842468
2.68001,1.33034,-4.49885
2.68001,1.36295,-1.63967
2.68001,1.39556,-7.61111
2.68001,1.42816,-3.00296
2.68001,1.46077,-0.0564061
2.68001,1.49338,1.07874
2.68001,1.52599,-2.6644
2.68001,1.5586,-3.30026
2.68001,1.59121,0.311076
2.68001,1.62382,-0.601776
2.68001,1.65643,-0.868429
2.68001,1.68903,-0.0357608
2.68001,1.72164,-2.83989
2.68001,1.75425,0.289789
2.68001,1.78686,-2.19816
2.68001,1.81947,-3.5889
2.68001,1.85208,-3.53111
2.68001,1.88469,-2.21921
2.68001,1.91729,-3.43626
2.68001,1.9499,-7.26761
2.68001,1.98251,-5.39013
2.68001,2.01512,-1.4543
2.68001,2.04773,-5.71639
2.68001,2.08034,-8.28821
2.68001,2.11295,-5.42615
2.68001,2.14556,-2.41917
2.68001,2.17816,-2.21384
2.68001,2.21077,-2.98962
2.68001,2.24338,-4.52422
2.68001,2.27599,-5.95228
2.68001,2.3086,-3.32384
2.68001,2.34121,-3.24461
2.68001,2.37382,-1.50842
2.71262,1.13469,0.0781607
2.71262,1.16729,-2.31357
2.71262,1.1999,-2.9881
2.71262,1.23251,0.598693
2.71262,1.26512,0.488162
2.71262,1.29773,-2.53314
2.71262,1.33034,-5.29641
2.71262,1.36295,-2.67439
2.71262,1.39556,-6.19953
2.71262,1.42816,-5.35633
2.71262,1.46077,-0.406346
2.71262,1.49338,1.83937
2.71262,1.52599,-3.96994
2.71262,1.5586,-3.37141
2.71262,1.59121,-4.6333
2.71262,1.62382,-3.40944
2.71262,1.65643,-1.66793
2.71262,1.68903,0.347568
2.71262,1.72164,-3.87375
2.71262,1.75425,0.790153
2.71262,1.78686,-2.15117
2.71262,1.81947,-3.46082
2.71262,1.85208,-3.23551
2.71262,1.88469,-1.77084
2.71262,1.91729,-4.1148
2.71262,1.9499,-12.3456
2.71262,1.98251,-4.76565
2.71262,2.01512,4.94073
2.71262,2.04773,-2.50971
2.71262,2.08034,-5.83128
2.71262,2.11295,-4.9787
2.71262,2.14556,-0.0388282
2.71262,2.17816,-3.59016
2.71262,2.21077,-2.18015
2.71262,2.24338,-0.67391
2.71262,2.27599,-8.02827
2.71262,2.3086,-2.74887
2.71262,2.34121,-8.38144
2.71262,2.37382,1.28541
2.74522,1.13469,-0.890497
2.74522,1.16729,-3.06195
2.74522,1.1999,-3.08496
2.74522,1.23251,-0.506535
2.74522,1.26512,-0.544193
2.74522,1.29773,-2.90413
2.74522,1.33034,-3.32642
2.74522,1.36295,-2.20302
2.74522,1.39556,-4.80267
2.74522,1.42816,-4.71303
2.74522,1.46077,-0.3533
2.74522,1.49338,0.999552
2.74522,1.52599,-4.49472
2.74522,1.5586,-3.55077
2.74522,1.59121,-6.44678
2.74522,1.62382,-3.27075
2.74522,1.65643,-2.57689
2.74522,1.68903,-1.82043
2.74522,1.72164,-3.42454
