x,y,z
2.68513,1.14047,-5.05529
2.68513,1.17307,-5.73716
2.68513,1.20568,-6.21196
2.68513,1.23829,-5.10233
2.68513,1.2709,-3.83563
2.68513,1.30351,-5.73259
2.68513,1.33612,-9.19835
2.68513,1.36873,-6.07564
2.68513,1.40134,-10.0233
2.68513,1.43394,-7.02712
2.68513,1.46655,-4.54583
2.68513,1.49916,-4.82212
2.68513,1.53177,-6.1082
2.68513,1.56438,-7.19262
2.68513,1.59699,-5.14848
2.68513,1.6296,-5.52394
2.68513,1.6622,-5.22274
2.68513,1.69481,-4.98846
2.68513,1.72742,-5.79362
2.68513,1.76003,-3.28461
2.68513,1.79264,-5.63738
2.68513,1.82525,-6.60678
2.68513,1.85786,-6.1552
2.68513,1.89047,-5.66151
2.68513,1.92307,-6.37558
2.68513,1.95568,-9.37788
2.68513,1.98829,-8.37062
2.68513,2.0209,-4.46439
2.68513,2.05351,-7.80238
2.68513,2.08612,-9.25996
2.68513,2.11873,-9.6172
2.68513,2.15134,-7.29853
2.68513,2.18394,-8.30895
2.68513,2.21655,-9.42887
2.68513,2.24916,-8.27483
2.68513,2.28177,-10.9938
2.68513,2.31438,-7.69111
2.68513,2.34699,-7.29896
2.68513,2.3796,-3.83809
2.71774,1.14047,-5.12435
2.71774,1.17307,-7.66346
2.71774,1.20568,-7.38471
2.71774,1.23829,-4.43274
2.71774,1.2709,-3.66718
2.71774,1.30351,-6.59689
2.71774,1.33612,-9.19787
2.71774,1.36873,-7.14267
2.71774,1.40134,-9.74377
2.71774,1.43394,-8.97643
2.71774,1.46655,-5.07407
2.71774,1.49916,-5.22322
2.71774,1.53177,-8.32892
2.71774,1.56438,-8.39547
2.71774,1.59699,-10.5985
2.71774,1.6296,-6.73283
2.71774,1.6622,-5.54958
2.71774,1.69481,-5.70967
2.71774,1.72742,-7.65213
2.71774,1.76003,-3.35718
2.71774,1.79264,-5.2301
2.71774,1.82525,-6.55524
2.71774,1.85786,-5.63927
2.71774,1.89047,-5.67363
2.71774,1.92307,-7.01856
2.71774,1.95568,-17.8025
2.71774,1.98829,-8.63085
2.71774,2.0209,-1.61027
2.71774,2.05351,-8.25215
2.71774,2.08612,-18.3026
2.71774,2.11873,-11.2471
2.71774,2.15134,-4.6099
2.71774,2.18394,-9.04957
2.71774,2.21655,-7.82596
2.71774,2.24916,-6.22988
2.71774,2.28177,-12.6375
2.71774,2.31438,-7.65318
2.71774,2.34699,-12.373
2.71774,2.3796,-2.33392
2.75034,1.14047,-5.37666
2.75034,1.17307,-7.05138
2.75034,1.20568,-6.93057
2.75034,1.23829,-4.91282
2.75034,1.2709,-4.54589
2.75034,1.30351,-6.28316
2.75034,1.33612,-7.63652
2.75034,1.36873,-6.70333
2.75034,1.40134,-8.3775
2.75034,1.43394,-8.49046
2.75034,1.46655,-4.4194
2.75034,1.49916,-5.70901
2.75034,1.53177,-8.93908
2.75034,1.56438,-8.11488
2.75034,1.59699,-10.5051
