x,y,z
2.6702,1.12474,0.179776
2.6702,1.13779,0.179776
2.6702,1.15083,0.150238
2.6702,1.16387,0.132071
2.6702,1.17692,0.141647
2.6702,1.18996,0.153943
2.6702,1.203,0.183597
2.6702,1.21605,0.212873
2.6702,1.22909,0.219617
2.6702,1.24213,0.271275
2.6702,1.25518,0.280878
2.6702,1.26822,0.283525
2.6702,1.28127,0.272559
2.6702,1.29431,0.264145
2.6702,1.30735,0.28038
2.6702,1.3204,0.251619
2.6702,1.33344,0.268167
2.6702,1.34648,0.200605
2.6702,1.35953,0.175893
2.6702,1.37257,0.153326
2.6702,1.38561,0.145766
2.6702,1.39866,0.14949
2.6702,1.4117,0.134362
2.6702,1.42474,0.154749
2.6702,1.43779,0.166643
2.6702,1.45083,0.185217
2.6702,1.46387,0.196412
2.6702,1.47692,0.204501
2.6702,1.48996,0.222744
2.6702,1.503,0.226361
2.6702,1.51605,0.249849
2.6702,1.52909,0.248017
2.6702,1.54213,0.260996
2.6702,1.55518,0.218282
2.6702,1.56822,0.216848
2.6702,1.58127,0.186289
2.6702,1.59431,0.185813
2.6702,1.60735,0.17479
2.6702,1.6204,0.188509
2.6702,1.63344,0.180377
2.6702,1.64648,0.166993
2.6702,1.65953,0.195841
2.6702,1.67257,0.197231
2.6702,1.68561,0.225326
2.6702,1.69866,0.26187
2.6702,1.7117,0.281001
2.6702,1.72474,0.285108
2.6702,1.73779,0.297017
2.6702,1.75083,0.308895
2.6702,1.76387,0.295245
2.6702,1.77692,0.320055
2.6702,1.78996,0.307722
2.6702,1.803,0.318403
2.6702,1.81605,0.336279
2.6702,1.82909,0.328211
2.6702,1.84213,0.348688
2.6702,1.85518,0.323185
2.6702,1.86822,0.303224
2.6702,1.88127,0.305871
2.6702,1.89431,0.30138
2.6702,1.90735,0.310486
2.6702,1.9204,0.302349
2.6702,1.93344,0.275439
2.6702,1.94648,0.287223
2.6702,1.95953,0.288461
2.6702,1.97257,0.288161
2.6702,1.98561,0.2831
2.6702,1.99866,0.280394
2.6702,2.0117,0.295932
2.6702,2.02474,0.288933
2.6702,2.03779,0.272906
2.6702,2.05083,0.283721
2.6702,2.06387,0.257382
