x,y,z
2.68001,1.13469,-4.29163
2.68001,1.16729,-4.78743
2.68001,1.1999,-4.16386
2.68001,1.23251,-3.06639
2.68001,1.26512,-2.35288
2.68001,1.29773,-1.8793
2.68001,1.33034,-1.4825
2.68001,1.36295,-2.67591
2.68001,1.39556,-3.61292
2.68001,1.42816,-3.10999
2.68001,1.46077,-2.21591
2.68001,1.49338,-1.70207
2.68001,1.52599,-1.61861
2.68001,1.5586,-1.93622
2.68001,1.59121,-2.54686
2.68001,1.62382,-2.51308
2.68001,1.65643,-3.10986
2.68001,1.68903,-2.33306
2.68001,1.72164,-3.10412
2.68001,1.75425,-4.0959
2.68001,1.78686,-4.9887
2.68001,1.81947,-5.70763
2.68001,1.85208,-5.93998
2.68001,1.88469,-5.91693
2.68001,1.91729,-5.79995
2.68001,1.9499,-5.6268
2.68001,1.98251,-5.68663
2.68001,2.01512,-5.43142
2.68001,2.04773,-5.33982
2.68001,2.08034,-3.97751
2.68001,2.11295,-3.01092
2.68001,2.14556,-2.98959
2.68001,2.17816,-2.81291
2.68001,2.21077,-2.94289
2.68001,2.24338,-3.62079
2.68001,2.27599,-3.51548
2.68001,2.3086,-3.8012
2.68001,2.34121,-3.60674
2.68001,2.37382,-4.30775
2.71262,1.13469,-3.35737
2.71262,1.16729,-4.62184
2.71262,1.1999,-3.99916
2.71262,1.23251,-3.25515
2.71262,1.26512,-2.84003
2.71262,1.29773,-2.2751
2.71262,1.33034,-2.20669
2.71262,1.36295,-3.50005
2.71262,1.39556,-5.06421
2.71262,1.42816,-4.25579
2.71262,1.46077,-3.12613
2.71262,1.49338,-1.35717
2.71262,1.52599,-1.3016
2.71262,1.5586,-1.33697
2.71262,1.59121,-2.63591
2.71262,1.62382,-3.21167
2.71262,1.65643,-3.64465
2.71262,1.68903,-2.94097
2.71262,1.72164,-2.60455
2.71262,1.75425,-3.51288
2.71262,1.78686,-5.11313
2.71262,1.81947,-5.66148
2.71262,1.85208,-6.09757
2.71262,1.88469,-6.13695
2.71262,1.91729,-5.56633
2.71262,1.9499,-5.51205
2.71262,1.98251,-5.73084
2.71262,2.01512,-4.87224
2.71262,2.04773,-4.77156
2.71262,2.08034,-3.66195
2.71262,2.11295,-3.20912
2.71262,2.14556,-2.83653
2.71262,2.17816,-2.57487
2.71262,2.21077,-2.66273
2.71262,2.24338,-3.5947
2.71262,2.27599,-3.6216
2.71262,2.3086,-4.52342
2.71262,2.34121,-4.09138
2.71262,2.37382,-4.67063
2.74522,1.13469,-5.36092
2.74522,1.16729,-5.74137
2.74522,1.1999,-5.41189
2.74522,1.23251,-4.86845
2.74522,1.26512,-3.87076
2.74522,1.29773,-3.07306
2.74522,1.33034,-2.63997
2.74522,1.36295,-3.80778
2.74522,1.39556,-5.85698
2.74522,1.42816,-5.39734
2.74522,1.46077,-3.75643
2.74522,1.49338,-2.1744
2.74522,1.52599,-1.67776
2.74522,1.5586,-1.55459
2.74522,1.59121,-2.17616
2.74522,1.62382,-2.75592
2.74522,1.65643,-3.90517
2.74522,1.68903,-3.81818
2.74522,1.72164,-3.28984
2.74522,1.75425,-3.89489
2.74522,1.78686,-5.0482
2.74522,1.81947,-5.83263
2.74522,1.85208,-6.25958
2.74522,1.88469,-6.38959
2.74522,1.91729,-6.45832
2.74522,1.9499,-6.518
2.74522,1.98251,-6.07839
2.74522,2.01512,-6.14604
2.74522,2.04773,-5.99606
2.74522,2.08034,-5.02508
2.74522,2.11295,-4.08775
2.74522,2.14556,-3.60572
2.74522,2.17816,-3.39516
2.74522,2.21077,-3.75209
2.74522,2.24338,-4.24005
2.74522,2.27599,-4.98467
2.74522,2.3086,-4.98678
2.74522,2.34121,-5.09139
2.74522,2.37382,-5.16377
2.77783,1.13469,-7.02528
2.77783,1.16729,-6.7294
2.77783,1.1999,-6.37793
2.77783,1.23251,-6.49112
2.77783,1.26512,-5.31483
2.77783,1.29773,-4.7741
2.77783,1.33034,-4.18912
2.77783,1.36295,-5.02776
2.77783,1.39556,-6.0537
2.77783,1.42816,-6.60578
2.77783,1.46077,-5.26833
2.77783,1.49338,-3.74917
2.77783,1.52599,-2.51069
2.77783,1.5586,-1.92115
2.77783,1.59121,-2.2625
2.77783,1.62382,-3.12314
2.77783,1.65643,-4.27404
2.77783,1.68903,-4.34509
2.77783,1.72164,-3.84113
2.77783,1.75425,-3.77934
2.77783,1.78686,-4.47616
2.77783,1.81947,-5.81451
2.77783,1.85208,-6.29702
2.77783,1.88469,-6.51705
2.77783,1.91729,-6.84849
2.77783,1.9499,-7.21406
2.77783,1.98251,-7.38928
2.77783,2.01512,-7.61653
