x,y,z
2.67608,1.13105,1.24975
2.67608,1.14409,1.24975
2.67608,1.15714,1.125
2.67608,1.17018,1.125
2.67608,1.18322,1.33907
2.67608,1.19627,1.33907
2.67608,1.20931,1.36904
2.67608,1.22235,1.5977
2.67608,1.2354,1.29504
2.67608,1.24844,1.13808
2.67608,1.26148,1.22135
2.67608,1.27453,1.21828
2.67608,1.28757,1.3549
2.67608,1.30061,1.2328
2.67608,1.31366,1.18374
2.67608,1.3267,1.01339
2.67608,1.33974,0.826281
2.67608,1.35279,0.801809
2.67608,1.36583,0.613258
2.67608,1.37888,0.698066
2.67608,1.39192,0.527076
2.67608,1.40496,0.608406
2.67608,1.41801,0.770884
2.67608,1.43105,0.770884
2.67608,1.44409,0.756359
2.67608,1.45714,0.831744
2.67608,1.47018,0.926721
2.67608,1.48322,1.0097
2.67608,1.49627,1.06709
2.67608,1.50931,1.04685
2.67608,1.52235,0.992016
2.67608,1.5354,1.16786
2.67608,1.54844,1.06502
2.67608,1.56148,1.15143
2.67608,1.57453,1.04322
2.67608,1.58757,1.12997
2.67608,1.60061,1.06055
2.67608,1.61366,1.06055
2.67608,1.6267,0.9107
2.67608,1.63974,0.9107
2.67608,1.65279,0.831602
2.67608,1.66583,0.934773
2.67608,1.67888,0.939217
2.67608,1.69192,1.18374
2.67608,1.70496,1.04527
2.67608,1.71801,1.17208
2.67608,1.73105,1.17208
2.67608,1.74409,1.32435
2.67608,1.75714,1.88103
2.67608,1.77018,1.69817
2.67608,1.78322,2.09201
2.67608,1.79627,2.22766
2.67608,1.80931,2.38702
2.67608,1.82235,2.17421
2.67608,1.8354,2.68632
2.67608,1.84844,2.38689
2.67608,1.86148,2.66016
2.67608,1.87453,2.55271
2.67608,1.88757,2.35335
2.67608,1.90061,2.32205
2.67608,1.91366,2.32205
2.67608,1.9267,2.06546
2.67608,1.93974,2.38085
2.67608,1.95279,2.14079
2.67608,1.96583,2.14079
2.67608,1.97888,2.0908
2.67608,1.99192,2.13541
2.67608,2.00496,2.14622
2.67608,2.01801,1.86901
2.67608,2.03105,2.0449
2.67608,2.04409,1.73338
2.67608,2.05714,1.91288
2.67608,2.07018,1.76124
2.67608,2.08322,1.81634
2.67608,2.09627,1.56
2.67608,2.10931,1.67697
2.67608,2.12235,1.54256
2.67608,2.1354,1.54256
2.67608,2.14844,1.54235
2.67608,2.16148,1.6926
2.67608,2.17453,1.62053
2.67608,2.18757,1.72528
2.67608,2.20061,1.52276
2.67608,2.21366,1.78067
2.67608,2.2267,1.5001
2.67608,2.23974,1.73505
2.67608,2.25279,1.80388
2.67608,2.26583,1.66152
2.67608,2.27888,1.73559
2.67608,2.29192,1.73559
2.67608,2.30496,1.88282
2.67608,2.31801,1.85504
2.67608,2.33105,2.20522
2.67608,2.34409,2.33001
2.67608,2.35714,2.43099
2.67608,2.37018,2.3963
2.67608,2.38322,2.23339
2.68912,1.13105,1.02212
2.68912,1.14409,1.02212
2.68912,1.15714,1.25284
2.68912,1.17018,1.22217
2.68912,1.18322,1.22217
2.68912,1.19627,1.50308
2.68912,1.20931,1.24546
2.68912,1.22235,1.40431
2.68912,1.2354,1.40431
2.68912,1.24844,1.3008
2.68912,1.26148,1.55002
2.68912,1.27453,1.55002
2.68912,1.28757,1.17787
2.68912,1.30061,1.17787
2.68912,1.31366,1.03333
2.68912,1.3267,1.03333
2.68912,1.33974,1.04057
2.68912,1.35279,1.04057
