x,y,z
2.67973,1.13466,4.91625
2.67973,1.16727,6.09881
2.67973,1.19988,6.51758
2.67973,1.23249,5.53278
2.67973,1.2651,4.21737
2.67973,1.2977,5.3948
2.67973,1.33031,9.13109
2.67973,1.36292,5.56249
2.67973,1.39553,11.1489
2.67973,1.42814,6.57113
2.67973,1.46075,4.5531
2.67973,1.49336,3.73844
2.67973,1.52597,7.39701
2.67973,1.55857,8.46537
2.67973,1.59118,4.722
2.67973,1.62379,5.62677
2.67973,1.6564,5.06286
2.67973,1.68901,3.95298
2.67973,1.72162,6.09557
2.67973,1.75423,2.70857
2.67973,1.78684,5.16969
2.67973,1.81944,6.43963
2.67973,1.85205,6.33416
2.67973,1.88466,5.37371
2.67973,1.91727,6.5757
2.67973,1.94988,10.515
2.67973,1.98249,8.46417
2.67973,2.0151,4.35753
2.67973,2.0477,8.76906
2.67973,2.08031,12.2376
2.67973,2.11292,9.98505
2.67973,2.14553,6.76653
2.67973,2.17814,6.72747
2.67973,2.21075,7.40342
2.67973,2.24336,8.45863
2.67973,2.27597,10.0774
2.67973,2.30857,6.78323
2.67973,2.34118,6.86825
2.67973,2.37379,4.50405
2.71234,1.13466,4.79218
2.71234,1.16727,6.88858
2.71234,1.19988,7.78786
2.71234,1.23249,4.12089
2.71234,1.2651,4.07703
2.71234,1.2977,7.07981
2.71234,1.33031,9.93748
2.71234,1.36292,6.79366
2.71234,1.39553,9.89289
2.71234,1.42814,9.09661
2.71234,1.46075,4.82523
2.71234,1.49336,3.05272
2.71234,1.52597,9.04536
2.71234,1.55857,8.2852
2.71234,1.59118,9.50205
2.71234,1.62379,7.56714
2.71234,1.6564,5.68923
2.71234,1.68901,3.77762
2.71234,1.72162,7.98603
2.71234,1.75423,2.87273
2.71234,1.78684,5.06294
2.71234,1.81944,6.60651
2.71234,1.85205,6.1993
2.71234,1.88466,5.06693
2.71234,1.91727,7.67012
2.71234,1.94988,15.5557
2.71234,1.98249,7.74253
2.71234,2.0151,-1.27413
2.71234,2.0477,6.2247
2.71234,2.08031,10.26
2.71234,2.11292,9.4095
2.71234,2.14553,4.84907
2.71234,2.17814,8.61897
2.71234,2.21075,8.07794
2.71234,2.24336,4.69835
2.71234,2.27597,12.5034
2.71234,2.30857,6.07966
2.71234,2.34118,12.211
2.71234,2.37379,1.68722
2.74495,1.13466,4.89083
2.74495,1.16727,7.17445
2.74495,1.19988,7.45958
2.74495,1.23249,4.81399
2.74495,1.2651,4.50709
2.74495,1.2977,6.86234
2.74495,1.33031,7.6202
2.74495,1.36292,6.71854
2.74495,1.39553,8.61307
2.74495,1.42814,8.60248
2.74495,1.46075,5.09346
2.74495,1.49336,3.79336
2.74495,1.52597,9.28225
2.74495,1.55857,8.37959
2.74495,1.59118,11.1386
2.74495,1.62379,7.66394
2.74495,1.6564,6.491
2.74495,1.68901,5.94932
2.74495,1.72162,7.94021
2.74495,1.75423,3.87642
2.74495,1.78684,6.4457
2.74495,1.81944,7.186
2.74495,1.85205,6.94684
2.74495,1.88466,5.59812
2.74495,1.91727,8.85355
2.74495,1.94988,9.8165
2.74495,1.98249,9.14731
2.74495,2.0151,2.70211
2.74495,2.0477,9.13198
2.74495,2.08031,10.1565
2.74495,2.11292,11.7786
2.74495,2.14553,5.34551
2.74495,2.17814,11.2793
2.74495,2.21075,10.9068
2.74495,2.24336,6.87125
2.74495,2.27597,11.5191
2.74495,2.30857,9.4771
2.74495,2.34118,14.9496
2.74495,2.37379,5.18903
2.77756,1.13466,6.22485
2.77756,1.16727,7.48217
2.77756,1.19988,6.73124
2.77756,1.23249,4.79483
2.77756,1.2651,5.68164
2.77756,1.2977,5.43253
2.77756,1.33031,7.1217
2.77756,1.36292,4.91345
2.77756,1.39553,7.39756
2.77756,1.42814,7.42285
2.77756,1.46075,5.57496
2.77756,1.49336,4.07787
2.77756,1.52597,7.86624
2.77756,1.55857,7.13955
2.77756,1.59118,5.65601
2.77756,1.62379,5.4953
2.77756,1.6564,5.39561
2.77756,1.68901,4.28645
2.77756,1.72162,5.74893
2.77756,1.75423,4.95849
2.77756,1.78684,6.6445
2.77756,1.81944,6.85322
2.77756,1.85205,5.889
2.77756,1.88466,5.13385
2.77756,1.91727,5.15653
2.77756,1.94988,4.36802
2.77756,1.98249,6.73292
2.77756,2.0151,4.23386
2.77756,2.0477,10.5766
2.77756,2.08031,8.61579
2.77756,2.11292,7.88462
2.77756,2.14553,4.30368
2.77756,2.17814,6.31247
2.77756,2.21075,3.20863
2.77756,2.24336,3.26982
2.77756,2.27597,5.72311
2.77756,2.30857,3.85946
2.77756,2.34118,6.58321
2.77756,2.37379,6.09952
2.81016,1.13466,6.09709
2.81016,1.16727,7.99471
2.81016,1.19988,6.42894
2.81016,1.23249,5.34636
2.81016,1.2651,6.4083
2.81016,1.2977,4.01995
2.81016,1.33031,6.66008
2.81016,1.36292,4.97474
2.81016,1.39553,8.77425
2.81016,1.42814,7.46368
2.81016,1.46075,5.75599
2.81016,1.49336,6.0706
2.81016,1.52597,7.52626
2.81016,1.55857,9.32685
2.81016,1.59118,7.06538
2.81016,1.62379,5.1533
2.81016,1.6564,5.87748
2.81016,1.68901,6.86852
2.81016,1.72162,6.7789
2.81016,1.75423,6.45182
2.81016,1.78684,7.0935
2.81016,1.81944,6.1488
2.81016,1.85205,5.61095
2.81016,1.88466,5.33398
2.81016,1.91727,5.34332
2.81016,1.94988,5.68598
2.81016,1.98249,10.1352
2.81016,2.0151,7.0143
2.81016,2.0477,9.76802
2.81016,2.08031,7.54564
2.81016,2.11292,8.03385
2.81016,2.14553,8.08986
2.81016,2.17814,9.9345
2.81016,2.21075,10.2404
2.81016,2.24336,7.73819
2.81016,2.27597,8.91556
2.81016,2.30857,13.4795
2.81016,2.34118,9.53299
2.81016,2.37379,19.4164
2.84277,1.13466,6.32508
2.84277,1.16727,8.96368
2.84277,1.19988,5.72042
2.84277,1.23249,6.40777
2.84277,1.2651,6.72402
2.84277,1.2977,4.14907
