x,y,z
2.68513,1.14047,0
2.68513,1.17307,0
2.68513,1.20568,0
2.68513,1.23829,0
2.68513,1.2709,0
2.68513,1.30351,0
2.68513,1.33612,0
2.68513,1.36873,0
2.68513,1.40134,0
2.68513,1.43394,0
2.68513,1.46655,0
2.68513,1.49916,0
2.68513,1.53177,0
2.68513,1.56438,0
2.68513,1.59699,0
2.68513,1.6296,0
2.68513,1.6622,0
2.68513,1.69481,0
2.68513,1.72742,0
2.68513,1.76003,0
2.68513,1.79264,0
2.68513,1.82525,0
2.68513,1.85786,0
2.68513,1.89047,0
2.68513,1.92307,0
2.68513,1.95568,0
2.68513,1.98829,0
2.68513,2.0209,0
2.68513,2.05351,0
2.68513,2.08612,0
2.68513,2.11873,0
2.68513,2.15134,0
2.68513,2.18394,0
2.68513,2.21655,0
2.68513,2.24916,0
2.68513,2.28177,0
2.68513,2.31438,0
2.68513,2.34699,0
2.68513,2.3796,0
2.71774,1.14047,0
2.71774,1.17307,0
2.71774,1.20568,0
2.71774,1.23829,0
2.71774,1.2709,0
2.71774,1.30351,0
2.71774,1.33612,0
2.71774,1.36873,0
2.71774,1.40134,0
2.71774,1.43394,0
2.71774,1.46655,0
2.71774,1.49916,0
2.71774,1.53177,0
2.71774,1.56438,0
2.71774,1.59699,0
2.71774,1.6296,0
2.71774,1.6622,0
2.71774,1.69481,0
2.71774,1.72742,0
2.71774,1.76003,0
2.71774,1.79264,0
2.71774,1.82525,0
2.71774,1.85786,0
2.71774,1.89047,0
2.71774,1.92307,0
2.71774,1.95568,0
2.71774,1.98829,0
2.71774,2.0209,0
2.71774,2.05351,0
2.71774,2.08612,0
2.71774,2.11873,0
2.71774,2.15134,0
2.71774,2.18394,0
2.71774,2.21655,0
2.71774,2.24916,0
2.71774,2.28177,0
2.71774,2.31438,0
2.71774,2.34699,0
2.71774,2.3796,0
2.75034,1.14047,0
2.75034,1.17307,0
2.75034,1.20568,0
2.75034,1.23829,0
2.75034,1.2709,0
2.75034,1.30351,0
2.75034,1.33612,0
2.75034,1.36873,0
2.75034,1.40134,0
2.75034,1.43394,0
2.75034,1.46655,0
2.75034,1.49916,0
2.75034,1.53177,0
2.75034,1.56438,0
2.75034,1.59699,0
2.75034,1.6296,0
2.75034,1.6622,0
2.75034,1.69481,0
2.75034,1.72742,0
2.75034,1.76003,0
2.75034,1.79264,0
2.75034,1.82525,0
2.75034,1.85786,0
2.75034,1.89047,0
2.75034,1.92307,0
2.75034,1.95568,0
2.75034,1.98829,0
2.75034,2.0209,0
2.75034,2.05351,0
2.75034,2.08612,0
2.75034,2.11873,0
2.75034,2.15134,0
2.75034,2.18394,0
2.75034,2.21655,0
2.75034,2.24916,0
2.75034,2.28177,0
2.75034,2.31438,0
2.75034,2.34699,0
2.75034,2.3796,0
2.78295,1.14047,0
2.78295,1.17307,0
2.78295,1.20568,0
2.78295,1.23829,0
2.78295,1.2709,0
2.78295,1.30351,0
2.78295,1.33612,0
2.78295,1.36873,0
2.78295,1.40134,0
2.78295,1.43394,0
2.78295,1.46655,0
2.78295,1.49916,0
2.78295,1.53177,0
2.78295,1.56438,0
2.78295,1.59699,0
2.78295,1.6296,0
2.78295,1.6622,0
2.78295,1.69481,0
2.78295,1.72742,0
2.78295,1.76003,0
2.78295,1.79264,0
2.78295,1.82525,0
2.78295,1.85786,0
2.78295,1.89047,0
2.78295,1.92307,0
2.78295,1.95568,0
2.78295,1.98829,0
2.78295,2.0209,0
2.78295,2.05351,0
2.78295,2.08612,0
2.78295,2.11873,0
2.78295,2.15134,0
2.78295,2.18394,0
2.78295,2.21655,0
2.78295,2.24916,0
2.78295,2.28177,0
2.78295,2.31438,0
2.78295,2.34699,0
2.78295,2.3796,0
2.81556,1.14047,0
2.81556,1.17307,0
2.81556,1.20568,0
2.81556,1.23829,0
2.81556,1.2709,0
2.81556,1.30351,0
2.81556,1.33612,0
2.81556,1.36873,0
2.81556,1.40134,0
2.81556,1.43394,0
2.81556,1.46655,0
2.81556,1.49916,0
2.81556,1.53177,0
2.81556,1.56438,0
2.81556,1.59699,0
2.81556,1.6296,0
2.81556,1.6622,0
2.81556,1.69481,0
2.81556,1.72742,0
2.81556,1.76003,0
2.81556,1.79264,0
2.81556,1.82525,0
2.81556,1.85786,0
2.81556,1.89047,0
2.81556,1.92307,0
2.81556,1.95568,0
2.81556,1.98829,0
2.81556,2.0209,0
2.81556,2.05351,0
2.81556,2.08612,0
2.81556,2.11873,0
2.81556,2.15134,0
2.81556,2.18394,0
2.81556,2.21655,0
2.81556,2.24916,0
2.81556,2.28177,0
2.81556,2.31438,0
2.81556,2.34699,0
2.81556,2.3796,0
2.84817,1.14047,0
2.84817,1.17307,0
2.84817,1.20568,0
2.84817,1.23829,0
2.84817,1.2709,0
2.84817,1.30351,0
2.84817,1.33612,0
2.84817,1.36873,0
2.84817,1.40134,0
2.84817,1.43394,0
2.84817,1.46655,0
2.84817,1.49916,0
2.84817,1.53177,0
2.84817,1.56438,0
2.84817,1.59699,0
2.84817,1.6296,0
2.84817,1.6622,0
2.84817,1.69481,0
2.84817,1.72742,0
2.84817,1.76003,0
2.84817,1.79264,0
2.84817,1.82525,0
2.84817,1.85786,0
2.84817,1.89047,0
2.84817,1.92307,0
2.84817,1.95568,0
2.84817,1.98829,0
2.84817,2.0209,0
2.84817,2.05351,0
2.84817,2.08612,0
2.84817,2.11873,0
2.84817,2.15134,0
2.84817,2.18394,0
2.84817,2.21655,0
2.84817,2.24916,0
2.84817,2.28177,0
2.84817,2.31438,0
2.84817,2.34699,0
2.84817,2.3796,0
2.88078,1.14047,0
2.88078,1.17307,0
2.88078,1.20568,0
2.88078,1.23829,0
2.88078,1.2709,0
2.88078,1.30351,0
2.88078,1.33612,0
2.88078,1.36873,0
2.88078,1.40134,0
2.88078,1.43394,0
2.88078,1.46655,0
2.88078,1.49916,0
2.88078,1.53177,0
2.88078,1.56438,0
2.88078,1.59699,0
2.88078,1.6296,0
2.88078,1.6622,0
2.88078,1.69481,0
2.88078,1.72742,0
2.88078,1.76003,0
2.88078,1.79264,0
2.88078,1.82525,0
2.88078,1.85786,0
2.88078,1.89047,0
2.88078,1.92307,0
2.88078,1.95568,0
2.88078,1.98829,0
2.88078,2.0209,0
2.88078,2.05351,0
2.88078,2.08612,0
2.88078,2.11873,0
2.88078,2.15134,0
2.88078,2.18394,0
2.88078,2.21655,0
2.88078,2.24916,0
2.88078,2.28177,0
2.88078,2.31438,0
2.88078,2.34699,0
2.88078,2.3796,0
2.91339,1.14047,0
2.91339,1.17307,0
2.91339,1.20568,0
2.91339,1.23829,0
2.91339,1.2709,0
2.91339,1.30351,0
2.91339,1.33612,0
2.91339,1.36873,0
2.91339,1.40134,0
2.91339,1.43394,0
2.91339,1.46655,0
2.91339,1.49916,0
2.91339,1.53177,0
2.91339,1.56438,0
2.91339,1.59699,0
2.91339,1.6296,0
2.91339,1.6622,0
2.91339,1.69481,0
2.91339,1.72742,0
2.91339,1.76003,0
2.91339,1.79264,0
2.91339,1.82525,0
2.91339,1.85786,0
2.91339,1.89047,0
2.91339,1.92307,0
2.91339,1.95568,0
2.91339,1.98829,0
2.91339,2.0209,0
2.91339,2.05351,0
2.91339,2.08612,0
2.91339,2.11873,0
2.91339,2.15134,0
2.91339,2.18394,0
2.91339,2.21655,0
2.91339,2.24916,0
2.91339,2.28177,0
2.91339,2.31438,0
2.91339,2.34699,0
2.91339,2.3796,0
2.946,1.14047,0
2.946,1.17307,0
2.946,1.20568,0
2.946,1.23829,0
2.946,1.2709,0
2.946,1.30351,0
2.946,1.33612,0
2.946,1.36873,0
2.946,1.40134,0
2.946,1.43394,0
2.946,1.46655,0
2.946,1.49916,0
2.946,1.53177,0
2.946,1.56438,0
2.946,1.59699,0
2.946,1.6296,0
2.946,1.6622,0
2.946,1.69481,0
2.946,1.72742,0
2.946,1.76003,0
2.946,1.79264,0
2.946,1.82525,0
2.946,1.85786,0
2.946,1.89047,0
2.946,1.92307,0
2.946,1.95568,0
2.946,1.98829,0
2.946,2.0209,0
2.946,2.05351,0
2.946,2.08612,0
2.946,2.11873,0
2.946,2.15134,0
2.946,2.18394,0
2.946,2.21655,0
2.946,2.24916,0
2.946,2.28177,0
2.946,2.31438,0
2.946,2.34699,0
2.946,2.3796,0
2.9786,1.14047,0
2.9786,1.17307,0
2.9786,1.20568,0
2.9786,1.23829,0
2.9786,1.2709,0
2.9786,1.30351,0
2.9786,1.33612,0
2.9786,1.36873,0
2.9786,1.40134,0
2.9786,1.43394,0
2.9786,1.46655,0
2.9786,1.49916,0
2.9786,1.53177,0
2.9786,1.56438,0
2.9786,1.59699,0
2.9786,1.6296,0
2.9786,1.6622,0
2.9786,1.69481,0
2.9786,1.72742,0
2.9786,1.76003,0
2.9786,1.79264,0
2.9786,1.82525,0
2.9786,1.85786,0
2.9786,1.89047,0
2.9786,1.92307,0
2.9786,1.95568,0
2.9786,1.98829,0
2.9786,2.0209,0
2.9786,2.05351,0
2.9786,2.08612,0
2.9786,2.11873,0
2.9786,2.15134,0
2.9786,2.18394,0
2.9786,2.21655,0
2.9786,2.24916,0
2.9786,2.28177,0
2.9786,2.31438,0
2.9786,2.34699,0
2.9786,2.3796,0
3.01121,1.14047,0
3.01121,1.17307,0
3.01121,1.20568,0
3.01121,1.23829,0
3.01121,1.2709,0
3.01121,1.30351,0
3.01121,1.33612,0
3.01121,1.36873,0
3.01121,1.40134,0
3.01121,1.43394,0
3.01121,1.46655,0
3.01121,1.49916,0
3.01121,1.53177,0
3.01121,1.56438,0
3.01121,1.59699,0
3.01121,1.6296,0
3.01121,1.6622,0
3.01121,1.69481,0
3.01121,1.72742,0
3.01121,1.76003,0
3.01121,1.79264,0
3.01121,1.82525,0
3.01121,1.85786,0
3.01121,1.89047,0
3.01121,1.92307,0
3.01121,1.95568,0
3.01121,1.98829,0
3.01121,2.0209,0
3.01121,2.05351,0
3.01121,2.08612,0
3.01121,2.11873,0
3.01121,2.15134,0
3.01121,2.18394,0
3.01121,2.21655,0
3.01121,2.24916,0
3.01121,2.28177,0
3.01121,2.31438,0
3.01121,2.34699,0
3.01121,2.3796,0
3.04382,1.14047,0
3.04382,1.17307,0
3.04382,1.20568,0
3.04382,1.23829,0
3.04382,1.2709,0
3.04382,1.30351,0
3.04382,1.33612,0
3.04382,1.36873,0
3.04382,1.40134,0
3.04382,1.43394,0
3.04382,1.46655,0
3.04382,1.49916,0
3.04382,1.53177,0
3.04382,1.56438,0
3.04382,1.59699,0
3.04382,1.6296,0
3.04382,1.6622,0
3.04382,1.69481,0
3.04382,1.72742,0
3.04382,1.76003,0
3.04382,1.79264,0
3.04382,1.82525,0
3.04382,1.85786,0
3.04382,1.89047,0
3.04382,1.92307,0
3.04382,1.95568,0
3.04382,1.98829,0
3.04382,2.0209,0
3.04382,2.05351,0
3.04382,2.08612,0
3.04382,2.11873,0
3.04382,2.15134,0
3.04382,2.18394,0
3.04382,2.21655,0
3.04382,2.24916,0
3.04382,2.28177,0
3.04382,2.31438,0
3.04382,2.34699,0
3.04382,2.3796,0
3.07643,1.14047,0
3.07643,1.17307,0
3.07643,1.20568,0
3.07643,1.23829,0
3.07643,1.2709,0
3.07643,1.30351,0
3.07643,1.33612,0
3.07643,1.36873,0
3.07643,1.40134,0
3.07643,1.43394,0
3.07643,1.46655,0
3.07643,1.49916,0
3.07643,1.53177,0
3.07643,1.56438,0
3.07643,1.59699,0
3.07643,1.6296,0
3.07643,1.6622,0
3.07643,1.69481,0
3.07643,1.72742,0
3.07643,1.76003,0
3.07643,1.79264,0
3.07643,1.82525,0
3.07643,1.85786,0
3.07643,1.89047,0
3.07643,1.92307,0
3.07643,1.95568,0
3.07643,1.98829,0
3.07643,2.0209,0
3.07643,2.05351,0
3.07643,2.08612,0
3.07643,2.11873,0
3.07643,2.15134,0
3.07643,2.18394,0
3.07643,2.21655,0
3.07643,2.24916,0
3.07643,2.28177,0
3.07643,2.31438,0
3.07643,2.34699,0
3.07643,2.3796,0
3.10904,1.14047,0
3.10904,1.17307,0
3.10904,1.20568,0
3.10904,1.23829,0
3.10904,1.2709,0
3.10904,1.30351,0
3.10904,1.33612,0
3.10904,1.36873,0
3.10904,1.40134,0
3.10904,1.43394,0
3.10904,1.46655,0
3.10904,1.49916,0
3.10904,1.53177,0
3.10904,1.56438,0
3.10904,1.59699,0
3.10904,1.6296,0
3.10904,1.6622,0
3.10904,1.69481,0
3.10904,1.72742,0
3.10904,1.76003,0
3.10904,1.79264,0
3.10904,1.82525,0
3.10904,1.85786,0
3.10904,1.89047,0
3.10904,1.92307,0
3.10904,1.95568,0
3.10904,1.98829,0
3.10904,2.0209,0
3.10904,2.05351,0
3.10904,2.08612,0
3.10904,2.11873,0
3.10904,2.15134,0
3.10904,2.18394,0
3.10904,2.21655,0
3.10904,2.24916,0
3.10904,2.28177,0
3.10904,2.31438,0
3.10904,2.34699,0
3.10904,2.3796,0
3.14165,1.14047,0
3.14165,1.17307,0
3.14165,1.20568,0
3.14165,1.23829,0
3.14165,1.2709,0
3.14165,1.30351,0
3.14165,1.33612,0
3.14165,1.36873,0
3.14165,1.40134,0
3.14165,1.43394,0
3.14165,1.46655,0
3.14165,1.49916,0
3.14165,1.53177,0
3.14165,1.56438,0
3.14165,1.59699,0
3.14165,1.6296,0
3.14165,1.6622,0
3.14165,1.69481,0
3.14165,1.72742,0
3.14165,1.76003,0
3.14165,1.79264,0
3.14165,1.82525,0
3.14165,1.85786,0
3.14165,1.89047,0
3.14165,1.92307,0
3.14165,1.95568,0
3.14165,1.98829,0
3.14165,2.0209,0
3.14165,2.05351,0
3.14165,2.08612,0
3.14165,2.11873,0
3.14165,2.15134,0
3.14165,2.18394,0
3.14165,2.21655,0
3.14165,2.24916,0
3.14165,2.28177,0
3.14165,2.31438,0
3.14165,2.34699,0
3.14165,2.3796,0
3.17426,1.14047,0
3.17426,1.17307,0
3.17426,1.20568,0
3.17426,1.23829,0
3.17426,1.2709,0
3.17426,1.30351,0
