x,y,z
3.0345,1.43228,0.193444
3.0345,1.44532,0.354025
3.0345,1.45836,0.119489
3.0345,1.47141,0.168721
3.0345,1.48445,0.187714
3.0345,1.49749,0.374893
3.0345,1.51054,0.181476
3.0345,1.52358,0.2423
3.0345,1.53662,0.149012
3.0345,1.54967,0.116964
3.0345,1.56271,0.059352
3.0345,1.57575,0.059352
3.0345,1.5888,0.0436087
3.0345,1.60184,0.015876
3.0345,1.61488,0.00606067
3.0345,1.62793,0.00606067
3.0345,1.64097,0.001296
3.0345,1.65401,0.0411305
3.0345,1.66706,0.003785
3.0345,1.6801,0.005929
3.0345,1.69314,0.048841
3.0345,1.70619,0.15601
3.0345,1.71923,0.15601
3.0345,1.73228,0.274576
3.0345,1.74532,0.304704
3.0345,1.75836,0.094249
3.0345,1.77141,0.535983
3.0345,1.78445,0.685584
3.0345,1.79749,0.685584
3.0345,1.81054,0.962361
3.0345,1.82358,0.962361
3.0345,1.83662,1.03681
3.0345,1.84967,1.03681
3.0345,1.86271,0.911834
3.0345,1.87575,1.1025
3.0345,1.8888,1.1025
3.0345,1.90184,1.20093
3.0345,1.91488,1.15778
3.0345,1.92793,0.693889
3.0345,1.94097,0.657721
3.0345,1.95401,0.571536
3.0345,1.96706,0.571536
3.0345,1.9801,0.345145
3.0345,1.99314,0.249001
3.0345,2.00619,0.327412
3.0345,2.01923,0.327412
3.0345,2.03228,0.081796
3.04754,1.43228,0.193444
3.04754,1.44532,0.095618
3.04754,1.45836,0.155236
3.04754,1.47141,0.225625
3.04754,1.48445,0.225625
3.04754,1.49749,0.346921
3.04754,1.51054,0.346921
3.04754,1.52358,0.171396
3.04754,1.53662,0.171396
3.04754,1.54967,0.072913
3.04754,1.56271,0.036481
3.04754,1.57575,0.036481
3.04754,1.5888,0.046225
3.04754,1.60184,0.046225
3.04754,1.61488,0.012769
3.04754,1.62793,0.018769
3.04754,1.64097,0.081938
3.04754,1.65401,0.069696
3.04754,1.66706,0.028561
3.04754,1.6801,0.028561
3.04754,1.69314,0.179953
3.04754,1.70619,0.179953
3.04754,1.71923,0.290868
3.04754,1.73228,0.370881
3.04754,1.74532,0.370881
3.04754,1.75836,0.38139
3.04754,1.77141,0.801527
3.04754,1.78445,0.403225
3.04754,1.79749,1.18229
3.04754,1.81054,1.24992
3.04754,1.82358,1.33288
3.04754,1.83662,2.4056
3.04754,1.84967,2.84934
3.04754,1.86271,1.98838
3.04754,1.87575,1.47622
3.04754,1.8888,1.41134
3.04754,1.90184,0.958441
3.04754,1.91488,0.887364
3.04754,1.92793,1.06934
3.04754,1.94097,0.426409
3.04754,1.95401,0.636305
3.04754,1.96706,0.401956
3.04754,1.9801,0.401956
3.04754,1.99314,0.255221
3.04754,2.00619,0.290533
3.04754,2.01923,0.177872
3.04754,2.03228,0.081796
3.06058,1.43228,0.102544
3.06058,1.44532,0.261109
3.06058,1.45836,0.180625
3.06058,1.47141,0.166069
3.06058,1.48445,0.166069
3.06058,1.49749,0.147456
3.06058,1.51054,0.147456
3.06058,1.52358,0.179005
3.06058,1.53662,0.179005
3.06058,1.54967,0.0164025
3.06058,1.56271,0.0164025
3.06058,1.57575,0.0324
3.06058,1.5888,0.0324
3.06058,1.60184,0.0450413
3.06058,1.61488,0.0081
3.06058,1.62793,0.196249
3.06058,1.64097,2.5e-05
3.06058,1.65401,0.137641
3.06058,1.66706,0.194481
3.06058,1.6801,0.267289
3.06058,1.69314,0.015129
3.06058,1.70619,0.015129
3.06058,1.71923,0.278784
3.06058,1.73228,0.59602
3.06058,1.74532,0.998001
3.06058,1.75836,0.919681
3.06058,1.77141,0.247009
3.06058,1.78445,0.247009
3.06058,1.79749,1.10881
3.06058,1.81054,1.32737
3.06058,1.82358,1.60023
3.06058,1.83662,1.4066
3.06058,1.84967,1.4066
3.06058,1.86271,1.76624
3.06058,1.87575,1.76624
3.06058,1.8888,1.3225
3.06058,1.90184,1.3225
3.06058,1.91488,1.37358
3.06058,1.92793,1.37358
3.06058,1.94097,0.699525
3.06058,1.95401,0.700569
3.06058,1.96706,0.394384
3.06058,1.9801,0.552049
3.06058,1.99314,0.404496
3.06058,2.00619,0.404496
3.06058,2.01923,0.521284
3.06058,2.03228,0.199282
3.07363,1.43228,0.068741
3.07363,1.44532,0.107584
3.07363,1.45836,0.107584
3.07363,1.47141,0.253049
3.07363,1.48445,0.253049
3.07363,1.49749,0.2809
3.07363,1.51054,0.074529
3.07363,1.52358,0.146004
3.07363,1.53662,0.0961
3.07363,1.54967,0.0961
3.07363,1.56271,0.106276
3.07363,1.57575,0.069696
3.07363,1.5888,0.051529
3.07363,1.60184,0.0450413
3.07363,1.61488,0.082944
3.07363,1.62793,0.1444
3.07363,1.64097,0.1444
3.07363,1.65401,0.194625
3.07363,1.66706,0.194625
3.07363,1.6801,0.184041
3.07363,1.69314,0.369664
3.07363,1.70619,0.298116
3.07363,1.71923,0.335263
3.07363,1.73228,0.669124
3.07363,1.74532,0.669124
3.07363,1.75836,0.509796
3.07363,1.77141,0.509796
3.07363,1.78445,1.33172
3.07363,1.79749,1.9405
3.07363,1.81054,1.92377
3.07363,1.82358,1.92377
3.07363,1.83662,1.23142
3.07363,1.84967,1.23142
3.07363,1.86271,1.76624
3.07363,1.87575,1.60939
3.07363,1.8888,1.60939
3.07363,1.90184,1.60939
3.07363,1.91488,0.595984
3.07363,1.92793,0.778363
3.07363,1.94097,0.778363
3.07363,1.95401,0.462168
3.07363,1.96706,0.364922
3.07363,1.9801,0.364922
3.07363,1.99314,0.191844
3.07363,2.00619,0.252004
3.07363,2.01923,0.235225
3.07363,2.03228,0.127449
3.08667,1.43228,0.175516
3.08667,1.44532,0.1444
3.08667,1.45836,0.227529
3.08667,1.47141,0.201601
3.08667,1.48445,0.096169
3.08667,1.49749,0.262095
3.08667,1.51054,0.1073
3.08667,1.52358,0.140771
3.08667,1.53662,0.206116
3.08667,1.54967,0.149769
3.08667,1.56271,0.156693
3.08667,1.57575,0.156693
3.08667,1.5888,0.022801
3.08667,1.60184,0.0547658
3.08667,1.61488,0.003136
3.08667,1.62793,0.233289
3.08667,1.64097,0.059049
3.08667,1.65401,0.059049
3.08667,1.66706,0.298116
3.08667,1.6801,0.293324
3.08667,1.69314,0.115538
3.08667,1.70619,0.328329
3.08667,1.71923,0.5625
3.08667,1.73228,1.1046
3.08667,1.74532,1.1046
3.08667,1.75836,1.02126
3.08667,1.77141,1.24233
3.08667,1.78445,0.090601
3.08667,1.79749,0.090601
3.08667,1.81054,1.38834
3.08667,1.82358,1.38834
3.08667,1.83662,1.23142
3.08667,1.84967,1.93729
3.08667,1.86271,0.662444
3.08667,1.87575,0.662444
3.08667,1.8888,1.22545
3.08667,1.90184,0.457552
3.08667,1.91488,0.457552
3.08667,1.92793,0.778363
3.08667,1.94097,0.485459
3.08667,1.95401,0.213444
3.08667,1.96706,0.285156
3.08667,1.9801,0.221537
3.08667,1.99314,0.221537
3.08667,2.00619,0.271441
3.08667,2.01923,0.173235
3.08667,2.03228,0.430336
3.09971,1.43228,0.122143
3.09971,1.44532,0.122143
3.09971,1.45836,0.204304
3.09971,1.47141,0.204304
3.09971,1.48445,0.196249
3.09971,1.49749,0.212521
3.09971,1.51054,0.027889
3.09971,1.52358,0.027889
3.09971,1.53662,0.108968
3.09971,1.54967,0.108968
3.09971,1.56271,0.156693
3.09971,1.57575,0.007744
3.09971,1.5888,0.006084
3.09971,1.60184,0.071824
3.09971,1.61488,0.057121
3.09971,1.62793,0.057121
3.09971,1.64097,0.059049
3.09971,1.65401,0.0248065
3.09971,1.66706,0.004761
3.09971,1.6801,0.004761
3.09971,1.69314,0.040804
3.09971,1.70619,0.343396
3.09971,1.71923,0.289444
3.09971,1.73228,0.289444
3.09971,1.74532,0.208251
3.09971,1.75836,1.02126
3.09971,1.77141,1.24233
3.09971,1.78445,0.449334
3.09971,1.79749,0.449334
3.09971,1.81054,1.38834
3.09971,1.82358,0.161604
3.09971,1.83662,0.188384
3.09971,1.84967,0.944784
3.09971,1.86271,0.269361
3.09971,1.87575,0.352836
3.09971,1.8888,0.352836
3.09971,1.90184,0.457552
3.09971,1.91488,0.0318485
3.09971,1.92793,0.298116
3.09971,1.94097,0.094864
3.09971,1.95401,0.1444
3.09971,1.96706,0.097969
3.09971,1.9801,0.097969
3.09971,1.99314,0.0177965
3.09971,2.00619,0.271441
3.09971,2.01923,0.110224
3.09971,2.03228,0.110224
3.11276,1.43228,0.112039
3.11276,1.44532,0.187489
3.11276,1.45836,0.245425
3.11276,1.47141,0.23504
3.11276,1.48445,0.069169
3.11276,1.49749,0.250906
3.11276,1.51054,0.210681
3.11276,1.52358,0.210681
3.11276,1.53662,0.091204
3.11276,1.54967,0.091204
3.11276,1.56271,0.020605
3.11276,1.57575,0.007744
3.11276,1.5888,0.0525265
3.11276,1.60184,0.0525265
3.11276,1.61488,0.057121
3.11276,1.62793,0.0392605
3.11276,1.64097,0.0405983
3.11276,1.65401,0.0248065
3.11276,1.66706,0.144998
3.11276,1.6801,0.144998
3.11276,1.69314,0.040804
3.11276,1.70619,0.343396
3.11276,1.71923,0.289444
3.11276,1.73228,0.327543
3.11276,1.74532,0.208251
3.11276,1.75836,0.374544
3.11276,1.77141,0.374544
3.11276,1.78445,0.449334
3.11276,1.79749,0.157895
3.11276,1.81054,0.2916
3.11276,1.82358,0.161604
3.11276,1.83662,0.188384
3.11276,1.84967,0.188384
3.11276,1.86271,0.0575965
3.11276,1.87575,0.0575965
3.11276,1.8888,0.001924
3.11276,1.90184,0.092416
3.11276,1.91488,0.0318485
3.11276,1.92793,0.048674
3.11276,1.94097,0.037234
3.11276,1.95401,0.037234
3.11276,1.96706,0.005329
3.11276,1.9801,0.002116
3.11276,1.99314,0.0177965
3.11276,2.00619,0.0209107
3.11276,2.01923,0.0209107
3.11276,2.03228,0.00648
3.1258,1.43228,0.159201
3.1258,1.44532,0.159201
3.1258,1.45836,0.239792
3.1258,1.47141,0.230747
3.1258,1.48445,0.230747
3.1258,1.49749,0.253009
3.1258,1.51054,0.176062
3.1258,1.52358,0.176062
3.1258,1.53662,0.091204
3.1258,1.54967,0.0681157
3.1258,1.56271,0.0036805
3.1258,1.57575,0.0036805
3.1258,1.5888,0.0118625
3.1258,1.60184,0.0118625
3.1258,1.61488,1.3e-05
3.1258,1.62793,0.0392605
3.1258,1.64097,0.0405983
3.1258,1.65401,0.038025
3.1258,1.66706,0.054289
3.1258,1.6801,0.09
3.1258,1.69314,0.155236
3.1258,1.70619,0.174724
3.1258,1.71923,0.215368
3.1258,1.73228,0.327543
3.1258,1.74532,0.327543
3.1258,1.75836,0.001936
3.1258,1.77141,0.18484
3.1258,1.78445,0.18484
3.1258,1.79749,0.157895
3.1258,1.81054,0.2916
3.1258,1.82358,0.000101
3.1258,1.83662,0.000101
3.1258,1.84967,0.001924
3.1258,1.86271,0.001924
3.1258,1.87575,0.0151425
3.1258,1.8888,0.001924
3.1258,1.90184,7.65e-05
3.1258,1.91488,7e-06
3.1258,1.92793,1e-06
3.1258,1.94097,0.000361
3.1258,1.95401,0.00469
3.1258,1.96706,1.6e-05
3.1258,1.9801,0.003364
3.1258,1.99314,0.003364
3.1258,2.00619,0.0209107
3.1258,2.01923,4e-06
3.1258,2.03228,4e-06
3.13884,1.43228,0.237192
3.13884,1.44532,0.237192
3.13884,1.45836,0.201601
3.13884,1.47141,0.1296
3.13884,1.48445,0.1296
3.13884,1.49749,0.04
3.13884,1.51054,0.246016
3.13884,1.52358,0.095481
3.13884,1.53662,0.095481
3.13884,1.54967,0.0002545
3.13884,1.56271,0.0002545
3.13884,1.57575,0.000576
3.13884,1.5888,0.000576
3.13884,1.60184,0.0200345
3.13884,1.61488,1.3e-05
3.13884,1.62793,1.25e-05
3.13884,1.64097,1.25e-05
3.13884,1.65401,0.038025
3.13884,1.66706,0.005041
3.13884,1.6801,0.039204
3.13884,1.69314,0.039204
3.13884,1.70619,0.174724
3.13884,1.71923,0.058376
3.13884,1.73228,0.181476
3.13884,1.74532,0.0866205
3.13884,1.75836,0.0866205
3.13884,1.77141,0.18484
3.13884,1.78445,4e-06
3.13884,1.79749,0.000361
3.13884,1.81054,8.5e-06
3.13884,1.82358,1.6e-05
3.13884,1.83662,1e-06
3.13884,1.84967,1e-06
3.13884,1.86271,3.6e-05
3.13884,1.87575,3.6e-05
3.13884,1.8888,6e-06
3.13884,1.90184,8.5e-06
3.13884,1.91488,8.5e-06
3.13884,1.92793,1e-06
3.13884,1.94097,0.000361
3.13884,1.95401,1e-06
3.13884,1.96706,3.6e-05
3.13884,1.9801,2.6e-05
3.13884,1.99314,1e-06
3.13884,2.00619,4e-06
3.13884,2.01923,1e-06
3.13884,2.03228,3.6e-05
3.15189,1.43228,0.177769
3.15189,1.44532,0.137641
3.15189,1.45836,0.16825
3.15189,1.47141,0.214179
3.15189,1.48445,0.214179
3.15189,1.49749,0.0469405
3.15189,1.51054,0.034969
3.15189,1.52358,0.0335875
3.15189,1.53662,0.026244
3.15189,1.54967,0.00314467
