x,y,z
2.67973,1.13466,-4.84615
2.67973,1.16727,-3.91896
2.67973,1.19988,-3.74113
2.67973,1.23249,-4.89289
2.67973,1.2651,-6.04363
2.67973,1.2977,-4.44617
2.67973,1.33031,0.212245
2.67973,1.36292,-2.16951
2.67973,1.39553,3.79231
2.67973,1.42814,-0.743352
2.67973,1.46075,-2.09549
2.67973,1.49336,-2.82612
2.67973,1.52597,-0.340516
2.67973,1.55857,-2.27367
2.67973,1.59118,-10.2308
2.67973,1.62379,-11.3885
2.67973,1.6564,-8.52439
2.67973,1.68901,-4.95846
2.67973,1.72162,0.0667839
2.67973,1.75423,-2.64182
2.67973,1.78684,1.6289
2.67973,1.81944,3.62848
2.67973,1.85205,4.28338
2.67973,1.88466,3.07483
2.67973,1.91727,2.97079
2.67973,1.94988,5.3743
2.67973,1.98249,1.01605
2.67973,2.0151,-4.67059
2.67973,2.0477,-0.0287244
2.67973,2.08031,3.77536
2.67973,2.11292,1.71112
2.67973,2.14553,-1.43923
2.67973,2.17814,-1.61739
2.67973,2.21075,-1.02534
2.67973,2.24336,-0.19902
2.67973,2.27597,1.15086
2.67973,2.30857,-2.3597
2.67973,2.34118,-2.7507
2.67973,2.37379,-5.35608
2.71234,1.13466,-5.10447
2.71234,1.16727,-3.33674
2.71234,1.19988,-2.46824
2.71234,1.23249,-6.26138
2.71234,1.2651,-6.22015
2.71234,1.2977,-2.9234
2.71234,1.33031,0.716947
2.71234,1.36292,-1.19619
2.71234,1.39553,2.63725
2.71234,1.42814,1.71803
2.71234,1.46075,-1.84452
2.71234,1.49336,-3.41894
2.71234,1.52597,1.11257
2.71234,1.55857,-2.40582
2.71234,1.59118,-5.2863
2.71234,1.62379,-8.88987
2.71234,1.6564,-7.3156
2.71234,1.68901,-4.55903
2.71234,1.72162,2.52595
2.71234,1.75423,-2.11815
2.71234,1.78684,1.70852
2.71234,1.81944,3.78205
2.71234,1.85205,4.05897
2.71234,1.88466,2.67211
2.71234,1.91727,4.05594
2.71234,1.94988,10.6511
2.71234,1.98249,0.637654
2.71234,2.0151,-9.96698
2.71234,2.0477,-2.16729
2.71234,2.08031,2.03493
2.71234,2.11292,1.19963
2.71234,2.14553,-3.51055
2.71234,2.17814,0.228472
2.71234,2.21075,-0.424555
2.71234,2.24336,-4.00191
2.71234,2.27597,3.62311
2.71234,2.30857,-3.07132
2.71234,2.34118,2.61077
2.71234,2.37379,-8.3284
2.74495,1.13466,-5.4848
2.74495,1.16727,-3.39202
2.74495,1.19988,-2.96909
2.74495,1.23249,-5.66318
2.74495,1.2651,-5.874
2.74495,1.2977,-3.14144
2.74495,1.33031,-1.52185
2.74495,1.36292,-1.84961
2.74495,1.39553,0.934447
2.74495,1.42814,1.0013
2.74495,1.46075,-1.82106
2.74495,1.49336,-2.94279
2.74495,1.52597,1.46608
2.74495,1.55857,-2.18792
2.74495,1.59118,-3.6617
2.74495,1.62379,-8.68116
2.74495,1.6564,-6.4666
2.74495,1.68901,-2.16194
2.74495,1.72162,2.77834
2.74495,1.75423,-0.68477
2.74495,1.78684,3.3283
2.74495,1.81944,4.58702
2.74495,1.85205,5.08504
2.74495,1.88466,3.43226
2.74495,1.91727,5.39104
2.74495,1.94988,4.95924
2.74495,1.98249,2.19024
2.74495,2.0151,-5.7537
2.74495,2.0477,0.900558
2.74495,2.08031,2.22084
2.74495,2.11292,3.77543
2.74495,2.14553,-2.77177
2.74495,2.17814,2.8788
2.74495,2.21075,2.21344
2.74495,2.24336,-1.98214
2.74495,2.27597,2.49185
2.74495,2.30857,0.163254
2.74495,2.34118,5.3848
2.74495,2.37379,-4.64512
2.77756,1.13466,-4.61805
2.77756,1.16727,-3.51763
2.77756,1.19988,-4.04682
2.77756,1.23249,-5.93235
2.77756,1.2651,-4.88231
2.77756,1.2977,-4.71368
2.77756,1.33031,-2.3998
2.77756,1.36292,-3.63473
2.77756,1.39553,-0.765447
2.77756,1.42814,-0.874947
2.77756,1.46075,-1.6078
2.77756,1.49336,-2.68605
2.77756,1.52597,0.481915
2.77756,1.55857,-2.78277
2.77756,1.59118,-8.51091
2.77756,1.62379,-10.9362
2.77756,1.6564,-7.76449
2.77756,1.68901,-3.63329
2.77756,1.72162,0.958029
2.77756,1.75423,0.628055
2.77756,1.78684,3.93918
2.77756,1.81944,4.58827
2.77756,1.85205,4.24189
2.77756,1.88466,3.17339
2.77756,1.91727,1.94623
2.77756,1.94988,-0.394397
2.77756,1.98249,-0.142734
2.77756,2.0151,-4.16876
2.77756,2.0477,2.4943
2.77756,2.08031,0.866329
2.77756,2.11292,0.0407323
2.77756,2.14553,-3.80506
2.77756,2.17814,-2.21553
2.77756,2.21075,-5.6862
2.77756,2.24336,-5.76537
2.77756,2.27597,-3.51558
2.77756,2.30857,-5.54046
2.77756,2.34118,-2.96128
2.77756,2.37379,-3.56886
2.81016,1.13466,-5.00575
2.81016,1.16727,-3.31012
2.81016,1.19988,-4.7224
2.81016,1.23249,-5.88193
2.81016,1.2651,-4.65197
2.81016,1.2977,-6.79962
2.81016,1.33031,-3.57783
2.81016,1.36292,-4.53243
2.81016,1.39553,-0.412459
2.81016,1.42814,-1.68456
2.81016,1.46075,-1.88286
2.81016,1.49336,-0.764221
2.81016,1.52597,0.112986
2.81016,1.55857,-0.332154
2.81016,1.59118,-7.07739
2.81016,1.62379,-11.4978
2.81016,1.6564,-7.8093
2.81016,1.68901,-2.04689
2.81016,1.72162,1.38224
2.81016,1.75423,2.03821
2.81016,1.78684,4.51037
2.81016,1.81944,4.10517
2.81016,1.85205,4.16381
2.81016,1.88466,3.56077
2.81016,1.91727,2.16849
2.81016,1.94988,1.05029
2.81016,1.98249,3.03706
2.81016,2.0151,-1.73483
2.81016,2.0477,1.25954
2.81016,2.08031,-0.663821
2.81016,2.11292,-0.0740301
2.81016,2.14553,-0.093579
2.81016,2.17814,1.55706
2.81016,2.21075,1.41876
2.81016,2.24336,-1.43472
2.81016,2.27597,-0.441602
2.81016,2.30857,4.16386
2.81016,2.34118,0.194162
2.81016,2.37379,10.0477
2.84277,1.13466,-4.90783
2.84277,1.16727,-2.37579
2.84277,1.19988,-5.61469
2.84277,1.23249,-4.86827
2.84277,1.2651,-4.52432
2.84277,1.2977,-7.00007
2.84277,1.33031,-4.25209
2.84277,1.36292,-5.38328
2.84277,1.39553,-2.31386
2.84277,1.42814,-3.66648
2.84277,1.46075,-2.92722
2.84277,1.49336,-0.636459
2.84277,1.52597,-1.65394
2.84277,1.55857,-3.0682
2.84277,1.59118,-9.37259
2.84277,1.62379,-11.8793
2.84277,1.6564,-8.48504
2.84277,1.68901,-2.15617
2.84277,1.72162,0.570329
2.84277,1.75423,3.20109
2.84277,1.78684,3.36411
2.84277,1.81944,4.1798
2.84277,1.85205,4.57045
2.84277,1.88466,3.17698
2.84277,1.91727,1.9602
2.84277,1.94988,0.616446
2.84277,1.98249,1.34399
2.84277,2.0151,1.01275
2.84277,2.0477,1.27659
2.84277,2.08031,-0.719176
2.84277,2.11292,-2.24743
2.84277,2.14553,-0.392597
2.84277,2.17814,-1.28823
2.84277,2.21075,-2.36257
2.84277,2.24336,-3.16386
2.84277,2.27597,-1.10428
2.84277,2.30857,1.56424
2.84277,2.34118,-0.758703
2.84277,2.37379,3.42559
2.87538,1.13466,-4.7836
2.87538,1.16727,-3.19067
2.87538,1.19988,-6.12467
2.87538,1.23249,-5.41349
2.87538,1.2651,-5.13337
2.87538,1.2977,-7.75307
2.87538,1.33031,-5.7619
2.87538,1.36292,-5.68069
2.87538,1.39553,-4.31293
2.87538,1.42814,-4.56168
2.87538,1.46075,-3.94881
2.87538,1.49336,-1.84896
2.87538,1.52597,-3.56669
2.87538,1.55857,-5.13459
