x,y,z
2.68513,1.14047,-9.21809
2.68513,1.17307,-9.48105
2.68513,1.20568,-9.67793
2.68513,1.23829,-9.80841
2.68513,1.2709,-9.5453
2.68513,1.30351,-9.20695
2.68513,1.33612,-8.17598
2.68513,1.36873,-7.02898
2.68513,1.40134,-6.53308
2.68513,1.43394,-6.85153
2.68513,1.46655,-6.32401
2.68513,1.49916,-6.73828
2.68513,1.53177,-8.02898
2.68513,1.56438,-11.2449
2.68513,1.59699,-15.616
2.68513,1.6296,-14.6645
2.68513,1.6622,-11.7308
2.68513,1.69481,-8.28437
2.68513,1.72742,-5.94109
2.68513,1.76003,-5.10538
2.68513,1.79264,-3.34455
2.68513,1.82525,-2.48648
2.68513,1.85786,-1.90701
2.68513,1.89047,-2.48452
2.68513,1.92307,-3.84912
2.68513,1.95568,-5.59249
2.68513,1.98829,-7.34858
2.68513,2.0209,-8.89093
2.68513,2.05351,-8.68643
2.68513,2.08612,-8.32444
2.68513,2.11873,-8.25264
2.68513,2.15134,-8.10908
2.68513,2.18394,-8.23108
2.68513,2.21655,-8.36694
2.68513,2.24916,-8.68903
2.68513,2.28177,-8.91006
2.68513,2.31438,-9.21016
2.68513,2.34699,-9.57297
2.68513,2.3796,-9.86039
2.71774,1.14047,-9.45359
2.71774,1.17307,-9.71547
2.71774,1.20568,-9.72608
2.71774,1.23829,-9.85173
2.71774,1.2709,-9.68078
2.71774,1.30351,-9.39606
2.71774,1.33612,-8.43853
2.71774,1.36873,-7.52275
2.71774,1.40134,-6.8015
2.71774,1.43394,-6.90687
2.71774,1.46655,-6.49753
2.71774,1.49916,-6.74331
2.71774,1.53177,-8.35763
2.71774,1.56438,-11.3107
2.71774,1.59699,-15.5136
2.71774,1.6296,-14.365
2.71774,1.6622,-11.2464
2.71774,1.69481,-7.85077
2.71774,1.72742,-5.50537
2.71774,1.76003,-4.78638
2.71774,1.79264,-3.14368
2.71774,1.82525,-2.42712
2.71774,1.85786,-1.9914
2.71774,1.89047,-2.53207
2.71774,1.92307,-3.80276
2.71774,1.95568,-5.38645
2.71774,1.98829,-6.976
2.71774,2.0209,-8.54873
2.71774,2.05351,-8.27783
2.71774,2.08612,-8.14831
2.71774,2.11873,-8.16708
2.71774,2.15134,-8.31637
2.71774,2.18394,-8.37352
2.71774,2.21655,-8.56975
2.71774,2.24916,-8.74979
2.71774,2.28177,-8.96445
2.71774,2.31438,-9.21817
2.71774,2.34699,-9.60787
2.71774,2.3796,-9.92913
2.75034,1.14047,-9.86863
2.75034,1.17307,-10.0006
2.75034,1.20568,-9.89778
2.75034,1.23829,-9.85595
2.75034,1.2709,-9.75028
2.75034,1.30351,-9.21308
2.75034,1.33612,-8.4584
2.75034,1.36873,-7.67098
2.75034,1.40134,-7.00561
2.75034,1.43394,-7.20318
2.75034,1.46655,-6.67962
2.75034,1.49916,-6.85016
2.75034,1.53177,-7.96222
2.75034,1.56438,-10.8682
2.75034,1.59699,-15.1149
2.75034,1.6296,-14.0163
2.75034,1.6622,-11.0607
2.75034,1.69481,-7.30842
2.75034,1.72742,-4.99582
2.75034,1.76003,-4.20292
2.75034,1.79264,-2.74876
2.75034,1.82525,-2.17126
2.75034,1.85786,-1.71874
2.75034,1.89047,-2.33453
2.75034,1.92307,-3.66935
2.75034,1.95568,-5.21205
2.75034,1.98829,-6.67224
2.75034,2.0209,-8.28905
2.75034,2.05351,-7.97985
2.75034,2.08612,-7.68739
2.75034,2.11873,-7.80733
2.75034,2.15134,-8.02319
2.75034,2.18394,-8.44287
2.75034,2.21655,-8.71288
2.75034,2.24916,-8.78792
2.75034,2.28177,-9.02019
2.75034,2.31438,-9.22314
2.75034,2.34699,-9.5118
2.75034,2.3796,-9.75723
2.78295,1.14047,-10.3399
2.78295,1.17307,-10.4075
2.78295,1.20568,-10.3033
2.78295,1.23829,-10.2767
2.78295,1.2709,-9.97609
2.78295,1.30351,-9.65382
2.78295,1.33612,-9.0515
2.78295,1.36873,-8.08584
2.78295,1.40134,-7.82991
2.78295,1.43394,-7.99719
2.78295,1.46655,-6.94729
2.78295,1.49916,-6.89212
2.78295,1.53177,-7.54472
2.78295,1.56438,-10.3346
2.78295,1.59699,-14.7363
2.78295,1.6296,-14.3615
2.78295,1.6622,-11.3501
2.78295,1.69481,-7.37088
2.78295,1.72742,-4.87203
2.78295,1.76003,-4.05758
2.78295,1.79264,-2.46907
2.78295,1.82525,-1.86859
2.78295,1.85786,-1.52291
2.78295,1.89047,-2.12792
2.78295,1.92307,-3.49169
2.78295,1.95568,-5.20891
2.78295,1.98829,-6.8871
2.78295,2.0209,-8.36207
2.78295,2.05351,-8.12402
2.78295,2.08612,-7.77998
2.78295,2.11873,-7.87126
2.78295,2.15134,-8.1617
2.78295,2.18394,-8.51915
2.78295,2.21655,-8.87224
2.78295,2.24916,-9.16943
2.78295,2.28177,-9.34456
2.78295,2.31438,-9.35209
2.78295,2.34699,-9.48335
2.78295,2.3796,-9.61859
2.81556,1.14047,-10.6349
2.81556,1.17307,-10.7356
2.81556,1.20568,-10.6356
2.81556,1.23829,-10.6584
2.81556,1.2709,-10.4915
2.81556,1.30351,-10.3012
2.81556,1.33612,-9.72438
2.81556,1.36873,-9.05703
2.81556,1.40134,-8.72553
2.81556,1.43394,-8.67635
2.81556,1.46655,-7.37807
2.81556,1.49916,-6.86539
2.81556,1.53177,-7.34518
2.81556,1.56438,-10.2144
2.81556,1.59699,-14.9398
2.81556,1.6296,-14.8149
2.81556,1.6622,-12.0396
2.81556,1.69481,-8.36557
2.81556,1.72742,-5.33004
2.81556,1.76003,-4.15032
2.81556,1.79264,-2.40568
2.81556,1.82525,-1.68914
2.81556,1.85786,-1.37287
2.81556,1.89047,-1.96445
2.81556,1.92307,-3.41303
2.81556,1.95568,-5.18579
2.81556,1.98829,-6.94787
2.81556,2.0209,-8.60352
2.81556,2.05351,-8.38307
2.81556,2.08612,-8.18732
2.81556,2.11873,-8.08535
2.81556,2.15134,-8.18616
2.81556,2.18394,-8.38936
2.81556,2.21655,-8.80082
2.81556,2.24916,-9.0853
2.81556,2.28177,-9.2014
2.81556,2.31438,-9.22206
2.81556,2.34699,-9.17637
2.81556,2.3796,-9.24953
2.84817,1.14047,-10.5519
2.84817,1.17307,-10.6983
2.84817,1.20568,-10.756
2.84817,1.23829,-10.6483
2.84817,1.2709,-10.6009
2.84817,1.30351,-10.6405
2.84817,1.33612,-10.3506
2.84817,1.36873,-10.018
2.84817,1.40134,-9.58848
2.84817,1.43394,-9.25986
2.84817,1.46655,-7.60202
2.84817,1.49916,-6.90544
2.84817,1.53177,-7.34205
2.84817,1.56438,-10.1909
2.84817,1.59699,-15.3919
2.84817,1.6296,-15.3789
2.84817,1.6622,-12.7467
2.84817,1.69481,-8.98352
2.84817,1.72742,-5.6052
2.84817,1.76003,-4.13861
2.84817,1.79264,-2.22325
2.84817,1.82525,-1.56373
2.84817,1.85786,-1.24255
2.84817,1.89047,-1.80869
2.84817,1.92307,-3.25752
2.84817,1.95568,-5.10897
2.84817,1.98829,-6.96662
2.84817,2.0209,-8.78062
2.84817,2.05351,-8.73133
2.84817,2.08612,-8.47306
2.84817,2.11873,-8.46088
2.84817,2.15134,-8.40038
2.84817,2.18394,-8.42605
2.84817,2.21655,-8.58611
2.84817,2.24916,-8.70392
2.84817,2.28177,-8.72063
2.84817,2.31438,-8.56989
2.84817,2.34699,-8.72338
2.84817,2.3796,-8.75325
2.88078,1.14047,-10.4702
2.88078,1.17307,-10.5057
2.88078,1.20568,-10.4706
2.88078,1.23829,-10.5829
2.88078,1.2709,-10.6807
2.88078,1.30351,-10.8466
2.88078,1.33612,-10.8028
2.88078,1.36873,-10.7502
2.88078,1.40134,-10.3085
2.88078,1.43394,-9.83832
2.88078,1.46655,-8.09314
2.88078,1.49916,-7.1878
2.88078,1.53177,-7.92293
2.88078,1.56438,-10.9017
2.88078,1.59699,-16.0718
2.88078,1.6296,-16.0793
2.88078,1.6622,-13.4326
2.88078,1.69481,-9.37738
2.88078,1.72742,-6.08628
2.88078,1.76003,-4.21497
2.88078,1.79264,-2.14418
2.88078,1.82525,-1.44537
2.88078,1.85786,-1.18303
2.88078,1.89047,-1.79413
2.88078,1.92307,-3.32201
2.88078,1.95568,-5.29585
2.88078,1.98829,-7.19048
2.88078,2.0209,-9.07466
2.88078,2.05351,-9.12132
2.88078,2.08612,-9.15165
2.88078,2.11873,-9.15044
2.88078,2.15134,-8.97936
2.88078,2.18394,-8.67789
2.88078,2.21655,-8.5191
2.88078,2.24916,-8.50088
2.88078,2.28177,-8.26558
2.88078,2.31438,-8.11622
2.88078,2.34699,-8.25479
2.88078,2.3796,-8.41782
2.91339,1.14047,-10.3709
2.91339,1.17307,-10.3716
2.91339,1.20568,-10.363
2.91339,1.23829,-10.4683
2.91339,1.2709,-10.773
2.91339,1.30351,-11.0682
2.91339,1.33612,-11.1809
2.91339,1.36873,-11.1225
2.91339,1.40134,-10.7953
2.91339,1.43394,-10.4615
2.91339,1.46655,-8.51747
2.91339,1.49916,-7.80303
2.91339,1.53177,-8.7265
2.91339,1.56438,-11.8345
2.91339,1.59699,-16.8317
2.91339,1.6296,-16.7617
2.91339,1.6622,-14.1639
2.91339,1.69481,-10.0692
2.91339,1.72742,-6.52057
2.91339,1.76003,-4.48551
2.91339,1.79264,-2.20096
2.91339,1.82525,-1.38391
2.91339,1.85786,-0.976683
2.91339,1.89047,-1.81161
2.91339,1.92307,-3.3912
2.91339,1.95568,-5.47941
2.91339,1.98829,-7.48719
2.91339,2.0209,-9.39458
2.91339,2.05351,-9.58506
2.91339,2.08612,-9.6982
2.91339,2.11873,-9.6392
2.91339,2.15134,-9.31712
2.91339,2.18394,-8.99344
2.91339,2.21655,-8.56978
2.91339,2.24916,-8.34351
2.91339,2.28177,-7.95639
2.91339,2.31438,-7.89175
2.91339,2.34699,-7.92154
2.91339,2.3796,-8.23088
2.946,1.14047,-10.3298
2.946,1.17307,-10.3497
2.946,1.20568,-10.3039
2.946,1.23829,-10.4356
2.946,1.2709,-10.7279
2.946,1.30351,-11.0836
2.946,1.33612,-11.1474
2.946,1.36873,-11.2349
2.946,1.40134,-10.9103
2.946,1.43394,-10.7246
2.946,1.46655,-8.97261
2.946,1.49916,-8.46446
2.946,1.53177,-9.50671
2.946,1.56438,-12.8121
2.946,1.59699,-17.5646
2.946,1.6296,-17.2403
2.946,1.6622,-14.6409
2.946,1.69481,-10.5611
2.946,1.72742,-7.02752
2.946,1.76003,-5.03916
2.946,1.79264,-2.69203
2.946,1.82525,-1.56462
2.946,1.85786,-1.12399
2.946,1.89047,-1.82336
2.946,1.92307,-3.47357
2.946,1.95568,-5.66088
2.946,1.98829,-7.67432
2.946,2.0209,-9.54954
2.946,2.05351,-9.68588
2.946,2.08612,-9.7945
2.946,2.11873,-9.75514
2.946,2.15134,-9.35342
2.946,2.18394,-8.95315
2.946,2.21655,-8.64284
2.946,2.24916,-8.29798
2.946,2.28177,-7.88845
2.946,2.31438,-7.71716
2.946,2.34699,-7.78282
2.946,2.3796,-7.90876
2.9786,1.14047,-10.4648
2.9786,1.17307,-10.4774
2.9786,1.20568,-10.3623
2.9786,1.23829,-10.4404
2.9786,1.2709,-10.7737
2.9786,1.30351,-11.079
2.9786,1.33612,-11.1212
2.9786,1.36873,-11.1515
2.9786,1.40134,-10.9217
2.9786,1.43394,-10.8335
2.9786,1.46655,-9.16135
2.9786,1.49916,-8.90464
2.9786,1.53177,-9.99837
2.9786,1.56438,-13.4243
2.9786,1.59699,-18.0455
2.9786,1.6296,-17.7075
2.9786,1.6622,-14.8956
2.9786,1.69481,-10.9538
2.9786,1.72742,-7.53143
2.9786,1.76003,-5.64289
2.9786,1.79264,-3.2527
2.9786,1.82525,-1.97448
2.9786,1.85786,-1.34495
2.9786,1.89047,-2.0801
2.9786,1.92307,-3.71853
2.9786,1.95568,-5.75944
2.9786,1.98829,-7.69112
2.9786,2.0209,-9.5124
