x,y,z
2.67998,1.13453,4.23256
2.67998,1.16713,1.3282
2.67998,1.19974,-2.95856
2.67998,1.23235,-8.85495
2.67998,1.26496,-17.3946
2.67998,1.29757,-38.0937
2.67998,1.33018,-43.8976
2.67998,1.36279,-47.5284
2.67998,1.3954,-43.7236
2.67998,1.428,-44.4157
2.67998,1.46061,-44.5759
2.67998,1.49322,-44.8315
2.67998,1.52583,-45.6293
2.67998,1.55844,-27.6823
2.67998,1.59105,-7.01659
2.67998,1.62366,2.39873
2.67998,1.65627,6.50169
2.67998,1.68887,7.39509
2.67998,1.72148,4.02699
2.67998,1.75409,3.1972
2.67998,1.7867,1.77282
2.67998,1.81931,0.146493
2.67998,1.85192,-0.39861
2.67998,1.88453,-1.17387
2.67998,1.91713,-5.04828
2.67998,1.94974,-4.51198
2.67998,1.98235,-7.99348
2.67998,2.01496,-22.1006
2.67998,2.04757,-39.6844
2.67998,2.08018,-43.3789
2.67998,2.11279,-44.7308
2.67998,2.1454,-46.1522
2.67998,2.178,-46.2117
2.67998,2.21061,-45.8637
2.67998,2.24322,-46.5118
2.67998,2.27583,-45.3827
2.67998,2.30844,-46.9307
2.67998,2.34105,-46.4258
2.67998,2.37366,-46.4164
2.71259,1.13453,2.48142
2.71259,1.16713,3.03482
2.71259,1.19974,-1.87194
2.71259,1.23235,-10.7873
2.71259,1.26496,-25.8925
2.71259,1.29757,-44.4995
2.71259,1.33018,-42.4579
2.71259,1.36279,-46.5344
2.71259,1.3954,-41.6322
2.71259,1.428,-42.6377
2.71259,1.46061,-43.3706
2.71259,1.49322,-34.8116
2.71259,1.52583,-23.9714
2.71259,1.55844,-17.3407
2.71259,1.59105,-4.82115
2.71259,1.62366,0.38542
2.71259,1.65627,2.74265
2.71259,1.68887,3.44772
2.71259,1.72148,-1.06825
2.71259,1.75409,-2.24822
2.71259,1.7867,-0.791186
2.71259,1.81931,-0.565688
2.71259,1.85192,-0.273011
2.71259,1.88453,0.955525
2.71259,1.91713,0.177409
2.71259,1.94974,-0.481106
2.71259,1.98235,-3.51671
2.71259,2.01496,-18.1603
2.71259,2.04757,-39.0348
2.71259,2.08018,-43.1127
2.71259,2.11279,-44.1372
2.71259,2.1454,-46.1743
2.71259,2.178,-46.0973
2.71259,2.21061,-45.1522
2.71259,2.24322,-48.0854
2.71259,2.27583,-44.9701
2.71259,2.30844,-46.1076
2.71259,2.34105,-45.7648
2.71259,2.37366,-46.9615
2.7452,1.13453,3.36188
2.7452,1.16713,3.08742
2.7452,1.19974,-3.49152
2.7452,1.23235,-16.1456
