x,y,z
2.66251,1.16078,0.492204
2.66251,1.17382,0.4814
2.66251,1.18686,0.555433
2.66251,1.19991,0.476622
2.66251,1.21295,0.436737
2.66251,1.22599,0.37992
2.66251,1.23904,0.300243
2.66251,1.25208,0.272769
2.66251,1.26512,0.177344
2.66251,1.27817,0.144806
2.66251,1.29121,0.228981
2.66251,1.30425,0.186324
2.66251,1.3173,0.234724
2.66251,1.33034,0.260594
2.66251,1.34338,0.492632
2.66251,1.35643,0.708221
2.66251,1.36947,1.24149
2.66251,1.38252,1.37903
2.66251,1.39556,1.57572
2.66251,1.4086,1.67592
2.66251,1.42165,1.77374
2.66251,1.43469,1.82354
2.66251,1.44773,1.69371
2.66251,1.46078,1.54722
2.66251,1.47382,1.41647
2.66251,1.48686,1.2495
2.66251,1.49991,0.956902
2.66251,1.51295,0.761502
2.66251,1.52599,0.608769
2.66251,1.53904,0.380021
2.66251,1.55208,0.378328
2.66251,1.56512,0.322342
2.66251,1.57817,0.278445
2.66251,1.59121,0.375611
2.66251,1.60425,0.486421
2.66251,1.6173,0.670466
2.66251,1.63034,1.11908
2.66251,1.64338,1.52989
2.66251,1.65643,1.9462
2.66251,1.66947,3.44549
2.66251,1.68252,4.66003
2.66251,1.69556,5.65638
2.66251,1.7086,7.02763
2.66251,1.72165,8.47511
2.66251,1.73469,9.78218
2.66251,1.74773,10.8223
2.66251,1.76078,11.8047
2.66251,1.77382,12.2094
2.66251,1.78686,12.8206
2.66251,1.79991,12.4035
2.66251,1.81295,12.3611
2.66251,1.82599,11.7697
2.66251,1.83904,7.66078
2.66251,1.85208,7.94082
2.66251,1.86512,6.90496
2.66251,1.87817,4.79299
2.66251,1.89121,4.26871
2.66251,1.90425,2.36922
2.66251,1.9173,1.28937
2.66251,1.93034,0.866879
2.66251,1.94338,0.497422
2.66251,1.95643,0.413332
2.66251,1.96947,0.479907
2.66251,1.98252,0.695631
2.66251,1.99556,1.01316
2.66251,2.0086,1.2116
2.66251,2.02165,1.28641
2.66251,2.03469,1.47644
2.66251,2.04773,1.50289
2.66251,2.07382,0.976009
2.66251,2.08686,0.878037
2.66251,2.09991,0.6861
2.66251,2.11295,0.45687
2.66251,2.12599,0.279822
2.66251,2.13904,0.268495
2.66251,2.15208,0.109218
2.66251,2.16512,0.0404653
2.66251,2.17817,0.0412451
2.66251,2.19121,0.0414171
2.66251,2.20425,0.0471873
2.66251,2.2173,0.062803
2.66251,2.23034,0.0958271
2.66251,2.24338,0.0961863
2.66251,2.25643,0.21078
2.66251,2.26947,0.278449
2.66251,2.28252,0.412876
2.66251,2.29556,0.547503
2.66251,2.3086,0.746232
2.66251,2.32165,0.870597
2.66251,2.33469,1.12787
2.66251,2.34773,1.36234
2.66251,2.36078,1.63576
2.67556,1.14773,0.628869
2.67556,1.16078,0.614877
2.67556,1.17382,0.589574
2.67556,1.18686,0.624711
2.67556,1.19991,0.490962
2.67556,1.21295,0.451807
2.67556,1.22599,0.414329
2.67556,1.23904,0.261575
2.67556,1.25208,0.173463
2.67556,1.26512,0.124293
2.67556,1.27817,0.099282
2.67556,1.29121,0.160902
2.67556,1.30425,0.126244
2.67556,1.3173,0.290947
2.67556,1.33034,0.316672
2.67556,1.34338,0.484262
2.67556,1.35643,0.723061
2.67556,1.36947,1.13815
2.67556,1.38252,1.20812
2.67556,1.39556,1.37496
2.67556,1.4086,1.41334
2.67556,1.42165,1.57347
2.67556,1.43469,1.55909
2.67556,1.44773,1.43766
2.67556,1.46078,1.31475
2.67556,1.47382,1.10932
2.67556,1.48686,0.948881
2.67556,1.49991,0.616501
2.67556,1.51295,0.468235
2.67556,1.52599,0.352351
2.67556,1.53904,0.226679
2.67556,1.55208,0.184089
2.67556,1.56512,0.150425
2.67556,1.57817,0.133509
2.67556,1.59121,0.154468
2.67556,1.60425,0.210595
2.67556,1.6173,0.410971
2.67556,1.63034,0.802083
2.67556,1.64338,1.16845
2.67556,1.65643,1.57524
2.67556,1.66947,2.96898
2.67556,1.68252,3.74217
2.67556,1.69556,4.68262
2.67556,1.7086,6.75979
2.67556,1.72165,7.61252
2.67556,1.73469,8.69422
2.67556,1.74773,9.81684
2.67556,1.76078,10.4295
2.67556,1.77382,10.8253
2.67556,1.78686,11.365
2.67556,1.79991,10.2346
2.67556,1.81295,9.97544
2.67556,1.82599,10.3958
2.67556,1.83904,7.99366
2.67556,1.85208,6.99966
2.67556,1.86512,6.30745
2.67556,1.87817,4.32178
2.67556,1.89121,2.87404
2.67556,1.90425,2.26685
2.67556,1.9173,1.27267
2.67556,1.93034,0.914734
2.67556,1.94338,0.568831
2.67556,1.95643,0.51189
2.67556,1.96947,0.570623
2.67556,1.98252,0.70234
2.67556,1.99556,0.943369
2.67556,2.0086,1.14173
2.67556,2.02165,1.16863
2.67556,2.03469,1.38666
2.67556,2.04773,1.26249
2.67556,2.06078,1.10454
2.67556,2.07382,1.04226
2.67556,2.08686,0.832799
2.67556,2.09991,0.629445
2.67556,2.11295,0.404361
2.67556,2.12599,0.236897
2.67556,2.13904,0.100624
2.67556,2.15208,0.0775892
2.67556,2.16512,0.052024
2.67556,2.17817,0.0335161
2.67556,2.19121,0.036018
2.67556,2.20425,0.0399947
2.67556,2.2173,0.0502165
2.67556,2.23034,0.0881091
2.67556,2.24338,0.0743119
2.67556,2.25643,0.187889
2.67556,2.26947,0.177091
2.67556,2.28252,0.309989
2.67556,2.29556,0.453266
2.67556,2.3086,0.557607
2.67556,2.32165,0.822805
2.67556,2.33469,1.11076
2.67556,2.34773,1.27835
2.67556,2.36078,1.58933
2.67556,2.37382,1.62315
2.6886,1.14773,0.657552
2.6886,1.16078,0.584356
2.6886,1.17382,0.54922
2.6886,1.18686,0.512355
2.6886,1.19991,0.488081
2.6886,1.21295,0.41482
2.6886,1.22599,0.213444
2.6886,1.23904,0.242253
2.6886,1.25208,0.181816
2.6886,1.26512,0.125669
2.6886,1.27817,0.128661
2.6886,1.29121,0.161834
2.6886,1.30425,0.274268
2.6886,1.3173,0.281611
2.6886,1.33034,0.380136
2.6886,1.34338,0.59324
2.6886,1.35643,0.657237
2.6886,1.36947,0.863641
2.6886,1.38252,1.12516
2.6886,1.39556,1.10615
2.6886,1.4086,1.19465
2.6886,1.42165,1.31282
2.6886,1.43469,1.08654
2.6886,1.44773,1.00723
2.6886,1.46078,0.92302
2.6886,1.47382,0.697848
2.6886,1.48686,0.608617
2.6886,1.49991,0.459378
2.6886,1.51295,0.276329
2.6886,1.52599,0.247968
2.6886,1.53904,0.178328
2.6886,1.55208,0.0706859
2.6886,1.56512,0.124361
2.6886,1.57817,0.106125
2.6886,1.59121,0.122767
2.6886,1.60425,0.181658
2.6886,1.6173,0.397927
2.6886,1.63034,0.754498
2.6886,1.64338,1.34622
2.6886,1.65643,1.68897
2.6886,1.66947,2.75812
2.6886,1.68252,4.36853
2.6886,1.69556,4.8323
2.6886,1.7086,6.24713
2.6886,1.72165,7.55847
2.6886,1.73469,8.66652
2.6886,1.74773,8.58215
2.6886,1.76078,9.64528
2.6886,1.77382,10.3254
2.6886,1.78686,10.5149
2.6886,1.79991,9.27056
2.6886,1.81295,9.55995
2.6886,1.82599,9.33696
2.6886,1.83904,7.45177
2.6886,1.85208,6.4167
2.6886,1.86512,6.27821
2.6886,1.87817,4.51984
2.6886,1.89121,2.86283
2.6886,1.90425,2.55172
2.6886,1.9173,1.4523
2.6886,1.93034,1.09254
2.6886,1.94338,0.725952
2.6886,1.95643,0.727806
2.6886,1.96947,0.779908
2.6886,1.98252,0.876824
2.6886,1.99556,1.1155
2.6886,2.0086,1.30987
2.6886,2.02165,1.3655
2.6886,2.03469,1.54767
2.6886,2.04773,1.49533
2.6886,2.06078,1.55216
2.6886,2.07382,1.21717
2.6886,2.08686,1.00373
2.6886,2.09991,0.874688
2.6886,2.11295,0.581613
2.6886,2.12599,0.402508
2.6886,2.13904,0.363791
2.6886,2.15208,0.169973
2.6886,2.16512,0.125048
2.6886,2.17817,0.111745
2.6886,2.19121,0.0786396
2.6886,2.20425,0.125711
2.6886,2.2173,0.173252
2.6886,2.23034,0.256184
2.6886,2.24338,0.31261
2.6886,2.25643,0.371487
2.6886,2.26947,0.452527
2.6886,2.28252,0.60441
2.6886,2.29556,0.799
2.6886,2.3086,0.968167
2.6886,2.32165,1.13447
2.6886,2.33469,1.3139
2.6886,2.34773,1.49528
2.6886,2.36078,1.60332
2.6886,2.37382,1.5772
2.70165,1.14773,0.787374
2.70165,1.16078,0.690179
2.70165,1.17382,0.561969
2.70165,1.18686,0.678601
2.70165,1.19991,0.513649
2.70165,1.21295,0.408833
2.70165,1.23904,0.22632
2.70165,1.25208,0.167377
2.70165,1.26512,0.0983565
2.70165,1.27817,0.0944037
2.70165,1.29121,0.170824
2.70165,1.30425,0.207312
2.70165,1.3173,0.180246
2.70165,1.33034,0.369266
2.70165,1.34338,0.5412
2.70165,1.35643,0.536652
2.70165,1.36947,0.833737
2.70165,1.38252,0.92219
2.70165,1.39556,0.794795
2.70165,1.4086,0.954225
2.70165,1.42165,1.16411
2.70165,1.43469,0.695781
2.70165,1.44773,0.695174
2.70165,1.46078,0.733684
2.70165,1.47382,0.442388
2.70165,1.49991,0.316025
2.70165,1.51295,0.153039
2.70165,1.52599,0.211464
2.70165,1.53904,0.11256
2.70165,1.55208,0.0124959
2.70165,1.56512,0.0783807
2.70165,1.57817,0.0850257
2.70165,1.59121,0.161979
2.70165,1.60425,0.140014
2.70165,1.6173,0.375052
2.70165,1.63034,0.753762
2.70165,1.64338,1.34337
2.70165,1.65643,1.58627
2.70165,1.66947,2.63983
2.70165,1.68252,4.04187
2.70165,1.69556,4.40761
2.70165,1.7086,5.67752
2.70165,1.72165,7.03633
2.70165,1.73469,7.85016
2.70165,1.74773,7.91387
2.70165,1.76078,9.57417
2.70165,1.77382,9.5227
2.70165,1.78686,9.63967
2.70165,1.79991,8.78514
2.70165,1.81295,8.72081
2.70165,1.82599,9.80485
2.70165,1.83904,7.22978
2.70165,1.85208,5.9943
2.70165,1.86512,5.79021
2.70165,1.87817,4.44946
2.70165,1.89121,3.15532
2.70165,1.90425,2.70012
2.70165,1.9173,1.6846
2.70165,1.93034,1.17295
2.70165,1.95643,0.862639
2.70165,1.98252,0.825465
2.70165,1.99556,1.13245
2.70165,2.0086,1.16811
2.70165,2.02165,1.17663
2.70165,2.03469,1.47007
2.70165,2.04773,1.41616
2.70165,2.07382,1.1725
2.70165,2.08686,0.9342
2.70165,2.09991,0.889422
2.70165,2.11295,0.559582
2.70165,2.12599,0.447652
2.70165,2.15208,0.180597
2.70165,2.16512,0.112432
2.70165,2.17817,0.13398
2.70165,2.19121,0.0796
2.70165,2.2173,0.165258
2.70165,2.23034,0.271788
2.70165,2.25643,0.425194
2.70165,2.26947,0.513506
2.70165,2.28252,0.658989
2.70165,2.29556,0.87158
2.70165,2.32165,1.14447
2.70165,2.33469,1.29272
2.70165,2.34773,1.44142
2.70165,2.36078,1.58383
2.70165,2.37382,1.47994
2.71469,1.14773,1.01915
2.71469,1.16078,0.856733
2.71469,1.17382,0.686835
2.71469,1.18686,0.802667
2.71469,1.19991,0.619838
2.71469,1.21295,0.443659
2.71469,1.23904,0.247084
2.71469,1.25208,0.14926
2.71469,1.26512,0.0965234
2.71469,1.27817,0.0696881
2.71469,1.29121,0.131607
2.71469,1.30425,0.148741
2.71469,1.3173,0.148413
2.71469,1.33034,0.312603
2.71469,1.34338,0.464107
2.71469,1.35643,0.439294
2.71469,1.36947,0.68655
2.71469,1.38252,0.723139
2.71469,1.39556,0.651148
2.71469,1.4086,0.74537
2.71469,1.42165,0.915809
2.71469,1.43469,0.551025
2.71469,1.44773,0.51613
2.71469,1.46078,0.581199
2.71469,1.47382,0.310111
2.71469,1.49991,0.210109
2.71469,1.51295,0.105402
2.71469,1.52599,0.0963209
2.71469,1.53904,0.0422774
2.71469,1.55208,0.00715111
2.71469,1.56512,0.0549056
2.71469,1.57817,0.0560643
2.71469,1.59121,0.2195
2.71469,1.60425,0.144876
2.71469,1.6173,0.473487
2.71469,1.63034,0.994047
2.71469,1.64338,1.31615
2.71469,1.65643,1.61189
2.71469,1.66947,2.6255
2.71469,1.68252,3.95603
2.71469,1.69556,4.19268
2.71469,1.7086,5.31635
2.71469,1.72165,6.57398
2.71469,1.73469,7.32743
2.71469,1.74773,7.23533
2.71469,1.76078,8.98449
2.71469,1.77382,8.63712
2.71469,1.78686,8.94824
2.71469,1.79991,8.19645
2.71469,1.81295,8.57201
2.71469,1.82599,9.21693
2.71469,1.83904,7.19748
2.71469,1.85208,6.03915
2.71469,1.86512,5.83894
2.71469,1.87817,4.42156
2.71469,1.89121,3.48184
2.71469,1.90425,2.92527
2.71469,1.9173,1.93937
2.71469,1.93034,1.53331
2.71469,1.95643,1.09402
2.71469,1.98252,0.89989
2.71469,1.99556,1.08095
2.71469,2.0086,1.10097
2.71469,2.02165,1.16829
2.71469,2.03469,1.46019
2.71469,2.04773,1.33603
2.71469,2.07382,1.14806
2.71469,2.08686,0.884063
2.71469,2.09991,0.918751
2.71469,2.11295,0.607373
2.71469,2.12599,0.473012
2.71469,2.15208,0.219246
2.71469,2.16512,0.176203
2.71469,2.17817,0.151993
2.71469,2.19121,0.101301
2.71469,2.2173,0.193878
2.71469,2.23034,0.345552
2.71469,2.25643,0.498782
2.71469,2.26947,0.577626
2.71469,2.28252,0.749201
2.71469,2.29556,0.9212
2.71469,2.32165,1.12914
2.71469,2.33469,1.27188
2.71469,2.36078,1.53426
2.71469,2.37382,1.44574
2.72773,1.14773,1.16697
2.72773,1.16078,1.03615
2.72773,1.17382,0.836562
2.72773,1.18686,0.895776
2.72773,1.19991,0.714217
2.72773,1.21295,0.505268
2.72773,1.22599,0.342207
2.72773,1.23904,0.27817
2.72773,1.25208,0.140939
2.72773,1.26512,0.10605
2.72773,1.27817,0.0598888
2.72773,1.29121,0.0897292
2.72773,1.30425,0.0781799
2.72773,1.3173,0.1063
2.72773,1.33034,0.222381
2.72773,1.34338,0.345957
2.72773,1.35643,0.34282
2.72773,1.36947,0.535601
2.72773,1.38252,0.581803
2.72773,1.39556,0.48241
2.72773,1.4086,0.543654
2.72773,1.42165,0.614437
2.72773,1.43469,0.407164
2.72773,1.44773,0.337868
2.72773,1.46078,0.40968
2.72773,1.47382,0.237803
2.72773,1.48686,0.233103
2.72773,1.49991,0.163019
2.72773,1.51295,0.0774258
2.72773,1.52599,0.0451727
2.72773,1.53904,0.0167221
2.72773,1.55208,0.0251856
2.72773,1.56512,0.0675824
2.72773,1.57817,0.128105
2.72773,1.59121,0.347847
2.72773,1.60425,0.423404
2.72773,1.6173,0.694942
2.72773,1.63034,1.24889
2.72773,1.64338,1.62112
2.72773,1.65643,1.95201
2.72773,1.66947,2.88187
2.72773,1.68252,3.73227
2.72773,1.69556,4.12223
2.72773,1.7086,5.11299
2.72773,1.72165,6.04348
2.72773,1.73469,6.72778
2.72773,1.74773,6.93894
2.72773,1.76078,7.22222
2.72773,1.77382,7.93979
2.72773,1.78686,8.13269
2.72773,1.79991,7.93385
2.72773,1.81295,7.91987
2.72773,1.82599,7.93132
2.72773,1.83904,7.17555
2.72773,1.85208,5.96468
2.72773,1.86512,5.31137
2.72773,1.87817,4.44061
2.72773,1.89121,3.12899
2.72773,1.90425,2.82072
2.72773,1.9173,1.98105
2.72773,1.93034,1.55113
2.72773,1.94338,0.984194
2.72773,1.95643,1.08031
2.72773,1.96947,0.808949
2.72773,1.98252,0.931871
2.72773,1.99556,0.958151
2.72773,2.0086,1.05487
2.72773,2.02165,1.09128
2.72773,2.03469,1.25343
2.72773,2.04773,1.17175
2.72773,2.06078,1.09367
2.72773,2.07382,1.0309
2.72773,2.08686,0.849124
2.72773,2.09991,0.707835
2.72773,2.11295,0.605589
2.72773,2.12599,0.478499
2.72773,2.13904,0.369961
2.72773,2.15208,0.307614
2.72773,2.16512,0.222834
2.72773,2.17817,0.230719
2.72773,2.19121,0.20594
2.72773,2.20425,0.345792
2.72773,2.2173,0.300672
2.72773,2.23034,0.408894
2.72773,2.24338,0.523504
2.72773,2.25643,0.557001
2.72773,2.26947,0.674703
2.72773,2.28252,0.780404
2.72773,2.29556,0.941593
2.72773,2.3086,0.999033
2.72773,2.32165,1.11131
2.72773,2.33469,1.32037
2.72773,2.34773,1.42541
2.72773,2.36078,1.49758
2.72773,2.37382,1.50193
2.74078,1.14773,1.37637
2.74078,1.16078,1.21247
2.74078,1.17382,0.955777
2.74078,1.18686,1.10212
2.74078,1.19991,0.876364
2.74078,1.21295,0.610743
2.74078,1.22599,0.329838
2.74078,1.23904,0.396344
2.74078,1.25208,0.166624
2.74078,1.26512,0.104631
2.74078,1.27817,0.0833208
2.74078,1.29121,0.0552405
2.74078,1.30425,0.0448627
2.74078,1.3173,0.0509536
2.74078,1.33034,0.162356
2.74078,1.34338,0.32963
2.74078,1.35643,0.219988
2.74078,1.36947,0.388776
2.74078,1.38252,0.390389
2.74078,1.39556,0.371234
2.74078,1.4086,0.413962
2.74078,1.42165,0.498101
2.74078,1.43469,0.284378
2.74078,1.44773,0.242739
2.74078,1.46078,0.333982
2.74078,1.47382,0.180212
2.74078,1.48686,0.131332
2.74078,1.49991,0.108899
2.74078,1.51295,0.0587148
2.74078,1.52599,0.036834
2.74078,1.53904,0.03354
2.74078,1.55208,0.0667356
2.74078,1.56512,0.145008
2.74078,1.57817,0.188605
2.74078,1.59121,0.524398
2.74078,1.60425,0.37054
2.74078,1.6173,0.904145
2.74078,1.63034,1.51605
2.74078,1.64338,1.86751
2.74078,1.65643,2.15096
2.74078,1.66947,3.1885
2.74078,1.68252,4.2287
2.74078,1.69556,4.29117
2.74078,1.7086,5.42756
2.74078,1.72165,6.62005
2.74078,1.73469,6.61897
2.74078,1.74773,6.84563
2.74078,1.76078,8.27825
2.74078,1.77382,8.0101
2.74078,1.78686,8.47392
2.74078,1.79991,7.95568
2.74078,1.81295,7.98408
2.74078,1.82599,8.10791
2.74078,1.83904,7.41322
2.74078,1.85208,6.22781
2.74078,1.86512,5.46136
2.74078,1.87817,4.67005
2.74078,1.89121,3.43259
2.74078,1.90425,3.0413
2.74078,1.9173,2.31133
2.74078,1.93034,1.96978
2.74078,1.94338,1.47152
2.74078,1.95643,1.43222
2.74078,1.96947,0.993061
2.74078,1.98252,0.928423
2.74078,1.99556,0.988689
2.74078,2.0086,0.942966
2.74078,2.02165,0.989666
2.74078,2.03469,1.19902
2.74078,2.04773,1.08222
2.74078,2.06078,0.996069
2.74078,2.07382,0.961069
2.74078,2.08686,0.782208
2.74078,2.09991,0.681153
2.74078,2.11295,0.593089
2.74078,2.12599,0.431899
2.74078,2.13904,0.254022
2.74078,2.15208,0.273856
2.74078,2.16512,0.216939
2.74078,2.17817,0.260091
2.74078,2.19121,0.220106
2.74078,2.20425,0.273899
2.74078,2.2173,0.29489
2.74078,2.23034,0.46282
2.74078,2.24338,0.366036
2.74078,2.25643,0.5564
2.74078,2.26947,0.554285
2.74078,2.28252,0.754073
2.74078,2.29556,0.849405
2.74078,2.3086,0.789021
2.74078,2.32165,1.08811
2.74078,2.33469,1.2555
2.74078,2.34773,1.13388
2.74078,2.36078,1.33198
2.74078,2.37382,1.44386
2.75382,1.14773,1.55454
2.75382,1.16078,1.41243
2.75382,1.17382,1.16155
2.75382,1.18686,1.36465
2.75382,1.19991,1.03746
2.75382,1.21295,0.74593
2.75382,1.23904,0.510528
2.75382,1.25208,0.218548
2.75382,1.26512,0.208732
2.75382,1.27817,0.159331
2.75382,1.29121,0.0314598
2.75382,1.30425,0.0260337
2.75382,1.3173,0.0151661
2.75382,1.33034,0.102476
2.75382,1.34338,0.21088
2.75382,1.35643,0.120898
2.75382,1.36947,0.253351
2.75382,1.38252,0.251543
2.75382,1.39556,0.222134
2.75382,1.4086,0.258517
2.75382,1.42165,0.367669
2.75382,1.43469,0.174823
2.75382,1.44773,0.158815
2.75382,1.46078,0.210139
2.75382,1.47382,0.123587
2.75382,1.49991,0.0832096
2.75382,1.51295,0.0574008
2.75382,1.52599,0.0361746
2.75382,1.53904,0.0519299
2.75382,1.55208,0.108797
2.75382,1.56512,0.162252
2.75382,1.57817,0.298634
2.75382,1.59121,0.673022
2.75382,1.60425,0.588139
2.75382,1.6173,1.14571
2.75382,1.63034,1.8458
2.75382,1.64338,2.22311
2.75382,1.65643,2.51495
2.75382,1.66947,3.51442
2.75382,1.68252,4.53417
2.75382,1.69556,4.61126
2.75382,1.7086,5.60047
2.75382,1.72165,6.75835
2.75382,1.73469,6.49739
2.75382,1.74773,6.91864
2.75382,1.76078,8.50453
2.75382,1.77382,7.67418
2.75382,1.78686,8.22179
2.75382,1.79991,7.93985
2.75382,1.81295,7.88751
2.75382,1.82599,8.01649
2.75382,1.83904,7.42054
2.75382,1.85208,6.32004
2.75382,1.86512,5.33843
2.75382,1.87817,4.87346
2.75382,1.90425,3.34454
2.75382,1.9173,2.47368
2.75382,1.93034,2.26659
2.75382,1.95643,1.53801
2.75382,1.98252,0.957577
2.75382,1.99556,0.972191
2.75382,2.0086,0.693364
2.75382,2.02165,0.865092
2.75382,2.03469,1.14637
2.75382,2.04773,0.884838
2.75382,2.07382,0.828565
2.75382,2.08686,0.648255
2.75382,2.09991,0.798606
2.75382,2.11295,0.657828
2.75382,2.12599,0.546189
2.75382,2.15208,0.330041
2.75382,2.16512,0.240801
2.75382,2.17817,0.319274
2.75382,2.19121,0.242516
2.75382,2.2173,0.379219
2.75382,2.23034,0.622084
2.75382,2.25643,0.700195
2.75382,2.26947,0.834735
2.75382,2.28252,0.907414
2.75382,2.29556,0.856437
2.75382,2.33469,1.34608
2.75382,2.36078,1.44009
2.75382,2.37382,1.32028
2.76686,1.14773,1.7454
2.76686,1.16078,1.60153
2.76686,1.17382,1.40833
2.76686,1.18686,1.61594
2.76686,1.19991,1.2569
2.76686,1.21295,0.969457
2.76686,1.22599,0.860754
2.76686,1.23904,0.711843
2.76686,1.25208,0.451763
2.76686,1.26512,0.369916
2.76686,1.27817,0.282444
2.76686,1.29121,0.0940977
2.76686,1.30425,0.12092
2.76686,1.3173,0.0779544
2.76686,1.33034,0.0442031
2.76686,1.34338,0.0386746
2.76686,1.35643,0.059304
2.76686,1.36947,0.136156
2.76686,1.38252,0.150704
2.76686,1.39556,0.138723
2.76686,1.4086,0.20319
