x,y,z
2.66251,1.16078,-33.0785
2.66251,1.17382,-33.1749
2.66251,1.18686,-32.5537
2.66251,1.19991,-33.2183
2.66251,1.21295,-33.5978
2.66251,1.22599,-34.2031
2.66251,1.23904,-35.2253
2.66251,1.25208,-35.642
2.66251,1.26512,-37.5118
2.66251,1.27817,-38.3921
2.66251,1.29121,-36.402
2.66251,1.30425,-37.2973
2.66251,1.3173,-36.2944
2.66251,1.33034,-35.8404
2.66251,1.34338,-33.0748
2.66251,1.35643,-31.4983
2.66251,1.36947,-29.0606
2.66251,1.38252,-28.6043
2.66251,1.39556,-28.0252
2.66251,1.4086,-27.7575
2.66251,1.42165,-27.5111
2.66251,1.43469,-27.3908
2.66251,1.44773,-27.7116
2.66251,1.46078,-28.1045
2.66251,1.47382,-28.4879
2.66251,1.48686,-29.0326
2.66251,1.49991,-30.1913
2.66251,1.51295,-31.1833
2.66251,1.52599,-32.1555
2.66251,1.53904,-34.2019
2.66251,1.55208,-34.2213
2.66251,1.56512,-34.9168
2.66251,1.57817,-35.5526
2.66251,1.59121,-34.2526
2.66251,1.60425,-33.1299
2.66251,1.6173,-31.7362
2.66251,1.63034,-29.5114
2.66251,1.64338,-28.1534
2.66251,1.65643,-27.1081
2.66251,1.66947,-24.6275
2.66251,1.68252,-23.3161
2.66251,1.69556,-22.4746
2.66251,1.7086,-21.5319
2.66251,1.72165,-20.7185
2.66251,1.73469,-20.0956
2.66251,1.74773,-19.6568
2.66251,1.76078,-19.2794
2.66251,1.77382,-19.133
2.66251,1.78686,-18.9209
2.66251,1.79991,-19.0645
2.66251,1.81295,-19.0794
2.66251,1.82599,-19.2924
2.66251,1.83904,-21.1573
2.66251,1.85208,-21.0013
2.66251,1.86512,-21.6084
2.66251,1.87817,-23.1939
2.66251,1.89121,-23.697
2.66251,1.90425,-26.254
2.66251,1.9173,-28.8962
2.66251,1.93034,-30.6204
2.66251,1.94338,-33.0327
2.66251,1.95643,-33.837
2.66251,1.96947,-33.1884
2.66251,1.98252,-31.5762
2.66251,1.99556,-29.9432
2.66251,2.0086,-29.1664
2.66251,2.02165,-28.9062
2.66251,2.03469,-28.3078
2.66251,2.04773,-28.2307
2.66251,2.07382,-30.1055
2.66251,2.08686,-30.5649
2.66251,2.09991,-31.6361
2.66251,2.11295,-33.4021
2.66251,2.12599,-35.5312
2.66251,2.13904,-35.7106
2.66251,2.15208,-39.6171
2.66251,2.16512,-43.9292
2.66251,2.17817,-43.8463
2.66251,2.19121,-43.8282
