x,y,z
2.6695,1.1606,0.636356
2.6695,1.17364,0.717534
2.6695,1.18668,0.767154
2.6695,1.19973,0.848902
2.6695,1.21277,0.889547
2.6695,1.22581,0.954097
2.6695,1.23886,0.954677
2.6695,1.2519,0.965742
2.6695,1.26494,0.985782
2.6695,1.27799,0.991938
2.6695,1.29103,1.06084
2.6695,1.30407,1.07746
2.6695,1.31712,0.98822
2.6695,1.33016,0.902014
2.6695,1.34321,0.882555
2.6695,1.35625,0.892497
2.6695,1.36929,0.891165
2.6695,1.38234,0.903122
2.6695,1.39538,0.89205
2.6695,1.40842,0.962075
2.6695,1.42147,0.956522
2.6695,1.43451,0.906198
2.6695,1.44755,0.798353
2.6695,1.4606,0.716556
2.6695,1.47364,0.650791
2.6695,1.48668,0.607487
2.6695,1.49973,0.481392
2.6695,1.51277,0.422742
2.6695,1.52581,0.373871
2.6695,1.53886,0.372448
2.6695,1.5519,0.354755
2.6695,1.56494,0.385538
2.6695,1.57799,0.394835
2.6695,1.59103,0.428865
2.6695,1.60407,0.460379
2.6695,1.61712,0.583267
2.6695,1.63016,0.677217
2.6695,1.64321,0.998348
2.6695,1.65625,1.40066
2.6695,1.66929,2.54411
2.6695,1.68234,3.12537
2.6695,1.69538,3.96234
2.6695,1.70842,4.91066
2.6695,1.72147,6.64447
2.6695,1.73451,7.72008
2.6695,1.74755,8.41192
2.6695,1.7606,9.38402
2.6695,1.77364,9.68371
2.6695,1.78668,9.71057
2.6695,1.79973,9.35745
2.6695,1.81277,8.74718
2.6695,1.82581,7.66712
2.6695,1.83886,5.14445
2.6695,1.8519,4.88095
2.6695,1.86494,3.94947
2.6695,1.87799,2.40881
2.6695,1.89103,1.82264
2.6695,1.90407,0.667963
2.6695,1.91712,0.153978
2.6695,1.93016,0.0388573
2.6695,1.94321,0.193233
2.6695,1.95625,0.792556
2.6695,1.96929,1.34432
2.6695,1.98234,2.45203
2.6695,1.99538,3.37389
2.6695,2.00842,3.40756
2.6695,2.02147,4.04629
2.6695,2.03451,4.18683
2.6695,2.04755,4.08615
2.6695,2.07364,3.31252
2.6695,2.08668,2.97191
2.6695,2.09973,2.69246
2.6695,2.11277,2.1211
2.6695,2.12581,1.51095
