x,y,z
2.6695,1.1606,-31.963
2.6695,1.17364,-31.4416
2.6695,1.18668,-31.1512
2.6695,1.19973,-30.7114
2.6695,1.21277,-30.5083
2.6695,1.22581,-30.2041
2.6695,1.23886,-30.2014
2.6695,1.2519,-30.1514
2.6695,1.26494,-30.0622
2.6695,1.27799,-30.0352
2.6695,1.29103,-29.7435
2.6695,1.30407,-29.676
2.6695,1.31712,-30.0515
2.6695,1.33016,-30.4479
2.6695,1.34321,-30.5426
2.6695,1.35625,-30.4939
2.6695,1.36929,-30.5004
2.6695,1.38234,-30.4425
2.6695,1.39538,-30.4961
2.6695,1.40842,-30.1679
2.6695,1.42147,-30.1931
2.6695,1.43451,-30.4278
2.6695,1.44755,-30.978
2.6695,1.4606,-31.4475
2.6695,1.47364,-31.8656
2.6695,1.48668,-32.1646
2.6695,1.49973,-33.175
2.6695,1.51277,-33.7392
2.6695,1.52581,-34.2728
2.6695,1.53886,-34.2893
2.6695,1.5519,-34.5007
2.6695,1.56494,-34.1393
2.6695,1.57799,-34.0358
2.6695,1.59103,-33.6768
2.6695,1.60407,-33.3688
2.6695,1.61712,-32.3413
2.6695,1.63016,-31.6927
2.6695,1.64321,-30.0072
2.6695,1.65625,-28.5367
2.6695,1.66929,-25.9446
2.6695,1.68234,-25.051
2.6695,1.69538,-24.0205
2.6695,1.70842,-23.0886
2.6695,1.72147,-21.7754
2.6695,1.73451,-21.1238
2.6695,1.74755,-20.751
2.6695,1.7606,-20.2761
2.6695,1.77364,-20.1396
2.6695,1.78668,-20.1276
2.6695,1.79973,-20.2884
2.6695,1.81277,-20.5813
2.6695,1.82581,-21.1537
2.6695,1.83886,-22.8866
2.6695,1.8519,-23.115
2.6695,1.86494,-24.0346
2.6695,1.87799,-26.182
2.6695,1.89103,-27.393
2.6695,1.90407,-31.7525
2.6695,1.91712,-38.1254
2.6695,1.93016,-44.1053
2.6695,1.94321,-37.1392
2.6695,1.95625,-31.0097
2.6695,1.96929,-28.715
2.6695,1.98234,-26.1047
2.6695,1.99538,-24.7187
2.6695,2.00842,-24.6756
2.6695,2.02147,-23.9294
2.6695,2.03451,-23.7811
2.6695,2.04755,-23.8869
2.6695,2.07364,-24.7984
2.6695,2.08668,-25.2696
2.6695,2.09973,-25.6985
2.6695,2.11277,-26.7344
2.6695,2.12581,-28.2075
2.6695,2.13886,-29.9224
2.6695,2.1519,-31.1596
2.6695,2.16494,-32.5898
2.6695,2.17799,-34.5197
2.6695,2.19103,-35.2568
2.6695,2.20407,-35.992
2.6695,2.21712,-36.4806
2.6695,2.23016,-35.4899
2.6695,2.24321,-34.9865
2.6695,2.25625,-34.2964
2.6695,2.26929,-33.5104
2.6695,2.28234,-33.5433
2.6695,2.29538,-32.8493
2.6695,2.30842,-32.9636
2.6695,2.32147,-32.3003
2.6695,2.33451,-32.5272
2.6695,2.34755,-32.6656
2.6695,2.3606,-32.314
2.68254,1.14755,-32.2874
2.68254,1.1606,-31.8264
2.68254,1.17364,-31.3506
2.68254,1.18668,-31.2598
2.68254,1.19973,-30.6978
2.68254,1.21277,-30.8179
2.68254,1.22581,-30.5571
2.68254,1.23886,-30.5793
2.68254,1.2519,-30.6153
2.68254,1.26494,-30.6841
2.68254,1.27799,-30.2871
2.68254,1.29103,-30.4711
2.68254,1.30407,-30.715
2.68254,1.31712,-30.3765
2.68254,1.33016,-30.828
2.68254,1.34321,-30.7184
2.68254,1.35625,-30.6052
2.68254,1.36929,-30.6799
2.68254,1.38234,-29.9169
2.68254,1.39538,-30.6036
2.68254,1.40842,-30.3622
2.68254,1.42147,-30.5913
2.68254,1.43451,-30.7199
2.68254,1.44755,-31.5552
2.68254,1.4606,-31.8109
2.68254,1.47364,-32.0746
2.68254,1.48668,-32.9901
2.68254,1.49973,-32.9653
2.68254,1.51277,-33.3694
2.68254,1.52581,-33.3256
2.68254,1.53886,-33.4437
2.68254,1.5519,-32.6447
2.68254,1.56494,-33.235
2.68254,1.57799,-33.6211
2.68254,1.59103,-32.9072
2.68254,1.60407,-33.4946
2.68254,1.61712,-33.3346
2.68254,1.63016,-32.0638
2.68254,1.64321,-30.8443
2.68254,1.65625,-28.7744
2.68254,1.66929,-27.6233
2.68254,1.68234,-26.7228
2.68254,1.69538,-24.7178
2.68254,1.70842,-23.7391
2.68254,1.72147,-22.5582
2.68254,1.73451,-22.0755
2.68254,1.74755,-21.3825
2.68254,1.7606,-21.0523
2.68254,1.77364,-20.9956
2.68254,1.78668,-20.7173
2.68254,1.79973,-20.9429
2.68254,1.81277,-21.1267
2.68254,1.82581,-21.5032
2.68254,1.83886,-22.4837
2.68254,1.8519,-23.3343
2.68254,1.86494,-24.8925
2.68254,1.87799,-26.7603
2.68254,1.89103,-28.4841
2.68254,1.90407,-34.0987
2.68254,1.91712,-39.9485
2.68254,1.93016,-38.0312
2.68254,1.94321,-32.9485
2.68254,1.95625,-29.3085
2.68254,1.96929,-27.4335
2.68254,1.98234,-26.0038
2.68254,1.99538,-25.4281
2.68254,2.00842,-25.2068
2.68254,2.02147,-24.1209
2.68254,2.03451,-24.292
2.68254,2.04755,-24.1872
2.68254,2.0606,-24.6541
2.68254,2.07364,-24.9582
2.68254,2.08668,-25.4948
2.68254,2.09973,-26.7591
2.68254,2.11277,-27.5823
2.68254,2.12581,-28.3863
2.68254,2.13886,-30.3323
2.68254,2.1519,-31.2275
2.68254,2.16494,-32.0838
2.68254,2.17799,-33.4305
2.68254,2.19103,-34.7693
2.68254,2.20407,-34.8438
2.68254,2.21712,-35.4018
2.68254,2.23016,-34.1356
2.68254,2.24321,-35.0439
2.68254,2.25625,-33.3898
2.68254,2.26929,-34.0256
2.68254,2.28234,-32.9913
2.68254,2.29538,-32.8034
2.68254,2.30842,-33.8966
2.68254,2.32147,-32.2525
2.68254,2.33451,-32.6274
2.68254,2.34755,-33.7648
2.68254,2.3606,-33.0837
2.68254,2.37364,-33.0602
2.69559,1.14755,-32.1648
2.69559,1.1606,-31.5522
2.69559,1.17364,-31.2064
2.69559,1.18668,-31.1167
2.69559,1.19973,-30.4277
2.69559,1.21277,-29.9973
2.69559,1.23886,-30.0123
2.69559,1.26494,-30.4648
2.69559,1.27799,-29.8944
2.69559,1.31712,-30.441
2.69559,1.35625,-30.2676
2.69559,1.36929,-31.2879
2.69559,1.38234,-30.3807
2.69559,1.39538,-31.0382
2.69559,1.40842,-31.0371
2.69559,1.42147,-31.0246
2.69559,1.43451,-31.4142
2.69559,1.44755,-32.1952
2.69559,1.4606,-32.9884
2.69559,1.47364,-33.541
2.69559,1.48668,-33.6115
2.69559,1.49973,-34.3728
2.69559,1.51277,-33.6908
2.69559,1.52581,-33.9031
2.69559,1.53886,-33.7186
2.69559,1.5519,-33.6925
2.69559,1.56494,-34.0988
2.69559,1.57799,-34.9612
2.69559,1.59103,-35.8466
2.69559,1.60407,-36.9062
2.69559,1.61712,-37.1558
2.69559,1.63016,-35.0279
2.69559,1.64321,-32.5101
2.69559,1.65625,-31.0607
2.69559,1.66929,-28.6159
2.69559,1.68234,-27.3922
2.69559,1.69538,-25.8721
2.69559,1.70842,-23.858
2.69559,1.72147,-23.1785
2.69559,1.73451,-22.5696
2.69559,1.74755,-22.0848
2.69559,1.7606,-21.9006
2.69559,1.77364,-22.0176
2.69559,1.78668,-21.6276
2.69559,1.79973,-21.7265
2.69559,1.81277,-21.957
2.69559,1.82581,-22.5106
2.69559,1.83886,-24.2586
2.69559,1.8519,-25.0888
2.69559,1.87799,-29.2944
2.69559,1.89103,-36.8226
2.69559,1.90407,-37.3654
2.69559,1.91712,-39.2539
2.69559,1.93016,-36.0991
2.69559,1.94321,-29.7955
2.69559,1.95625,-27.8042
2.69559,1.96929,-25.8374
2.69559,1.98234,-25.6139
2.69559,1.99538,-24.7602
2.69559,2.00842,-23.8497
2.69559,2.02147,-23.5195
2.69559,2.03451,-23.5648
2.69559,2.04755,-23.6891
2.69559,2.0606,-23.8847
2.69559,2.07364,-24.503
2.69559,2.08668,-25.1666
2.69559,2.09973,-26.0682
2.69559,2.11277,-26.9312
2.69559,2.12581,-27.681
2.69559,2.13886,-28.1909
2.69559,2.1519,-29.4244
2.69559,2.16494,-30.1231
2.69559,2.17799,-31.7327
2.69559,2.19103,-32.8064
2.69559,2.20407,-31.4807
2.69559,2.21712,-30.8252
2.69559,2.23016,-31.8673
2.69559,2.24321,-31.0897
2.69559,2.25625,-30.6065
2.69559,2.26929,-30.4248
2.69559,2.28234,-30.4404
2.69559,2.29538,-30.0194
2.69559,2.30842,-30.7596
2.69559,2.32147,-30.1107
2.69559,2.33451,-30.736
2.69559,2.34755,-32.1488
2.69559,2.3606,-32.0068
2.69559,2.37364,-31.3702
2.70863,1.14755,-32.1596
2.70863,1.1606,-31.6475
2.70863,1.17364,-31.2567
2.70863,1.18668,-31.3333
2.70863,1.19973,-30.6825
2.70863,1.21277,-30.619
2.70863,1.22581,-31.4574
2.70863,1.23886,-30.9175
2.70863,1.2519,-31.3625
2.70863,1.26494,-31.1232
2.70863,1.27799,-30.3569
2.70863,1.29103,-31.0143
2.70863,1.30407,-31.0155
2.70863,1.31712,-30.1609
2.70863,1.33016,-31.0698
2.70863,1.34321,-31.0455
2.70863,1.35625,-30.7198
2.70863,1.36929,-31.4196
2.70863,1.38234,-30.1013
2.70863,1.39538,-31.7345
2.70863,1.42147,-32.0029
2.70863,1.44755,-33.2189
2.70863,1.4606,-33.3525
2.70863,1.47364,-34.4339
2.70863,1.49973,-34.8685
2.70863,1.51277,-34.1537
2.70863,1.52581,-34.2691
2.70863,1.53886,-34.0588
2.70863,1.5519,-33.9429
2.70863,1.56494,-34.3895
2.70863,1.57799,-34.9278
2.70863,1.61712,-39.7181
2.70863,1.64321,-35.3222
2.70863,1.65625,-33.8297
2.70863,1.66929,-31.4946
2.70863,1.68234,-29.7184
2.70863,1.69538,-28.3886
2.70863,1.72147,-24.1933
2.70863,1.73451,-23.5663
2.70863,1.77364,-22.9411
2.70863,1.78668,-21.5703
2.70863,1.79973,-21.8217
2.70863,1.81277,-22.0611
2.70863,1.82581,-22.7148
2.70863,1.83886,-25.109
2.70863,1.8519,-24.8175
2.70863,1.87799,-28.4772
2.70863,1.90407,-34.6216
2.70863,1.91712,-39.9328
2.70863,1.95625,-28.3707
2.70863,1.98234,-25.836
2.70863,1.99538,-25.0839
2.70863,2.02147,-23.7394
2.70863,2.03451,-23.7707
2.70863,2.04755,-23.7257
2.70863,2.07364,-24.5082
2.70863,2.08668,-25.3131
2.70863,2.11277,-26.4552
2.70863,2.12581,-27.3369
2.70863,2.1519,-29.0216
2.70863,2.16494,-29.1673
2.70863,2.17799,-32.6879
2.70863,2.19103,-32.0249
2.70863,2.23016,-30.4252
2.70863,2.25625,-29.6939
2.70863,2.26929,-29.0836
2.70863,2.28234,-30.0804
2.70863,2.29538,-28.9142
2.70863,2.32147,-28.6571
2.70863,2.33451,-30.2058
2.70863,2.34755,-32.1352
2.70863,2.3606,-31.0854
2.70863,2.37364,-30.1805
2.72167,1.14755,-31.3387
2.72167,1.1606,-31.3408
2.72167,1.17364,-31.1072
2.72167,1.18668,-31.1507
2.72167,1.19973,-30.7889
2.72167,1.21277,-30.0835
2.72167,1.23886,-30.7771
2.72167,1.26494,-31.5226
2.72167,1.27799,-30.3265
2.72167,1.31712,-30.99
2.72167,1.35625,-30.7561
2.72167,1.36929,-32.2123
2.72167,1.38234,-30.4253
2.72167,1.39538,-32.2779
2.72167,1.42147,-31.9286
2.72167,1.44755,-33.7958
2.72167,1.4606,-33.989
2.72167,1.49973,-34.8854
2.72167,1.51277,-33.9839
2.72167,1.52581,-33.7176
2.72167,1.53886,-33.8532
2.72167,1.5519,-33.2484
2.72167,1.56494,-34.444
2.72167,1.57799,-35.4089
2.72167,1.61712,-39.0945
2.72167,1.64321,-38.1157
2.72167,1.66929,-32.1374
2.72167,1.69538,-28.9617
2.72167,1.72147,-25.0756
2.72167,1.73451,-24.3802
2.72167,1.77364,-23.8601
2.72167,1.78668,-22.0138
2.72167,1.79973,-22.4629
2.72167,1.81277,-22.6562
2.72167,1.82581,-23.4758
2.72167,1.83886,-25.355
2.72167,1.8519,-25.2589
2.72167,1.87799,-29.707
2.72167,1.91712,-39.0672
2.72167,1.93016,-37.1401
2.72167,1.98234,-26.3872
2.72167,1.99538,-25.3733
2.72167,2.02147,-23.8389
2.72167,2.03451,-23.9119
2.72167,2.04755,-23.6016
2.72167,2.07364,-24.5975
2.72167,2.08668,-25.5116
2.72167,2.11277,-26.1736
2.72167,2.12581,-27.1771
2.72167,2.1519,-28.6174
2.72167,2.16494,-28.4365
2.72167,2.17799,-30.7751
2.72167,2.19103,-31.0816
2.72167,2.23016,-29.5063
2.72167,2.25625,-28.3069
2.72167,2.26929,-28.5622
2.72167,2.28234,-29.0338
2.72167,2.29538,-27.8315
2.72167,2.32147,-28.6571
2.72167,2.33451,-29.2963
2.72167,2.3606,-29.7691
2.72167,2.37364,-28.42
2.73472,1.14755,-31.1354
2.73472,1.1606,-31.2052
2.73472,1.17364,-31.1987
2.73472,1.18668,-31.3332
2.73472,1.19973,-31.2494
2.73472,1.21277,-31.2895
2.73472,1.22581,-32.2739
2.73472,1.23886,-31.8711
2.73472,1.26494,-32.5434
2.73472,1.27799,-31.5023
2.73472,1.29103,-32.1779
2.73472,1.30407,-32.2157
2.73472,1.31712,-31.1496
2.73472,1.33016,-32.0458
2.73472,1.34321,-32.03
2.73472,1.35625,-31.8565
2.73472,1.36929,-32.4947
2.73472,1.38234,-31.575
2.73472,1.39538,-32.6748
2.73472,1.40842,-32.558
2.73472,1.42147,-33.0157
2.73472,1.43451,-33.9627
2.73472,1.44755,-34.2437
2.73472,1.4606,-34.7041
2.73472,1.47364,-34.4139
2.73472,1.48668,-35.3879
2.73472,1.49973,-33.9609
2.73472,1.51277,-33.6462
2.73472,1.52581,-33.2357
2.73472,1.53886,-33.1368
2.73472,1.5519,-33.1011
2.73472,1.56494,-33.753
2.73472,1.57799,-33.6809
2.73472,1.59103,-35.6541
2.73472,1.60407,-36.6161
2.73472,1.61712,-36.0747
2.73472,1.63016,-35.1867
2.73472,1.64321,-34.8196
2.73472,1.65625,-33.3459
2.73472,1.66929,-31.2516
2.73472,1.68234,-29.1244
2.73472,1.69538,-29.1703
2.73472,1.70842,-26.4909
2.73472,1.72147,-25.5676
2.73472,1.73451,-24.6671
2.73472,1.74755,-24.6782
2.73472,1.7606,-24.0481
2.73472,1.77364,-23.9731
2.73472,1.78668,-23.069
2.73472,1.79973,-23.4846
2.73472,1.81277,-23.8052
2.73472,1.82581,-24.2372
2.73472,1.83886,-25.2141
2.73472,1.8519,-25.6281
2.73472,1.86494,-27.0838
2.73472,1.87799,-28.6653
2.73472,1.89103,-31.7499
2.73472,1.90407,-34.0089
2.73472,1.91712,-35.6375
2.73472,1.93016,-34.6765
2.73472,1.94321,-32.4462
2.73472,1.95625,-28.7211
2.73472,1.96929,-28.0095
2.73472,1.98234,-26.5174
2.73472,1.99538,-25.5563
2.73472,2.00842,-24.7552
2.73472,2.02147,-24.4884
2.73472,2.03451,-24.1454
2.73472,2.04755,-24.0536
2.73472,2.0606,-24.1587
2.73472,2.07364,-24.7071
2.73472,2.08668,-25.0938
2.73472,2.09973,-25.3091
2.73472,2.11277,-25.8996
2.73472,2.12581,-26.8051
2.73472,2.13886,-26.9198
2.73472,2.1519,-27.9357
2.73472,2.16494,-28.0438
2.73472,2.17799,-28.9984
2.73472,2.19103,-29.3379
2.73472,2.20407,-28.527
2.73472,2.21712,-28.3242
2.73472,2.23016,-28.5804
2.73472,2.24321,-27.9858
2.73472,2.25625,-27.6909
2.73472,2.26929,-27.5765
2.73472,2.28234,-27.6623
2.73472,2.29538,-27.1229
2.73472,2.30842,-27.7474
2.73472,2.32147,-27.7387
2.73472,2.33451,-27.5473
2.73472,2.34755,-27.8386
2.73472,2.3606,-28.1817
2.73472,2.37364,-28.171
2.74776,1.14755,-30.4221
2.74776,1.1606,-30.7112
2.74776,1.17364,-30.8504
2.74776,1.18668,-31.0462
2.74776,1.19973,-31.2001
2.74776,1.21277,-30.792
2.74776,1.22581,-31.6772
2.74776,1.23886,-31.5124
2.74776,1.2519,-32.186
2.74776,1.26494,-32.9691
2.74776,1.27799,-31.6793
2.74776,1.29103,-32.6933
2.74776,1.30407,-32.6899
2.74776,1.31712,-32.2956
2.74776,1.33016,-32.5765
2.74776,1.34321,-32.6735
2.74776,1.35625,-32.4239
2.74776,1.36929,-33.7641
2.74776,1.38234,-32.6531
2.74776,1.39538,-33.9874
2.74776,1.40842,-34.2803
2.74776,1.42147,-33.3571
2.74776,1.43451,-35.4262
2.74776,1.44755,-35.6011
2.74776,1.4606,-35.2044
2.74776,1.47364,-36.4038
2.74776,1.48668,-36.3612
2.74776,1.49973,-35.6768
2.74776,1.51277,-34.6297
2.74776,1.52581,-33.9914
2.74776,1.53886,-33.5144
2.74776,1.5519,-32.3134
2.74776,1.56494,-33.5189
2.74776,1.57799,-32.4827
2.74776,1.59103,-32.4785
2.74776,1.60407,-31.9398
2.74776,1.61712,-32.7835
2.74776,1.63016,-31.6499
2.74776,1.64321,-33.5664
2.74776,1.65625,-30.471
2.74776,1.66929,-29.2927
2.74776,1.68234,-28.2029
2.74776,1.69538,-28.0668
2.74776,1.70842,-26.7225
2.74776,1.72147,-25.6951
2.74776,1.73451,-25.2279
2.74776,1.74755,-24.8783
2.74776,1.7606,-24.4121
2.74776,1.77364,-24.2477
2.74776,1.78668,-23.5422
2.74776,1.79973,-23.7885
2.74776,1.81277,-23.7772
2.74776,1.82581,-24.566
2.74776,1.83886,-25.2893
2.74776,1.8519,-25.981
2.74776,1.86494,-28.0502
2.74776,1.87799,-29.2039
2.74776,1.89103,-31.1142
