x,y,z
2.69102,1.08692,0.0412977
2.69102,1.09996,0.0412977
2.69102,1.11301,0.0412977
2.69102,1.12605,0.0088834
2.69102,1.13909,0.0088834
2.69102,1.15214,0.005617
2.69102,1.16518,2.5e-06
2.69102,1.17822,0.000552667
2.69102,1.19127,4e-06
2.69102,1.20431,4e-06
2.69102,1.21735,4e-06
2.69102,1.2304,4e-06
2.69102,1.24344,4e-06
2.69102,1.25648,4e-06
2.69102,1.26953,4e-06
2.69102,1.28257,4e-06
2.69102,1.29561,4e-06
2.69102,1.30866,4e-06
2.69102,1.3217,4e-06
2.69102,1.33474,4e-06
2.69102,1.34779,0.001505
2.69102,1.36083,0.117501
2.69102,1.37387,0.117501
2.69102,1.38692,0.320096
2.69102,1.39996,0.320096
2.69102,1.41301,0.566863
2.69102,1.42605,0.566863
2.69102,1.43909,0.583609
2.69102,1.45214,0.73209
2.69102,1.46518,0.896809
2.69102,1.47822,0.964349
2.69102,1.49127,0.9025
2.69102,1.50431,0.752544
2.69102,1.51735,0.580644
2.69102,1.5304,0.472263
2.69102,1.54344,0.328326
2.69102,1.55648,0.299293
2.69102,1.56953,0.299293
2.69102,1.58257,0.165812
2.69102,1.59561,0.161168
2.69102,1.60866,0.094275
2.69102,1.6217,0.148996
2.69102,1.63474,0.173022
2.69102,1.64779,0.266271
2.69102,1.66083,0.356409
2.69102,1.67387,0.457542
2.69102,1.68692,1.70791
2.69102,1.69996,1.70791
2.69102,1.71301,3.10694
2.69102,1.72605,4.54135
2.69102,1.73909,5.46956
2.69102,1.75214,6.40193
2.69102,1.76518,6.76661
2.69102,1.77822,6.90242
2.69102,1.79127,6.71088
2.69102,1.80431,6.42343
2.69102,1.81735,5.24564
2.69102,1.8304,5.24564
2.69102,1.84344,2.01227
2.69102,1.85648,1.09213
2.69102,1.86953,0.472825
2.69102,1.88257,0.285889
2.69102,1.89561,0.0642018
2.69102,1.90866,0.0073684
2.69102,1.9217,1.36e-05
2.69102,1.93474,8e-06
2.69102,1.94779,1e-05
2.69102,1.96083,1e-05
2.69102,1.97387,1.2e-05
2.69102,1.98692,8e-06
2.69102,1.99996,1.6e-05
2.69102,2.01301,1.6e-05
2.69102,2.02605,1.6e-05
2.69102,2.03909,1.6e-05
2.69102,2.05214,1.6e-05
2.69102,2.06518,1.02e-05
2.69102,2.07822,3e-06
2.69102,2.09127,2e-06
2.69102,2.10431,1e-06
2.69102,2.11735,3.14286e-06
2.69102,2.1304,2.8e-06
2.69102,2.14344,2.5e-06
2.69102,2.15648,1.18e-05
2.69102,2.16953,8.71429e-06
2.69102,2.18257,8.2e-06
2.69102,2.19561,2.5e-05
2.69102,2.20866,2.5e-05
2.69102,2.2217,2.5e-05
2.69102,2.23474,2.5e-05
2.69102,2.24779,2.5e-05
2.69102,2.26083,1.54e-05
2.69102,2.27387,0.000102125
2.69102,2.28692,0.000868667
2.69102,2.29996,0.003482
2.69102,2.31301,0.0085565
2.69102,2.32605,0.0154998
2.69102,2.33909,0.032842
2.69102,2.35214,0.021451
2.69102,2.36518,0.021451
2.70407,1.08692,0.000146
2.70407,1.09996,0.0412977
2.70407,1.11301,0.0412977
2.70407,1.12605,0.0412977
2.70407,1.13909,0.0088834
2.70407,1.15214,0.005617
2.70407,1.16518,2.5e-06
2.70407,1.17822,0.000552667
2.70407,1.19127,1.36667e-05
2.70407,1.20431,2.2e-06
2.70407,1.21735,1e-06
2.70407,1.2304,1e-06
2.70407,1.24344,1e-06
2.70407,1.25648,1e-06
2.70407,1.26953,1e-06
2.70407,1.28257,1e-06
2.70407,1.29561,0.0006575
2.70407,1.30866,1e-06
