x,y,z
2.68001,1.13469,-11.8854
2.68001,1.16729,-18.5143
2.68001,1.1999,-50.6169
2.68001,1.23251,-50.8478
2.68001,1.26512,-50.7344
2.68001,1.29773,-50.1858
2.68001,1.33034,-49.2136
2.68001,1.36295,-4.06171
2.68001,1.39556,0.291324
2.68001,1.42816,2.89009
2.68001,1.46077,4.07957
2.68001,1.49338,4.3307
2.68001,1.52599,1.80384
2.68001,1.5586,-0.30753
2.68001,1.59121,0.0152834
2.68001,1.62382,-7.00658
2.68001,1.65643,-3.37758
2.68001,1.68903,6.37517
2.68001,1.72164,8.627
2.68001,1.75425,9.07834
2.68001,1.78686,8.3565
2.68001,1.81947,6.68679
2.68001,1.85208,6.33093
2.68001,1.88469,-6.81326
2.68001,1.91729,-24.9361
2.68001,1.9499,-50.4429
2.68001,1.98251,-50.3877
2.68001,2.01512,-47.9233
2.68001,2.04773,-47.5435
2.68001,2.08034,-54.373
2.68001,2.11295,-52.917
2.68001,2.14556,-48.8519
2.68001,2.17816,-47.7495
2.68001,2.21077,-43.9179
2.68001,2.24338,-44.5834
2.68001,2.27599,-34.694
2.68001,2.3086,-20.1373
2.68001,2.34121,-16.1948
2.68001,2.37382,-17.0521
2.71262,1.13469,-12.0799
2.71262,1.16729,-18.9454
2.71262,1.1999,-35.3666
2.71262,1.23251,-56.5989
2.71262,1.26512,-56.8091
2.71262,1.29773,-29.6555
2.71262,1.33034,-41.7719
2.71262,1.36295,-11.6092
2.71262,1.39556,-2.42342
2.71262,1.42816,-0.604005
2.71262,1.46077,-0.161776
2.71262,1.49338,-0.167376
2.71262,1.52599,-1.41598
2.71262,1.5586,-3.45694
2.71262,1.59121,-4.80663
2.71262,1.62382,-7.06546
2.71262,1.65643,-2.99811
2.71262,1.68903,0.788496
2.71262,1.72164,6.17292
2.71262,1.75425,6.17808
2.71262,1.78686,4.04773
2.71262,1.81947,3.7346
2.71262,1.85208,-0.77984
2.71262,1.88469,-6.80095
2.71262,1.91729,-25.9797
2.71262,1.9499,-50.0421
2.71262,1.98251,-37.1329
2.71262,2.01512,-9.67204
2.71262,2.04773,-34.3374
2.71262,2.08034,-47.263
2.71262,2.11295,-47.5036
2.71262,2.14556,-45.4577
2.71262,2.17816,-21.7875
2.71262,2.21077,-47.2348
2.71262,2.24338,-29.4351
2.71262,2.27599,-48.7956
2.71262,2.3086,-49.0139
2.71262,2.34121,-47.6854
2.71262,2.37382,-48.3945
2.74522,1.13469,-7.68851
2.74522,1.16729,-22.5361
2.74522,1.1999,-30.2527
2.74522,1.23251,-57.1599
2.74522,1.26512,-51.2436
2.74522,1.29773,-50.9512
2.74522,1.33034,-51.8238
2.74522,1.36295,-26.6634
2.74522,1.39556,-9.90347
2.74522,1.42816,-10.9629
2.74522,1.46077,-6.88931
2.74522,1.49338,-11.4137
2.74522,1.52599,-11.5261
2.74522,1.5586,-6.07252
2.74522,1.59121,-19.6652
2.74522,1.62382,-32.7982
2.74522,1.65643,-8.37146
2.74522,1.68903,-17.5223
2.74522,1.72164,8.83768
2.74522,1.75425,-1.5931
2.74522,1.78686,-3.34116
2.74522,1.81947,-3.65997
2.74522,1.85208,-8.60031
2.74522,1.88469,-8.63113
2.74522,1.91729,-44.8737
2.74522,1.9499,-48.152
2.74522,1.98251,-22.4969
2.74522,2.01512,-22.176
2.74522,2.04773,-14.6421
2.74522,2.08034,-33.0662
2.74522,2.11295,-52.7582
2.74522,2.14556,-45.2484
2.74522,2.17816,-51.8503
2.74522,2.21077,-58.4592
2.74522,2.24338,-52.8628
2.74522,2.27599,-53.0808
2.74522,2.3086,-48.6047
2.74522,2.34121,-49.4937
