x,y,z
2.68513,1.14047,-15.8561
2.68513,1.17307,-55.0125
2.68513,1.20568,-55.2094
2.68513,1.23829,-55.3399
2.68513,1.2709,-55.0768
2.68513,1.30351,-54.7384
2.68513,1.33612,-53.7074
2.68513,1.36873,-6.51771
2.68513,1.40134,-1.17049
2.68513,1.43394,-0.871405
2.68513,1.46655,-0.594991
2.68513,1.49916,-3.08756
2.68513,1.53177,-5.23356
2.68513,1.56438,-7.79512
2.68513,1.59699,-8.36771
2.68513,1.6296,-7.42288
2.68513,1.6622,-3.78724
2.68513,1.69481,1.94501
2.68513,1.72742,5.22202
2.68513,1.76003,5.99471
2.68513,1.79264,4.9946
2.68513,1.82525,2.72281
2.68513,1.85786,-2.25437
2.68513,1.89047,-23.6386
2.68513,1.92307,-36.1093
2.68513,1.95568,-53.033
2.68513,1.98829,-53.6863
2.68513,2.0209,-51.9983
2.68513,2.05351,-52.4432
2.68513,2.08612,-58.4878
2.68513,2.11873,-57.4536
2.68513,2.15134,-51.7776
2.68513,2.18394,-52.4188
2.68513,2.21655,-51.7739
2.68513,2.24916,-50.0011
2.68513,2.28177,-37.0324
2.68513,2.31438,-23.9327
2.68513,2.34699,-19.4498
2.68513,2.3796,-19.7373
2.71774,1.14047,-16.0916
2.71774,1.17307,-26.1164
2.71774,1.20568,-47.1637
2.71774,1.23829,-61.4038
2.71774,1.2709,-61.2328
2.71774,1.30351,-34.2791
2.71774,1.33612,-35.1749
2.71774,1.36873,-15.1557
2.71774,1.40134,-5.34285
2.71774,1.43394,-4.30807
2.71774,1.46655,-5.11533
2.71774,1.49916,-5.25799
2.71774,1.53177,-6.71705
2.71774,1.56438,-9.2108
2.71774,1.59699,-11.948
2.71774,1.6296,-11.9849
2.71774,1.6622,-7.29765
2.71774,1.69481,-3.86405
2.71774,1.72742,1.86459
2.71774,1.76003,2.04092
2.71774,1.79264,1.46417
2.71774,1.82525,0.174197
2.71774,1.85786,-5.43826
2.71774,1.89047,-13.0623
2.71774,1.92307,-42.9878
2.71774,1.95568,-53.2127
2.71774,1.98829,-33.8379
2.71774,2.0209,-13.1985
2.71774,2.05351,-42.444
2.71774,2.08612,-51.245
2.71774,2.11873,-51.2744
2.71774,2.15134,-50.0671
2.71774,2.18394,-26.9072
2.71774,2.21655,-51.6632
2.71774,2.24916,-34.1505
2.71774,2.28177,-51.5533
2.71774,2.31438,-52.5646
2.71774,2.34699,-51.4755
2.71774,2.3796,-51.708
2.75034,1.14047,-11.4719
2.75034,1.17307,-26.7454
2.75034,1.20568,-35.1286
2.75034,1.23829,-61.408
2.75034,1.2709,-55.2817
2.75034,1.30351,-54.7445
2.75034,1.33612,-48.6387
2.75034,1.36873,-30.8693
2.75034,1.40134,-13.6013
2.75034,1.43394,-16.9973
2.75034,1.46655,-15.7536
2.75034,1.49916,-16.2307
2.75034,1.53177,-9.83384
2.75034,1.56438,-16.553
2.75034,1.59699,-25.2821
2.75034,1.6296,-52.9688
2.75034,1.6622,-12.2571
2.75034,1.69481,-27.4351
2.75034,1.72742,4.11112
2.75034,1.76003,-7.36122
2.75034,1.79264,-7.89715
2.75034,1.82525,-7.11103
2.75034,1.85786,-11.4949
2.75034,1.89047,-46.8393
2.75034,1.92307,-51.4496
2.75034,1.95568,-50.8916
2.75034,1.98829,-23.9935
2.75034,2.0209,-12.0852
2.75034,2.05351,-17.2536
2.75034,2.08612,-30.2017
2.75034,2.11873,-57.0689
2.75034,2.15134,-47.9429
2.75034,2.18394,-58.3626
2.75034,2.21655,-62.612
2.75034,2.24916,-60.6459
2.75034,2.28177,-52.8475
2.75034,2.31438,-51.4788
2.75034,2.34699,-59.4315
2.75034,2.3796,-51.3519
2.78295,1.14047,-16.3847
2.78295,1.17307,-22.7225
2.78295,1.20568,-35.3353
2.78295,1.23829,-53.9116
2.78295,1.2709,-43.4567
2.78295,1.30351,-23.8798
2.78295,1.33612,-19.7602
2.78295,1.36873,-16.9888
2.78295,1.40134,-16.919
2.78295,1.43394,-12.9115
2.78295,1.46655,-14.819
2.78295,1.49916,-17.9225
2.78295,1.53177,-23.2338
2.78295,1.56438,-54.7081
2.78295,1.59699,-52.2451
2.78295,1.6296,-5.69638
2.78295,1.6622,-47.1554
2.78295,1.69481,-49.9585
2.78295,1.72742,-31.3917
2.78295,1.76003,-17.5338
2.78295,1.79264,-12.3974
2.78295,1.82525,-11.0802
2.78295,1.85786,-12.7213
2.78295,1.89047,-14.6768
2.78295,1.92307,-16.0942
2.78295,1.95568,-18.9528
2.78295,1.98829,-12.18
2.78295,2.0209,-8.81564
2.78295,2.05351,-9.70522
2.78295,2.08612,-15.5043
2.78295,2.11873,-26.2925
2.78295,2.15134,-37.8321
2.78295,2.18394,-52.8759
2.78295,2.21655,-53.671
2.78295,2.24916,-53.0458
2.78295,2.28177,-46.3133
2.78295,2.31438,-41.8648
2.78295,2.34699,-51.9923
2.78295,2.3796,-51.7568
2.81556,1.14047,-25.5948
2.81556,1.17307,-42.1174
2.81556,1.20568,-50.1465
2.81556,1.23829,-62.2104
2.81556,1.2709,-36.7359
2.81556,1.30351,-10.7272
2.81556,1.33612,-14.9249
2.81556,1.36873,-7.28448
2.81556,1.40134,-20.7537
2.81556,1.43394,-6.50169
2.81556,1.46655,-25.5138
2.81556,1.49916,-18.366
2.81556,1.53177,-46.243
2.81556,1.56438,-7.99513
2.81556,1.59699,-49.8959
