x,y,z
2.65208,1.12088,1e-06
2.65208,1.1274,1e-06
2.65208,1.13392,1e-06
2.65208,1.14045,1e-06
2.65208,1.14697,1e-06
2.65208,1.15349,1e-06
2.65208,1.16001,1e-06
2.65208,1.16653,1e-06
2.65208,1.17305,1e-06
2.65208,1.17958,1e-06
2.65208,1.1861,1e-06
2.65208,1.19262,4e-06
2.65208,1.19914,4e-06
2.65208,1.20566,4e-06
2.65208,1.21218,4e-06
2.65208,1.21871,9e-06
2.65208,1.22523,9e-06
2.65208,1.23175,9e-06
2.65208,1.23827,1e-06
2.65208,1.24479,1e-06
2.65208,1.25131,1e-06
2.65208,1.25784,1e-06
2.65208,1.26436,4e-06
2.65208,1.27088,4e-06
2.65208,1.2774,4e-06
2.65208,1.28392,4e-06
2.65208,1.29045,9e-06
2.65208,1.29697,9e-06
2.65208,1.30349,9e-06
2.65208,1.31001,9e-06
2.65208,1.31653,9e-06
2.65208,1.32305,0.002116
2.65208,1.32958,0.002116
2.65208,1.3361,0.002116
2.65208,1.34262,0.002116
2.65208,1.34914,0.002116
2.65208,1.35566,0.025281
2.65208,1.36218,0.025281
2.65208,1.36871,0.025281
2.65208,1.37523,0.025281
2.65208,1.38175,0.020736
2.65208,1.38827,0.020736
2.65208,1.39479,0.020736
2.65208,1.40131,0.020736
2.65208,1.40784,0.174724
2.65208,1.41436,0.174724
2.65208,1.42088,0.174724
2.65208,1.4274,0.174724
2.65208,1.43392,0.063504
2.65208,1.44045,0.063504
2.65208,1.44697,0.063504
2.65208,1.45349,0.063504
2.65208,1.46001,0.063504
2.65208,1.46653,0.063504
2.65208,1.47305,0.063504
2.65208,1.47958,0.063504
2.65208,1.4861,0.012769
2.65208,1.49262,0.012769
2.65208,1.49914,0.093025
2.65208,1.50566,0.093025
2.65208,1.51218,0.093025
2.65208,1.51871,0.000256
2.65208,1.52523,0.000256
2.65208,1.53175,0.000256
2.65208,1.53827,0.000256
2.65208,1.54479,0.000256
2.65208,1.55131,9e-06
2.65208,1.55784,9e-06
2.65208,1.56436,9e-06
2.65208,1.57088,0.014161
2.65208,1.5774,0.014161
2.65208,1.58392,0.014161
2.65208,1.59045,0.014161
2.65208,1.59697,0.014161
2.65208,1.60349,0.014161
2.65208,1.61001,0.014161
2.65208,1.61653,0.014161
2.65208,1.62305,4e-06
2.65208,1.62958,4e-06
2.65208,1.6361,4e-06
2.65208,1.64262,4e-06
2.65208,1.64914,4e-06
2.65208,1.65566,4e-06
2.65208,1.66218,4e-06
2.65208,1.66871,4e-06
2.65208,1.67523,4e-06
2.65208,1.68175,4e-06
2.65208,1.68827,4e-06
2.65208,1.69479,4e-06
2.65208,1.70131,4e-06
2.65208,1.70784,4e-06
2.65208,1.71436,4e-06
2.65208,1.72088,0.005929
2.65208,1.7274,0.005929
2.65208,1.73392,0.045796
