x,y,z
2.60753,1.11214,0.646416
2.60753,1.11866,0.646416
2.60753,1.12519,0.646416
2.60753,1.13171,0.350464
2.60753,1.13823,0.350464
2.60753,1.14475,0.350464
2.60753,1.15127,0.350464
2.60753,1.1578,0.350464
2.60753,1.16432,0.350464
2.60753,1.17084,0.350464
2.60753,1.17736,0.194481
2.60753,1.18388,0.194481
2.60753,1.1904,0.194481
2.60753,1.19693,0.194481
2.60753,1.20345,0.194481
2.60753,1.20997,0.194481
2.60753,1.21649,0.054756
2.60753,1.22301,0.054756
2.60753,1.22953,0.054756
2.60753,1.23606,0.054756
2.60753,1.24258,0.054756
2.60753,1.2491,0.054756
2.60753,1.25562,0.0001
2.60753,1.26214,0.0001
2.60753,1.26866,0.0001
2.60753,1.27519,0.0001
2.60753,1.28171,0.0001
2.60753,1.28823,0.0001
2.60753,1.29475,9e-06
2.60753,1.30127,9e-06
2.60753,1.3078,9e-06
2.60753,1.31432,9e-06
2.60753,1.32084,9e-06
2.60753,1.32736,9e-06
2.60753,1.33388,9e-06
2.60753,1.3404,9e-06
2.60753,1.34693,9e-06
2.60753,1.35345,9e-06
2.60753,1.35997,9e-06
2.60753,1.36649,9e-06
2.60753,1.37301,9e-06
2.60753,1.37953,9e-06
2.60753,1.38606,9e-06
2.60753,1.39258,9e-06
2.60753,1.3991,9e-06
2.60753,1.40562,9e-06
2.60753,1.41214,9e-06
2.60753,1.41866,9e-06
2.60753,1.42519,9e-06
2.60753,1.43171,9e-06
2.60753,1.43823,9e-06
2.60753,1.44475,9e-06
2.60753,1.45127,9e-06
2.60753,1.4578,9e-06
2.60753,1.46432,9e-06
2.60753,1.47084,9e-06
2.60753,1.47736,9e-06
2.60753,1.48388,9e-06
2.60753,1.4904,9e-06
2.60753,1.49693,9e-06
2.60753,1.50345,9e-06
2.60753,1.50997,9e-06
2.60753,1.51649,9e-06
2.60753,1.52301,9e-06
2.60753,1.52953,9e-06
2.60753,1.53606,9e-06
2.60753,1.54258,9e-06
2.60753,1.5491,9e-06
2.60753,1.55562,9e-06
2.60753,1.56214,9e-06
2.60753,1.56866,9e-06
2.60753,1.57519,9e-06
2.60753,1.58171,9e-06
2.60753,1.58823,9e-06
2.60753,1.59475,9e-06
2.60753,1.60127,9e-06
2.60753,1.6078,9e-06
2.60753,1.61432,9e-06
2.60753,1.62084,9e-06
2.60753,1.62736,9e-06
2.60753,1.63388,9e-06
2.60753,1.6404,0.001764
2.60753,1.64693,0.001764
2.60753,1.65345,0.001764
2.60753,1.65997,0.001764
2.60753,1.66649,0.001764
2.60753,1.67301,0.001764
2.60753,1.67953,0.001764
2.60753,1.68606,0.075625
2.60753,1.69258,0.075625
2.60753,1.6991,0.075625
2.60753,1.70562,0.075625
2.60753,1.71214,0.075625
2.60753,1.71866,0.141376
2.60753,1.72519,0.141376
2.60753,1.73171,0.141376
2.60753,1.73823,0.141376
2.60753,1.74475,0.141376
2.60753,1.75127,0.141376
2.60753,1.7578,0.370881
2.60753,1.76432,0.370881
2.60753,1.77084,0.370881
2.60753,1.77736,0.370881
2.60753,1.78388,0.370881
2.60753,1.7904,0.370881
2.60753,1.79693,0.370881
2.60753,1.80345,0.337561
2.60753,1.80997,0.337561
2.60753,1.81649,0.337561
2.60753,1.82301,0.337561
2.60753,1.82953,0.337561
2.60753,1.83606,1.2905
2.60753,1.84258,1.2905
2.60753,1.8491,1.2905
2.60753,1.85562,1.2905
2.60753,1.86214,1.2905
2.60753,1.86866,1.2905
2.60753,1.87519,2.1083
2.60753,1.88171,2.1083
2.60753,1.88823,2.1083
2.60753,1.89475,2.1083
2.60753,1.90127,2.1083
2.60753,1.9078,2.1083
2.60753,1.91432,2.1083
2.60753,1.92084,1.1664
2.60753,1.92736,1.1664
2.60753,1.93388,1.1664
2.60753,1.9404,1.1664
2.60753,1.94693,1.1664
2.60753,1.95345,1.1664
2.60753,1.95997,0.857476
2.60753,1.96649,0.857476
2.60753,1.97301,0.857476
2.60753,1.97953,0.857476
2.60753,1.98606,0.857476
2.60753,1.99258,0.857476
2.60753,1.9991,0.305809
2.60753,2.00562,0.305809
2.60753,2.01214,0.305809
2.60753,2.01866,0.305809
2.60753,2.02519,0.305809
2.60753,2.03171,0.305809
2.60753,2.03823,1e-06
2.60753,2.04475,1e-06
2.60753,2.05127,1e-06
2.60753,2.0578,1e-06
2.60753,2.06432,1e-06
2.60753,2.07084,1e-06
2.60753,2.07736,1e-06
2.60753,2.08388,1e-06
2.60753,2.0904,1e-06
2.60753,2.09693,1e-06
2.60753,2.10345,1e-06
2.60753,2.10997,1e-06
2.60753,2.11649,1e-06
2.60753,2.12301,0.004225
2.60753,2.12953,0.004225
2.60753,2.13606,0.004225
2.60753,2.14258,0.004225
2.60753,2.1491,0.004225
2.60753,2.15562,0.097969
2.60753,2.16214,0.097969
2.60753,2.16866,0.097969
2.60753,2.17519,0.097969
2.60753,2.18171,0.097969
2.60753,2.18823,0.097969
2.60753,2.19475,0.311364
2.60753,2.20127,0.311364
2.60753,2.2078,0.311364
2.60753,2.21432,0.311364
2.60753,2.22084,0.311364
2.60753,2.22736,0.311364
2.60753,2.23388,0.311364
2.60753,2.2404,0.257049
2.60753,2.24693,0.257049
2.60753,2.25345,0.257049
2.60753,2.25997,0.257049
2.60753,2.26649,0.257049
2.60753,2.27301,0.257049
2.60753,2.27953,0.257049
2.60753,2.28606,0.617796
2.60753,2.29258,0.617796
2.60753,2.2991,0.617796
2.60753,2.30562,0.617796
2.60753,2.31214,0.617796
2.60753,2.31866,1.23654
2.60753,2.32519,1.23654
2.60753,2.33171,1.23654
2.60753,2.33823,1.23654
2.60753,2.34475,1.23654
2.60753,2.35127,1.23654
2.60753,2.3578,1.23654
2.60753,2.36432,1.23654
2.60753,2.37084,1.23654
2.60753,2.37736,1.23654
2.60753,2.38388,2.0996
2.60753,2.3904,2.0996
2.60753,2.39693,2.0996
2.60753,2.40345,1.88788
2.60753,2.40997,1.88788
2.60753,2.41649,1.88788
2.60753,2.42301,1.88788
2.61405,1.11214,0.646416
2.61405,1.11866,0.646416
2.61405,1.12519,0.646416
2.61405,1.13171,0.646416
2.61405,1.13823,0.350464
2.61405,1.14475,0.350464
2.61405,1.15127,0.350464
2.61405,1.1578,0.350464
2.61405,1.16432,0.350464
2.61405,1.17084,0.350464
2.61405,1.17736,0.194481
2.61405,1.18388,0.194481
2.61405,1.1904,0.194481
2.61405,1.19693,0.194481
2.61405,1.20345,0.194481
2.61405,1.20997,0.194481
2.61405,1.21649,0.054756
2.61405,1.22301,0.054756
2.61405,1.22953,0.054756
2.61405,1.23606,0.054756
2.61405,1.24258,0.054756
2.61405,1.2491,0.054756
2.61405,1.25562,0.0001
2.61405,1.26214,0.0001
2.61405,1.26866,0.0001
2.61405,1.27519,0.0001
2.61405,1.28171,0.0001
2.61405,1.28823,0.0001
2.61405,1.29475,9e-06
2.61405,1.30127,9e-06
2.61405,1.3078,9e-06
2.61405,1.31432,9e-06
2.61405,1.32084,9e-06
2.61405,1.32736,9e-06
2.61405,1.33388,9e-06
2.61405,1.3404,9e-06
2.61405,1.34693,9e-06
2.61405,1.35345,9e-06
2.61405,1.35997,9e-06
2.61405,1.36649,9e-06
2.61405,1.37301,9e-06
2.61405,1.37953,9e-06
2.61405,1.38606,9e-06
2.61405,1.39258,9e-06
2.61405,1.3991,9e-06
2.61405,1.40562,9e-06
2.61405,1.41214,9e-06
2.61405,1.41866,9e-06
2.61405,1.42519,9e-06
2.61405,1.43171,9e-06
2.61405,1.43823,9e-06
2.61405,1.44475,9e-06
2.61405,1.45127,9e-06
2.61405,1.4578,9e-06
2.61405,1.46432,9e-06
2.61405,1.47084,9e-06
2.61405,1.47736,9e-06
2.61405,1.48388,9e-06
2.61405,1.4904,9e-06
2.61405,1.49693,9e-06
2.61405,1.50345,9e-06
2.61405,1.50997,9e-06
2.61405,1.51649,9e-06
2.61405,1.52301,9e-06
2.61405,1.52953,9e-06
2.61405,1.53606,9e-06
2.61405,1.54258,9e-06
2.61405,1.5491,9e-06
2.61405,1.55562,9e-06
2.61405,1.56214,9e-06
2.61405,1.56866,9e-06
2.61405,1.57519,9e-06
2.61405,1.58171,9e-06
2.61405,1.58823,9e-06
2.61405,1.59475,9e-06
2.61405,1.60127,9e-06
2.61405,1.6078,9e-06
2.61405,1.61432,9e-06
2.61405,1.62084,9e-06
2.61405,1.62736,9e-06
2.61405,1.63388,9e-06
2.61405,1.6404,0.001764
2.61405,1.64693,0.001764
2.61405,1.65345,0.001764
2.61405,1.65997,0.001764
2.61405,1.66649,0.001764
2.61405,1.67301,0.001764
2.61405,1.67953,0.001764
2.61405,1.68606,0.075625
2.61405,1.69258,0.075625
2.61405,1.6991,0.075625
2.61405,1.70562,0.075625
2.61405,1.71214,0.075625
2.61405,1.71866,0.141376
2.61405,1.72519,0.141376
2.61405,1.73171,0.141376
2.61405,1.73823,0.141376
2.61405,1.74475,0.141376
2.61405,1.75127,0.141376
2.61405,1.7578,0.370881
2.61405,1.76432,0.370881
2.61405,1.77084,0.370881
2.61405,1.77736,0.370881
2.61405,1.78388,0.370881
2.61405,1.7904,0.370881
2.61405,1.79693,0.370881
2.61405,1.80345,0.337561
2.61405,1.80997,0.337561
2.61405,1.81649,0.337561
2.61405,1.82301,0.337561
2.61405,1.82953,0.337561
2.61405,1.83606,1.2905
2.61405,1.84258,1.2905
2.61405,1.8491,1.2905
2.61405,1.85562,1.2905
2.61405,1.86214,1.2905
2.61405,1.86866,1.2905
2.61405,1.87519,2.1083
2.61405,1.88171,2.1083
2.61405,1.88823,2.1083
2.61405,1.89475,2.1083
2.61405,1.90127,2.1083
2.61405,1.9078,2.1083
