x,y,z
2.68513,1.14047,-1.31201
2.68513,1.17307,-10.2282
2.68513,1.20568,-35.5597
2.68513,1.23829,-61.3605
2.68513,1.2709,-51.5549
2.68513,1.30351,-53.7693
2.68513,1.33612,-52.7383
2.68513,1.36873,-58.581
2.68513,1.40134,-51.0954
2.68513,1.43394,-44.8818
2.68513,1.46655,-38.8819
2.68513,1.49916,-40.1783
2.68513,1.53177,-50.8086
2.68513,1.56438,-50.8472
2.68513,1.59699,-50.5721
2.68513,1.6296,-50.0951
2.68513,1.6622,-49.917
2.68513,1.69481,-52.9671
2.68513,1.72742,-21.0357
2.68513,1.76003,-15.9729
2.68513,1.79264,-9.67276
2.68513,1.82525,-9.71345
2.68513,1.85786,-9.7873
2.68513,1.89047,-3.96101
2.68513,1.92307,-7.1767
2.68513,1.95568,-6.5456
2.68513,1.98829,-48.9814
2.68513,2.0209,-12.4127
2.68513,2.05351,-18.7048
2.68513,2.08612,-28.6851
2.68513,2.11873,-20.8098
2.68513,2.15134,-38.0288
2.68513,2.18394,-15.3033
2.68513,2.21655,-15.9834
2.68513,2.24916,-12.3027
2.68513,2.28177,-13.3506
2.68513,2.31438,-5.23407
2.68513,2.34699,-5.0403
2.68513,2.3796,-3.89081
2.71774,1.14047,0.884232
2.71774,1.17307,-6.48987
2.71774,1.20568,-28.7094
2.71774,1.23829,-61.4038
2.71774,1.2709,-61.2328
2.71774,1.30351,-60.9481
2.71774,1.33612,-59.9906
2.71774,1.36873,-59.0748
2.71774,1.40134,-58.3536
2.71774,1.43394,-58.4589
2.71774,1.46655,-53.9435
2.71774,1.49916,-60.1833
2.71774,1.53177,-60.6797
2.71774,1.56438,-60.4555
2.71774,1.59699,-60.0122
2.71774,1.6296,-59.3381
2.71774,1.6622,-58.975
2.71774,1.69481,-23.9007
2.71774,1.72742,-13.7552
2.71774,1.76003,-10.4372
2.71774,1.79264,-10.3462
2.71774,1.82525,-10.936
2.71774,1.85786,-11.8184
2.71774,1.89047,-13.9811
2.71774,1.92307,-28.1416
2.71774,1.95568,-56.4172
2.71774,1.98829,-56.0685
2.71774,2.0209,-55.7578
2.71774,2.05351,-62.177
2.71774,2.08612,-53.9183
2.71774,2.11873,-55.3762
2.71774,2.15134,-55.5254
2.71774,2.18394,-55.283
2.71774,2.21655,-58.4895
2.71774,2.24916,-55.9589
2.71774,2.28177,-54.7345
2.71774,2.31438,-56.1276
