x,y,z
2.68513,1.14047,-52.3192
2.68513,1.17307,-49.3305
2.68513,1.20568,-55.2094
2.68513,1.23829,-49.056
2.68513,1.2709,-39.322
2.68513,1.30351,-23.7338
2.68513,1.33612,-21.5969
2.68513,1.36873,-32.3228
2.68513,1.40134,-37.7242
2.68513,1.43394,-30.5314
2.68513,1.46655,-18.0043
2.68513,1.49916,-13.817
2.68513,1.53177,-12.5546
2.68513,1.56438,-8.74837
2.68513,1.59699,-6.95666
2.68513,1.6296,-5.5811
2.68513,1.6622,-0.629142
2.68513,1.69481,-2.8775
2.68513,1.72742,-8.01152
2.68513,1.76003,-11.3316
2.68513,1.79264,-16.0807
2.68513,1.82525,-15.625
2.68513,1.85786,-19.6701
2.68513,1.89047,-21.9858
2.68513,1.92307,-31.0804
2.68513,1.95568,-54.0191
2.68513,1.98829,-54.6802
2.68513,2.0209,-53.1287
2.68513,2.05351,-52.9242
2.68513,2.08612,-51.2545
2.68513,2.11873,-62.1518
2.68513,2.15134,-29.4543
2.68513,2.18394,-19.4562
2.68513,2.21655,-16.7864
2.68513,2.24916,-18.9751
2.68513,2.28177,-18.2002
2.68513,2.31438,-24.2317
2.68513,2.34699,-28.7409
2.68513,2.3796,-29.0283
2.71774,1.14047,-52.5547
2.71774,1.17307,-52.8166
2.71774,1.20568,-51.7357
2.71774,1.23829,-45.7512
2.71774,1.2709,-30.8799
2.71774,1.30351,-29.5873
2.71774,1.33612,-30.6393
2.71774,1.36873,-47.6918
2.71774,1.40134,-21.8324
2.71774,1.43394,-14.87
2.71774,1.46655,-17.6306
2.71774,1.49916,-7.37138
2.71774,1.53177,-6.67798
2.71774,1.56438,-6.87731
2.71774,1.59699,-10.624
2.71774,1.6296,-4.61629
2.71774,1.6622,-2.60562
2.71774,1.69481,-4.58541
2.71774,1.72742,-8.32231
2.71774,1.76003,-8.82892
2.71774,1.79264,-9.31034
2.71774,1.82525,-10.1068
2.71774,1.85786,-10.4236
2.71774,1.89047,-14.9673
2.71774,1.92307,-12.5115
2.71774,1.95568,-13.7403
2.71774,1.98829,-56.131
2.71774,2.0209,-52.4479
2.71774,2.05351,-54.3955
2.71774,2.08612,-36.5256
2.71774,2.11873,-62.0662
2.71774,2.15134,-17.0922
2.71774,2.18394,-13.6664
2.71774,2.21655,-14.6693
2.71774,2.24916,-12.408
2.71774,2.28177,-14.9682
2.71774,2.31438,-26.3403
2.71774,2.34699,-34.678
2.71774,2.3796,-48.2653
2.75034,1.14047,-57.4413
2.75034,1.17307,-51.5527
2.75034,1.20568,-56.0092
2.75034,1.23829,-55.3874
2.75034,1.2709,-52.5517
2.75034,1.30351,-52.0145
2.75034,1.33612,-50.1577
2.75034,1.36873,-18.8837
2.75034,1.40134,-18.3857
2.75034,1.43394,-5.1435
2.75034,1.46655,-3.90691
2.75034,1.49916,-4.42874
2.75034,1.53177,-0.790282
2.75034,1.56438,-3.88163
2.75034,1.59699,-3.87699
2.75034,1.6296,-2.63201
2.75034,1.6622,-3.71469
2.75034,1.69481,-4.50001
2.75034,1.72742,-6.55147
2.75034,1.76003,-10.5241
2.75034,1.79264,-8.78825
2.75034,1.82525,-9.75797
2.75034,1.85786,-10.1537
2.75034,1.89047,-13.8861
2.75034,1.92307,-17.2943
2.75034,1.95568,-14.4856
2.75034,1.98829,-56.4342
2.75034,2.0209,-55.4981
2.75034,2.05351,-53.7499
2.75034,2.08612,-52.0441
2.75034,2.11873,-17.4713
2.75034,2.15134,-50.7829
2.75034,2.18394,-21.6228
2.75034,2.21655,-13.6379
2.75034,2.24916,-21.3979
2.75034,2.28177,-24.7496
2.75034,2.31438,-24.023
2.75034,2.34699,-46.1139
2.75034,2.3796,-50.9847
2.78295,1.14047,-50.7525
2.78295,1.17307,-47.9802
2.78295,1.20568,-54.8656
2.78295,1.23829,-50.5577
2.78295,1.2709,-53.9949
2.78295,1.30351,-54.2162
2.78295,1.33612,-51.3094
2.78295,1.36873,-13.4952
2.78295,1.40134,-4.92821
2.78295,1.43394,-5.09549
2.78295,1.46655,0.212293
2.78295,1.49916,1.90083
2.78295,1.53177,1.07168
2.78295,1.56438,-2.17184
2.78295,1.59699,-1.91418
