x,y,z
2.68082,1.12668,4e-06
2.68082,1.1332,4e-06
2.68082,1.13972,4e-06
2.68082,1.14624,4e-06
2.68082,1.15277,4e-06
2.68082,1.15929,4e-06
2.68082,1.16581,1e-06
2.68082,1.17233,1e-06
2.68082,1.17885,1e-06
2.68082,1.18538,1e-06
2.68082,1.1919,1e-06
2.68082,1.19842,1e-06
2.68082,1.20494,4e-06
2.68082,1.21146,4e-06
2.68082,1.21798,4e-06
2.68082,1.22451,4e-06
2.68082,1.23103,4e-06
2.68082,1.23755,5e-06
2.68082,1.24407,5e-06
2.68082,1.25059,5e-06
2.68082,1.25711,0.007396
2.68082,1.26364,0.007396
2.68082,1.27016,0.007396
2.68082,1.27668,0.007569
2.68082,1.2832,0.007569
2.68082,1.28972,0.007569
2.68082,1.29624,0.073441
2.68082,1.30277,0.073441
2.68082,1.30929,0.073441
2.68082,1.31581,0.073441
2.68082,1.32233,0.073441
2.68082,1.32885,0.066564
2.68082,1.33538,0.066564
2.68082,1.3419,0.066564
2.68082,1.34842,0.066564
2.68082,1.35494,0.066564
2.68082,1.36146,0.011881
2.68082,1.36798,0.011881
2.68082,1.37451,0.011881
2.68082,1.38103,0.011881
2.68082,1.38755,0.011881
2.68082,1.39407,0.011881
2.68082,1.40059,0.004624
2.68082,1.40711,0.004624
2.68082,1.41364,0.004624
2.68082,1.42016,0.004624
2.68082,1.42668,0.004624
2.68082,1.4332,0.013225
2.68082,1.43972,0.013225
2.68082,1.44624,0.006724
2.68082,1.45277,0.006724
2.68082,1.45929,0.006724
2.68082,1.46581,0.006724
2.68082,1.47233,0.006889
2.68082,1.47885,0.006889
2.68082,1.48538,0.006889
2.68082,1.4919,0.006889
2.68082,1.49842,0.006889
2.68082,1.50494,0.006889
2.68082,1.51146,0.042849
2.68082,1.51798,0.042849
2.68082,1.52451,0.042849
2.68082,1.53103,0.032761
2.68082,1.53755,0.032761
2.68082,1.54407,0.032761
2.68082,1.55059,0.032761
2.68082,1.55711,0.055696
2.68082,1.56364,0.055696
2.68082,1.57016,0.082369
2.68082,1.57668,0.082369
2.68082,1.5832,0.082369
2.68082,1.58972,0.082369
2.68082,1.59624,0.082369
2.68082,1.60277,0.447561
2.68082,1.60929,0.447561
2.68082,1.61581,0.447561
2.68082,1.62233,0.447561
2.68082,1.62885,0.1024
2.68082,1.63538,0.1024
2.68082,1.6419,0.1024
2.68082,1.64842,0.264196
2.68082,1.65494,0.264196
2.68082,1.66146,0.264196
2.68082,1.66798,0.297025
2.68082,1.67451,0.297025
2.68082,1.68103,0.268324
2.68082,1.68755,0.268324
2.68082,1.69407,0.268324
2.68082,1.70059,0.155236
2.68082,1.70711,0.155236
2.68082,1.71364,0.155236
2.68082,1.72016,0.155236
2.68082,1.72668,0.155236
2.68082,1.7332,0.126115
2.68082,1.73972,0.126115
2.68082,1.74624,0.126115
2.68082,1.75277,0.046656
2.68082,1.75929,0.046656
2.68082,1.76581,0.046656
2.68082,1.77233,0.068121
2.68082,1.77885,0.047089
2.68082,1.78538,0.145161
2.68082,1.7919,0.145161
2.68082,1.79842,0.106112
2.68082,1.80494,0.106112
2.68082,1.81146,0.106112
2.68082,1.81798,0.041209
2.68082,1.82451,0.041209
2.68082,1.83103,0.041209
2.68082,1.83755,0.041209
2.68082,1.84407,0.234256
2.68082,1.85059,0.082944
2.68082,1.85711,0.082944
2.68082,1.86364,0.082944
2.68082,1.87016,0.082944
2.68082,1.87668,0.0576
2.68082,1.8832,0.015129
2.68082,1.88972,0.015129
2.68082,1.89624,0.050176
2.68082,1.90277,0.050176
2.68082,1.90929,0.050176
2.68082,1.91581,0.000676
2.68082,1.92233,0.000676
2.68082,1.92885,0.000676
2.68082,1.93538,0.000676
2.68082,1.9419,0.000676
2.68082,1.94842,1e-06
2.68082,1.95494,1e-06
2.68082,1.96146,1e-06
2.68082,1.96798,1e-06
2.68082,1.97451,1e-06
2.68082,1.98103,4e-06
2.68082,1.98755,4e-06
2.68082,1.99407,4e-06
2.68082,2.00059,4e-06
2.68082,2.00711,1.6e-05
2.68082,2.01364,1.6e-05
2.68082,2.02016,1.6e-05
2.68082,2.02668,1.6e-05
2.68082,2.0332,1.6e-05
2.68082,2.03972,1.6e-05
2.68082,2.04624,1.6e-05
2.68082,2.05277,4e-06
2.68082,2.05929,4e-06
2.68082,2.06581,4e-06
2.68082,2.07233,4e-06
2.68082,2.07885,1.6e-05
2.68082,2.08538,1.6e-05
2.68082,2.0919,1.6e-05
2.68082,2.09842,1.6e-05
2.68082,2.10494,4.9e-05
2.68082,2.11146,4.9e-05
2.68082,2.11798,4.9e-05
2.68082,2.12451,9e-06
2.68082,2.13103,9e-06
2.68082,2.13755,9e-06
2.68082,2.14407,0.013858
2.68082,2.15059,0.013858
2.68082,2.15711,0.005929
2.68082,2.16364,0.005929
2.68082,2.17016,0.0169
2.68082,2.17668,0.0169
2.68082,2.1832,0.0169
2.68082,2.18972,0.0169
2.68082,2.19624,0.056169
2.68082,2.20277,0.056169
2.68082,2.20929,0.029584
2.68082,2.21581,0.029584
2.68082,2.22233,0.029584
2.68082,2.22885,0.029584
2.68082,2.23538,0.029584
2.68082,2.2419,0.029584
2.68082,2.24842,0.063504
2.68082,2.25494,0.063504
2.68082,2.26146,0.063504
2.68082,2.26798,0.063504
2.68082,2.27451,0.0758565
2.68082,2.28103,0.067081
2.68082,2.28755,0.067081
2.68082,2.29407,0.067081
2.68082,2.30059,0.067081
2.68082,2.30711,0.067081
2.68082,2.31364,0.051984
2.68082,2.32016,0.051984
2.68082,2.32668,0.051984
2.68082,2.3332,0.051984
2.68082,2.33972,0.051984
2.68082,2.34624,0.0203465
2.68082,2.35277,0.0203465
2.68082,2.35929,0.0203465
2.68082,2.36581,0.0203465
2.68082,2.37233,0.0203465
2.68734,1.12668,1e-06
2.68734,1.1332,4e-06
2.68734,1.13972,4e-06
2.68734,1.14624,4e-06
2.68734,1.15277,4e-06
2.68734,1.15929,4e-06
2.68734,1.16581,4e-06
2.68734,1.17233,5e-06
2.68734,1.17885,5e-06
2.68734,1.18538,5e-06
2.68734,1.1919,5e-06
2.68734,1.19842,4e-06
2.68734,1.20494,4e-06
2.68734,1.21146,4e-06
2.68734,1.21798,4e-06
2.68734,1.22451,4e-06
2.68734,1.23103,4e-06
2.68734,1.23755,5e-06
2.68734,1.24407,5e-06
2.68734,1.25059,5e-06
2.68734,1.25711,0.007396
2.68734,1.26364,0.007396
2.68734,1.27016,0.007396
2.68734,1.27668,0.007569
2.68734,1.2832,0.007569
2.68734,1.28972,0.007569
2.68734,1.29624,0.073441
2.68734,1.30277,0.073441
2.68734,1.30929,0.073441
2.68734,1.31581,0.073441
2.68734,1.32233,0.073441
2.68734,1.32885,0.066564
2.68734,1.33538,0.066564
2.68734,1.3419,0.066564
2.68734,1.34842,0.066564
2.68734,1.35494,0.066564
2.68734,1.36146,0.0049
2.68734,1.36798,0.011881
2.68734,1.37451,0.011881
2.68734,1.38103,0.011881
2.68734,1.38755,0.011881
2.68734,1.39407,0.011881
2.68734,1.40059,1.6e-05
2.68734,1.40711,0.006084
2.68734,1.41364,0.006084
2.68734,1.42016,0.006084
2.68734,1.42668,0.006084
2.68734,1.4332,0.013225
2.68734,1.43972,0.013225
2.68734,1.44624,0.006724
2.68734,1.45277,0.006724
2.68734,1.45929,0.006724
2.68734,1.46581,0.006724
2.68734,1.47233,0.01
2.68734,1.47885,0.006889
2.68734,1.48538,0.006889
2.68734,1.4919,0.006889
2.68734,1.49842,0.006889
2.68734,1.50494,0.042849
2.68734,1.51146,0.042849
2.68734,1.51798,0.042849
2.68734,1.52451,0.042849
2.68734,1.53103,0.032761
2.68734,1.53755,0.032761
2.68734,1.54407,0.032761
2.68734,1.55059,0.032761
2.68734,1.55711,0.055696
2.68734,1.56364,0.055696
2.68734,1.57016,0.082369
2.68734,1.57668,0.082369
2.68734,1.5832,0.082369
2.68734,1.58972,0.082369
2.68734,1.59624,0.082369
2.68734,1.60277,0.321489
2.68734,1.60929,0.447561
2.68734,1.61581,0.447561
2.68734,1.62233,0.447561
2.68734,1.62885,0.1024
2.68734,1.63538,0.1024
2.68734,1.6419,0.1024
2.68734,1.64842,0.264196
2.68734,1.65494,0.264196
2.68734,1.66146,0.264196
2.68734,1.66798,0.297025
2.68734,1.67451,0.297025
2.68734,1.68103,0.268324
2.68734,1.68755,0.268324
2.68734,1.69407,0.268324
2.68734,1.70059,0.155236
2.68734,1.70711,0.155236
2.68734,1.71364,0.155236
2.68734,1.72016,0.155236
2.68734,1.72668,0.013456
2.68734,1.7332,0.126115
2.68734,1.73972,0.126115
2.68734,1.74624,0.126115
2.68734,1.75277,0.126115
2.68734,1.75929,0.046656
2.68734,1.76581,0.068121
2.68734,1.77233,0.068121
2.68734,1.77885,0.047089
2.68734,1.78538,0.047089
2.68734,1.7919,0.145161
2.68734,1.79842,0.106112
2.68734,1.80494,0.106112
2.68734,1.81146,0.041209
2.68734,1.81798,0.041209
2.68734,1.82451,0.041209
2.68734,1.83103,0.041209
2.68734,1.83755,0.016129
2.68734,1.84407,0.234256
2.68734,1.85059,0.234256
2.68734,1.85711,0.234256
2.68734,1.86364,0.082944
2.68734,1.87016,0.0576
2.68734,1.87668,0.0576
2.68734,1.8832,0.015129
2.68734,1.88972,0.015129
2.68734,1.89624,0.015129
2.68734,1.90277,0.023409
2.68734,1.90929,0.023409
2.68734,1.91581,0.015129
2.68734,1.92233,0.015129
2.68734,1.92885,0.015129
2.68734,1.93538,0.015129
2.68734,1.9419,0.041209
2.68734,1.94842,1e-06
2.68734,1.95494,1e-06
2.68734,1.96146,1e-06
2.68734,1.96798,1e-06
2.68734,1.97451,1e-06
2.68734,1.98103,1e-06
2.68734,1.98755,4e-06
2.68734,1.99407,4e-06
2.68734,2.00059,4e-06
2.68734,2.00711,4e-06
2.68734,2.01364,1e-06
2.68734,2.02016,1e-06
2.68734,2.02668,1e-06
2.68734,2.0332,1.6e-05
2.68734,2.03972,1.6e-05
2.68734,2.04624,1.6e-05
2.68734,2.05277,4.9e-05
2.68734,2.05929,4e-06
2.68734,2.06581,4e-06
2.68734,2.07233,4e-06
2.68734,2.07885,1.6e-05
2.68734,2.08538,1.6e-05
2.68734,2.0919,1.6e-05
2.68734,2.09842,4.9e-05
2.68734,2.10494,4.9e-05
2.68734,2.11146,4.9e-05
2.68734,2.11798,4.9e-05
2.68734,2.12451,9e-06
2.68734,2.13103,9e-06
2.68734,2.13755,9e-06
2.68734,2.14407,0.013858
2.68734,2.15059,0.013858
2.68734,2.15711,0.003025
2.68734,2.16364,0.003025
2.68734,2.17016,0.0169
2.68734,2.17668,0.0169
2.68734,2.1832,0.0169
2.68734,2.18972,0.0169
2.68734,2.19624,0.056169
2.68734,2.20277,0.056169
2.68734,2.20929,0.056169
2.68734,2.21581,0.029584
2.68734,2.22233,0.029584
2.68734,2.22885,0.029584
2.68734,2.23538,0.029584
2.68734,2.2419,0.029584
2.68734,2.24842,0.063504
2.68734,2.25494,0.063504
2.68734,2.26146,0.063504
2.68734,2.26798,0.063504
2.68734,2.27451,0.0758565
2.68734,2.28103,0.067081
2.68734,2.28755,0.067081
2.68734,2.29407,0.067081
2.68734,2.30059,0.067081
2.68734,2.30711,0.067081
2.68734,2.31364,0.051984
2.68734,2.32016,0.051984
2.68734,2.32668,0.051984
2.68734,2.3332,0.051984
2.68734,2.33972,0.051984
2.68734,2.34624,0.0203465
2.68734,2.35277,0.0203465
2.68734,2.35929,0.0203465
2.68734,2.36581,0.0203465
2.68734,2.37233,0.0203465
2.69387,1.12668,1e-06
2.69387,1.1332,1e-06
2.69387,1.13972,4e-06
2.69387,1.14624,4e-06
2.69387,1.15277,4e-06
2.69387,1.15929,4e-06
2.69387,1.16581,4e-06
2.69387,1.17233,5e-06
2.69387,1.17885,5e-06
2.69387,1.18538,5e-06
2.69387,1.1919,5e-06
2.69387,1.19842,4e-06
2.69387,1.20494,4e-06
2.69387,1.21146,4e-06
2.69387,1.21798,4e-06
2.69387,1.22451,1e-06
2.69387,1.23103,5e-06
2.69387,1.23755,5e-06
2.69387,1.24407,5e-06
2.69387,1.25059,5e-06
2.69387,1.25711,5e-06
2.69387,1.26364,0.007396
2.69387,1.27016,0.007396
2.69387,1.27668,0.007569
2.69387,1.2832,0.007569
2.69387,1.28972,0.007569
2.69387,1.29624,0.018225
2.69387,1.30277,0.018225
2.69387,1.30929,0.073441
2.69387,1.31581,0.073441
2.69387,1.32233,0.018769
2.69387,1.32885,0.018769
2.69387,1.33538,0.066564
2.69387,1.3419,0.066564
2.69387,1.34842,0.066564
2.69387,1.35494,0.066564
2.69387,1.36146,0.0049
2.69387,1.36798,0.0049
2.69387,1.37451,0.0049
2.69387,1.38103,0.0049
2.69387,1.38755,0.000324
2.69387,1.39407,0.000324
2.69387,1.40059,1.6e-05
2.69387,1.40711,1.6e-05
2.69387,1.41364,0.006084
2.69387,1.42016,0.006084
2.69387,1.42668,0.006084
2.69387,1.4332,0.013225
2.69387,1.43972,0.013225
2.69387,1.44624,0.006724
2.69387,1.45277,0.006724
2.69387,1.45929,0.006724
2.69387,1.46581,0.01
2.69387,1.47233,0.01
2.69387,1.47885,0.01
2.69387,1.48538,0.006889
2.69387,1.4919,0.006889
2.69387,1.49842,0.006889
2.69387,1.50494,0.042849
2.69387,1.51146,0.042849
2.69387,1.51798,0.042849
2.69387,1.52451,0.239121
2.69387,1.53103,0.239121
2.69387,1.53755,0.032761
2.69387,1.54407,0.032761
2.69387,1.55059,0.055696
2.69387,1.55711,0.055696
2.69387,1.56364,0.055696
2.69387,1.57016,0.1936
2.69387,1.57668,0.1936
2.69387,1.5832,0.082369
2.69387,1.58972,0.082369
2.69387,1.59624,0.321489
2.69387,1.60277,0.321489
2.69387,1.60929,0.042025
2.69387,1.61581,0.447561
2.69387,1.62233,0.327184
2.69387,1.62885,0.327184
2.69387,1.63538,0.1024
2.69387,1.6419,0.1024
2.69387,1.64842,0.1024
2.69387,1.65494,0.264196
2.69387,1.66146,0.094864
2.69387,1.66798,0.094864
2.69387,1.67451,0.351649
2.69387,1.68103,0.351649
2.69387,1.68755,0.351649
2.69387,1.69407,0.017161
2.69387,1.70059,0.017161
2.69387,1.70711,0.155236
2.69387,1.71364,0.155236
2.69387,1.72016,0.155236
2.69387,1.72668,0.013456
2.69387,1.7332,0.013456
2.69387,1.73972,0.013456
2.69387,1.74624,0.126115
2.69387,1.75277,0.126115
2.69387,1.75929,0.046656
2.69387,1.76581,0.068121
2.69387,1.77233,0.068121
2.69387,1.77885,0.047089
2.69387,1.78538,0.047089
2.69387,1.7919,0.047089
2.69387,1.79842,0.106112
2.69387,1.80494,0.024336
2.69387,1.81146,0.024336
2.69387,1.81798,0.041209
2.69387,1.82451,0.041209
2.69387,1.83103,0.016129
2.69387,1.83755,0.016129
2.69387,1.84407,0.234256
2.69387,1.85059,0.234256
2.69387,1.85711,0.234256
2.69387,1.86364,0.234256
2.69387,1.87016,0.0576
2.69387,1.87668,0.0576
2.69387,1.8832,0.015129
2.69387,1.88972,0.015129
2.69387,1.89624,0.105625
2.69387,1.90277,0.023409
2.69387,1.90929,0.023409
2.69387,1.91581,0.118336
2.69387,1.92233,0.015129
2.69387,1.92885,0.015129
2.69387,1.93538,0.041209
2.69387,1.9419,0.041209
2.69387,1.94842,1e-06
2.69387,1.95494,1e-06
2.69387,1.96146,1e-06
2.69387,1.96798,1e-06
2.69387,1.97451,1e-06
2.69387,1.98103,1e-06
2.69387,1.98755,4.9e-05
2.69387,1.99407,4e-06
2.69387,2.00059,4e-06
2.69387,2.00711,4e-06
2.69387,2.01364,1e-06
2.69387,2.02016,1e-06
2.69387,2.02668,1e-06
2.69387,2.0332,1.6e-05
2.69387,2.03972,4e-06
2.69387,2.04624,4e-06
2.69387,2.05277,4.9e-05
2.69387,2.05929,4.9e-05
2.69387,2.06581,1e-06
2.69387,2.07233,9e-06
2.69387,2.07885,1.6e-05
2.69387,2.08538,9e-06
2.69387,2.0919,4.9e-05
2.69387,2.09842,4.9e-05
2.69387,2.10494,4.9e-05
2.69387,2.11146,4.9e-05
2.69387,2.11798,1.6e-05
2.69387,2.12451,1.6e-05
2.69387,2.13103,9e-06
2.69387,2.13755,9e-06
2.69387,2.14407,0.177241
2.69387,2.15059,9e-06
2.69387,2.15711,0.003025
2.69387,2.16364,0.1089
2.69387,2.17016,0.1089
2.69387,2.17668,0.0169
2.69387,2.1832,9e-06
2.69387,2.18972,0.261121
2.69387,2.19624,0.056169
2.69387,2.20277,0.056169
2.69387,2.20929,0.056169
2.69387,2.21581,0.029584
2.69387,2.22233,0.029584
2.69387,2.22885,0.029584
2.69387,2.23538,0.029584
2.69387,2.2419,0.029584
2.69387,2.24842,0.063504
2.69387,2.25494,0.063504
2.69387,2.26146,0.063504
2.69387,2.26798,0.0758565
2.69387,2.27451,0.0758565
2.69387,2.28103,0.0758565
2.69387,2.28755,0.067081
2.69387,2.29407,0.067081
2.69387,2.30059,0.067081
2.69387,2.30711,0.069169
2.69387,2.31364,0.069169
2.69387,2.32016,0.051984
2.69387,2.32668,0.051984
2.69387,2.3332,0.051984
2.69387,2.33972,0.036864
2.69387,2.34624,0.036864
2.69387,2.35277,0.0203465
2.69387,2.35929,0.0203465
2.69387,2.36581,0.0203465
2.69387,2.37233,0.0203465
2.70039,1.12668,1e-06
2.70039,1.1332,1e-06
2.70039,1.13972,1e-06
2.70039,1.14624,4e-06
2.70039,1.15277,4e-06
2.70039,1.15929,4e-06
2.70039,1.16581,1.6e-05
2.70039,1.17233,1.6e-05
2.70039,1.17885,1.6e-05
2.70039,1.18538,1.6e-05
2.70039,1.1919,1.6e-05
2.70039,1.19842,1.6e-05
2.70039,1.20494,1.6e-05
2.70039,1.21146,1e-06
2.70039,1.21798,1e-06
2.70039,1.22451,1e-06
2.70039,1.23103,1e-06
2.70039,1.23755,5e-06
2.70039,1.24407,5e-06
2.70039,1.25059,5e-06
2.70039,1.25711,0.005184
2.70039,1.26364,0.005184
2.70039,1.27016,0.005184
2.70039,1.27668,0.007569
2.70039,1.2832,0.007569
2.70039,1.28972,0.018225
2.70039,1.29624,0.018225
2.70039,1.30277,0.018225
2.70039,1.30929,0.018225
2.70039,1.31581,0.018225
2.70039,1.32233,0.018769
2.70039,1.32885,0.018769
2.70039,1.33538,0.018769
2.70039,1.3419,0.066564
2.70039,1.34842,0.066564
2.70039,1.35494,0.003249
2.70039,1.36146,0.003249
2.70039,1.36798,0.0049
2.70039,1.37451,0.0049
2.70039,1.38103,0.000324
2.70039,1.38755,0.000324
2.70039,1.39407,0.000324
2.70039,1.40059,1.6e-05
2.70039,1.40711,1.6e-05
2.70039,1.41364,1.6e-05
2.70039,1.42016,0.006084
2.70039,1.42668,0.011881
2.70039,1.4332,0.011881
2.70039,1.43972,0.011881
2.70039,1.44624,0.011881
2.70039,1.45277,0.034596
2.70039,1.45929,0.01
2.70039,1.46581,0.01
2.70039,1.47233,0.01
2.70039,1.47885,0.01
2.70039,1.48538,0.109561
2.70039,1.4919,0.109561
2.70039,1.49842,0.109561
2.70039,1.50494,0.042849
2.70039,1.51146,0.042849
2.70039,1.51798,0.239121
2.70039,1.52451,0.239121
2.70039,1.53103,0.239121
2.70039,1.53755,0.239121
2.70039,1.54407,0.034225
2.70039,1.55059,0.034225
2.70039,1.55711,0.055696
2.70039,1.56364,0.055696
2.70039,1.57016,0.1936
2.70039,1.57668,0.1936
2.70039,1.5832,0.1936
2.70039,1.58972,0.221841
2.70039,1.59624,0.321489
2.70039,1.60277,0.321489
2.70039,1.60929,0.042025
2.70039,1.61581,0.042025
2.70039,1.62233,0.327184
2.70039,1.62885,0.327184
2.70039,1.63538,0.049284
2.70039,1.6419,0.049284
2.70039,1.64842,0.049284
2.70039,1.65494,0.094864
2.70039,1.66146,0.094864
2.70039,1.66798,0.094864
2.70039,1.67451,0.094864
2.70039,1.68103,0.351649
2.70039,1.68755,0.017161
2.70039,1.69407,0.017161
2.70039,1.70059,0.017161
2.70039,1.70711,0.017161
2.70039,1.71364,0.112225
2.70039,1.72016,0.013456
2.70039,1.72668,0.013456
2.70039,1.7332,0.013456
2.70039,1.73972,0.013456
2.70039,1.74624,0.001849
2.70039,1.75277,0.001849
2.70039,1.75929,0.001849
2.70039,1.76581,0.132496
2.70039,1.77233,0.132496
2.70039,1.77885,0.132496
2.70039,1.78538,0.132496
2.70039,1.7919,0.145924
2.70039,1.79842,0.145924
2.70039,1.80494,0.024336
2.70039,1.81146,0.024336
2.70039,1.81798,0.024336
2.70039,1.82451,0.016129
2.70039,1.83103,0.016129
2.70039,1.83755,0.016129
2.70039,1.84407,0.016129
2.70039,1.85059,0.303601
2.70039,1.85711,0.303601
2.70039,1.86364,0.303601
2.70039,1.87016,0.053361
2.70039,1.87668,0.053361
2.70039,1.8832,0.105625
2.70039,1.88972,0.105625
2.70039,1.89624,0.105625
2.70039,1.90277,0.105625
2.70039,1.90929,0.118336
2.70039,1.91581,0.118336
2.70039,1.92233,0.118336
2.70039,1.92885,0.118336
2.70039,1.93538,0.041209
2.70039,1.9419,0.041209
2.70039,1.94842,1e-06
2.70039,1.95494,1e-06
2.70039,1.96146,1e-06
2.70039,1.96798,4e-06
2.70039,1.97451,1e-06
2.70039,1.98103,4.9e-05
2.70039,1.98755,4.9e-05
2.70039,1.99407,1.6e-05
2.70039,2.00059,1.6e-05
2.70039,2.00711,1.6e-05
2.70039,2.01364,4e-06
2.70039,2.02016,4e-06
2.70039,2.02668,4e-06
2.70039,2.0332,4e-06
2.70039,2.03972,4e-06
2.70039,2.04624,4e-06
2.70039,2.05277,4.9e-05
2.70039,2.05929,4.9e-05
2.70039,2.06581,1e-06
2.70039,2.07233,9e-06
2.70039,2.07885,1.6e-05
2.70039,2.08538,9e-06
2.70039,2.0919,4.9e-05
2.70039,2.09842,4.9e-05
2.70039,2.10494,4e-06
2.70039,2.11146,4e-06
2.70039,2.11798,4e-06
2.70039,2.12451,0.030276
2.70039,2.13103,0.030276
2.70039,2.13755,0.177241
2.70039,2.14407,0.177241
2.70039,2.15059,9e-06
2.70039,2.15711,9e-06
2.70039,2.16364,0.1089
2.70039,2.17016,0.1089
2.70039,2.17668,9e-06
2.70039,2.1832,9e-06
2.70039,2.18972,0.261121
2.70039,2.19624,0.056169
2.70039,2.20277,0.056169
2.70039,2.20929,0.056169
2.70039,2.21581,0.182329
2.70039,2.22233,0.182329
2.70039,2.22885,0.182329
2.70039,2.23538,0.182329
2.70039,2.2419,0.182329
2.70039,2.24842,0.063504
2.70039,2.25494,0.063504
2.70039,2.26146,0.0758565
2.70039,2.26798,0.0758565
2.70039,2.27451,0.0758565
2.70039,2.28103,0.0758565
2.70039,2.28755,0.0758565
2.70039,2.29407,0.067081
2.70039,2.30059,0.069169
2.70039,2.30711,0.069169
2.70039,2.31364,0.069169
2.70039,2.32016,0.069169
2.70039,2.32668,0.069169
2.70039,2.3332,0.051984
