x,y,z
2.68108,1.12697,8.66667e-06
2.68108,1.13349,8.66667e-06
2.68108,1.14001,8.66667e-06
2.68108,1.14653,8.66667e-06
2.68108,1.15305,8.1e-05
2.68108,1.15957,8.1e-05
2.68108,1.1661,8.1e-05
2.68108,1.17262,8.1e-05
2.68108,1.17914,8.1e-05
2.68108,1.18566,0.000576
2.68108,1.19218,0.0003145
2.68108,1.1987,0.0003145
2.68108,1.20523,0.0003145
2.68108,1.21175,0.005625
2.68108,1.21827,0.005625
2.68108,1.22479,0.011664
2.68108,1.23131,0.006724
2.68108,1.23784,0.006724
2.68108,1.24436,0.047524
2.68108,1.25088,0.047524
2.68108,1.2574,0.050176
2.68108,1.26392,0.050176
2.68108,1.27044,0.050176
2.68108,1.27697,0.050176
2.68108,1.28349,0.050176
2.68108,1.29001,0.107584
2.68108,1.29653,0.107584
2.68108,1.30305,0.107584
2.68108,1.30957,0.090601
2.68108,1.3161,0.099225
2.68108,1.32262,0.099225
2.68108,1.32914,0.085849
2.68108,1.33566,0.085849
2.68108,1.34218,0.085849
2.68108,1.3487,0.085849
2.68108,1.35523,0.038416
2.68108,1.36175,0.038416
2.68108,1.36827,0.038416
2.68108,1.37479,0.034969
2.68108,1.38131,0.034969
2.68108,1.38784,0.033856
2.68108,1.39436,0.033856
2.68108,1.40088,0.033856
2.68108,1.4074,0.033856
2.68108,1.41392,0.045805
2.68108,1.42044,0.045805
2.68108,1.42697,0.045805
2.68108,1.43349,0.045805
2.68108,1.44001,0.045805
2.68108,1.44653,0.050176
2.68108,1.45305,0.050176
2.68108,1.45957,0.1089
2.68108,1.4661,0.071289
2.68108,1.47262,0.062001
2.68108,1.47914,0.081225
2.68108,1.48566,0.081225
2.68108,1.49218,0.130688
2.68108,1.4987,0.130688
2.68108,1.50523,0.115597
2.68108,1.51175,0.115597
2.68108,1.51827,0.115597
2.68108,1.52479,0.216225
2.68108,1.53131,0.216225
2.68108,1.53784,0.216225
2.68108,1.54436,0.268514
2.68108,1.55088,0.268514
2.68108,1.5574,0.240481
2.68108,1.56392,0.240481
2.68108,1.57044,0.355216
2.68108,1.57697,0.355216
2.68108,1.58349,0.361201
2.68108,1.59001,0.303076
2.68108,1.59653,0.303076
2.68108,1.60305,0.303076
2.68108,1.60957,0.329476
2.68108,1.6161,0.304909
2.68108,1.62262,0.315844
2.68108,1.62914,0.315844
2.68108,1.63566,0.315844
2.68108,1.64218,0.315844
2.68108,1.6487,0.2209
2.68108,1.65523,0.2209
2.68108,1.66175,0.2209
2.68108,1.66827,0.186948
2.68108,1.67479,0.186948
2.68108,1.68131,0.186948
2.68108,1.68784,0.288369
2.68108,1.69436,0.288369
2.68108,1.70088,0.306916
2.68108,1.7074,2.5e-05
2.68108,1.71392,9e-06
2.68108,1.72044,9e-06
2.68108,1.72697,2e-05
2.68108,1.73349,2e-05
2.68108,1.74001,2e-05
2.68108,1.74653,5e-06
2.68108,1.75305,5e-06
2.68108,1.75957,5e-06
2.68108,1.7661,6.4e-05
2.68108,1.77262,6.4e-05
2.68108,1.77914,4.9e-05
2.68108,1.78566,1e-06
2.68108,1.79218,1e-06
2.68108,1.7987,1e-06
2.68108,1.80523,9e-06
2.68108,1.81175,9e-06
2.68108,1.81827,6.4e-05
2.68108,1.82479,3.6e-05
2.68108,1.83131,3.6e-05
2.68108,1.83784,3.6e-05
2.68108,1.84436,9e-06
2.68108,1.85088,9e-06
2.68108,1.8574,9e-06
2.68108,1.86392,9e-06
2.68108,1.87044,9e-06
2.68108,1.87697,4e-06
2.68108,1.88349,4e-06
2.68108,1.89001,4e-06
2.68108,1.89653,4e-06
2.68108,1.90305,4e-06
2.68108,1.90957,4e-06
2.68108,1.9161,4e-06
2.68108,1.92262,1e-06
2.68108,1.92914,1e-06
2.68108,1.93566,1e-06
2.68108,1.94218,9e-06
2.68108,1.9487,9e-06
2.68108,1.95523,9e-06
2.68108,1.96175,9e-06
2.68108,1.96827,1e-06
2.68108,1.97479,1e-06
2.68108,1.98131,1e-06
2.68108,1.98784,1e-06
2.68108,1.99436,1e-06
2.68108,2.00088,4e-06
2.68108,2.0074,4e-06
2.68108,2.01392,1e-06
2.68108,2.02044,1e-06
2.68108,2.02697,1e-06
2.68108,2.03349,1e-06
2.68108,2.04001,1e-06
2.68108,2.04653,1e-06
2.68108,2.05305,3.6e-05
2.68108,2.05957,3.6e-05
2.68108,2.0661,3.6e-05
2.68108,2.07262,3.6e-05
2.68108,2.07914,1.6e-05
2.68108,2.08566,1.6e-05
2.68108,2.09218,1.6e-05
2.68108,2.0987,4e-06
2.68108,2.10523,4e-06
2.68108,2.11175,4e-06
2.68108,2.11827,4e-06
2.68108,2.12479,0.009025
2.68108,2.13131,0.009025
2.68108,2.13784,0.009025
2.68108,2.14436,0.015625
2.68108,2.15088,0.015625
2.68108,2.1574,0.015625
2.68108,2.16392,0.015625
2.68108,2.17044,0.101761
2.68108,2.17697,0.101761
2.68108,2.18349,0.101761
2.68108,2.19001,0.141376
2.68108,2.19653,0.141376
2.68108,2.20305,0.212521
2.68108,2.20957,0.212521
2.68108,2.2161,0.212521
2.68108,2.22262,0.268324
2.68108,2.22914,0.268324
2.68108,2.23566,0.366025
2.68108,2.24218,0.366025
2.68108,2.2487,0.366025
2.68108,2.25523,0.366025
2.68108,2.26175,0.366025
2.68108,2.26827,0.366025
2.68108,2.27479,0.245025
2.68108,2.28131,0.245025
2.68108,2.28784,0.245025
2.68108,2.29436,0.245025
2.68108,2.30088,0.309136
2.68108,2.3074,0.309136
2.68108,2.31392,0.299209
2.68108,2.32044,0.299209
2.68108,2.32697,0.299209
2.68108,2.33349,0.293764
2.68108,2.34001,0.3025
2.68108,2.34653,0.3025
2.68108,2.35305,0.3025
2.68108,2.35957,0.3025
2.68108,2.3661,0.3025
2.68108,2.37262,0.172225
2.6876,1.12697,8.66667e-06
