x,y,z
2.61731,1.14801,0.350464
2.61731,1.20019,0.194481
2.61731,1.22627,0.035066
2.61731,1.27845,0.0001
2.61731,1.30453,9e-06
2.61731,1.35671,9e-06
2.61731,1.3828,9e-06
2.61731,1.43497,9e-06
2.61731,1.48714,9e-06
2.61731,1.51323,9e-06
2.61731,1.53932,9e-06
2.61731,1.59149,9e-06
2.61731,1.61758,9e-06
2.61731,1.66975,0.001764
2.61731,1.69584,0.075625
2.61731,1.72193,0.141376
2.61731,1.7741,0.370881
2.61731,1.82627,0.337561
2.61731,1.85236,1.2905
2.61731,1.90453,2.1083
2.61731,1.93062,1.1664
2.61731,1.9828,0.857476
2.61731,2.00888,0.305809
2.61731,2.06106,1e-06
2.61731,2.11323,1e-06
2.61731,2.13932,0.004225
2.61731,2.1654,0.097969
2.61731,2.21758,0.311364
2.61731,2.24366,0.257049
2.61731,2.29584,0.617796
2.61731,2.34801,1.23654
2.6434,1.12193,0.646416
2.6434,1.14801,0.415717
2.6434,1.20019,0.154258
2.6434,1.25236,4e-06
2.6434,1.27845,9e-06
2.6434,1.30453,9e-06
2.6434,1.35671,9e-06
2.6434,1.40888,9e-06
2.6434,1.43497,0.000256
2.6434,1.48714,0.003481
2.6434,1.51323,4e-06
2.6434,1.53932,1e-06
2.6434,1.59149,1e-06
2.6434,1.61758,1e-06
2.6434,1.66975,1e-06
2.6434,1.69584,4e-06
2.6434,1.74801,0.001521
2.6434,1.7741,0.012996
2.6434,1.82627,0.156025
2.6434,1.85236,0.379456
2.6434,1.90453,0.6084
2.6434,1.93062,0.543169
2.6434,1.95671,0.244036
2.6434,2.00888,0.0144
2.6434,2.06106,6.4e-05
2.6434,2.08714,0.000196
2.6434,2.13932,0.043681
2.6434,2.1654,0.086436
2.6434,2.21758,0.201601
2.6434,2.26975,0.2601
2.6434,2.29584,0.484416
2.6434,2.32193,0.956484
2.6434,2.3741,2.0996
2.6434,2.42627,1.88788
2.66949,1.12193,0.502681
2.66949,1.14801,0.3844
2.66949,1.1741,0.275358
2.66949,1.22627,0.00136467
2.66949,1.25236,1.3e-05
2.66949,1.27845,3.6e-05
2.66949,1.30453,1.3e-05
2.66949,1.33062,2.06667e-05
2.66949,1.35671,3.6e-05
2.66949,1.3828,1.3e-05
2.66949,1.40888,1.85e-05
2.66949,1.43497,2.25e-05
2.66949,1.46106,0.0003005
2.66949,1.48714,4.25e-05
2.66949,1.51323,9e-06
2.66949,1.53932,2.25e-05
2.66949,1.5654,1.8e-05
2.66949,1.59149,9e-06
2.66949,1.61758,2.25e-05
2.66949,1.64366,9e-06
2.66949,1.66975,5.53333e-05
2.66949,1.69584,0.000625
2.66949,1.72193,0.0066935
2.66949,1.74801,0.001936
2.66949,1.7741,0.096506
2.66949,1.82627,0.255036
2.66949,1.85236,0.772693
2.66949,1.87845,0.984064
2.66949,1.90453,0.902245
2.66949,1.93062,0.28634
2.66949,1.95671,1.3924
2.66949,1.9828,0.0750125
2.66949,2.00888,0.163984
2.66949,2.03497,0.024421
2.66949,2.06106,1e-06
2.66949,2.08714,0.0033625
2.66949,2.11323,0.0022865
2.66949,2.13932,0.027225
2.66949,2.1654,0.037764
2.66949,2.19149,0.100228
2.66949,2.21758,0.128524
2.66949,2.24366,0.0961045
2.66949,2.26975,0.320356
2.66949,2.29584,0.17598
2.66949,2.32193,0.671762
2.66949,2.34801,1.50178
2.66949,2.3741,2.04496
2.69558,1.12193,0.894916
2.69558,1.14801,1.13381
2.69558,1.1741,0.273169
2.69558,1.20019,0.075076
2.69558,1.22627,0.0005825
2.69558,1.25236,1e-06
2.69558,1.27845,5e-06
2.69558,1.30453,5e-06
2.69558,1.33062,1e-06
2.69558,1.35671,5e-06
2.69558,1.3828,1e-06
2.69558,1.40888,3.66667e-06
2.69558,1.43497,9e-06
2.69558,1.46106,0.000117
2.69558,1.48714,3.4e-05
2.69558,1.51323,6.33333e-06
2.69558,1.5654,6.33333e-06
2.69558,1.59149,9e-06
2.69558,1.61758,5e-06
2.69558,1.64366,6.33333e-06
2.69558,1.69584,1.96667e-05
2.69558,1.72193,0.0203785
2.69558,1.74801,0.042025
2.69558,1.7741,0.095481
2.69558,1.80019,0.189774
2.69558,1.82627,0.243338
2.69558,1.85236,0.205033
2.69558,1.87845,0.212501
2.69558,1.90453,0.0754597
2.69558,1.93062,0.029241
2.69558,1.95671,0.0036
2.69558,1.9828,1.85e-05
2.69558,2.00888,1.6e-05
2.69558,2.03497,1.76667e-05
2.69558,2.06106,3.6e-05
2.69558,2.08714,1.6e-05
2.69558,2.11323,2.6e-05
2.69558,2.13932,0.000484
2.69558,2.1654,0.0004285
2.69558,2.21758,8.5e-06
2.69558,2.24366,1.25e-05
2.69558,2.29584,0.000578
2.69558,2.32193,0.252834
2.69558,2.3741,0.677312
2.72166,1.12193,1.61926
2.72166,1.1741,0.260325
2.72166,1.22627,0.002132
2.72166,1.25236,1e-06
2.72166,1.27845,1e-06
2.72166,1.30453,1e-06
2.72166,1.33062,1e-06
2.72166,1.35671,1e-06
2.72166,1.40888,1e-06
2.72166,1.43497,1e-06
2.72166,1.46106,1e-06
2.72166,1.48714,1e-06
2.72166,1.51323,1e-06
2.72166,1.5654,1e-06
2.72166,1.61758,1e-06
2.72166,1.64366,1e-06
2.72166,1.69584,0.00545
2.72166,1.72193,0.0610685
2.72166,1.74801,0.150544
2.72166,1.7741,0.173056
2.72166,1.80019,0.224676
2.72166,1.82627,0.184041
2.72166,1.85236,0.153664
2.72166,1.87845,0.0529
2.72166,1.90453,0.0015165
2.72166,1.95671,4.66667e-06
2.72166,2.00888,6.5e-06
2.72166,2.03497,6.5e-06
2.72166,2.06106,1e-06
2.72166,2.08714,6.5e-06
2.72166,2.11323,4.66667e-06
2.72166,2.13932,5e-06
2.72166,2.1654,4e-06
2.72166,2.19149,5e-06
2.72166,2.21758,2.5e-06
2.72166,2.24366,6.5e-06
2.72166,2.26975,5e-06
2.72166,2.29584,4.66667e-06
2.72166,2.32193,2.5e-05
2.72166,2.34801,0.0076925
2.72166,2.3741,0.283024
2.74775,1.12193,1.89338
2.74775,1.14801,1.00064
2.74775,1.20019,0.245025
2.74775,1.22627,0.0031925
2.74775,1.25236,6.5e-06
2.74775,1.27845,4e-06
2.74775,1.30453,4e-06
2.74775,1.33062,4e-06
2.74775,1.3828,4e-06
2.74775,1.43497,4e-06
2.74775,1.46106,4e-06
2.74775,1.48714,4e-06
2.74775,1.51323,4e-06
2.74775,1.53932,4e-06
2.74775,1.5654,4e-06
2.74775,1.61758,4e-06
2.74775,1.64366,2.5e-05
2.74775,1.66975,0.015876
2.74775,1.69584,0.156884
2.74775,1.72193,0.244275
2.74775,1.7741,0.264392
2.74775,1.80019,0.306916
2.74775,1.82627,0.259081
2.74775,1.85236,0.242586
2.74775,1.87845,0.390625
2.74775,1.90453,0.115947
2.74775,1.93062,0.01
2.74775,1.95671,0.0001
2.74775,1.9828,0.0001885
