x,y,z
2.68187,1.1372,-1.26135
2.68187,1.16329,-8.7014
2.68187,1.18938,-12.4282
2.68187,1.21547,-35.6364
2.68187,1.24155,-61.4237
2.68187,1.26764,-51.5726
2.68187,1.29373,-60.8803
2.68187,1.31981,-50.7029
2.68187,1.3459,-52.2609
2.68187,1.37199,-58.4945
2.68187,1.39807,-51.1628
2.68187,1.42416,-48.6505
2.68187,1.45025,-37.6977
2.68187,1.47634,-42.7106
2.68187,1.52851,-50.7873
2.68187,1.5546,-50.945
2.68187,1.60677,-50.554
2.68187,1.63286,-50.1301
2.68187,1.68503,-59.7461
2.68187,1.71112,-51.0797
2.68187,1.7372,-21.2906
2.68187,1.76329,-16.0274
2.68187,1.78938,-9.66387
2.68187,1.81547,-9.54834
2.68187,1.86764,-6.89344
2.68187,1.91981,-7.24978
2.68187,1.9459,-21.2765
2.68187,1.97199,-1.78809
2.68187,1.99807,-12.7367
2.68187,2.02416,-47.206
2.68187,2.05025,-15.7436
2.68187,2.07634,-46.7643
2.68187,2.10242,-26.8146
2.68187,2.12851,-22.5201
2.68187,2.1546,-49.9477
2.68187,2.18068,-15.3555
2.68187,2.20677,-62.232
2.68187,2.23286,-11.3636
2.68187,2.25894,-10.5861
2.68187,2.28503,-12.1547
2.68187,2.31112,-5.11186
2.68187,2.3372,-4.95773
2.68187,2.36329,-3.74811
2.70795,1.1372,0.67259
2.70795,1.16329,-5.41437
2.70795,1.21547,-30.6595
2.70795,1.24155,-61.3131
2.70795,1.29373,-61.0237
2.70795,1.3459,-59.4547
2.70795,1.37199,-58.6469
2.70795,1.39807,-58.2387
2.70795,1.42416,-58.1574
2.70795,1.45025,-49.4803
2.70795,1.47634,-59.7164
2.70795,1.50242,-60.154
2.70795,1.52851,-60.5779
2.70795,1.5546,-60.4285
2.70795,1.58068,-60.1788
2.70795,1.60677,-59.6493
2.70795,1.63286,-59.1949
2.70795,1.68503,-23.679
2.70795,1.7372,-15.2263
2.70795,1.76329,-10.6472
2.70795,1.78938,-11.5912
2.70795,1.81547,-10.8234
2.70795,1.84155,-11.2536
2.70795,1.89373,-12.3629
2.70795,1.91981,-24.9092
2.70795,1.97199,-62.9111
2.70795,1.99807,-62.6707
2.70795,2.02416,-54.0272
2.70795,2.07634,-52.7539
2.70795,2.10242,-62.0474
2.70795,2.1546,-62.2153
2.70795,2.18068,-62.2307
2.70795,2.20677,-50.2896
2.70795,2.23286,-62.482
2.70795,2.25894,-53.2696
2.70795,2.28503,-33.2499
2.70795,2.31112,-63.0379
2.70795,2.3372,-21.578
2.70795,2.36329,-7.8493
2.70795,2.38938,-9.39322
2.73404,1.1372,0.929571
2.73404,1.16329,-7.54732
2.73404,1.18938,-6.91379
2.73404,1.21547,-28.0643
2.73404,1.26764,-61.2037
2.73404,1.29373,-61.0215
2.73404,1.31981,-60.4553
2.73404,1.3459,-59.6897
2.73404,1.37199,-59.2269
2.73404,1.39807,-58.5195
2.73404,1.45025,-59.1788
2.73404,1.47634,-60.0276
2.73404,1.52851,-60.7055
2.73404,1.5546,-60.4567
2.73404,1.60677,-59.8742
2.73404,1.63286,-59.2508
2.73404,1.68503,-23.3358
2.73404,1.7372,-12.1487
2.73404,1.76329,-9.92357
2.73404,1.78938,-9.16592
2.73404,1.84155,-11.7624
2.73404,1.86764,-12.0075
2.73404,1.89373,-13.1148
2.73404,1.91981,-31.6282
2.73404,1.9459,-57.1821
2.73404,1.97199,-53.2585
2.73404,1.99807,-54.4176
2.73404,2.02416,-52.6723
2.73404,2.07634,-53.7095
2.73404,2.12851,-53.7253
2.73404,2.1546,-53.9781
2.73404,2.18068,-52.5695
2.73404,2.20677,-56.4546
2.73404,2.23286,-54.4414
2.73404,2.25894,-54.6981
2.73404,2.28503,-57.0214
2.73404,2.31112,-53.624
2.73404,2.3372,-49.4041
2.73404,2.36329,-39.5245
2.76013,1.1372,1.25752
2.76013,1.16329,-1.71937
2.76013,1.18938,-7.74796
2.76013,1.21547,-26.3806
2.76013,1.24155,-55.4837
2.76013,1.26764,-53.2522
2.76013,1.29373,-54.9718
2.76013,1.3459,-53.573
2.76013,1.37199,-53.3161
2.76013,1.42416,-52.7299
2.76013,1.45025,-53.2118
2.76013,1.50242,-54.1684
2.76013,1.52851,-43.5234
2.76013,1.5546,-53.8659
2.76013,1.58068,-53.5514
2.76013,1.60677,-53.2323
2.76013,1.63286,-44.9291
2.76013,1.65894,-16.6629
2.76013,1.68503,-6.72364
2.76013,1.7372,-6.24939
2.76013,1.76329,-7.00556
2.76013,1.78938,-2.5028
2.76013,1.81547,-8.57454
2.76013,1.84155,-5.55776
2.76013,1.86764,-7.74221
2.76013,1.91981,-12.8322
2.76013,1.9459,-23.0798
2.76013,1.97199,-42.7027
2.76013,1.99807,-39.5302
2.76013,2.02416,-52.1536
2.76013,2.07634,-51.5357
2.76013,2.10242,-61.6237
2.76013,2.12851,-53.2855
2.76013,2.1546,-52.0195
2.76013,2.18068,-50.3639
2.76013,2.20677,-56.553
2.76013,2.23286,-52.7305
2.76013,2.25894,-50.6975
2.76013,2.28503,-56.9499
2.76013,2.31112,-51.0899
2.76013,2.3372,-57.301
2.76013,2.36329,-53.4888
2.76013,2.38938,-38.9625
2.78621,1.1372,0.05123
2.78621,1.16329,-3.62226
2.78621,1.18938,-8.32922
2.78621,1.24155,-57.9439
2.78621,1.29373,-57.4898
2.78621,1.31981,-57.045
2.78621,1.37199,-55.747
2.78621,1.39807,-52.5739
2.78621,1.45025,-18.8838
2.78621,1.47634,-39.2493
2.78621,1.50242,-13.5649
2.78621,1.52851,-17.9271
2.78621,1.5546,-31.3682
2.78621,1.58068,-17.5934
2.78621,1.60677,-8.63991
2.78621,1.63286,-12.7941
2.78621,1.65894,-3.22515
2.78621,1.68503,-3.57133
2.78621,1.71112,-0.575036
2.78621,1.7372,-0.0385614
2.78621,1.76329,-3.09387
2.78621,1.78938,-0.612439
2.78621,1.81547,-2.90969
2.78621,1.86764,-3.12832
2.78621,1.91981,-4.29836
2.78621,1.9459,-8.01868
2.78621,1.99807,-12.1301
2.78621,2.02416,-20.4309
2.78621,2.05025,-62.0771
2.78621,2.10242,-61.7711
2.78621,2.1546,-62.0722
2.78621,2.18068,-62.359
2.78621,2.20677,-62.7409
2.78621,2.25894,-39.7149
2.78621,2.28503,-51.2235
2.78621,2.31112,-57.2027
2.78621,2.3372,-53.3763
2.78621,2.38938,-51.5496
2.8123,1.1372,-5.72716
2.8123,1.16329,-8.05887
2.8123,1.18938,-12.2407
2.8123,1.21547,-40.5042
2.8123,1.24155,-58.2464
2.8123,1.26764,-50.4162
2.8123,1.29373,-50.7041
2.8123,1.31981,-57.499
2.8123,1.3459,-46.9315
2.8123,1.37199,-23.5211
2.8123,1.39807,-10.0534
2.8123,1.42416,-15.0241
2.8123,1.45025,-7.29156
2.8123,1.47634,-5.63245
2.8123,1.50242,-5.7273
2.8123,1.52851,-3.35218
2.8123,1.58068,-2.42277
2.8123,1.60677,-0.104563
2.8123,1.63286,-0.702606
2.8123,1.65894,-1.08365
2.8123,1.68503,2.0423
2.8123,1.71112,0.338235
2.8123,1.7372,2.03334
2.8123,1.76329,1.70938
2.8123,1.78938,0.932068
2.8123,1.81547,-0.92613
2.8123,1.84155,0.747651
2.8123,1.86764,1.52243
2.8123,1.89373,0.151592
2.8123,1.91981,0.0957833
2.8123,1.97199,-1.87309
2.8123,1.99807,-4.57529
2.8123,2.02416,-5.86643
2.8123,2.05025,-12.8965
2.8123,2.07634,-16.7861
2.8123,2.10242,-26.9696
2.8123,2.12851,-55.3092
2.8123,2.1546,-52.5084
2.8123,2.18068,-41.825
2.8123,2.20677,-21.9858
2.8123,2.23286,-13.0411
2.8123,2.25894,-11.8459
2.8123,2.28503,-10.2492
2.8123,2.31112,-11.0442
2.8123,2.3372,-51.1673
2.8123,2.36329,-52.1134
2.83839,1.1372,-14.3618
2.83839,1.16329,-22.6908
2.83839,1.18938,-42.3805
2.83839,1.21547,-49.2119
2.83839,1.24155,-49.1751
2.83839,1.29373,-49.0564
2.83839,1.3459,-27.915
2.83839,1.37199,-7.27153
2.83839,1.39807,-5.04745
2.83839,1.42416,-3.68421
2.83839,1.45025,-1.4432
2.83839,1.50242,0.954615
2.83839,1.52851,2.03092
2.83839,1.5546,1.62408
2.83839,1.58068,2.43737
2.83839,1.60677,2.8029
2.83839,1.63286,2.71043
2.83839,1.68503,3.25304
2.83839,1.71112,3.08499
2.83839,1.7372,2.8747
2.83839,1.76329,2.3504
2.83839,1.78938,2.38596
2.83839,1.84155,1.53239
2.83839,1.86764,1.53231
2.83839,1.89373,1.64055
2.83839,1.91981,0.668527
2.83839,1.9459,-0.910327
2.83839,1.97199,-2.01883
2.83839,1.99807,-3.86491
2.83839,2.02416,-4.42794
2.83839,2.05025,-6.72154
2.83839,2.07634,-8.34155
2.83839,2.10242,-10.7224
2.83839,2.1546,-28.5552
2.83839,2.18068,-17.4747
2.83839,2.23286,-8.31846
2.83839,2.25894,-7.64385
2.83839,2.31112,-6.22773
2.83839,2.3372,-7.60025
2.83839,2.36329,-16.1995
2.83839,2.38938,-19.1256
2.86447,1.1372,-48.4801
2.86447,1.16329,-62.2076
2.86447,1.18938,-56.1642
2.86447,1.21547,-58.2464
2.86447,1.26764,-58.2339
2.86447,1.29373,-62.3381
2.86447,1.31981,-56.2835
2.86447,1.3459,-23.654
2.86447,1.37199,-6.69698
2.86447,1.39807,-5.92012
2.86447,1.42416,-4.10415
2.86447,1.45025,-1.6601
2.86447,1.50242,1.0899
2.86447,1.52851,2.50828
2.86447,1.5546,3.46214
2.86447,1.60677,3.59201
2.86447,1.63286,3.72401
2.86447,1.68503,3.49791
2.86447,1.71112,3.30955
2.86447,1.7372,3.01819
2.86447,1.76329,2.91848
2.86447,1.78938,2.75325
2.86447,1.81547,2.31369
2.86447,1.84155,1.82787
2.86447,1.86764,1.55746
2.86447,1.91981,1.55597
2.86447,1.9459,1.01108
2.86447,1.99807,-1.34617
2.86447,2.02416,-4.96667
2.86447,2.07634,-9.52027
2.86447,2.10242,-19.0067
2.86447,2.12851,-25.1932
2.86447,2.1546,-36.3059
2.86447,2.18068,-21.4083
2.86447,2.20677,-14.3394
2.86447,2.23286,-7.56427
2.86447,2.25894,-5.49164
2.86447,2.28503,-3.978
2.86447,2.31112,-3.78442
2.86447,2.3372,-5.15527
2.86447,2.38938,-11.4355
2.89056,1.16329,-52.45
2.89056,1.18938,-52.5456
2.89056,1.24155,-52.6085
2.89056,1.26764,-52.7132
2.89056,1.31981,-50.4883
2.89056,1.3459,-16.4047
2.89056,1.37199,-6.9918
2.89056,1.42416,-4.40789
2.89056,1.45025,-1.36923
2.89056,1.47634,-0.757343
2.89056,1.50242,0.94546
2.89056,1.52851,0.897955
2.89056,1.5546,2.60175
2.89056,1.58068,2.72448
2.89056,1.60677,2.65931
2.89056,1.65894,1.88338
2.89056,1.71112,1.03351
2.89056,1.7372,0.549412
2.89056,1.78938,0.593506
2.89056,1.81547,0.247403
2.89056,1.84155,0.0493709
2.89056,1.86764,-1.46355
2.89056,1.89373,-1.57545
2.89056,1.91981,-4.81118
2.89056,1.9459,-8.58978
2.89056,1.97199,-6.09525
2.89056,1.99807,-8.81257
2.89056,2.02416,-9.26872
2.89056,2.05025,-9.23377
2.89056,2.07634,-14.7626
2.89056,2.12851,-56.3216
2.89056,2.18068,-48.7532
2.89056,2.20677,-16.0705
2.89056,2.23286,-8.47688
2.89056,2.28503,-3.06278
2.89056,2.3372,-2.80537
2.89056,2.36329,-7.43752
2.91665,1.1372,-53.7345
2.91665,1.16329,-54.3999
2.91665,1.18938,-53.6901
2.91665,1.21547,-55.9241
2.91665,1.24155,-53.8162
2.91665,1.26764,-56.2558
2.91665,1.29373,-54.3963
2.91665,1.31981,-26.5148
2.91665,1.3459,-9.63477
2.91665,1.37199,-7.4579
2.91665,1.39807,-6.34204
2.91665,1.42416,-5.15905
2.91665,1.45025,-6.26779
2.91665,1.47634,-6.19901
2.91665,1.50242,-5.37159
2.91665,1.52851,-3.32853
2.91665,1.5546,-1.42639
2.91665,1.60677,-0.804199
2.91665,1.63286,-1.25393
2.91665,1.65894,-4.66002
2.91665,1.68503,-0.309607
2.91665,1.71112,-1.98363
2.91665,1.76329,-2.65219
2.91665,1.78938,-3.88083
2.91665,1.84155,-6.14549
2.91665,1.86764,-7.74416
2.91665,1.91981,-8.91106
2.91665,1.97199,-9.16296
2.91665,1.99807,-13.2935
2.91665,2.02416,-21.7146
2.91665,2.07634,-25.986
2.91665,2.10242,-63.6621
2.91665,2.1546,-56.1574
2.91665,2.18068,-62.9621
2.91665,2.20677,-20.1774
2.91665,2.23286,-18.1015
2.91665,2.25894,-7.66551
2.91665,2.31112,-4.02199
2.91665,2.3372,-4.06793
2.91665,2.38938,-10.18
2.94274,1.1372,-52.3645
2.94274,1.16329,-53.1988
2.94274,1.18938,-52.2889
2.94274,1.21547,-53.6174
2.94274,1.26764,-52.6214
2.94274,1.29373,-40.312
2.94274,1.3459,-14.3392
2.94274,1.37199,-8.45441
2.94274,1.42416,-8.8159
2.94274,1.47634,-10.222
2.94274,1.50242,-10.6108
2.94274,1.5546,-7.31297
2.94274,1.58068,-6.10132
2.94274,1.60677,-7.786
2.94274,1.65894,-8.43557
2.94274,1.68503,-11.5646
2.94274,1.71112,-7.02616
2.94274,1.7372,-11.8076
2.94274,1.76329,-6.82949
2.94274,1.78938,-10.0448
2.94274,1.81547,-13.4106
2.94274,1.84155,-15.7896
2.94274,1.89373,-22.879
2.94274,1.91981,-49.235
2.94274,1.9459,-28.632
2.94274,1.97199,-40.9946
2.94274,1.99807,-49.3877
2.94274,2.02416,-49.3912
2.94274,2.05025,-49.5519
2.94274,2.10242,-49.7535
2.94274,2.12851,-49.6539
2.94274,2.1546,-49.2825
2.94274,2.18068,-48.8898
2.94274,2.20677,-48.656
2.94274,2.23286,-26.5464
2.94274,2.25894,-12.5058
2.94274,2.28503,-6.57593
2.94274,2.31112,-7.29464
2.94274,2.3372,-6.40522
2.94274,2.36329,-7.15917
2.96882,1.1372,-56.0306
2.96882,1.16329,-49.8916
2.96882,1.18938,-52.449
2.96882,1.21547,-49.7568
2.96882,1.24155,-53.8649
2.96882,1.26764,-56.2823
2.96882,1.29373,-51.6639
2.96882,1.31981,-21.6235
2.96882,1.37199,-13.1679
2.96882,1.39807,-13.6097
2.96882,1.42416,-15.4444
2.96882,1.45025,-19.3691
2.96882,1.47634,-35.6301
2.96882,1.52851,-52.451
2.96882,1.5546,-49.3788
2.96882,1.58068,-40.8183
2.96882,1.60677,-31.2945
2.96882,1.63286,-37.6226
2.96882,1.65894,-52.9602
2.96882,1.68503,-54.3187
2.96882,1.71112,-53.8724
2.96882,1.76329,-52.7033
2.96882,1.78938,-24.3822
2.96882,1.84155,-42.5533
2.96882,1.86764,-53.9933
2.96882,1.91981,-54.2616
2.96882,1.97199,-54.2647
2.96882,1.99807,-54.1885
2.96882,2.02416,-63.508
2.96882,2.05025,-51.5208
2.96882,2.07634,-63.4776
2.96882,2.10242,-51.4921
2.96882,2.12851,-55.6748
2.96882,2.18068,-50.7874
2.96882,2.23286,-50.2193
2.96882,2.25894,-21.9783
2.96882,2.31112,-12.2311
2.96882,2.3372,-9.24788
2.96882,2.36329,-13.9139
2.96882,2.38938,-21.8463
2.99491,1.1372,-56.1202
2.99491,1.18938,-56.0728
2.99491,1.21547,-55.9343
2.99491,1.24155,-52.0954
2.99491,1.26764,-56.2679
2.99491,1.29373,-56.499
2.99491,1.31981,-56.6059
2.99491,1.3459,-24.5951
2.99491,1.37199,-19.7512
2.99491,1.39807,-19.341
2.99491,1.42416,-35.9346
2.99491,1.45025,-49.6386
2.99491,1.50242,-56.6811
2.99491,1.52851,-62.3668
2.99491,1.5546,-62.7174
2.99491,1.58068,-62.6636
2.99491,1.60677,-62.6392
2.99491,1.65894,-62.698
2.99491,1.71112,-62.7483
2.99491,1.7372,-29.0568
2.99491,1.78938,-13.6269
2.99491,1.81547,-8.95042
2.99491,1.84155,-6.47067
2.99491,1.86764,-11.2367
2.99491,1.89373,-3.49742
2.99491,1.91981,-11.6262
2.99491,1.9459,-5.33388
2.99491,1.97199,-7.59517
2.99491,1.99807,-17.0935
2.99491,2.02416,-11.4214
2.99491,2.07634,-44.4165
2.99491,2.12851,-54.8849
2.99491,2.1546,-56.8248
2.99491,2.18068,-54.7004
2.99491,2.20677,-53.0489
2.99491,2.23286,-54.1968
2.99491,2.25894,-26.1427
2.99491,2.28503,-52.3657
2.99491,2.31112,-18.9468
2.99491,2.3372,-32.1742
2.99491,2.36329,-22.7066
3.021,1.1372,-56.5031
3.021,1.16329,-55.225
3.021,1.18938,-62.1877
3.021,1.21547,-56.4232
3.021,1.24155,-52.6613
3.021,1.26764,-56.5636
3.021,1.29373,-56.2022
3.021,1.31981,-46.7358
3.021,1.3459,-26.6636
3.021,1.37199,-21.1977
3.021,1.39807,-25.1257
3.021,1.42416,-26.7292
3.021,1.45025,-22.1636
