x,y,z
2.69504,1.13176,2.5e-06
2.69504,1.14806,2.5e-06
2.69504,1.16437,2.5e-05
2.69504,1.18067,1.225e-05
2.69504,1.19697,4e-06
2.69504,1.21328,4e-06
2.69504,1.22958,1e-06
2.69504,1.24589,1.7e-05
2.69504,1.26219,1e-06
2.69504,1.2785,0.00022525
2.69504,1.2948,0.00022525
2.69504,1.31111,0.005041
2.69504,1.32741,0.0058825
2.69504,1.34371,0.007744
2.69504,1.36002,0.000841
2.69504,1.37632,4e-06
2.69504,1.39263,0.0001625
2.69504,1.40893,1e-06
2.69504,1.42524,7.85e-05
2.69504,1.44154,0.001681
2.69504,1.45784,0.01
2.69504,1.47415,0.0151077
2.69504,1.49045,0.0151077
2.69504,1.50676,0.043264
2.69504,1.52306,0.04225
2.69504,1.53937,0.0781625
2.69504,1.55567,0.145924
2.69504,1.57197,0.145924
2.69504,1.58828,0.178134
2.69504,1.60458,0.250081
2.69504,1.62089,0.309136
2.69504,1.63719,0.199809
2.69504,1.6535,0.199809
2.69504,1.6698,0.763892
2.69504,1.68611,0.510425
2.69504,1.70241,0.510425
2.69504,1.71871,0.278864
2.69504,1.73502,0.148174
2.69504,1.75132,0.080656
2.69504,1.76763,0.143209
2.69504,1.78393,0.061504
2.69504,1.80024,0.044164
2.69504,1.81654,0.06338
2.69504,1.83284,0.06338
2.69504,1.84915,0.178682
2.69504,1.86545,0.0255847
2.69504,1.88176,0.021521
2.69504,1.89806,0.0825425
2.69504,1.91437,0.00230433
2.69504,1.93067,0.0209915
2.69504,1.94697,0.043226
2.69504,1.96328,1e-06
2.69504,1.97958,2.5e-06
2.69504,1.99589,8.5e-06
2.69504,2.01219,1.45e-05
2.69504,2.0285,8.5e-06
2.69504,2.0448,8.5e-06
2.69504,2.06111,1e-06
2.69504,2.07741,9e-06
2.69504,2.09371,0.001764
2.69504,2.11002,6e-06
2.69504,2.12632,1e-06
2.69504,2.14263,0.008009
2.69504,2.15893,0.0036
2.69504,2.17524,0.0598347
2.69504,2.19154,0.0565025
2.69504,2.20784,0.015876
2.69504,2.22415,0.061178
2.69504,2.24045,0.024649
2.69504,2.25676,0.042218
2.69504,2.27306,0.030276
2.69504,2.28937,0.0289
2.69504,2.30567,0.004761
2.69504,2.32197,0.0077225
2.69504,2.33828,0.005929
2.69504,2.35458,0.000152667
2.69504,2.37089,0.000152667
2.71134,1.13176,2.5e-06
2.71134,1.14806,2.5e-06
2.71134,1.16437,2.5e-06
2.71134,1.18067,2.5e-06
2.71134,1.19697,2.5e-06
2.71134,1.21328,9e-06
2.71134,1.22958,1e-06
2.71134,1.24589,1e-06
2.71134,1.26219,0.00108467
2.71134,1.2785,0.00108467
2.71134,1.2948,0.001252
2.71134,1.31111,0.0016
2.71134,1.32741,0.0016
2.71134,1.34371,0.000484
2.71134,1.36002,0.001037
2.71134,1.37632,1e-06
2.71134,1.39263,1e-06
2.71134,1.40893,1e-06
2.71134,1.42524,2.5e-05
2.71134,1.44154,0.006889
2.71134,1.45784,0.006889
2.71134,1.47415,0.0004
2.71134,1.49045,0.195611
2.71134,1.50676,0.0365
2.71134,1.52306,0.108241
2.71134,1.53937,0.2916
2.71134,1.55567,0.051529
2.71134,1.57197,0.358801
2.71134,1.58828,0.103684
2.71134,1.60458,0.136161
2.71134,1.62089,0.404172
2.71134,1.63719,0.245033
2.71134,1.6535,0.364816
2.71134,1.6698,0.795664
2.71134,1.68611,0.099346
2.71134,1.70241,0.099346
2.71134,1.71871,0.278864
2.71134,1.73502,0.168793
2.71134,1.75132,0.086436
2.71134,1.76763,0.226189
2.71134,1.78393,0.226189
2.71134,1.80024,0.22669
2.71134,1.81654,0.103684
2.71134,1.83284,0.161604
2.71134,1.84915,0.119025
2.71134,1.86545,0.119025
2.71134,1.88176,0.098596
2.71134,1.89806,0.027725
2.71134,1.91437,0.027725
2.71134,1.93067,0.0209915
2.71134,1.94697,0.043226
2.71134,1.96328,1e-06
2.71134,1.97958,2.5e-06
2.71134,1.99589,2.5e-06
2.71134,2.01219,1.45e-05
2.71134,2.0285,8.5e-06
2.71134,2.0448,7e-06
2.71134,2.06111,1e-06
2.71134,2.07741,1e-06
2.71134,2.09371,1e-06
2.71134,2.11002,6e-06
2.71134,2.12632,1e-06
2.71134,2.14263,0.000676
2.71134,2.15893,0.000676
2.71134,2.17524,0.026605
2.71134,2.19154,0.026605
2.71134,2.20784,0.015876
2.71134,2.22415,0.0529
2.71134,2.24045,0.0529
2.71134,2.25676,0.042218
2.71134,2.27306,0.0705125
2.71134,2.28937,0.075076
2.71134,2.30567,0.075076
2.71134,2.32197,0.0077225
2.71134,2.33828,0.005929
2.71134,2.35458,0.000152667
2.71134,2.37089,3.6e-05
2.72765,1.13176,1.6e-05
2.72765,1.14806,1.6e-05
2.72765,1.16437,1e-05
2.72765,1.18067,1e-05
2.72765,1.19697,4e-06
2.72765,1.21328,9e-06
2.72765,1.22958,1e-06
2.72765,1.24589,0.000144
2.72765,1.26219,0.000144
2.72765,1.2785,1.6e-05
2.72765,1.2948,0.001252
2.72765,1.31111,0.001252
2.72765,1.32741,3.6e-05
2.72765,1.34371,0.0009
2.72765,1.36002,4e-06
