x,y,z
2.68187,1.1372,0.0663684
2.68187,1.16329,0.529775
2.68187,1.18938,-0.113972
2.68187,1.21547,-3.87405
2.68187,1.24155,-3.04281
2.68187,1.26764,-2.47948
2.68187,1.29373,-10.9972
2.68187,1.31981,-2.19132
2.68187,1.3459,-10.2819
2.68187,1.37199,0.401524
2.68187,1.39807,1.50948
2.68187,1.42416,-0.451817
2.68187,1.45025,4.52791
2.68187,1.47634,3.29076
2.68187,1.50242,4.828
2.68187,1.52851,2.70991
2.68187,1.5546,2.74066
2.68187,1.58068,2.72673
2.68187,1.60677,0.466853
2.68187,1.63286,0.612544
2.68187,1.65894,0.323662
2.68187,1.68503,-5.01815
2.68187,1.71112,-51.0797
2.68187,1.7372,-27.0968
2.68187,1.76329,-46.6396
2.68187,1.78938,-49.1355
2.68187,1.81547,-63.4794
2.68187,1.84155,-13.3515
2.68187,1.86764,-12.638
2.68187,1.89373,-10.4971
2.68187,1.91981,-8.50513
2.68187,1.9459,-10.7388
2.68187,1.97199,-18.5233
2.68187,1.99807,-56.1244
2.68187,2.02416,-55.7793
2.68187,2.07634,-56.6846
2.68187,2.10242,-34.2292
2.68187,2.12851,-13.2824
2.68187,2.1546,-3.23199
2.68187,2.18068,-0.191868
2.68187,2.20677,1.11601
2.68187,2.23286,2.36703
2.68187,2.25894,1.33272
2.68187,2.28503,0.573908
2.68187,2.31112,-0.0291371
2.68187,2.3372,-3.4593
2.68187,2.36329,-9.01365
2.68187,2.38938,-28.2215
2.70795,1.1372,0.327807
2.70795,1.16329,-2.80717
2.70795,1.18938,-3.37434
2.70795,1.21547,-6.46609
2.70795,1.24155,-23.5833
2.70795,1.26764,-14.3021
2.70795,1.29373,-57.0443
2.70795,1.31981,-54.4793
2.70795,1.3459,-40.3698
2.70795,1.37199,-14.3798
2.70795,1.39807,-6.38345
2.70795,1.45025,-5.27203
2.70795,1.50242,-4.42168
2.70795,1.52851,-4.11797
2.70795,1.58068,-7.18822
2.70795,1.60677,-7.60814
2.70795,1.63286,-25.0435
2.70795,1.65894,-36.734
2.70795,1.68503,-52.1946
2.70795,1.71112,-60.0343
2.70795,1.7372,-51.4381
2.70795,1.76329,-54.9372
2.70795,1.78938,-56.7926
2.70795,1.81547,-63.4726
2.70795,1.84155,-14.6125
2.70795,1.89373,-9.85132
2.70795,1.91981,-12.7962
2.70795,1.97199,-31.2721
2.70795,1.99807,-45.7688
2.70795,2.02416,-45.5762
2.70795,2.05025,-62.2162
2.70795,2.07634,-45.1461
2.70795,2.10242,-62.0474
2.70795,2.12851,-7.6161
2.70795,2.1546,-3.61674
2.70795,2.18068,-0.859531
2.70795,2.20677,0.7027
2.70795,2.23286,3.21971
2.70795,2.28503,3.88729
2.70795,2.31112,1.72092
2.70795,2.36329,-4.25308
2.73404,1.1372,-5.76796
2.73404,1.16329,-12.8122
2.73404,1.18938,-9.41751
2.73404,1.21547,-16.3927
2.73404,1.24155,-45.0659
2.73404,1.29373,-44.7376
2.73404,1.31981,-12.3929
2.73404,1.3459,-18.034
2.73404,1.37199,-3.77053
2.73404,1.39807,0.788611
2.73404,1.45025,0.675951
2.73404,1.50242,-1.50285
2.73404,1.52851,-1.99532
2.73404,1.58068,-8.79422
2.73404,1.60677,-53.8536
2.73404,1.63286,-53.2302
2.73404,1.65894,-52.9052
2.73404,1.68503,-53.163
2.73404,1.7372,-54.5601
2.73404,1.76329,-55.6796
2.73404,1.78938,-21.1705
2.73404,1.84155,-8.88429
2.73404,1.89373,-9.88921
2.73404,1.91981,-11.2875
2.73404,1.97199,-62.8009
2.73404,1.99807,-54.7653
2.73404,2.02416,-50.1735
2.73404,2.07634,-49.7974
2.73404,2.12851,-10.7284
2.73404,2.1546,-3.28693
2.73404,2.20677,0.0992632
2.73404,2.23286,2.00777
2.73404,2.28503,1.90763
2.73404,2.31112,1.24624
2.73404,2.36329,-1.99565
2.76013,1.16329,-10.288
2.76013,1.18938,-42.5552
2.76013,1.24155,-61.5043
2.76013,1.26764,-47.4019
2.76013,1.29373,-23.8302
2.76013,1.31981,-17.8495
2.76013,1.3459,-0.403234
2.76013,1.37199,1.6477
2.76013,1.39807,2.30049
2.76013,1.42416,4.03444
2.76013,1.45025,-0.798649
2.76013,1.47634,-1.41677
2.76013,1.50242,-6.61863
2.76013,1.52851,-7.2923
2.76013,1.5546,-35.2625
2.76013,1.58068,-53.5514
2.76013,1.60677,-55.2735
2.76013,1.63286,-58.9085
2.76013,1.65894,-52.6497
2.76013,1.68503,-54.7
2.76013,1.71112,-54.5593
2.76013,1.7372,-54.1076
2.76013,1.76329,-57.2486
2.76013,1.78938,-25.0891
2.76013,1.81547,-21.9543
2.76013,1.84155,-10.2586
2.76013,1.86764,-19.2055
2.76013,1.89373,-9.8158
2.76013,1.91981,-20.0775
2.76013,1.9459,-50.408
2.76013,1.97199,-47.1396
2.76013,1.99807,-46.7203
2.76013,2.02416,-55.1639
2.76013,2.05025,-46.3338
2.76013,2.07634,-61.5357
2.76013,2.10242,-31.4933
2.76013,2.12851,-10.5145
2.76013,2.1546,-9.13072
2.76013,2.18068,-5.02046
2.76013,2.20677,-1.61505
2.76013,2.23286,-0.0151091
2.76013,2.25894,1.46944
2.76013,2.31112,1.29986
2.76013,2.3372,0.739055
2.76013,2.36329,-0.0776879
2.76013,2.38938,-3.15601
2.78621,1.1372,-52.4069
2.78621,1.16329,-50.5783
2.78621,1.18938,-49.5897
2.78621,1.21547,-49.5857
2.78621,1.24155,-52.3809
2.78621,1.26764,-25.7976
2.78621,1.29373,-16.5029
2.78621,1.31981,-4.18475
2.78621,1.3459,0.20865
2.78621,1.37199,3.42876
2.78621,1.42416,3.02743
2.78621,1.45025,0.727004
2.78621,1.50242,-7.00708
2.78621,1.5546,-47.6264
2.78621,1.58068,-43.7892
2.78621,1.60677,-45.249
2.78621,1.63286,-47.4017
2.78621,1.65894,-43.6765
2.78621,1.68503,-46.9472
2.78621,1.71112,-45.2688
2.78621,1.7372,-19.7051
2.78621,1.76329,-22.6106
2.78621,1.78938,-18.013
2.78621,1.81547,-19.3581
2.78621,1.84155,-26.1535
2.78621,1.86764,-14.8961
2.78621,1.89373,-22.186
2.78621,1.9459,-53.7847
2.78621,1.97199,-53.4502
2.78621,2.02416,-52.9588
2.78621,2.05025,-52.6985
2.78621,2.10242,-52.3926
2.78621,2.12851,-20.9355
2.78621,2.1546,-21.2444
2.78621,2.18068,-9.48154
2.78621,2.20677,-4.28494
2.78621,2.23286,-1.94689
2.78621,2.25894,-1.9917
2.78621,2.28503,-0.439457
2.78621,2.31112,1.3485
2.78621,2.3372,1.15574
2.78621,2.36329,1.65911
2.78621,2.38938,0.800858
2.8123,1.1372,-52.5406
2.8123,1.16329,-52.7137
2.8123,1.18938,-52.7242
2.8123,1.21547,-52.5454
2.8123,1.24155,-19.119
2.8123,1.26764,-6.30909
2.8123,1.29373,-2.00126
2.8123,1.31981,1.34616
2.8123,1.3459,3.97465
2.8123,1.37199,5.85548
2.8123,1.39807,5.43174
2.8123,1.42416,3.96478
2.8123,1.45025,4.28669
2.8123,1.47634,-0.89943
2.8123,1.50242,-5.82489
2.8123,1.52851,-52.8065
2.8123,1.5546,-47.4396
2.8123,1.60677,-52.4658
2.8123,1.63286,-49.8772
2.8123,1.65894,-59.5393
2.8123,1.68503,-50.3047
2.8123,1.71112,-53.0876
2.8123,1.7372,-60.5282
2.8123,1.76329,-51.7153
2.8123,1.78938,-40.4147
2.8123,1.81547,-29.0569
2.8123,1.84155,-63.0626
2.8123,1.86764,-43.483
2.8123,1.89373,-57.3171
2.8123,1.91981,-59.2414
2.8123,1.9459,-56.9026
2.8123,1.97199,-62.7905
2.8123,1.99807,-58.6215
2.8123,2.02416,-58.4602
2.8123,2.07634,-58.0341
2.8123,2.10242,-61.9333
