x,y,z
2.68296,1.1514,0.0227012
2.68296,1.17748,0.0101713
2.68296,1.20357,0.00133575
2.68296,1.22966,1e-06
2.68296,1.25574,4.66667e-06
2.68296,1.28183,4.66667e-06
2.68296,1.30792,2.5e-05
2.68296,1.334,9.75e-06
2.68296,1.36009,2.3e-05
2.68296,1.38618,0.0011376
2.68296,1.41226,0.00110375
2.68296,1.43835,2.5e-06
2.68296,1.46444,0.00293075
2.68296,1.49053,0.0011662
2.68296,1.51661,0.042165
2.68296,1.5427,0.156994
2.68296,1.56879,0.116186
2.68296,1.59487,0.121215
2.68296,1.62096,0.08164
2.68296,1.64705,0.0219497
2.68296,1.67313,0.0023565
2.68296,1.69922,5.4e-05
2.68296,1.72531,0.00453775
2.68296,1.7514,0.0214113
2.68296,1.77748,0.0836863
2.68296,1.80357,0.060875
2.68296,1.82966,0.0502355
2.68296,1.85574,0.0348982
2.68296,1.88183,0.0149156
2.68296,1.90792,0.0736096
2.68296,1.934,0.188911
2.68296,1.96009,1.16043
2.68296,1.98618,0.003597
2.68296,2.01226,2.15812
2.68296,2.03835,3.78435
2.68296,2.06444,3.07311
2.68296,2.09053,5.00845
2.68296,2.11661,5.04281
2.68296,2.1427,2.61461
2.68296,2.16879,2.7829
2.68296,2.19487,1.45938
2.68296,2.22096,1.0124
2.68296,2.24705,0.678312
2.68296,2.27313,1.77503
2.68296,2.29922,1.40246
2.68296,2.32531,2.16229
2.68296,2.3514,1.44872
2.68296,2.37748,0.459879
2.70905,1.1514,0.150325
2.70905,1.17748,0.0248049
2.70905,1.20357,8.66667e-06
2.70905,1.22966,1.8e-05
2.70905,1.25574,1.32e-05
2.70905,1.28183,1.275e-05
2.70905,1.30792,0.0153472
2.70905,1.334,0.0551133
2.70905,1.36009,0.000576
2.70905,1.38618,0.0985692
2.70905,1.41226,0.148227
2.70905,1.43835,0.316
2.70905,1.46444,0.222224
2.70905,1.49053,0.2835
2.70905,1.51661,0.217834
2.70905,1.5427,0.1999
2.70905,1.56879,0.285785
2.70905,1.59487,0.133413
2.70905,1.62096,0.0377496
2.70905,1.64705,0.0074465
2.70905,1.67313,9.06e-05
2.70905,1.69922,1.75e-06
2.70905,1.72531,4.66667e-06
2.70905,1.7514,7e-06
2.70905,1.77748,0.0126272
2.70905,1.80357,0.077306
2.70905,1.82966,0.115506
2.70905,1.85574,0.0451788
2.70905,1.88183,4e-06
2.70905,1.90792,0.0009446
2.70905,1.934,0.0240747
2.70905,1.96009,0.169272
2.70905,1.98618,6.5e-06
2.70905,2.01226,1.22117
2.70905,2.03835,1.28497
