x,y,z
2.63487,1.12567,9e-06
2.63487,1.17785,9e-06
2.63487,1.20394,9e-06
2.63487,1.23002,0.000144
2.63487,1.25611,0.000144
2.63487,1.2822,0.000144
2.63487,1.30828,0.000144
2.63487,1.36046,0.000144
2.63487,1.38654,0.000144
2.63487,1.41263,0.000144
2.63487,1.43872,1.6e-05
2.63487,1.46481,0.000625
2.63487,1.51698,3.6e-05
2.63487,1.54307,3.6e-05
2.63487,1.56915,3.6e-05
2.63487,1.59524,3.6e-05
2.63487,1.62133,3.6e-05
2.63487,1.64741,3.6e-05
2.63487,1.69959,3.6e-05
2.63487,1.72567,3.6e-05
2.63487,1.75176,3.6e-05
2.63487,1.77785,3.6e-05
2.63487,1.80394,3.6e-05
2.63487,1.85611,3.6e-05
2.63487,1.8822,3.6e-05
2.63487,1.90828,1e-06
2.63487,1.93437,2.5e-05
2.63487,1.96046,0.000121
2.63487,1.98654,6.4e-05
2.63487,2.03872,0.002601
2.63487,2.06481,0.0001
2.63487,2.09089,0.0001
2.63487,2.11698,0.0001
2.63487,2.14307,0.0001
2.63487,2.19524,0.0001
2.63487,2.22133,1e-06
2.63487,2.24741,0.1089
2.63487,2.2735,0.2601
2.63487,2.29959,0.584377
2.66096,1.12567,6.5e-06
2.66096,1.15176,6.5e-06
2.66096,1.17785,7.33333e-06
2.66096,1.20394,9e-06
2.66096,1.23002,9e-06
2.66096,1.25611,0.0002225
2.66096,1.2822,0.007569
2.66096,1.30828,0.044729
2.66096,1.33437,0.155236
2.66096,1.36046,0.223954
2.66096,1.38654,0.231442
2.66096,1.43872,0.189421
2.66096,1.46481,0.209764
2.66096,1.49089,0.106944
2.66096,1.51698,0.036625
2.66096,1.54307,0.009929
2.66096,1.56915,0.001681
2.66096,1.62133,0.0001625
2.66096,1.64741,1.6e-05
2.66096,1.6735,1.6e-05
2.66096,1.69959,4e-06
2.66096,1.72567,4e-06
2.66096,1.77785,4e-06
2.66096,1.80394,1e-05
2.66096,1.83002,4e-06
2.66096,1.85611,1e-05
2.66096,1.8822,4e-06
2.66096,1.90828,8e-05
2.66096,1.93437,0.000144
2.66096,1.96046,0.000653
2.66096,1.98654,0.000196
2.66096,2.01263,0.000144
2.66096,2.03872,0.0001305
2.66096,2.06481,1.85e-05
2.66096,2.09089,3.6e-05
2.66096,2.11698,1e-06
2.66096,2.14307,1.85e-05
2.66096,2.16915,1.85e-05
2.66096,2.19524,1e-06
2.66096,2.22133,0.009265
2.66096,2.24741,0.3481
2.66096,2.2735,0.310249
2.66096,2.29959,0.663437
2.66096,2.32567,0.824464
2.68705,1.0735,1e-06
2.68705,1.09959,1e-06
2.68705,1.12567,5e-06
2.68705,1.15176,1e-06
2.68705,1.17785,9e-06
2.68705,1.20394,3.66667e-06
2.68705,1.23002,0.0346167
2.68705,1.25611,1e-06
2.68705,1.2822,0.21125
2.68705,1.30828,0.734472
2.68705,1.33437,1e-06
2.68705,1.36046,1.43658
2.68705,1.38654,1.20726
2.68705,1.41263,0.048841
2.68705,1.43872,1.20881
2.68705,1.46481,1.27043
2.68705,1.49089,0.001024
2.68705,1.51698,1.23896
2.68705,1.54307,1.04691
2.68705,1.56915,0.992129
2.68705,1.59524,1e-06
2.68705,1.62133,3.6e-05
2.68705,1.64741,6.4e-05
2.68705,1.6735,4e-06
2.68705,1.69959,1e-06
2.68705,1.72567,2.5e-05
2.68705,1.75176,2.65e-05
2.68705,1.77785,4e-06
2.68705,1.80394,4e-06
2.68705,1.83002,0.001089
2.68705,1.85611,0.006561
2.68705,1.8822,0.006724
2.68705,1.98654,1e-06
2.68705,2.03872,1e-06
2.68705,2.06481,1e-06
2.68705,2.09089,1e-06
2.68705,2.11698,1e-06
2.68705,2.14307,1e-06
2.68705,2.16915,0.017689
2.68705,2.19524,0.237169
2.68705,2.22133,0.352836
2.68705,2.24741,0.627264
2.68705,2.2735,0.616225
2.68705,2.29959,0.7509
2.68705,2.32567,0.64
2.71313,1.0735,1e-06
2.71313,1.09959,1e-06
2.71313,1.12567,4.66667e-06
2.71313,1.15176,5e-06
2.71313,1.17785,5.66667e-06
2.71313,1.20394,0.0235087
2.71313,1.23002,0.131465
2.71313,1.25611,0.415987
2.71313,1.2822,1.29642
2.71313,1.30828,1.41622
2.71313,1.33437,2.11374
2.71313,1.36046,2.53123
2.71313,1.38654,1.96392
2.71313,1.41263,1.92403
2.71313,1.43872,2.56561
2.71313,1.46481,3.87589
2.71313,1.49089,1.28693
2.71313,1.51698,1.87423
2.71313,1.54307,1.00301
2.71313,1.56915,0.642979
2.71313,1.59524,0.394273
2.71313,1.62133,0.378807
2.71313,1.64741,0.216601
2.71313,1.6735,0.0792025
2.71313,1.69959,0.139638
2.71313,1.72567,0.154397
2.71313,1.75176,0.0147925
2.71313,1.77785,0.035785
2.71313,1.80394,0.0100684
2.71313,1.83002,3.25e-05
2.71313,1.85611,0.010702
2.71313,1.8822,0.011705
2.71313,1.90828,0.0242742
2.71313,1.93437,3.4e-05
2.71313,1.96046,0.00349067
2.71313,1.98654,0.000169667
2.71313,2.01263,3.4e-05
2.71313,2.03872,0.001633
2.71313,2.06481,4.4e-05
2.71313,2.09089,4.4e-05
2.71313,2.11698,4.4e-05
2.71313,2.14307,4.3e-05
2.71313,2.16915,0.012979
2.71313,2.19524,0.144216
2.71313,2.22133,0.119643
2.71313,2.24741,0.175097
2.71313,2.2735,0.415877
2.71313,2.29959,0.548465
2.71313,2.32567,0.149474
2.71313,2.35176,0.120402
2.71313,2.37785,0.467856
2.73922,1.0735,1e-06
2.73922,1.09959,1e-06
2.73922,1.12567,9e-06
2.73922,1.15176,5e-06
2.73922,1.17785,0.00711667
2.73922,1.20394,0.159401
2.73922,1.23002,0.527972
2.73922,1.25611,1.30276
2.73922,1.2822,2.18522
2.73922,1.30828,3.45369
2.73922,1.33437,3.79086
2.73922,1.36046,3.82555
2.73922,1.38654,4.41816
2.73922,1.41263,3.49104
2.73922,1.43872,4.2831
2.73922,1.46481,4.64719
2.73922,1.49089,2.99679
2.73922,1.51698,1.86769
2.73922,1.54307,1.66019
2.73922,1.56915,1.29568
2.73922,1.59524,1.08236
2.73922,1.62133,0.93937
2.73922,1.64741,0.587
2.73922,1.6735,0.519038
2.73922,1.69959,0.394025
2.73922,1.72567,0.249202
2.73922,1.75176,0.116642
2.73922,1.77785,0.0235057
2.73922,1.80394,0.0194003
2.73922,1.83002,0.0596677
2.73922,1.85611,0.0185087
2.73922,1.8822,0.0204145
2.73922,1.90828,0.00505167
2.73922,1.93437,0.00172867
2.73922,1.96046,4.9e-05
2.73922,1.98654,1.4e-05
2.73922,2.01263,8.5e-06
2.73922,2.03872,1.7e-05
2.73922,2.06481,1.45e-05
2.73922,2.09089,8.5e-06
2.73922,2.11698,1.4e-05
2.73922,2.14307,1.4e-05
2.73922,2.16915,0.00133167
2.73922,2.19524,0.02051
2.73922,2.22133,0.042649
2.73922,2.24741,0.0829708
2.73922,2.2735,0.155125
2.73922,2.29959,0.145209
2.73922,2.32567,1.3e-05
2.73922,2.35176,0.006786
2.73922,2.37785,0.0729
2.76531,1.12567,1.3e-05
2.76531,1.15176,0.001301
2.76531,1.17785,0.100314
2.76531,1.20394,0.273012
2.76531,1.23002,1.19343
2.76531,1.25611,2.35795
2.76531,1.2822,4.02167
2.76531,1.30828,6.24267
2.76531,1.36046,7.28178
2.76531,1.38654,6.86905
2.76531,1.41263,7.22544
2.76531,1.43872,6.17213
2.76531,1.46481,5.29914
2.76531,1.49089,3.9031
2.76531,1.51698,2.87345
2.76531,1.54307,1.96126
2.76531,1.56915,1.66562
2.76531,1.59524,1.67185
2.76531,1.62133,1.29621
2.76531,1.64741,0.92344
2.76531,1.6735,0.405769
2.76531,1.69959,0.350621
2.76531,1.72567,0.211445
2.76531,1.75176,0.0322325
2.76531,1.77785,0.0013645
2.76531,1.80394,1.7e-05
2.76531,1.83002,1.7e-05
2.76531,1.85611,1.7e-05
2.76531,1.8822,1.7e-05
2.76531,1.90828,9e-06
2.76531,1.93437,2.5e-05
2.76531,1.96046,9e-06
2.76531,1.98654,1.96667e-05
2.76531,2.01263,1.7e-05
2.76531,2.03872,1.7e-05
2.76531,2.06481,1.7e-05
2.76531,2.09089,2.5e-05
2.76531,2.11698,1.7e-05
2.76531,2.14307,2.5e-05
2.76531,2.16915,2.5e-05
