x,y,z
3.05124,1.53947,0.00563025
3.05124,1.56556,1.11667e-05
3.05124,1.59165,4.66667e-06
3.05124,1.61773,3.66667e-06
3.05124,1.64382,3e-06
3.05124,1.66991,1e-06
3.05124,1.69599,8.66667e-06
3.05124,1.72208,0.002778
3.05124,1.74817,0.00371075
3.05124,1.77425,0.0007345
3.05124,1.80034,1.45e-05
3.05124,1.82643,1e-06
3.05124,1.85252,2.5e-05
3.07732,1.53947,0.0471865
3.07732,1.56556,0.00124633
3.07732,1.59165,7.11111e-06
3.07732,1.61773,8e-06
3.07732,1.64382,5.83333e-06
3.07732,1.66991,1.16667e-05
3.07732,1.69599,0.000262667
3.07732,1.72208,0.0036005
3.07732,1.74817,0.010923
3.07732,1.77425,0.00441457
3.07732,1.80034,0.001227
3.07732,1.82643,0.000242
3.07732,1.85252,0.000764778
3.07732,1.8786,0.000443286
3.07732,1.90469,2.02e-05
3.07732,1.93078,8.36667e-05
3.10341,1.53947,0.0487353
3.10341,1.56556,0.00397
3.10341,1.59165,3.22857e-05
3.10341,1.61773,8.75e-06
3.10341,1.64382,1.1e-05
3.10341,1.66991,1.5e-05
3.10341,1.69599,0.000222429
3.10341,1.72208,0.0150138
3.10341,1.74817,0.0125842
3.10341,1.77425,0.0147075
3.10341,1.80034,0.0015095
3.10341,1.82643,0.00181133
3.10341,1.85252,0.000351
3.10341,1.8786,0.0008376
3.10341,1.90469,0.0024664
3.10341,1.93078,0.0191974
3.1295,1.53947,0.007421
3.1295,1.56556,0.0007886
3.1295,1.59165,1.51429e-05
3.1295,1.61773,2.46667e-05
3.1295,1.64382,2.26667e-05
3.1295,1.66991,2.1625e-05
3.1295,1.69599,1.86e-05
3.1295,1.72208,0.003045
3.1295,1.74817,0.0140254
3.1295,1.77425,0.013355
3.1295,1.80034,0.0235257
3.1295,1.82643,0.0227527
3.1295,1.85252,0.00474829
3.1295,1.8786,0.0065782
3.1295,1.90469,0.0221093
3.1295,1.93078,0.041812
3.15558,1.53947,0.00259075
3.15558,1.56556,0.000146833
3.15558,1.59165,1.57143e-05
3.15558,1.61773,1.82e-05
3.15558,1.64382,2.16e-05
3.15558,1.66991,2.61667e-05
3.15558,1.69599,2.53333e-05
3.15558,1.72208,0.00167464
3.15558,1.74817,0.00786229
3.15558,1.77425,0.00671557
3.15558,1.80034,0.0154518
3.15558,1.82643,0.0083895
3.15558,1.85252,0.005888
3.15558,1.8786,0.00927617
3.15558,1.90469,0.0246481
3.15558,1.93078,0.0762832
3.18167,1.53947,1.05e-05
3.18167,1.56556,4.4e-06
3.18167,1.59165,1.27778e-05
3.18167,1.61773,1.46667e-05
3.18167,1.64382,1.3875e-05
3.18167,1.66991,1.7e-05
3.18167,1.69599,8.85714e-06
3.18167,1.72208,1.52857e-05
3.18167,1.74817,2.63e-05
3.18167,1.77425,3.72222e-05
3.18167,1.80034,2.55714e-05
3.18167,1.82643,0.000115857
3.18167,1.85252,0.000456571
3.18167,1.8786,0.00180217
3.18167,1.90469,0.0393545
3.18167,1.93078,0.0780895
3.20776,1.53947,2.5e-05
3.20776,1.56556,2.2e-06
3.20776,1.59165,1e-05
3.20776,1.61773,2e-06
3.20776,1.64382,2.2e-06
3.20776,1.66991,3e-06
3.20776,1.69599,2.2e-06
3.20776,1.72208,2.5e-06
3.20776,1.74817,2.2e-06
3.20776,1.77425,4.4375e-05
3.20776,1.80034,1.37143e-05
3.20776,1.82643,2.5e-06
3.20776,1.85252,1.81429e-05
3.20776,1.8786,0.00624833
3.20776,1.90469,0.0475848
3.20776,1.93078,0.197193
3.23384,1.53947,5.2e-06
3.23384,1.56556,7.6e-06
3.23384,1.59165,6.625e-06
3.23384,1.61773,0.000239667
3.23384,1.64382,0.000105333
3.23384,1.66991,9.92222e-05
3.23384,1.69599,2.58333e-05
3.23384,1.72208,2.025e-05
3.23384,1.74817,2.1875e-05
3.23384,1.77425,2e-05
3.23384,1.80034,1.9625e-05
3.23384,1.82643,1.9625e-05
3.23384,1.85252,0.00116317
3.23384,1.8786,0.0581833
3.23384,1.90469,0.159121
3.23384,1.93078,0.366436
3.25993,1.53947,8.66667e-06
3.25993,1.56556,1.07143e-05
3.25993,1.59165,0.000104833
3.25993,1.61773,0.00579314
