x,y,z
3.04708,1.5546,-53.0445
3.04708,1.58068,-53.7867
3.04708,1.60677,-62.531
3.04708,1.63286,-62.3381
3.04708,1.65894,-57.0023
3.04708,1.71112,-30.0535
3.04708,1.7372,-28.9399
3.04708,1.76329,-27.9355
3.04708,1.81547,-59.3339
3.04708,1.84155,-49.3859
3.07317,1.52851,-23.3751
3.07317,1.5546,-17.8604
3.07317,1.58068,-53.5604
3.07317,1.60677,-52.0545
3.07317,1.63286,-55.3036
3.07317,1.65894,-53.4134
3.07317,1.68503,-47.1359
3.07317,1.71112,-29.7117
3.07317,1.7372,-26.0307
3.07317,1.76329,-34.5624
3.07317,1.78938,-44.0017
3.07317,1.81547,-42.2735
3.07317,1.84155,-39.1202
3.07317,1.86764,-51.9684
3.07317,1.89373,-51.2081
3.07317,1.91981,-52.4176
3.07317,1.9459,-39.824
3.09926,1.52851,-13.9202
3.09926,1.5546,-17.3418
3.09926,1.58068,-31.9695
3.09926,1.60677,-51.9461
3.09926,1.63286,-50.7586
3.09926,1.65894,-51.4135
3.09926,1.68503,-53.7082
3.09926,1.71112,-26.1241
3.09926,1.7372,-19.6697
3.09926,1.76329,-25.0735
3.09926,1.78938,-20.8054
3.09926,1.81547,-30.46
3.09926,1.84155,-30.1948
3.09926,1.86764,-33.8838
3.09926,1.89373,-38.861
3.09926,1.91981,-25.6823
3.12534,1.52851,-15.8204
3.12534,1.5546,-25.7112
3.12534,1.58068,-52.0898
3.12534,1.60677,-47.8759
3.12534,1.63286,-52.3301
3.12534,1.65894,-48.9011
3.12534,1.68503,-49.9619
3.12534,1.71112,-28.7513
3.12534,1.7372,-24.4964
3.12534,1.76329,-20.173
3.12534,1.78938,-20.5555
3.12534,1.81547,-22.107
3.12534,1.84155,-28.9258
3.12534,1.86764,-27.8165
3.12534,1.89373,-24.0672
3.12534,1.91981,-17.9147
3.15143,1.52851,-25.0438
3.15143,1.5546,-31.3711
3.15143,1.58068,-53.802
3.15143,1.60677,-48.4698
3.15143,1.63286,-50.1846
3.15143,1.65894,-49.6904
3.15143,1.68503,-46.9345
3.15143,1.71112,-33.6621
3.15143,1.7372,-23.6613
3.15143,1.76329,-25.4883
3.15143,1.78938,-19.8384
3.15143,1.81547,-23.194
3.15143,1.84155,-24.7402
3.15143,1.86764,-24.2254
3.15143,1.89373,-20.9566
3.15143,1.91981,-14.4956
3.17752,1.52851,-58.4931
3.17752,1.5546,-58.4412
3.17752,1.58068,-49.8867
3.17752,1.60677,-51.611
3.17752,1.63286,-50.6943
3.17752,1.65894,-51.2625
3.17752,1.68503,-52.89
3.17752,1.71112,-49.9541
3.17752,1.7372,-49.1957
3.17752,1.76329,-47.1447
3.17752,1.78938,-50.4942
3.17752,1.81547,-37.7069
3.17752,1.84155,-43.7451
3.17752,1.86764,-35.3186
3.17752,1.89373,-23.2632
3.17752,1.91981,-15.2868
3.17752,1.9459,-13.3299
3.2036,1.52851,-49.785
3.2036,1.5546,-58.4223
3.2036,1.58068,-52.8062
3.2036,1.60677,-57.7407
3.2036,1.63286,-52.3647
3.2036,1.65894,-59.4529
3.2036,1.68503,-53.9716
3.2036,1.71112,-53.4479
3.2036,1.7372,-59.1725
3.2036,1.76329,-46.3968
3.2036,1.78938,-55.1235
3.2036,1.81547,-49.7853
3.2036,1.84155,-48.911
3.2036,1.86764,-44.3065
3.2036,1.89373,-22.2066
3.2036,1.91981,-12.866
3.2036,1.9459,-8.73962
3.22969,1.52851,-51.0326
3.22969,1.5546,-53.1473
3.22969,1.58068,-53.0743
3.22969,1.60677,-52.7146
3.22969,1.63286,-59.8685
3.22969,1.65894,-42.7219
3.22969,1.68503,-48.7602
3.22969,1.71112,-50.3497
3.22969,1.7372,-50.6146
3.22969,1.76329,-60.1678
3.22969,1.78938,-48.4977
3.22969,1.81547,-50.1501
3.22969,1.84155,-46.1049
3.22969,1.86764,-25.1796
3.22969,1.89373,-12.3903
3.22969,1.91981,-8.54143
3.22969,1.9459,-6.43591
3.25578,1.5546,-51.3636
3.25578,1.58068,-51.3532
3.25578,1.60677,-33.9339
3.25578,1.63286,-27.5272
3.25578,1.65894,-22.9395
3.25578,1.68503,-26.594
3.25578,1.71112,-32.6728
3.25578,1.7372,-43.6128
3.25578,1.76329,-55.9321
3.25578,1.78938,-55.631
3.25578,1.81547,-35.8976
3.25578,1.84155,-17.371
3.25578,1.86764,-13.9568
3.25578,1.89373,-7.90164
3.25578,1.91981,-6.04255
3.25578,1.9459,-5.52188
3.28187,1.52851,-55.8
3.28187,1.5546,-50.1949
3.28187,1.58068,-50.9447
3.28187,1.60677,-22.9382
3.28187,1.63286,-20.4008
3.28187,1.65894,-14.8043
3.28187,1.68503,-14.6436
3.28187,1.71112,-16.8931
3.28187,1.7372,-17.5343
3.28187,1.76329,-20.1732
3.28187,1.78938,-22.4834
3.28187,1.81547,-15.3854
3.28187,1.84155,-15.041
3.28187,1.86764,-6.22241
3.28187,1.89373,-4.05905
3.28187,1.91981,-2.98857
3.28187,1.9459,-2.00716
3.30795,1.5546,-50.1089
3.30795,1.58068,-37.5828
3.30795,1.60677,-17.1558
3.30795,1.63286,-10.4863
3.30795,1.65894,-8.49126
3.30795,1.68503,-8.81833
3.30795,1.71112,-9.69458
3.30795,1.7372,-9.19015
3.30795,1.76329,-11.6851
3.30795,1.78938,-11.0113
3.30795,1.81547,-9.44591
3.30795,1.84155,-7.54408
3.30795,1.86764,-6.05433
3.30795,1.89373,-2.34093
3.30795,1.91981,-2.27231
3.30795,1.9459,-1.95738
3.33404,1.52851,-49.6911
3.33404,1.5546,-46.3008
3.33404,1.58068,-18.9641
3.33404,1.60677,-10.6323
3.33404,1.63286,-7.44474
3.33404,1.65894,-7.20546
3.33404,1.68503,-6.51978
3.33404,1.71112,-6.73597
3.33404,1.7372,-7.00909
3.33404,1.76329,-7.29261
3.33404,1.78938,-8.16577
3.33404,1.81547,-8.05569
3.33404,1.84155,-5.82637
3.33404,1.86764,-4.17231
3.33404,1.89373,-3.12046
3.33404,1.91981,-3.0328
3.33404,1.9459,-5.01477
3.36013,1.5546,-25.7634
3.36013,1.58068,-12.5214
3.36013,1.60677,-6.703
3.36013,1.63286,-6.69157
3.36013,1.65894,-5.00897
3.36013,1.68503,-4.64702
3.36013,1.71112,-4.98103
3.36013,1.7372,-6.88334
3.36013,1.76329,-7.37744
3.36013,1.78938,-7.95407
3.36013,1.81547,-9.14041
3.36013,1.84155,-8.35273
3.36013,1.86764,-7.01288
3.36013,1.89373,-5.81533
3.36013,1.91981,-7.8893
3.36013,1.9459,-11.6477
3.38621,1.5546,-19.5027
3.38621,1.58068,-10.2471
3.38621,1.60677,-6.78483
3.38621,1.63286,-6.76684
3.38621,1.65894,-3.98374
3.38621,1.68503,-4.25667
3.38621,1.71112,-5.01585
3.38621,1.7372,-6.91071
3.38621,1.76329,-6.95568
3.38621,1.78938,-10.5603
3.38621,1.81547,-11.5196
3.38621,1.84155,-13.4911
3.38621,1.86764,-12.3255
3.38621,1.89373,-14.8746
3.38621,1.91981,-20.9387
3.38621,1.9459,-32.2782
3.4123,1.52851,-20.4737
3.4123,1.5546,-20.4821
3.4123,1.58068,-12.801
3.4123,1.60677,-7.91127
3.4123,1.63286,-5.90741
3.4123,1.65894,-4.71459
3.4123,1.68503,-4.69928
3.4123,1.71112,-6.56226
3.4123,1.7372,-6.53845
3.4123,1.76329,-9.84629
3.4123,1.78938,-14.1441
3.4123,1.81547,-19.1677
3.4123,1.84155,-18.9492
3.4123,1.86764,-29.7524
3.4123,1.89373,-48.6644
3.4123,1.91981,-63.4012
3.4123,1.9459,-55.4097
3.43839,1.52851,-18.3741
3.43839,1.5546,-17.996
3.43839,1.58068,-10.9425
3.43839,1.60677,-7.07356
3.43839,1.63286,-5.70475
3.43839,1.65894,-2.97492
3.43839,1.68503,-2.77539
3.43839,1.71112,-5.13087
3.43839,1.7372,-6.98801
3.43839,1.76329,-10.998
3.43839,1.78938,-18.5575
3.43839,1.81547,-34.3258
3.43839,1.84155,-52.9631
3.43839,1.86764,-53.5204
3.43839,1.89373,-57.6999
3.43839,1.91981,-57.2738
3.43839,1.9459,-62.8513
3.46447,1.5546,-14.1834
3.46447,1.58068,-6.49026
3.46447,1.65894,-3.76264
3.46447,1.68503,-4.32781
3.46447,1.7372,-8.96657
3.46447,1.76329,-21.7756
3.46447,1.81547,-56.7564
3.46447,1.86764,-57.2427
