x,y,z
3.07342,1.54308,0.50167
3.07342,1.56917,0.184226
3.07342,1.62134,0.0132373
3.07342,1.64743,9e-06
3.07342,1.67352,0.000729
3.07342,1.6996,1.43333e-05
3.07342,1.75178,7.75e-06
3.07342,1.77787,2.5e-05
3.07342,1.83004,3.66667e-05
3.07342,1.85613,1e-06
3.07342,1.9083,7.33333e-06
3.07342,1.93439,9e-06
3.09951,1.54308,0.967468
3.09951,1.56917,0.45712
3.09951,1.59526,0.249082
3.09951,1.62134,0.134353
3.09951,1.64743,0.010201
3.09951,1.6996,8.2e-05
3.09951,1.75178,2.5e-06
3.09951,1.77787,0.0044225
3.09951,1.80395,0.019881
3.09951,1.83004,1e-06
3.09951,1.85613,0.0144
3.09951,1.88221,4e-06
3.09951,1.9083,0.0001
3.09951,1.93439,2.5e-06
3.12559,1.54308,0.971392
3.12559,1.59526,0.478565
3.12559,1.62134,0.277713
3.12559,1.67352,0.015912
3.12559,1.6996,0.0005125
3.12559,1.75178,0.0006885
3.12559,1.77787,0.0091145
3.12559,1.83004,0.046801
3.12559,1.88221,0.0073665
3.12559,1.9083,0.0118145
3.15168,1.54308,0.725101
3.15168,1.56917,0.4925
3.15168,1.59526,0.358801
3.15168,1.62134,0.247009
3.15168,1.64743,0.0606985
3.15168,1.67352,0.014125
3.15168,1.6996,0.0007225
3.15168,1.72569,9e-06
3.15168,1.75178,9e-06
3.15168,1.77787,0.000121
3.15168,1.83004,0.036864
3.15168,1.85613,0.205209
3.15168,1.93439,0.018225
3.17777,1.54308,0.283024
3.17777,1.56917,0.357604
3.17777,1.59526,0.239933
3.17777,1.62134,0.133225
3.17777,1.64743,0.007056
3.17777,1.67352,0.0025965
3.17777,1.6996,1e-06
3.17777,1.72569,9e-06
3.17777,1.75178,1e-06
3.17777,1.77787,0.0013085
3.17777,1.80395,0.264196
3.17777,1.83004,0.131044
3.17777,1.85613,0.371491
3.17777,1.88221,0.3721
3.17777,1.9083,0.238144
3.20385,1.54308,0.059929
3.20385,1.56917,0.047961
3.20385,1.59526,0.00261
3.20385,1.62134,3.6e-05
3.20385,1.64743,1e-06
3.20385,1.67352,1.85e-05
3.20385,1.72569,1.85e-05
3.20385,1.75178,8.5e-06
3.20385,1.77787,0.00632388
3.20385,1.80395,0.042436
3.20385,1.83004,0.561001
3.20385,1.85613,0.537289
3.20385,1.88221,0.644809
3.20385,1.9083,0.437578
3.20385,1.93439,0.381924
3.22994,1.54308,2.05e-05
3.22994,1.56917,2.05e-05
3.22994,1.59526,1.6e-05
3.22994,1.64743,2.05e-05
