x,y,z
3.07317,1.52851,-6.12533
3.07317,1.5546,-4.31974
3.07317,1.58068,-9.59917
3.07317,1.60677,-46.3656
3.07317,1.63286,-19.5293
3.07317,1.65894,-36.6362
3.07317,1.68503,-53.1565
3.07317,1.71112,-49.1047
3.07317,1.7372,-54.2519
3.07317,1.78938,-49.3799
3.07317,1.84155,-47.7847
3.07317,1.86764,-63.5318
3.07317,1.89373,-53.9701
3.07317,1.91981,-55.4279
3.09926,1.52851,-2.48169
3.09926,1.58068,-6.28514
3.09926,1.60677,-8.42181
3.09926,1.63286,-12.8562
3.09926,1.65894,-22.1188
3.09926,1.68503,-44.5394
3.09926,1.71112,-43.115
3.09926,1.7372,-59.2296
3.09926,1.76329,-23.8134
3.09926,1.78938,-53.752
3.09926,1.81547,-20.3128
3.09926,1.84155,-63.4143
3.09926,1.86764,-24.8925
3.09926,1.89373,-43.5408
3.09926,1.91981,-59.602
3.12534,1.52851,-2.04772
3.12534,1.5546,-2.81434
3.12534,1.58068,-5.11308
3.12534,1.63286,-7.67134
3.12534,1.65894,-20.3669
3.12534,1.71112,-35.8465
3.12534,1.7372,-44.0424
3.12534,1.76329,-32.1453
3.12534,1.78938,-23.7019
3.12534,1.84155,-16.5798
3.12534,1.89373,-23.5725
3.15143,1.52851,-4.04589
3.15143,1.5546,-4.82902
3.15143,1.58068,-5.99467
3.15143,1.60677,-7.59249
3.15143,1.65894,-14.869
3.15143,1.68503,-24.3561
3.15143,1.71112,-53.5972
3.15143,1.7372,-53.6863
3.15143,1.76329,-42.4429
3.15143,1.81547,-17.4919
3.15143,1.86764,-9.97586
3.15143,1.91981,-20.6946
3.17752,1.5546,-7.36481
3.17752,1.58068,-8.67284
3.17752,1.63286,-14.3764
3.17752,1.65894,-25.9587
3.17752,1.68503,-53.7615
3.17752,1.71112,-56.3489
3.17752,1.7372,-63.4653
3.17752,1.76329,-29.1563
3.17752,1.78938,-51.0057
3.17752,1.81547,-8.64413
3.17752,1.84155,-8.55482
3.17752,1.86764,-6.79881
3.17752,1.89373,-7.74388
3.2036,1.52851,-11.6319
3.2036,1.5546,-18.4075
3.2036,1.58068,-46.854
3.2036,1.60677,-25.7129
3.2036,1.63286,-50.4118
3.2036,1.65894,-63.4323
3.2036,1.68503,-48.0194
3.2036,1.71112,-50.9881
3.2036,1.76329,-40.4437
3.2036,1.78938,-10.8855
3.2036,1.81547,-16.1796
3.2036,1.84155,-4.64358
3.2036,1.86764,-4.26184
3.2036,1.89373,-4.67254
3.2036,1.91981,-6.90743
3.22969,1.52851,-49.2981
3.22969,1.5546,-48.4621
3.22969,1.58068,-50.6945
3.22969,1.60677,-50.9875
3.22969,1.65894,-50.2436
3.22969,1.68503,-50.5282
3.22969,1.71112,-51.7045
3.22969,1.76329,-52.209
3.22969,1.81547,-9.94734
3.22969,1.84155,-4.3556
3.22969,1.86764,-2.7258
3.22969,1.91981,-6.11343
3.25578,1.5546,-47.7433
3.25578,1.58068,-48.0859
3.25578,1.60677,-48.9986
3.25578,1.63286,-48.5459
3.25578,1.65894,-48.7878
3.25578,1.68503,-46.5728
3.25578,1.71112,-49.603
3.25578,1.7372,-38.5029
3.25578,1.76329,-8.58303
3.25578,1.78938,-7.32623
3.25578,1.81547,-0.743169
3.25578,1.84155,1.1954
3.25578,1.86764,0.991932
3.25578,1.89373,-0.0320679
3.25578,1.91981,-1.69874
3.28187,1.52851,-52.2781
3.28187,1.5546,-62.1331
3.28187,1.58068,-55.4677
3.28187,1.60677,-19.4316
3.28187,1.63286,-63.0414
3.28187,1.65894,-15.6662
3.28187,1.68503,-11.1043
3.28187,1.71112,-27.3032
3.28187,1.7372,-7.84146
3.28187,1.76329,-3.65291
3.28187,1.78938,-4.16372
3.28187,1.81547,1.12245
3.28187,1.84155,1.93046
3.28187,1.89373,1.29836
3.28187,1.91981,-0.337189
3.30795,1.52851,-61.7408
3.30795,1.5546,-40.8762
3.30795,1.58068,-16.4227
3.30795,1.60677,-12.7812
3.30795,1.63286,-8.69267
3.30795,1.65894,-7.84731
3.30795,1.68503,-8.79367
3.30795,1.71112,-5.29755
3.30795,1.7372,-3.48461
3.30795,1.76329,-1.73226
3.30795,1.78938,1.40512
3.30795,1.81547,2.01023
3.30795,1.84155,2.92274
3.30795,1.86764,2.82982
3.30795,1.89373,1.69876
3.30795,1.91981,0.187961
3.33404,1.52851,-38.3748
3.33404,1.5546,-12.118
3.33404,1.58068,-7.48753
3.33404,1.60677,-5.35191
3.33404,1.63286,-3.31733
3.33404,1.65894,-2.47324
3.33404,1.68503,-0.981008
3.33404,1.71112,-0.926217
3.33404,1.7372,-0.844525
3.33404,1.76329,0.790053
3.33404,1.78938,1.59745
3.33404,1.81547,2.52412
3.33404,1.84155,2.51165
3.33404,1.86764,2.28719
3.33404,1.89373,1.97246
3.33404,1.91981,0.555579
3.36013,1.5546,-11.8949
3.36013,1.58068,-5.4327
3.36013,1.60677,-2.85353
3.36013,1.63286,-0.618614
3.36013,1.65894,-0.533391
3.36013,1.68503,0.126754
3.36013,1.71112,0.291031
3.36013,1.7372,0.546459
3.36013,1.76329,0.845664
3.36013,1.78938,1.44879
3.36013,1.81547,1.93393
3.36013,1.84155,1.89586
3.36013,1.86764,1.33696
3.36013,1.89373,0.704716
3.36013,1.91981,0.253572
3.38621,1.52851,-17.9636
3.38621,1.5546,-7.72081
3.38621,1.58068,-3.07378
3.38621,1.60677,-1.63567
3.38621,1.63286,-0.236954
3.38621,1.65894,-0.737912
3.38621,1.68503,-0.491313
3.38621,1.71112,-0.639917
3.38621,1.7372,0.169078
3.38621,1.76329,-0.473633
3.38621,1.78938,0.026058
3.38621,1.81547,0.274892
3.38621,1.84155,0.761881
3.38621,1.86764,0.731328
3.38621,1.89373,-0.232381
3.38621,1.91981,-1.63835
3.4123,1.52851,-17.8983
3.4123,1.5546,-8.74358
3.4123,1.58068,-8.31592
3.4123,1.60677,-4.51429
3.4123,1.63286,-2.09608
3.4123,1.65894,-2.99855
3.4123,1.68503,-4.33339
3.4123,1.71112,-3.11702
3.4123,1.7372,-6.29337
3.4123,1.76329,-3.28703
3.4123,1.78938,-2.72456
3.4123,1.81547,-2.02819
3.4123,1.84155,-1.80102
3.4123,1.86764,-1.95101
3.4123,1.89373,-2.63493
3.4123,1.91981,-4.11981
3.43839,1.52851,-9.68427
3.43839,1.5546,-8.05046
3.43839,1.58068,-7.09447
3.43839,1.60677,-6.90891
3.43839,1.63286,-5.47069
3.43839,1.68503,-6.15372
3.43839,1.71112,-6.32938
3.43839,1.7372,-5.336
3.43839,1.76329,-5.5079
3.43839,1.78938,-3.26961
3.43839,1.81547,-3.07549
3.43839,1.84155,-2.08524
3.43839,1.86764,-2.37397
3.43839,1.89373,-3.72652
3.43839,1.91981,-5.51453
3.46447,1.52851,-10.9289
3.46447,1.5546,-8.46337
3.46447,1.58068,-7.54556
3.46447,1.60677,-6.54012
3.46447,1.63286,-9.5351
3.46447,1.65894,-13.7341
3.46447,1.68503,-21.7731
3.46447,1.71112,-23.25
3.46447,1.7372,-14.7962
3.46447,1.76329,-8.56024
3.46447,1.78938,-6.76837
3.46447,1.81547,-4.0971
3.46447,1.84155,-3.4309
3.46447,1.86764,-2.9727
3.46447,1.89373,-4.95821
3.46447,1.91981,-5.91996
