x,y,z
3.0707,1.54268,4.55556e-06
3.0707,1.56877,5.57143e-06
3.0707,1.59485,3.33333e-06
3.0707,1.62094,5.14286e-06
3.0707,1.64703,0.000265875
3.0707,1.67311,0.00435457
3.0707,1.6992,0.0223336
3.0707,1.72529,0.113471
3.0707,1.75137,0.152044
3.0707,1.77746,0.393154
3.0707,1.80355,0.690578
3.0707,1.82964,0.529643
3.0707,1.85572,0.425221
3.0707,1.88181,0.225625
3.0707,1.9079,0.176611
3.09679,1.54268,6e-06
3.09679,1.56877,0.000117
3.09679,1.59485,0.0104336
3.09679,1.62094,0.0566555
3.09679,1.64703,0.141627
3.09679,1.67311,0.206721
3.09679,1.6992,0.235136
3.09679,1.72529,0.262993
3.09679,1.75137,0.340233
3.09679,1.77746,0.383358
3.09679,1.80355,0.569538
3.09679,1.82964,0.464088
3.09679,1.85572,0.208213
3.09679,1.88181,0.114543
3.09679,1.9079,0.00132167
3.09679,1.93398,1e-06
3.12288,1.54268,4.71429e-06
3.12288,1.56877,0.013724
3.12288,1.59485,0.0575618
3.12288,1.62094,0.186932
3.12288,1.64703,0.312912
3.12288,1.67311,0.321288
3.12288,1.6992,0.368831
3.12288,1.72529,0.370683
3.12288,1.75137,0.405618
3.12288,1.77746,0.328192
3.12288,1.80355,0.30817
3.12288,1.82964,0.173151
3.12288,1.85572,0.0466352
3.12288,1.88181,0.000853
3.12288,1.9079,2.68333e-05
3.12288,1.93398,2.73333e-05
3.14896,1.54268,0.000146857
3.14896,1.56877,0.0030436
3.14896,1.59485,0.0409282
3.14896,1.62094,0.134706
3.14896,1.64703,0.259359
3.14896,1.67311,0.30644
3.14896,1.6992,0.342931
3.14896,1.72529,0.32107
3.14896,1.75137,0.329134
3.14896,1.77746,0.30533
3.14896,1.80355,0.30131
3.14896,1.82964,0.109031
3.14896,1.85572,0.003481
3.14896,1.9079,2.6e-05
3.14896,1.93398,2e-05
3.17505,1.54268,1.7625e-05
3.17505,1.56877,0.000741889
3.17505,1.59485,0.00762175
3.17505,1.62094,0.025088
3.17505,1.64703,0.0622804
3.17505,1.67311,0.187822
3.17505,1.6992,0.254135
3.17505,1.72529,0.270264
3.17505,1.75137,0.282156
3.17505,1.77746,0.214051
3.17505,1.80355,0.0936401
3.17505,1.82964,0.039949
3.17505,1.85572,0.0177838
3.17505,1.88181,0.00871214
3.17505,1.9079,0.016365
3.17505,1.93398,0.0167888
3.20114,1.54268,0.000138083
3.20114,1.56877,0.000204333
3.20114,1.59485,0.000262
3.20114,1.62094,0.000271
3.20114,1.64703,0.00412656
3.20114,1.67311,0.0080865
3.20114,1.6992,0.0491234
3.20114,1.72529,0.105619
3.20114,1.75137,0.172501
3.20114,1.77746,0.169473
3.20114,1.80355,0.161964
3.20114,1.82964,0.141013
3.20114,1.85572,0.16039
3.20114,1.88181,0.164884
3.20114,1.9079,0.241658
3.20114,1.93398,0.237167
3.22722,1.54268,0.00020725
3.22722,1.56877,1.45e-05
3.22722,1.59485,1.4125e-05
3.22722,1.62094,7e-06
3.22722,1.64703,1.25714e-05
3.22722,1.67311,0.00013225
3.22722,1.6992,0.00258414
3.22722,1.72529,0.0237983
3.22722,1.75137,0.0844579
3.22722,1.77746,0.211168
3.22722,1.80355,0.265489
3.22722,1.82964,0.331007
3.22722,1.85572,0.434943
3.22722,1.88181,0.521906
3.22722,1.9079,0.613456
3.22722,1.93398,0.846804
3.25331,1.54268,0.00170475
3.25331,1.56877,7.94e-05
3.25331,1.59485,8.83333e-06
3.25331,1.62094,1.28182e-05
3.25331,1.64703,1.325e-05
3.25331,1.67311,6.57143e-06
3.25331,1.6992,1.18889e-05
3.25331,1.72529,0.001663
3.25331,1.75137,0.0325176
3.25331,1.77746,0.208008
3.25331,1.80355,0.328104
3.25331,1.82964,0.674485
3.25331,1.85572,0.844945
3.25331,1.88181,1.18913
3.25331,1.9079,1.32988
3.25331,1.93398,1.36862
3.2794,1.54268,0.0398576
3.2794,1.56877,0.0457653
3.2794,1.59485,0.0123567
3.2794,1.62094,0.00242414
3.2794,1.64703,2.05714e-05
3.2794,1.67311,2.47143e-05
3.2794,1.6992,1.78182e-05
3.2794,1.72529,2.4e-05
3.2794,1.75137,0.0103997
3.2794,1.77746,0.255198
3.2794,1.80355,0.406592
3.2794,1.82964,0.975059
3.2794,1.85572,1.44411
3.2794,1.88181,1.80276
3.2794,1.9079,1.81715
3.2794,1.93398,1.73221
3.30548,1.54268,0.328513
3.30548,1.56877,0.329391
3.30548,1.59485,0.217835
3.30548,1.62094,0.136653
3.30548,1.64703,0.0221329
3.30548,1.67311,5.175e-05
3.30548,1.6992,1.94444e-05
3.30548,1.72529,2.175e-05
3.30548,1.75137,0.00052675
3.30548,1.77746,0.0736109
3.30548,1.80355,0.436424
3.30548,1.82964,1.12467
3.30548,1.85572,1.70735
3.30548,1.88181,1.96536
3.30548,1.9079,1.92407
