x,y,z
3.04708,1.52851,-58.5172
3.04708,1.5546,-62.5869
3.04708,1.58068,-58.5579
3.04708,1.60677,-60.1006
3.04708,1.63286,-58.3587
3.04708,1.65894,-56.6244
3.04708,1.68503,-40.3745
3.04708,1.71112,-25.9587
3.04708,1.7372,-17.8271
3.04708,1.76329,-12.3154
3.04708,1.78938,-10.0448
3.04708,1.81547,-8.36758
3.04708,1.84155,-8.74659
3.07317,1.52851,-58.5298
3.07317,1.5546,-55.4568
3.07317,1.58068,-52.8742
3.07317,1.60677,-38.5573
3.07317,1.63286,-23.4252
3.07317,1.65894,-20.6736
3.07317,1.68503,-16.7338
3.07317,1.71112,-14.4724
3.07317,1.7372,-11.1581
3.07317,1.76329,-7.53328
3.07317,1.78938,-5.62402
3.07317,1.81547,-3.06362
3.07317,1.84155,-5.95287
3.07317,1.86764,-7.11273
3.07317,1.89373,-9.96428
3.07317,1.91981,-11.9981
3.09926,1.52851,-53.7849
3.09926,1.5546,-55.6194
3.09926,1.58068,-39.8437
3.09926,1.60677,-14.5256
3.09926,1.63286,-10.0158
3.09926,1.65894,-9.07183
3.09926,1.68503,-8.31843
3.09926,1.71112,-8.49207
3.09926,1.7372,-8.14681
3.09926,1.76329,-7.18862
3.09926,1.78938,-6.26706
3.09926,1.81547,-7.58139
3.09926,1.84155,-8.30253
3.09926,1.86764,-12.1538
3.09926,1.89373,-17.1616
3.09926,1.91981,-34.0317
3.12534,1.52851,-57.6172
3.12534,1.5546,-33.0245
3.12534,1.58068,-17.6946
3.12534,1.60677,-10.2104
3.12534,1.63286,-7.96941
3.12534,1.65894,-7.52554
3.12534,1.68503,-7.41377
3.12534,1.71112,-7.15778
3.12534,1.7372,-7.33995
3.12534,1.76329,-7.43652
3.12534,1.78938,-7.89604
3.12534,1.81547,-8.98143
3.12534,1.84155,-15.9103
3.12534,1.89373,-38.6512
3.12534,1.91981,-48.8151
3.15143,1.52851,-47.531
3.15143,1.5546,-34.336
3.15143,1.58068,-18.6693
3.15143,1.60677,-13.4603
3.15143,1.63286,-9.28335
3.15143,1.65894,-7.97635
3.15143,1.68503,-8.26916
3.15143,1.71112,-7.59313
3.15143,1.7372,-8.23494
3.15143,1.76329,-8.78664
3.15143,1.78938,-8.39922
3.15143,1.81547,-11.5394
3.15143,1.84155,-14.5276
3.15143,1.86764,-27.6808
3.15143,1.91981,-50.0277
3.17752,1.52851,-44.8383
3.17752,1.5546,-34.4548
3.17752,1.58068,-27.6185
3.17752,1.60677,-22.2456
3.17752,1.63286,-17.6315
3.17752,1.65894,-13.7735
3.17752,1.68503,-10.7506
3.17752,1.71112,-9.29508
3.17752,1.7372,-9.33447
3.17752,1.76329,-9.15088
3.17752,1.78938,-10.1922
3.17752,1.81547,-13.4054
3.17752,1.84155,-18.3181
3.17752,1.86764,-20.435
3.17752,1.89373,-21.84
3.17752,1.91981,-20.2894
3.2036,1.52851,-39.624
3.2036,1.5546,-47.0869
3.2036,1.58068,-49.4613
3.2036,1.60677,-53.529
3.2036,1.63286,-41.2461
3.2036,1.65894,-26.3717
3.2036,1.68503,-20.2509
3.2036,1.71112,-16.5606
3.2036,1.7372,-12.4692
3.2036,1.76329,-11.0652
3.2036,1.78938,-10.2122
3.2036,1.81547,-9.55631
3.2036,1.84155,-10.1492
3.2036,1.86764,-9.63246
3.2036,1.89373,-8.67943
3.2036,1.91981,-8.93373
3.22969,1.52851,-31.7387
3.22969,1.5546,-51.2193
3.22969,1.58068,-51.319
3.22969,1.60677,-51.5058
3.22969,1.63286,-51.876
3.22969,1.65894,-51.6002
3.22969,1.68503,-41.6592
3.22969,1.71112,-24.8315
3.22969,1.7372,-18.0633
3.22969,1.76329,-10.7479
3.22969,1.78938,-8.88783
3.22969,1.81547,-8.02532
3.22969,1.84155,-5.91656
3.22969,1.86764,-4.56329
3.22969,1.89373,-3.89506
3.22969,1.91981,-3.53038
3.25578,1.52851,-28.668
3.25578,1.5546,-31.8102
3.25578,1.58068,-39.6801
3.25578,1.60677,-52.2265
3.25578,1.63286,-53.6814
3.25578,1.65894,-52.7672
3.25578,1.68503,-51.7624
3.25578,1.71112,-41.8974
3.25578,1.7372,-22.3106
3.25578,1.76329,-12.4868
3.25578,1.78938,-8.02948
3.25578,1.81547,-5.05004
3.25578,1.84155,-2.61463
3.25578,1.86764,-0.945117
3.25578,1.89373,-0.981811
3.25578,1.91981,-0.501096
3.28187,1.52851,-13.493
3.28187,1.5546,-15.1094
3.28187,1.58068,-16.3391
3.28187,1.60677,-22.7264
3.28187,1.63286,-38.353
3.28187,1.65894,-50.7952
3.28187,1.68503,-48.8811
