x,y,z
3.05195,1.53885,3.61667e-05
3.05195,1.56494,0.011889
3.05195,1.59103,0.116737
3.05195,1.61711,0.486862
3.05195,1.6432,0.90432
3.05195,1.66929,1.35453
3.05195,1.69537,2.21904
3.05195,1.72146,2.87606
3.05195,1.74755,3.09642
3.05195,1.77364,3.00629
3.05195,1.79972,3.02101
3.05195,1.82581,2.98373
3.05195,1.8519,2.90999
3.05195,1.87798,2.64062
3.05195,1.90407,1.55335
3.05195,1.93016,0.913936
3.07804,1.53885,1.54e-05
3.07804,1.56494,0.000731
3.07804,1.59103,0.140447
3.07804,1.61711,0.279857
3.07804,1.6432,0.469714
3.07804,1.66929,1.01738
3.07804,1.69537,1.84876
3.07804,1.72146,2.47557
3.07804,1.74755,2.55033
3.07804,1.77364,2.3608
3.07804,1.79972,2.47429
3.07804,1.82581,2.71441
3.07804,1.8519,2.41251
3.07804,1.87798,1.86663
3.07804,1.90407,1.29456
3.07804,1.93016,0.675197
3.10412,1.53885,4.42857e-06
3.10412,1.56494,5.875e-05
3.10412,1.59103,0.0180829
3.10412,1.61711,0.129788
3.10412,1.6432,0.313373
3.10412,1.66929,0.62796
3.10412,1.69537,1.05311
3.10412,1.72146,1.43168
3.10412,1.74755,1.80121
3.10412,1.77364,1.91377
3.10412,1.79972,1.69
3.10412,1.82581,1.87461
3.10412,1.8519,1.75913
3.10412,1.87798,1.45401
3.10412,1.90407,0.823834
3.10412,1.93016,0.414511
3.13021,1.53885,0.0005492
3.13021,1.56494,0.000148143
3.13021,1.59103,0.0014422
3.13021,1.61711,0.0486394
3.13021,1.6432,0.134187
3.13021,1.66929,0.258695
3.13021,1.69537,0.492113
3.13021,1.72146,0.747071
3.13021,1.74755,0.89252
3.13021,1.77364,0.920314
3.13021,1.79972,1.00319
3.13021,1.82581,0.995636
3.13021,1.8519,0.909558
3.13021,1.87798,0.779182
3.13021,1.90407,0.420527
3.13021,1.93016,0.272484
3.1563,1.53885,0.0231727
3.1563,1.56494,0.0132243
3.1563,1.59103,0.0102053
3.1563,1.61711,0.0316382
3.1563,1.6432,0.0531745
3.1563,1.66929,0.228639
3.1563,1.69537,0.274077
3.1563,1.72146,0.428228
3.1563,1.74755,0.5652
3.1563,1.77364,0.529013
3.1563,1.79972,0.526837
3.1563,1.82581,0.702112
3.1563,1.8519,0.452929
3.1563,1.87798,0.415375
3.1563,1.90407,0.266075
3.1563,1.93016,0.16222
3.18239,1.53885,0.170325
3.18239,1.56494,0.155082
3.18239,1.59103,0.132716
3.18239,1.61711,0.104103
3.18239,1.6432,0.17884
3.18239,1.66929,0.235897
3.18239,1.69537,0.419714
3.18239,1.72146,0.544102
3.18239,1.74755,0.686489
3.18239,1.77364,0.616952
3.18239,1.79972,0.466429
3.18239,1.82581,0.430114
3.18239,1.8519,0.383898
3.18239,1.87798,0.280145
3.18239,1.90407,0.164752
3.18239,1.93016,0.045797
3.20847,1.53885,0.485855
3.20847,1.56494,0.483882
3.20847,1.59103,0.300804
3.20847,1.61711,0.30599
3.20847,1.6432,0.34538
3.20847,1.66929,0.392332
3.20847,1.69537,0.543601
3.20847,1.72146,0.646776
3.20847,1.74755,0.926701
3.20847,1.77364,0.657934
3.20847,1.79972,0.749646
3.20847,1.82581,0.521398
3.20847,1.8519,0.366065
3.20847,1.87798,0.2639
3.20847,1.90407,0.0442062
3.20847,1.93016,0.015625
3.23456,1.53885,0.86534
3.23456,1.56494,0.920965
3.23456,1.59103,0.674145
3.23456,1.61711,0.609537
3.23456,1.6432,0.522693
3.23456,1.66929,0.596112
3.23456,1.69537,0.705363
3.23456,1.72146,0.999839
3.23456,1.74755,1.09198
3.23456,1.77364,0.962558
3.23456,1.79972,0.613435
3.23456,1.82581,0.630371
3.23456,1.8519,0.375833
3.23456,1.87798,0.145188
3.23456,1.90407,0.0138426
3.23456,1.93016,0.00147725
3.26065,1.53885,1.18418
3.26065,1.56494,1.14039
3.26065,1.59103,0.986397
3.26065,1.61711,0.707838
3.26065,1.6432,0.412222
3.26065,1.66929,0.358759
3.26065,1.69537,0.448155
3.26065,1.72146,0.667995
3.26065,1.74755,0.952547
3.26065,1.77364,1.0364
