x,y,z
3.04708,1.52851,-52.4966
3.04708,1.5546,-48.4372
3.04708,1.58068,-18.0327
3.04708,1.60677,-7.54417
3.04708,1.63286,-4.04864
3.04708,1.65894,-1.3271
3.04708,1.68503,0.370327
3.04708,1.71112,1.17063
3.04708,1.7372,1.37542
3.04708,1.76329,1.30966
3.04708,1.78938,1.35456
3.04708,1.81547,1.44097
3.04708,1.84155,1.27361
3.04708,1.86764,0.665324
3.04708,1.91981,-1.86
3.07317,1.52851,-46.1948
3.07317,1.5546,-44.4602
3.07317,1.58068,-17.1821
3.07317,1.60677,-6.42724
3.07317,1.63286,-6.19065
3.07317,1.65894,-2.28371
3.07317,1.68503,0.136054
3.07317,1.71112,0.899537
3.07317,1.7372,0.987242
3.07317,1.76329,0.989193
3.07317,1.78938,1.056
3.07317,1.81547,0.701036
3.07317,1.84155,0.330429
3.07317,1.86764,0.358689
3.07317,1.89373,-1.32191
3.07317,1.91981,-3.25621
3.09926,1.52851,-62.3381
3.09926,1.5546,-35.7534
3.09926,1.58068,-22.9854
3.09926,1.60677,-14.2023
3.09926,1.63286,-8.78382
3.09926,1.65894,-6.17076
3.09926,1.68503,-3.06175
3.09926,1.71112,-1.53449
3.09926,1.7372,-0.175911
3.09926,1.76329,-0.449869
3.09926,1.78938,-0.294839
3.09926,1.81547,-0.428886
3.09926,1.84155,-0.911675
3.09926,1.86764,-1.02563
3.09926,1.89373,-2.92047
3.09926,1.91981,-5.83762
3.12534,1.52851,-35.8194
3.12534,1.5546,-45.193
3.12534,1.58068,-37.4177
3.12534,1.60677,-20.275
3.12534,1.63286,-10.913
3.12534,1.65894,-9.4008
3.12534,1.68503,-7.01138
3.12534,1.71112,-5.03696
3.12534,1.7372,-3.32412
3.12534,1.76329,-3.40418
3.12534,1.78938,-3.49079
3.12534,1.81547,-2.19
3.12534,1.84155,-3.08509
3.12534,1.86764,-3.93122
3.12534,1.89373,-6.07522
3.12534,1.91981,-9.27212
3.15143,1.52851,-19.6182
3.15143,1.5546,-34.8002
3.15143,1.58068,-18.8349
3.15143,1.60677,-22.1931
3.15143,1.63286,-16.9426
3.15143,1.65894,-10.1591
3.15143,1.68503,-9.30975
3.15143,1.71112,-7.05353
3.15143,1.7372,-5.55549
3.15143,1.76329,-4.918
3.15143,1.78938,-7.54683
3.15143,1.81547,-4.87772
3.15143,1.84155,-4.47791
3.15143,1.86764,-6.05363
3.15143,1.89373,-8.38694
3.15143,1.91981,-9.82217
3.17752,1.52851,-12.6433
3.17752,1.5546,-13.2513
3.17752,1.58068,-15.4004
3.17752,1.60677,-13.7545
3.17752,1.63286,-11.821
3.17752,1.65894,-9.47731
3.17752,1.68503,-9.6386
3.17752,1.71112,-6.75081
3.17752,1.7372,-5.95161
3.17752,1.76329,-5.35005
3.17752,1.78938,-6.20278
3.17752,1.81547,-5.59099
3.17752,1.84155,-6.03794
3.17752,1.86764,-7.67466
3.17752,1.89373,-8.8056
3.17752,1.91981,-14.9598
3.17752,1.9459,-23.1882
3.2036,1.52851,-6.6306
3.2036,1.5546,-6.62261
3.2036,1.58068,-7.80162
3.2036,1.60677,-8.42156
3.2036,1.63286,-8.69309
3.2036,1.65894,-7.62381
3.2036,1.68503,-6.73572
3.2036,1.71112,-5.59372
3.2036,1.7372,-4.24329
3.2036,1.76329,-5.13998
3.2036,1.78938,-4.43816
3.2036,1.81547,-6.11165
3.2036,1.84155,-5.61429
3.2036,1.86764,-7.3057
3.2036,1.89373,-10.8623
3.2036,1.91981,-18.7857
3.22969,1.52851,-2.78586
3.22969,1.5546,-3.93285
3.22969,1.58068,-4.29948
3.22969,1.60677,-5.511
3.22969,1.63286,-6.00816
3.22969,1.65894,-6.44934
3.22969,1.68503,-5.28289
3.22969,1.71112,-4.14757
3.22969,1.7372,-2.89226
3.22969,1.76329,-3.65483
3.22969,1.78938,-2.97095
3.22969,1.81547,-5.40377
3.22969,1.84155,-6.06019
3.22969,1.86764,-8.72547
3.22969,1.89373,-13.236
3.22969,1.91981,-22.982
3.22969,1.9459,-34.9731
3.25578,1.52851,-1.49421
3.25578,1.5546,-1.93064
3.25578,1.58068,-2.55994
3.25578,1.60677,-3.98668
3.25578,1.63286,-5.68333
3.25578,1.65894,-6.91416
3.25578,1.68503,-6.62728
3.25578,1.71112,-5.3243
3.25578,1.7372,-3.71884
3.25578,1.76329,-2.9097
3.25578,1.78938,-2.52916
3.25578,1.81547,-2.04891
3.25578,1.84155,-3.71524
3.25578,1.86764,-6.23379
3.25578,1.89373,-11.6567
3.25578,1.91981,-21.9989
3.25578,1.9459,-42.7503
3.28187,1.52851,-1.47836
3.28187,1.5546,-1.5432
3.28187,1.58068,-2.22045
3.28187,1.60677,-4.31309
3.28187,1.63286,-7.39481
3.28187,1.65894,-9.78023
3.28187,1.68503,-11.3285
3.28187,1.71112,-7.87608
3.28187,1.7372,-4.33566
3.28187,1.76329,-3.42613
3.28187,1.78938,-2.6443
3.28187,1.81547,-0.951136
3.28187,1.84155,-2.68649
3.28187,1.86764,-5.6202
3.28187,1.89373,-10.8277
3.28187,1.91981,-23.6781
3.28187,1.9459,-43.24
3.30795,1.52851,-1.62586
3.30795,1.5546,-1.93497
3.30795,1.58068,-3.84001
3.30795,1.60677,-7.28374
3.30795,1.63286,-11.061
3.30795,1.65894,-18.8154
3.30795,1.68503,-15.479
3.30795,1.71112,-12.2015
3.30795,1.7372,-9.24574
3.30795,1.76329,-6.10509
3.30795,1.78938,-3.78655
3.30795,1.81547,-4.04281
3.30795,1.84155,-4.44362
3.30795,1.86764,-7.27852
3.30795,1.89373,-11.0458
3.30795,1.91981,-21.6505
3.30795,1.9459,-31.7164
3.33404,1.52851,-1.58411
3.33404,1.5546,-2.86514
3.33404,1.58068,-6.08388
3.33404,1.60677,-10.3476
3.33404,1.63286,-15.5367
3.33404,1.65894,-28.3397
3.33404,1.68503,-38.7001
3.33404,1.71112,-24.9274
3.33404,1.7372,-13.1548
3.33404,1.76329,-10.811
3.33404,1.78938,-6.64734
3.33404,1.81547,-5.76101
3.33404,1.84155,-6.13747
3.33404,1.86764,-8.35641
3.33404,1.89373,-11.6663
3.33404,1.91981,-21.2413
3.33404,1.9459,-24.7311
3.36013,1.52851,-1.89591
3.36013,1.5546,-4.069
3.36013,1.58068,-6.10265
3.36013,1.60677,-9.78915
3.36013,1.63286,-24.8336
3.36013,1.65894,-51.1059
3.36013,1.68503,-49.6034
3.36013,1.71112,-50.0758
3.36013,1.7372,-28.8949
3.36013,1.76329,-16.5573
3.36013,1.78938,-10.7986
3.36013,1.81547,-10.6854
3.36013,1.84155,-9.53198
3.36013,1.86764,-11.0768
3.36013,1.89373,-18.2631
3.36013,1.91981,-30.9571
3.38621,1.52851,-3.47213
3.38621,1.5546,-5.42308
3.38621,1.58068,-7.3832
3.38621,1.60677,-12.1396
3.38621,1.63286,-29.1979
3.38621,1.65894,-48.551
3.38621,1.68503,-51.0944
3.38621,1.71112,-49.6602
3.38621,1.7372,-47.55
3.38621,1.76329,-26.4982
3.38621,1.78938,-17.9812
3.38621,1.81547,-12.8723
3.38621,1.84155,-12.6215
3.38621,1.86764,-16.3179
