x,y,z
2.81408,1.43448,0.378225
2.81408,2.24318,1.57603
2.84016,1.43448,0.659344
2.84016,1.46057,1.52276
2.84016,1.48666,2.57603
2.84016,1.51274,4.15523
2.86625,1.33013,0.0354785
2.86625,1.35622,0.151321
2.86625,1.38231,0.207025
2.86625,1.40839,0.376118
2.86625,1.46057,1.19246
2.86625,1.48666,2.18153
2.86625,1.51274,4.29736
2.86625,1.53883,7.60401
2.86625,1.56492,9.28127
2.86625,1.591,12.8258
2.86625,1.61709,14.9292
2.86625,1.64318,16.0114
2.86625,1.66926,16.9462
2.86625,1.69535,16.0357
2.86625,1.72144,15.4468
2.86625,1.74752,13.5246
2.86625,1.77361,10.9942
2.86625,1.7997,10.4875
2.86625,1.82579,6.3401
2.86625,1.85187,3.32982
2.86625,1.87796,4.02493
2.86625,1.90405,0.906921
2.86625,1.93013,0.486057
2.86625,1.95622,0.301725
2.86625,1.98231,0.526051
2.86625,2.00839,1.48786
2.86625,2.03448,2.29172
2.86625,2.06057,2.8447
2.86625,2.08666,2.61173
2.86625,2.11274,2.43719
2.86625,2.13883,2.2082
2.89234,1.30405,0.069696
2.89234,1.33013,0.132504
2.89234,1.35622,0.271396
2.89234,1.38231,0.521795
2.89234,1.40839,0.669568
2.89234,1.43448,1.63823
2.89234,1.46057,2.71708
2.89234,1.48666,4.00438
2.89234,1.51274,6.28324
2.89234,1.53883,11.604
2.89234,1.56492,11.0413
2.89234,1.591,12.6967
2.89234,1.61709,14.6898
2.89234,1.64318,15.3059
2.89234,1.66926,15.4042
2.89234,1.69535,14.4675
2.89234,1.72144,13.3417
2.89234,1.74752,9.71293
2.89234,1.77361,7.71634
2.89234,1.7997,6.08177
2.89234,1.82579,3.0729
2.89234,1.85187,2.86111
2.89234,1.87796,1.05722
2.89234,1.90405,0.560725
2.89234,1.93013,0.495994
2.89234,1.95622,0.507074
2.89234,1.98231,1.12565
2.89234,2.00839,1.71737
2.89234,2.03448,2.87594
2.89234,2.06057,3.10908
2.89234,2.08666,3.43889
2.89234,2.11274,2.39061
2.91842,1.27796,0.0415945
2.91842,1.30405,0.218714
2.91842,1.33013,0.152032
2.91842,1.35622,0.519569
2.91842,1.38231,0.366025
2.91842,1.40839,0.828067
2.91842,1.43448,1.41308
2.91842,1.46057,3.1673
2.91842,1.48666,4.08625
2.91842,1.51274,3.71058
2.91842,1.53883,9.98441
2.91842,1.56492,9.25149
2.91842,1.591,9.40236
2.91842,1.61709,10.4577
2.91842,1.64318,9.43848
2.91842,1.66926,9.74669
2.91842,1.69535,10.3451
2.91842,1.72144,7.49539
2.91842,1.74752,4.2138
2.91842,1.77361,4.32113
2.91842,1.7997,2.9937
2.91842,1.82579,1.61515
2.91842,1.85187,0.853621
2.91842,1.87796,0.484116
2.91842,1.90405,0.286816
2.91842,1.93013,0.384188
2.91842,1.95622,0.446834
2.91842,1.98231,0.918877
2.91842,2.00839,2.03476
2.91842,2.03448,2.61352
2.91842,2.06057,3.05878
2.91842,2.08666,3.33482
2.91842,2.11274,1.8845
2.94451,1.33013,0.196282
2.94451,1.35622,0.350825
2.94451,1.38231,0.414067
2.94451,1.40839,0.542466
2.94451,1.43448,1.54984
2.94451,1.46057,1.14594
2.94451,1.48666,2.11702
2.94451,1.51274,2.73241
2.94451,1.53883,3.81318
2.94451,1.56492,5.25274
2.94451,1.591,4.55689
2.94451,1.61709,6.49632
2.94451,1.64318,7.29855
2.94451,1.66926,6.36534
2.94451,1.69535,3.13133
2.94451,1.72144,2.45932
2.94451,1.74752,1.78054
2.94451,1.77361,0.946927
2.94451,1.7997,0.714922
2.94451,1.82579,0.43215
2.94451,1.85187,0.109203
2.94451,1.87796,0.122915
2.94451,1.90405,0.209069
2.94451,1.93013,0.467882
2.94451,1.95622,0.701311
2.94451,1.98231,1.3991
2.94451,2.00839,2.2293
2.94451,2.03448,2.56705
2.94451,2.06057,2.92657
2.94451,2.08666,2.66801
2.94451,2.11274,1.41759
2.9706,1.33013,0.178962
2.9706,1.35622,0.312446
2.9706,1.38231,0.32596
2.9706,1.40839,0.515024
2.9706,1.43448,0.818066
2.9706,1.46057,0.846742
2.9706,1.48666,0.755327
2.9706,1.51274,1.1445
2.9706,1.53883,0.441476
2.9706,1.56492,1.62299
2.9706,1.591,1.13914
2.9706,1.61709,1.46495
2.9706,1.64318,0.956134
2.9706,1.66926,0.288177
2.9706,1.69535,0.226865
2.9706,1.72144,0.0943325
2.9706,1.74752,1.35e-05
