x,y,z
2.8123,1.42416,-4.44802
2.8123,2.23286,-0.912222
2.83839,1.42416,-2.48148
2.83839,1.50242,6.01383
2.86447,1.3459,-16.6538
2.86447,1.37199,-9.47763
2.86447,1.39807,-7.04809
2.86447,1.42416,-3.74812
2.86447,1.45025,0.352368
2.86447,1.47634,2.99514
2.86447,1.50242,6.08794
2.86447,1.52851,8.04006
2.86447,1.5546,9.81919
2.86447,1.58068,10.9865
2.86447,1.60677,11.1805
2.86447,1.63286,11.4593
2.86447,1.65894,11.5286
2.86447,1.68503,11.2461
2.86447,1.71112,11.0908
2.86447,1.7372,10.2688
2.86447,1.76329,9.47312
2.86447,1.78938,8.55892
2.86447,1.81547,6.34087
2.86447,1.84155,2.26108
2.86447,1.86764,4.07907
2.86447,1.89373,-1.81266
2.86447,1.91981,-8.08729
2.86447,1.9459,-6.041
2.86447,1.97199,-7.62558
2.86447,1.99807,-3.53853
2.86447,2.02416,0.103298
2.86447,2.05025,0.739414
2.86447,2.07634,2.05274
2.86447,2.10242,1.39053
2.86447,2.12851,0.668867
2.89056,1.29373,-14.0759
2.89056,1.31981,-11.081
2.89056,1.3459,-8.66184
2.89056,1.37199,-4.33071
2.89056,1.39807,-6.61094
2.89056,1.42416,-0.913564
2.89056,1.45025,2.74508
2.89056,1.47634,5.00787
2.89056,1.50242,5.01843
2.89056,1.52851,8.02698
2.89056,1.5546,10.4519
2.89056,1.58068,10.2783
2.89056,1.60677,10.6361
2.89056,1.63286,10.6276
2.89056,1.65894,10.6335
2.89056,1.68503,10.4111
2.89056,1.71112,10.2238
2.89056,1.7372,8.56128
2.89056,1.76329,8.37717
2.89056,1.78938,6.91471
2.89056,1.81547,5.13107
2.89056,1.84155,1.75062
2.89056,1.86764,-3.31621
2.89056,1.89373,-4.22166
2.89056,1.91981,-6.3327
2.89056,1.9459,-7.61681
2.89056,1.97199,-4.39375
2.89056,1.99807,-1.53681
2.89056,2.02416,0.165003
2.89056,2.05025,1.62003
2.89056,2.07634,1.90804
2.89056,2.10242,0.646652
2.89056,2.12851,0.134901
2.91665,1.26764,-16.086
2.91665,1.29373,-9.61701
2.91665,1.31981,-10.175
2.91665,1.3459,-9.29881
2.91665,1.37199,-5.14516
2.91665,1.39807,-3.37236
2.91665,1.42416,-0.00522628
2.91665,1.45025,2.08076
2.91665,1.47634,0.992043
2.91665,1.50242,5.99154
2.91665,1.52851,7.14283
2.91665,1.5546,8.62579
2.91665,1.58068,9.29879
2.91665,1.60677,8.09657
2.91665,1.63286,8.92953
2.91665,1.65894,8.73556
2.91665,1.68503,8.07747
2.91665,1.71112,7.14482
2.91665,1.7372,5.03041
2.91665,1.76329,5.73264
2.91665,1.78938,2.37249
2.91665,1.81547,1.95455
2.91665,1.84155,-1.89281
2.91665,1.86764,-5.54027
2.91665,1.89373,-6.26228
2.91665,1.91981,-8.5174
2.91665,1.9459,-6.37211
2.91665,1.97199,-4.42788
2.91665,1.99807,-1.21595
2.91665,2.02416,0.85941
2.91665,2.05025,2.09641
2.91665,2.07634,1.34112
2.91665,2.10242,0.112221
2.94274,1.31981,-11.9411
2.94274,1.3459,-8.11382
2.94274,1.37199,-7.02906
2.94274,1.39807,-5.43274
2.94274,1.42416,-1.07253
2.94274,1.45025,-0.85255
2.94274,1.47634,0.144036
2.94274,1.50242,2.566
2.94274,1.52851,4.61828
2.94274,1.5546,2.8678
2.94274,1.58068,5.85502
2.94274,1.60677,6.00392
2.94274,1.63286,6.09009
2.94274,1.65894,4.57788
2.94274,1.68503,6.2308
2.94274,1.71112,2.33591
2.94274,1.7372,-0.357744
2.94274,1.76329,0.550206
2.94274,1.78938,-5.15985
2.94274,1.81547,-3.31253
2.94274,1.84155,-10.0128
2.94274,1.86764,-17.8476
2.94274,1.89373,-9.62728
2.94274,1.91981,-10.0699
2.94274,1.9459,-6.2315
2.94274,1.97199,-2.85017
2.94274,1.99807,-0.221306
2.94274,2.02416,0.519282
2.94274,2.05025,1.25244
2.94274,2.07634,0.313999
2.94274,2.10242,-2.02149
2.94274,2.12851,-1.63819
2.96882,1.31981,-10.1638
2.96882,1.3459,-8.80907
2.96882,1.37199,-8.52513
2.96882,1.39807,-5.40219
2.96882,1.42416,-4.22902
2.96882,1.45025,-3.46344
2.96882,1.47634,-2.46223
2.96882,1.50242,-1.73319
2.96882,1.52851,-0.997148
2.96882,1.5546,-1.39723
2.96882,1.58068,-2.20913
2.96882,1.60677,-0.0835201
2.96882,1.63286,-2.37741
2.96882,1.65894,-6.14888
2.96882,1.68503,-7.21659
2.96882,1.71112,-12.2205
2.96882,1.7372,-53.2126
2.96882,1.76329,-39.4527
2.96882,1.78938,-53.4518
2.96882,1.81547,-54.5767
2.96882,1.84155,-25.4591
2.96882,1.86764,-14.1677
2.96882,1.89373,-14.4524
2.96882,1.91981,-8.6987
2.96882,1.9459,-9.14973
2.96882,1.97199,-2.55399
2.96882,1.99807,-3.75141
2.96882,2.02416,-0.739745
2.96882,2.05025,0.378936
2.96882,2.07634,-3.10236
2.96882,2.10242,-5.05502
2.96882,2.12851,-6.45274
2.99491,1.31981,-13.8715
2.99491,1.3459,-13.2982
2.99491,1.37199,-9.79517
2.99491,1.39807,-7.24609
2.99491,1.42416,-3.77404
2.99491,1.45025,-4.79375
2.99491,1.47634,-4.37194
2.99491,1.50242,-3.7205
2.99491,1.52851,-6.40571
2.99491,1.5546,-8.16463
2.99491,1.58068,-8.89525
2.99491,1.60677,-9.96833
2.99491,1.63286,-9.77198
2.99491,1.65894,-20.8999
2.99491,1.68503,-24.4485
2.99491,1.71112,-55.7586
2.99491,1.7372,-56.677
2.99491,1.76329,-48.5748
2.99491,1.78938,-40.0311
2.99491,1.81547,-11.8862
2.99491,1.84155,-13.8446
2.99491,1.86764,-10.7174
2.99491,1.89373,-7.82471
2.99491,1.91981,-6.45613
2.99491,1.9459,-6.27617
2.99491,1.97199,-5.07669
2.99491,1.99807,-2.91013
2.99491,2.02416,-4.00377
2.99491,2.05025,-2.75055
2.99491,2.07634,-3.99663
2.99491,2.10242,-6.83032
2.99491,2.12851,-17.5816
3.021,1.31981,-22.1268
3.021,1.3459,-7.71832
3.021,1.39807,-2.67628
3.021,1.42416,-1.27793
3.021,1.45025,-0.990837
3.021,1.47634,-1.62667
3.021,1.50242,-7.90101
3.021,1.52851,-11.0254
3.021,1.5546,-12.4311
3.021,1.58068,-22.9408
3.021,1.60677,-5.08973
3.021,1.63286,-25.8675
3.021,1.65894,-40.278
3.021,1.68503,-52.2853
3.021,1.71112,-51.3493
3.021,1.7372,-30.6028
3.021,1.76329,-21.2212
3.021,1.78938,-12.6563
3.021,1.81547,-9.93022
3.021,1.84155,-8.87581
3.021,1.86764,-7.40957
3.021,1.89373,-5.14287
3.021,1.91981,-5.16982
3.021,1.9459,-7.64789
3.021,1.97199,-6.82425
3.021,1.99807,-7.89151
3.021,2.02416,-8.3156
3.021,2.05025,-9.42786
3.021,2.07634,-14.4604
3.021,2.10242,-29.674
3.021,2.12851,-26.4441
3.04708,1.31981,-35.4654
3.04708,1.3459,-14.5854
3.04708,1.37199,-9.0645
3.04708,1.39807,-6.56859
3.04708,1.42416,-2.89275
3.04708,1.45025,-2.49734
3.04708,1.47634,-1.5778
3.04708,1.50242,-5.20602
3.04708,1.52851,-14.5148
3.04708,1.5546,-14.4214
3.04708,1.58068,-51.1543
3.04708,1.60677,-55.5413
3.04708,1.63286,-50.4818
3.04708,1.65894,-51.2619
3.04708,1.68503,-49.6189
3.04708,1.71112,-19.8903
3.04708,1.7372,-12.3573
3.04708,1.76329,-10.068
3.04708,1.78938,-3.68712
3.04708,1.81547,-2.08494
3.04708,1.84155,0.00463438
3.04708,1.86764,-2.86261
3.04708,1.89373,-3.11671
3.04708,1.91981,-2.82095
3.04708,1.9459,-7.51799
3.04708,1.97199,-8.54428
3.04708,1.99807,-14.0559
3.04708,2.02416,-24.2901
3.04708,2.05025,-22.0129
3.04708,2.07634,-42.9801
3.04708,2.10242,-33.4971
3.04708,2.12851,-62.0346
3.07317,1.31981,-34.1196
3.07317,1.3459,-14.6036
3.07317,1.37199,-8.74799
3.07317,1.39807,-3.59911
3.07317,1.42416,-0.35764
3.07317,1.45025,-1.223
3.07317,1.47634,-0.643869
3.07317,1.50242,-1.80144
3.07317,1.52851,-9.29342
3.07317,1.5546,-15.9736
3.07317,1.58068,-45.7593
3.07317,1.60677,-49.4105
3.07317,1.63286,-48.3015
3.07317,1.65894,-21.7589
3.07317,1.68503,-13.9439
3.07317,1.71112,-9.62563
3.07317,1.7372,-6.0857
3.07317,1.76329,-3.74034
