x,y,z
2.86256,1.33337,1.5e-05
2.86256,1.35946,8e-06
2.86256,1.38554,4e-06
2.86256,1.41163,1e-05
2.86256,1.43772,1e-05
2.86256,1.4638,1e-05
2.86256,1.48989,0.00024325
2.86256,1.51598,0.005041
2.86256,1.54207,0.011449
2.86256,1.56815,0.106818
2.86256,1.59424,0.281961
2.86256,1.62033,0.391614
2.86256,1.64641,0.963869
2.86256,1.6725,1.25839
2.86256,1.69859,1.45202
2.86256,1.72467,1.61933
2.86256,1.75076,1.51298
2.86256,1.77685,1.23665
2.86256,1.80293,0.727609
2.86256,1.82902,0.361593
2.86256,1.85511,0.416412
2.86256,1.8812,0.0897565
2.86256,1.90728,0.159542
2.86256,1.93337,0.067081
2.86256,1.95946,0.0809825
2.86256,1.98554,0.116281
2.86256,2.03772,0.187539
2.86256,2.0638,0.25
2.88865,1.33337,1.7e-05
2.88865,1.35946,2.45e-05
2.88865,1.38554,2.05e-05
2.88865,1.41163,1.54e-05
2.88865,1.43772,1.51429e-05
2.88865,1.4638,1.96e-05
2.88865,1.48989,1.98571e-05
2.88865,1.51598,0.00168833
2.88865,1.54207,0.0366605
2.88865,1.56815,0.222177
2.88865,1.59424,0.425824
2.88865,1.62033,0.741329
2.88865,1.64641,0.969426
2.88865,1.6725,1.46001
2.88865,1.69859,1.69523
2.88865,1.72467,1.64758
2.88865,1.75076,1.37033
2.88865,1.77685,1.11293
2.88865,1.80293,0.864282
2.88865,1.82902,0.590268
2.88865,1.85511,0.430866
2.88865,1.8812,0.324809
2.88865,1.90728,0.220273
2.88865,1.93337,0.189164
2.88865,1.95946,0.0879743
2.88865,1.98554,0.073583
2.88865,2.01163,0.136581
2.88865,2.03772,0.19894
2.88865,2.0638,0.344252
2.88865,2.08989,0.770051
2.88865,2.11598,1.23452
2.91473,1.33337,3.325e-05
2.91473,1.35946,3.95e-05
2.91473,1.38554,3.3625e-05
2.91473,1.41163,4.7e-05
2.91473,1.43772,3.64e-05
2.91473,1.4638,2.75e-05
2.91473,1.48989,4.08571e-05
2.91473,1.51598,0.0001036
2.91473,1.54207,0.0220588
2.91473,1.56815,0.137232
2.91473,1.59424,0.218034
2.91473,1.62033,0.40982
2.91473,1.64641,0.671396
2.91473,1.6725,1.08531
2.91473,1.69859,1.2396
2.91473,1.72467,1.2564
2.91473,1.75076,0.943978
2.91473,1.77685,0.750756
2.91473,1.80293,0.496507
2.91473,1.82902,0.330933
2.91473,1.85511,0.218424
2.91473,1.8812,0.097033
2.91473,1.90728,0.07417
2.91473,1.93337,0.0170496
2.91473,1.95946,0.0157074
2.91473,1.98554,0.00440943
2.91473,2.01163,0.0050494
2.91473,2.03772,0.0292847
2.91473,2.0638,0.10469
2.91473,2.08989,0.171804
2.91473,2.11598,0.326774
2.94082,1.33337,2.33333e-05
2.94082,1.35946,2.22857e-05
2.94082,1.38554,2.96e-05
2.94082,1.41163,2.22857e-05
2.94082,1.43772,2.33333e-05
2.94082,1.4638,3.28e-05
2.94082,1.48989,1.64e-05
2.94082,1.51598,0.000218
2.94082,1.54207,0.00552517
2.94082,1.56815,0.038904
2.94082,1.59424,0.218101
