x,y,z
2.83839,1.47634,-54.5667
2.86447,1.31981,-49.1866
2.86447,1.3459,-56.1328
2.86447,1.37199,-52.9795
2.86447,1.39807,-51.5992
2.86447,1.42416,-52.1836
2.86447,1.45025,-51.9445
2.86447,1.50242,-35.152
2.86447,1.52851,-20.7208
2.86447,1.5546,-12.4699
2.86447,1.58068,-6.31887
2.86447,1.60677,-4.9987
2.86447,1.63286,-3.02681
2.86447,1.65894,-0.525271
2.86447,1.68503,0.743984
2.86447,1.71112,1.06623
2.86447,1.7372,0.691841
2.86447,1.76329,0.177049
2.86447,1.78938,-0.972936
2.86447,1.81547,-4.6944
2.86447,1.84155,-8.70054
2.86447,1.86764,-7.08631
2.86447,1.89373,-13.5967
2.86447,1.91981,-10.9399
2.86447,1.9459,-13.4389
2.86447,1.97199,-12.9201
2.86447,1.99807,-10.9794
2.86447,2.02416,-10.265
2.86447,2.05025,-8.32634
2.86447,2.07634,-6.38406
2.86447,2.10242,-0.82505
2.89056,1.31981,-56.5089
2.89056,1.3459,-49.6822
2.89056,1.37199,-49.1725
2.89056,1.39807,-50.3417
2.89056,1.42416,-49.5177
2.89056,1.45025,-51.798
2.89056,1.47634,-48.1705
2.89056,1.50242,-47.4355
2.89056,1.52851,-20.7699
2.89056,1.5546,-9.3289
2.89056,1.58068,-7.21968
2.89056,1.60677,-4.86617
2.89056,1.63286,-2.41912
2.89056,1.65894,-0.429896
2.89056,1.68503,0.505717
2.89056,1.71112,0.710334
2.89056,1.7372,0.531465
2.89056,1.76329,-0.558671
2.89056,1.78938,-1.86883
2.89056,1.81547,-3.48952
2.89056,1.84155,-6.21626
2.89056,1.86764,-6.49869
2.89056,1.89373,-9.46078
2.89056,1.91981,-10.2236
2.89056,1.9459,-13.8298
2.89056,1.97199,-14.0369
2.89056,1.99807,-14.6297
2.89056,2.02416,-11.4587
2.89056,2.05025,-9.38777
2.89056,2.07634,-5.79062
2.89056,2.10242,-2.86076
2.89056,2.12851,-2.71043
2.91665,1.31981,-42.7084
2.91665,1.3459,-48.2847
2.91665,1.37199,-45.9553
2.91665,1.39807,-45.6293
2.91665,1.42416,-46.5913
2.91665,1.45025,-43.7622
2.91665,1.47634,-46.3242
2.91665,1.50242,-44.5404
2.91665,1.52851,-27.3168
2.91665,1.5546,-10.639
2.91665,1.58068,-8.80957
2.91665,1.60677,-5.89989
2.91665,1.63286,-3.86147
2.91665,1.65894,-2.27067
2.91665,1.68503,-0.528834
2.91665,1.71112,-1.47419
2.91665,1.7372,-1.51671
2.91665,1.76329,-2.55289
2.91665,1.78938,-3.20101
2.91665,1.81547,-6.09597
2.91665,1.84155,-9.50097
2.91665,1.86764,-10.1147
2.91665,1.89373,-12.0326
2.91665,1.91981,-18.3156
2.91665,1.9459,-22.1449
2.91665,1.97199,-26.004
2.91665,1.99807,-26.7143
2.91665,2.02416,-30.466
2.91665,2.05025,-18.2162
2.91665,2.07634,-12.1022
2.91665,2.10242,-9.43481
2.91665,2.12851,-7.83846
2.94274,1.31981,-49.192
2.94274,1.3459,-49.4876
2.94274,1.37199,-49.2775
2.94274,1.39807,-47.7884
2.94274,1.42416,-49.4311
2.94274,1.45025,-48.5429
2.94274,1.47634,-47.1957
2.94274,1.50242,-48.0811
2.94274,1.52851,-34.6726
2.94274,1.5546,-15.7305
2.94274,1.58068,-11.8418
2.94274,1.60677,-9.5956
2.94274,1.63286,-8.08823
2.94274,1.65894,-7.06693
2.94274,1.68503,-5.54332
2.94274,1.71112,-5.94698
2.94274,1.7372,-5.2666
2.94274,1.76329,-6.66985
2.94274,1.78938,-8.48589
2.94274,1.81547,-11.3169
2.94274,1.84155,-14.3008
2.94274,1.86764,-18.6712
2.94274,1.89373,-26.2872
2.94274,1.91981,-48.6119
2.94274,1.9459,-49.3706
2.94274,1.97199,-54.0675
2.94274,1.99807,-50.746
2.94274,2.02416,-52.3439
2.94274,2.05025,-29.7543
2.94274,2.07634,-49.793
2.94274,2.10242,-28.3921
2.94274,2.12851,-16.7673
2.96882,1.31981,-58.7725
2.96882,1.3459,-53.4445
2.96882,1.37199,-53.2833
2.96882,1.39807,-56.0806
2.96882,1.42416,-52.5878
2.96882,1.45025,-51.963
2.96882,1.47634,-54.2319
2.96882,1.50242,-52.4744
2.96882,1.52851,-51.7923
2.96882,1.5546,-16.9616
2.96882,1.58068,-14.0591
2.96882,1.60677,-9.69585
2.96882,1.63286,-10.5368
2.96882,1.65894,-9.94803
2.96882,1.68503,-9.99476
2.96882,1.71112,-9.89527
2.96882,1.7372,-11.3913
2.96882,1.76329,-16.149
2.96882,1.78938,-20.8645
2.96882,1.81547,-31.4989
2.96882,1.84155,-49.7345
2.96882,1.86764,-51.7646
2.96882,1.89373,-51.0091
2.96882,1.91981,-50.8674
2.96882,1.9459,-43.2028
2.96882,1.97199,-53.0667
2.96882,1.99807,-18.6132
2.96882,2.02416,-18.8227
2.96882,2.05025,-15.6341
